Date,Open,High,Low,Close,Volume,OpenInt
20130805,22.947,22.964,22.827,22.839,78295,0
20130806,22.768,22.768,22.479,22.561,22193,0
20130807,22.454,22.597,22.326,22.326,80218,0
20130808,22.579,22.83,22.488,22.722,23150,0
20130809,22.839,22.939,22.686,22.92,139103,0
20130812,22.868,22.964,22.839,22.868,33951,0
20130813,23.017,23.053,22.903,23.035,51447,0
20130814,23.251,23.28,23.126,23.152,9580,0
20130815,22.92,22.92,22.623,22.839,21771,0
20130816,22.83,22.83,22.488,22.507,33550,0
20130819,22.255,22.255,21.726,21.726,20486,0
20130820,21.691,21.834,21.691,21.734,9640,0
20130821,21.592,21.592,21.114,21.241,34483,0
20130822,21.501,21.501,21.384,21.384,8785,0
20130823,21.474,21.644,21.474,21.643,2449,0
20130826,21.602,21.602,21.286,21.286,17637,0
20130827,20.963,20.963,20.602,20.658,35155,0
20130828,20.709,20.835,20.57,20.825,6883,0
20130829,20.918,21.207,20.639,20.794,4691,0
20130830,21.13,21.14,20.895,20.949,22899,0
20130903,21.322,21.322,21.322,21.322,1041,0
20130904,21.114,21.294,21.087,21.133,8027,0
20130905,21.25,21.25,21.133,21.159,20433,0
20130906,21.643,21.806,21.623,21.76,3677,0
20130909,22.076,22.476,22.076,22.272,3732,0
20130910,22.47,22.795,22.47,22.61,8819,0
20130911,22.722,22.778,22.722,22.768,2098,0
20130912,22.83,22.83,22.488,22.488,7633,0
20130913,22.669,22.669,22.497,22.588,2545,0
20130916,23.083,23.19,23.039,23.133,3520,0
20130917,23.226,23.226,23.121,23.133,5975,0
20130918,23.092,24.132,22.868,24.059,53261,0
20130919,24.151,24.204,23.953,24.042,3037,0
20130920,24.059,24.059,23.575,23.612,4881,0
20130923,23.496,23.496,23.47,23.47,1801,0
20130924,23.462,23.462,23.018,23.345,6776,0
20130925,23.336,23.336,23.018,23.102,9554,0
20130926,23.262,23.272,22.957,23.084,6109,0
20130927,22.957,22.957,22.722,22.722,14719,0
20130930,22.444,22.489,22.336,22.346,18455,0
20131001,22.722,22.735,22.722,22.732,888,0
20131002,23.018,23.018,22.779,23.011,2220,0
20131004,23.076,23.2,23.047,23.093,12886,0
20131007,23.047,23.047,22.859,23.002,5331,0
20131008,22.957,22.993,22.948,22.993,1777,0
20131009,23.084,23.084,22.732,23.002,55093,0
20131010,23.174,23.497,23.174,23.433,24350,0
20131011,23.638,23.652,23.638,23.652,2723,0
20131014,23.766,23.845,23.766,23.845,3953,0
20131015,23.767,23.813,23.507,23.587,6159,0
20131016,23.578,23.838,23.578,23.838,7536,0
20131017,23.857,23.948,23.74,23.931,9329,0
20131018,24.092,24.092,23.813,23.984,12996,0
20131021,24.037,24.037,23.767,23.767,11219,0
20131022,24.074,24.155,24.037,24.102,2220,0
20131023,23.903,23.903,23.634,23.722,3886,0
20131024,23.73,23.73,23.56,23.686,10107,0
20131025,23.534,23.876,23.534,23.876,5109,0
20131028,23.634,24.01,23.634,23.931,2887,0
20131029,23.94,23.966,23.813,23.966,2001,0
20131030,23.677,23.805,23.615,23.66,2111,0
20131031,23.408,23.516,23.408,23.408,9095,0
20131101,23.135,23.245,23.135,23.245,3002,0
20131104,23.236,23.345,23.236,23.236,4888,0
20131105,23.037,23.046,22.837,22.837,8664,0
20131106,22.948,23.047,22.931,22.941,2665,0
20131107,23.111,23.111,22.606,22.606,4999,0
20131108,22.463,22.588,22.444,22.588,21994,0
20131111,22.498,22.516,22.427,22.427,5569,0
20131112,22.479,22.479,22.085,22.085,9887,0
20131113,22.085,22.399,22.085,22.386,3788,0
20131114,22.722,22.779,22.463,22.779,15107,0
20131115,22.831,23.028,22.831,22.922,2444,0
20131118,23.076,23.154,23.028,23.028,1555,0
20131119,23.135,23.253,22.878,23.071,1540,0
20131120,22.941,23.028,22.498,22.498,10773,0
20131121,22.624,22.769,22.624,22.677,2776,0
20131122,22.704,22.722,22.704,22.722,2111,0
20131125,22.686,22.686,22.498,22.508,20660,0
20131126,22.399,22.535,22.255,22.535,6331,0
20131127,22.489,22.588,22.399,22.454,3666,0
20131129,22.624,22.624,22.624,22.624,444,0
20131202,22.562,22.562,22.228,22.228,9219,0
20131203,22.326,22.326,22.014,22.139,11108,0
20131204,21.994,22.148,21.742,22.131,5444,0
20131205,22.04,22.156,21.913,22.044,8763,0
20131206,22.219,22.498,22.219,22.498,3332,0
20131209,22.479,22.614,22.318,22.336,17215,0
20131210,22.535,22.571,22.391,22.571,5331,0
20131211,22.255,22.255,21.948,21.948,5444,0
20131212,21.877,22.107,21.841,22.035,17054,0
20131213,21.966,21.994,21.896,21.966,4777,0
20131216,22.024,22.173,21.984,22.067,34545,0
20131217,22.165,22.199,21.858,22.139,40538,0
20131218,22.199,22.704,22.032,22.535,12774,0
20131219,22.199,22.219,22.199,22.209,1445,0
20131220,22.057,22.165,21.966,21.966,12329,0
20131223,22.103,22.301,22.103,22.238,9329,0
20131224,22.262,22.364,22.262,22.364,995,0
20131226,22.172,22.172,21.993,22.013,10075,0
20131227,22.121,22.121,22.085,22.112,6532,0
20131230,22.238,22.508,22.238,22.454,26352,0
20131231,22.536,22.563,22.508,22.553,13288,0
20140102,22.147,22.147,21.822,21.822,7402,0
20140103,21.822,21.829,21.639,21.696,55523,0
20140106,21.606,21.613,21.587,21.587,9522,0
20140107,21.673,21.678,21.514,21.556,32571,0
20140108,21.649,21.649,21.387,21.387,5206,0
20140109,21.47,21.47,21.063,21.226,12952,0
20140110,21.432,21.705,21.432,21.678,1772,0
20140113,22.003,22.003,21.749,21.749,885,0
20140114,21.597,21.894,21.597,21.894,334,0
20140115,22.013,22.013,21.723,21.847,8524,0
20140116,21.938,21.938,21.687,21.813,4338,0
20140117,21.659,21.856,21.659,21.732,6200,0
20140121,21.856,21.856,21.488,21.533,4097,0
20140122,21.723,21.903,21.705,21.903,12952,0
20140123,21.813,21.813,21.279,21.523,5646,0
20140124,21.252,21.252,20.846,20.972,25354,0
20140127,20.882,20.882,20.61,20.785,4539,0
20140128,20.775,20.775,20.677,20.677,2041,0
20140129,20.332,20.504,20.332,20.466,4870,0
20140130,20.7,20.7,20.45,20.523,15279,0
20140131,20.331,20.556,20.116,20.411,21826,0
20140203,20.44,20.44,19.879,19.879,8506,0
20140204,20.305,20.523,20.305,20.523,6617,0
20140205,20.421,20.421,20.332,20.393,875,0
20140206,20.9,20.944,20.766,20.918,5104,0
20140207,20.856,20.963,20.833,20.963,951,0
20140210,20.865,20.865,20.629,20.629,2859,0
20140211,20.675,21.089,20.675,21.053,6368,0
20140212,21.013,21.089,20.799,20.826,6186,0
20140213,21.089,21.097,20.775,21.097,1251,0
20140214,21.27,21.378,21.27,21.378,6698,0
20140218,21.37,21.37,21.314,21.314,3083,0
20140219,21.2,21.215,21.126,21.126,4374,0
20140220,21.098,21.244,21.089,21.235,6266,0
20140221,21.2,21.2,21.19,21.19,664,0
20140224,21.245,21.451,21.227,21.451,2922,0
20140225,21.18,21.18,21.18,21.18,666,0
20140226,21.08,21.08,21.043,21.059,1895,0
20140227,21.173,21.217,21.054,21.217,5957,0
20140228,21.597,21.597,21.098,21.126,3959,0
20140303,20.846,20.963,20.775,20.794,15496,0
20140304,21.27,21.307,21.27,21.279,2412,0
20140305,21.461,21.513,21.431,21.461,4357,0
20140306,21.794,21.929,21.794,21.898,9573,0
20140307,21.767,21.775,21.542,21.542,2201,0
20140310,21.373,21.432,21.373,21.432,4346,0
20140311,21.61,21.61,21.47,21.496,2915,0
20140312,21.244,21.244,21.046,21.046,1108,0
20140313,21.08,21.08,20.775,20.836,29662,0
20140314,21.044,21.316,21.044,21.316,2189,0
20140317,21.533,21.569,21.393,21.432,35819,0
20140318,21.604,21.885,21.604,21.885,2856,0
20140319,21.533,21.723,21.496,21.496,857,0
20140320,21.352,21.352,21.326,21.326,2381,0
20140321,21.622,21.622,21.551,21.551,1397,0
20140324,21.438,21.661,21.438,21.438,1130,0
20140325,21.878,21.977,21.815,21.977,1165,0
20140326,22.115,22.115,22.026,22.033,2207,0
20140327,22.078,22.142,22.069,22.142,2259,0
20140328,22.212,22.513,22.212,22.513,1393,0
20140331,22.629,22.658,22.555,22.577,4244,0
20140401,22.738,22.738,22.729,22.729,378,0
20140402,22.711,22.757,22.711,22.757,437,0
20140403,22.649,22.649,22.493,22.568,3229,0
20140404,22.91,22.992,22.701,22.701,1730,0
20140407,22.947,22.947,22.909,22.909,1348,0
20140408,23.183,23.292,23.056,23.135,2418,0
20140409,23.2,23.302,23.2,23.245,2308,0
20140410,23.154,23.154,23.154,23.154,1492,0
20140411,23.046,23.128,23.001,23.128,1804,0
20140414,23.128,23.128,22.94,23.029,3617,0
20140415,22.594,22.984,22.594,22.675,5730,0
20140416,22.793,23.046,22.793,23.046,3200,0
20140417,23.075,23.21,23.066,23.066,2624,0
20140421,23.174,23.21,23.046,23.068,3065,0
20140422,23.192,23.198,23.011,23.123,13619,0
20140423,23.046,23.046,22.91,22.947,1017,0
20140424,22.876,23.001,22.876,23.001,5687,0
20140425,22.683,22.748,22.683,22.729,1432,0
20140428,22.675,22.93,22.675,22.93,2743,0
20140429,23.011,23.018,23.011,23.011,1105,0
20140501,22.956,23.12,22.956,23.12,746,0
20140502,23.2,23.21,23.164,23.2,741,0
20140505,23.113,23.113,22.984,23.056,4129,0
20140506,22.947,23.128,22.947,23.102,1490,0
20140507,23.273,23.273,23.273,23.273,3643,0
20140508,23.509,23.553,23.442,23.454,7025,0
20140509,23.472,23.472,23.362,23.372,12809,0
20140512,23.553,23.59,23.456,23.563,47220,0
20140513,23.69,23.79,23.68,23.79,6837,0
20140514,23.852,23.899,23.825,23.898,20028,0
20140515,23.654,23.68,23.499,23.627,4186,0
20140516,23.753,23.943,23.753,23.943,3543,0
20140519,23.856,23.943,23.856,23.943,7223,0
20140520,23.654,23.679,23.48,23.58,1546,0
20140521,23.777,23.777,23.744,23.744,590,0
20140522,23.872,23.935,23.763,23.935,34018,0
20140523,23.881,23.927,23.833,23.872,997,0
20140527,23.69,23.808,23.627,23.646,7984,0
20140528,23.437,23.744,23.392,23.727,3730,0
