Date,Open,High,Low,Close,Volume,OpenInt
20070510,27.933,27.933,27.905,27.905,2150,0
20070514,27.933,27.933,27.933,27.933,538,0
20070515,27.951,27.951,27.785,27.785,1073,0
20070516,27.905,27.905,27.905,27.905,102,0
20070517,27.951,27.97,27.951,27.97,2579,0
20070518,28.127,28.127,28.127,28.127,645,0
20070524,28.259,28.259,28.259,28.259,324,0
20070529,28.071,28.091,28.071,28.091,969,0
20070530,27.989,28.026,27.989,28.026,11292,0
20070531,28.368,28.406,28.323,28.368,8496,0
20070601,28.539,28.539,28.539,28.539,538,0
20070604,28.5,28.556,28.5,28.556,3763,0
20070605,28.434,28.434,28.434,28.434,428,0
20070606,28.137,28.137,28.137,28.137,2690,0
20070607,27.766,27.766,27.719,27.719,1184,0
20070608,27.645,27.645,27.645,27.645,859,0
20070612,27.748,27.794,27.645,27.645,27641,0
20070613,27.839,27.877,27.839,27.877,752,0
20070614,28.203,28.203,28.203,28.203,428,0
20070615,28.453,28.453,28.386,28.386,752,0
20070618,28.444,28.444,28.368,28.368,6451,0
20070619,28.323,28.323,28.323,28.323,102,0
20070620,28.34,28.34,27.97,27.97,859,0
20070621,27.923,28.146,27.923,28.146,16237,0
20070622,28.091,28.091,27.98,28.008,17532,0
20070625,28.054,28.054,27.758,27.758,969,0
20070626,27.775,27.775,27.599,27.599,1613,0
20070627,27.729,27.729,27.729,27.729,102,0
20070628,27.887,27.887,27.887,27.887,324,0
20070629,27.867,27.867,27.645,27.775,25595,0
20070703,28.242,28.242,28.242,28.242,102,0
20070705,28.287,28.287,28.287,28.287,428,0
20070706,28.34,28.472,28.305,28.472,5165,0
20070709,28.481,28.5,28.444,28.5,4302,0
20070710,28.315,28.34,28.091,28.091,2579,0
20070711,28.118,28.156,28.118,28.146,4302,0
20070712,28.539,28.64,28.539,28.64,324,0
20070713,28.686,28.751,28.686,28.751,10862,0
20070716,28.742,28.742,28.66,28.66,428,0
20070717,28.723,28.751,28.676,28.676,1400,0
20070718,28.595,28.668,28.519,28.668,2690,0
20070720,28.358,28.358,28.358,28.358,1724,0
20070723,28.605,28.605,28.481,28.481,538,0
20070724,28.223,28.223,27.803,27.803,5485,0
20070725,28.026,28.026,27.636,27.857,1724,0
20070726,27.533,27.533,26.911,27.181,17852,0
