Date,Open,High,Low,Close,Volume,OpenInt
20140303,23.632,24.529,23.537,23.556,74568,0
20140304,24.123,24.123,23.923,23.923,17498,0
20140305,24.094,24.094,23.895,23.942,25658,0
20140306,24.188,24.253,24.048,24.132,80949,0
20140307,24.151,24.198,23.914,23.951,18311,0
20140310,24.048,24.084,23.725,23.772,19754,0
20140311,23.773,23.773,23.527,23.527,49663,0
20140312,23.322,23.406,23.322,23.366,7530,0
20140313,23.387,23.387,22.888,22.906,39092,0
20140314,22.85,22.99,22.735,22.943,4466,0
20140317,23.123,23.17,23.056,23.153,12589,0
20140318,23.225,23.283,23.075,23.283,39185,0
20140319,23.303,23.303,23.082,23.082,4974,0
20140320,22.953,22.963,22.913,22.943,3342,0
20140321,23.111,23.111,22.943,22.963,46189,0
20140324,23.133,23.133,22.975,23.02,22951,0
20140325,23.275,23.286,23.113,23.281,4757,0
20140326,23.303,23.453,23.303,23.359,29893,0
20140327,23.575,23.575,23.332,23.462,25479,0
20140328,23.591,23.829,23.591,23.745,16623,0
20140331,23.824,23.869,23.783,23.851,6539,0
20140401,24.028,24.028,23.914,23.961,13582,0
20140402,24.038,24.038,23.914,23.984,8592,0
20140403,23.942,23.942,23.725,23.895,4647,0
20140404,24.066,24.066,23.754,23.782,93680,0
20140407,23.869,23.869,23.66,23.66,5249,0
20140408,23.706,23.725,23.453,23.509,14716,0
20140409,23.923,23.942,23.716,23.942,5502,0
20140410,23.829,23.961,23.604,23.614,5920,0
20140411,23.489,23.556,23.312,23.406,4548,0
20140414,23.197,23.359,23.123,23.216,6750,0
20140415,23.206,23.206,23.03,23.094,24506,0
20140416,23.471,23.48,23.349,23.453,8595,0
20140417,23.527,23.661,23.489,23.641,8940,0
20140421,23.443,23.639,23.443,23.638,4602,0
20140422,23.584,23.68,23.584,23.661,1065,0
20140423,23.675,23.675,23.489,23.556,16826,0
20140424,23.556,23.661,23.556,23.632,35814,0
20140425,23.632,23.632,23.499,23.537,16814,0
20140428,23.585,23.622,23.444,23.593,2167,0
20140429,23.584,23.773,23.584,23.725,4178,0
20140430,23.69,23.716,23.69,23.716,6120,0
20140501,23.725,23.725,23.622,23.68,2366,0
20140502,23.772,23.772,23.716,23.716,552,0
20140505,23.68,23.849,23.68,23.773,3606,0
20140506,23.963,23.967,23.933,23.933,1251,0
20140507,23.921,24.038,23.921,23.963,7906,0
20140508,24.104,24.115,23.879,23.888,8387,0
20140509,23.905,24.001,23.905,23.981,3044,0
20140512,24.059,24.217,24.059,24.207,49682,0
20140513,24.33,24.33,24.198,24.305,9774,0
20140514,24.283,24.293,24.217,24.226,28411,0
20140515,24.014,24.038,23.977,23.977,7173,0
20140516,24.058,24.058,23.981,24.048,2550,0
20140519,23.82,24.206,23.82,24.176,4808,0
20140520,24.058,24.132,23.88,23.88,2578,0
20140521,24.188,24.235,24.064,24.235,5244,0
20140522,24.207,24.339,24.207,24.339,3430,0
20140523,24.226,24.374,24.226,24.374,3958,0
20140527,24.49,24.49,24.398,24.407,3506,0
20140528,24.443,24.443,24.398,24.426,13885,0
20140529,24.622,24.632,24.613,24.632,10293,0
20140530,24.661,24.679,24.645,24.676,4397,0
20140602,24.763,24.783,24.621,24.717,5329,0
20140603,24.773,24.773,24.613,24.689,11116,0
20140604,24.717,24.821,24.717,24.82,8607,0
20140605,24.801,24.924,24.773,24.915,10265,0
20140606,25.018,25.086,25.018,25.086,1582,0
20140609,25.038,25.066,24.952,25.065,42005,0
20140610,25.066,25.066,24.952,24.962,5937,0
20140611,24.924,24.924,24.841,24.915,5418,0
20140612,24.962,24.989,24.915,24.97,6342,0
20140613,24.848,24.961,24.848,24.858,1722,0
20140616,24.989,24.989,24.886,24.922,4552,0
20140617,24.979,25.028,24.952,25.028,3930,0
20140618,25.057,25.235,25.057,25.199,4461,0
20140619,25.434,25.434,25.331,25.425,6142,0
20140620,25.662,25.662,25.376,25.443,9033,0
20140623,25.27,25.395,25.27,25.353,4949,0
20140624,25.376,25.376,25.186,25.186,6191,0
20140625,25.157,25.186,25.072,25.171,3874,0
20140626,25.14,25.289,25.14,25.28,17729,0
20140627,25.196,25.289,25.185,25.289,32753,0
20140630,25.376,25.48,25.376,25.443,8399,0
20140701,25.575,25.603,25.424,25.603,11222,0
20140702,25.623,25.632,25.558,25.613,3893,0
20140703,25.652,25.687,25.652,25.681,2734,0
20140707,25.548,25.575,25.469,25.47,20552,0
20140708,25.424,25.452,25.289,25.366,9096,0
20140709,25.433,25.433,25.166,25.333,7873,0
20140710,24.976,25.038,24.885,25.038,6384,0
20140711,25.196,25.196,25.052,25.062,6526,0
20140714,25.072,25.28,25.072,25.253,6014,0
20140715,25.185,25.243,25.182,25.208,2324,0
20140716,25.376,25.405,25.339,25.395,5250,0
20140717,25.347,25.405,25.13,25.13,10681,0
20140718,25.253,25.253,25.253,25.253,167,0
20140721,25.13,25.24,25.09,25.159,1995,0
20140722,25.347,25.366,25.261,25.261,2565,0
20140723,25.309,25.329,25.224,25.251,2421,0
20140724,25.1,25.424,25.1,25.205,7305,0
20140725,25.033,25.147,25.033,25.11,4107,0
20140728,25.196,25.196,25.14,25.14,4367,0
20140729,25.167,25.167,25.052,25.1,5767,0
20140730,24.947,24.996,24.911,24.939,52917,0
20140731,24.947,25.072,24.482,24.482,7215,0
20140801,23.048,24.453,22.63,24.293,7410,0
20140804,24.444,24.444,24.327,24.389,880,0
20140805,24.33,24.36,24.253,24.253,5158,0
20140806,24.017,24.197,24.008,24.197,1915,0
20140807,24.197,24.217,24.192,24.192,2628,0
20140808,24.141,24.36,24.141,24.36,12307,0
20140811,24.36,24.559,24.36,24.538,5687,0
20140812,24.531,24.531,24.516,24.521,1300,0
20140813,24.691,24.691,24.492,24.597,1835,0
20140814,24.693,24.693,24.691,24.691,330,0
20140815,24.587,24.673,24.558,24.579,3641,0
20140818,24.805,24.916,24.805,24.916,2975,0
20140819,24.881,24.939,24.869,24.871,1379,0
20140820,24.54,24.739,24.54,24.733,1929,0
20140821,24.777,24.804,24.767,24.799,3274,0
20140822,24.739,24.747,24.711,24.711,1419,0
20140825,24.578,24.929,24.578,24.891,1235,0
20140826,24.967,25.004,24.967,25.004,1057,0
20140827,25.11,25.14,25.004,25.11,2349,0
20140828,25.052,25.052,25.014,25.015,2527,0
20140829,25.09,25.09,25.074,25.09,1919,0
20140902,25.196,25.196,25.024,25.157,3151,0
20140903,25.14,25.253,25.14,25.253,7883,0
20140904,25.224,25.224,25.149,25.149,2454,0
20140905,25.072,25.072,24.985,24.985,1157,0
20140908,24.939,24.939,24.813,24.901,4459,0
20140909,24.721,24.721,24.721,24.721,190,0
20140910,24.644,24.729,24.644,24.729,3492,0
20140911,24.482,24.549,24.427,24.453,3936,0
20140912,24.427,24.462,24.33,24.395,2051,0
20140915,24.369,24.389,24.369,24.389,2613,0
20140916,24.253,24.606,24.253,24.531,7786,0
20140917,24.427,24.427,24.379,24.379,1337,0
20140918,24.483,24.483,24.389,24.389,1861,0
20140919,24.34,24.379,24.244,24.273,53925,0
20140922,24.253,24.253,24.163,24.169,6167,0
20140923,24.083,24.103,24.017,24.046,5765,0
20140924,24.027,24.113,23.989,24.113,14713,0
20140925,24.008,24.008,23.885,23.949,3346,0
20140926,23.911,23.94,23.866,23.94,2815,0
20140929,23.695,23.822,23.666,23.817,3647,0
20140930,23.656,23.712,23.656,23.685,8316,0
20141001,23.56,23.617,23.493,23.522,3944,0
20141003,23.304,23.408,23.246,23.389,14052,0
20141006,23.589,23.589,23.484,23.55,1663,0
20141007,23.389,23.398,23.371,23.371,3928,0
20141008,23.266,23.493,23.207,23.493,5165,0
20141009,23.346,23.346,23.071,23.071,1584,0
20141010,22.857,23.084,22.638,22.638,6945,0
20141013,22.848,22.848,22.611,22.629,6288,0
20141014,22.771,22.867,22.715,22.715,8264,0
20141015,22.611,22.611,22.306,22.523,81891,0
20141016,22.334,22.679,22.334,22.591,5134,0
20141017,22.932,22.942,22.752,22.838,5980,0
20141020,23.074,23.153,23.055,23.123,1244,0
20141021,23.361,23.38,23.342,23.38,4079,0
20141022,23.369,23.369,23.216,23.216,1077,0
20141023,23.304,23.503,23.304,23.436,2823,0
20141024,23.304,23.513,23.304,23.474,4067,0
20141027,23.474,23.513,23.38,23.513,8825,0
20141028,23.55,23.817,23.55,23.817,7606,0
20141029,23.856,23.959,23.666,23.671,1951,0
20141030,23.695,23.703,21.372,23.695,4632,0
20141031,24.036,24.056,24.017,24.046,23930,0
20141103,24.168,24.223,24.168,24.223,862,0
20141104,23.876,23.876,23.779,23.779,5131,0
20141105,23.911,23.911,23.802,23.802,664,0
20141107,23.703,23.779,23.675,23.779,4596,0
20141110,23.779,23.892,23.779,23.866,13221,0
20141111,23.991,24.122,23.991,24.122,825,0
20141112,24.064,24.064,23.947,23.947,1281,0
20141113,24.036,24.036,23.974,23.974,1315,0
20141114,24.056,24.146,23.911,24.146,5383,0
20141117,24.064,24.122,24.064,24.113,611,0
20141118,24.123,24.252,24.123,24.252,947,0
20141119,24.113,24.169,24.083,24.083,1133,0
20141120,23.933,24.036,23.933,24.027,3328,0
20141121,24.253,24.253,24.22,24.22,1191,0
20141124,24.379,24.453,24.311,24.311,5948,0
20141125,24.303,24.311,24.253,24.253,2543,0
20141126,24.33,24.33,24.33,24.33,3417,0
20141201,24.046,24.141,24.046,24.062,3851,0
20141202,24.008,24.036,23.921,24.008,7250,0
20141203,24.106,24.152,24.106,24.134,1463,0
20141204,24.113,24.235,24.113,24.187,1985,0
20141205,24.113,24.141,24.036,24.064,4129,0
20141208,23.885,23.885,23.807,23.826,3669,0
20141209,23.779,23.836,23.721,23.836,6669,0
20141210,23.56,23.608,23.531,23.531,894,0
20141211,23.398,23.456,23.256,23.276,7369,0
20141212,23.143,23.17,23.123,23.123,2587,0
20141215,22.685,22.962,22.675,22.808,2694,0
20141216,22.952,22.966,22.952,22.966,1289,0
20141217,23.216,23.216,23.123,23.216,2470,0
20141218,23.084,23.506,23.084,23.506,845,0
20141219,23.55,23.554,23.379,23.502,2034,0
20141222,23.555,23.617,23.483,23.59,4490,0
20141226,23.713,23.77,23.656,23.656,2808,0
20141229,23.627,23.713,23.617,23.617,6289,0
20141230,23.57,23.685,23.56,23.685,713,0
20141231,23.666,23.721,23.57,23.589,1544,0
20150102,23.531,23.541,23.445,23.473,3152,0
20150105,23.254,23.254,23.044,23.097,5695,0
20150106,23.072,23.196,22.938,22.938,2850,0
20150107,23.1,23.282,23.091,23.274,5546,0
20150108,23.4,23.589,23.4,23.425,6424,0
20150109,23.312,23.405,23.312,23.324,1468,0
20150112,23.274,23.291,23.196,23.244,10084,0
20150113,23.58,23.58,23.14,23.302,7601,0
20150114,23.205,23.234,23.12,23.189,2562,0
20150115,23.332,23.407,23.1,23.11,11746,0
20150116,23.215,23.332,23.205,23.322,7033,0
20150120,23.322,23.415,23.244,23.415,11581,0
20150121,23.512,23.512,23.36,23.36,942,0
20150122,23.398,23.729,23.398,23.71,1673,0
20150123,23.656,23.666,23.57,23.57,6170,0
20150126,23.675,23.904,23.675,23.894,42763,0
20150127,23.859,23.894,23.859,23.866,2647,0
20150128,24.019,24.048,23.805,23.805,2635,0
20150129,23.808,23.808,23.808,23.808,153,0
20150130,23.638,23.742,23.638,23.656,1860,0
20150202,23.675,23.78,23.675,23.78,1682,0
20150203,24.01,24.132,24.01,24.115,7112,0
20150204,23.932,24.07,23.932,24.07,1716,0
20150206,24.163,24.163,23.943,23.943,2290,0
20150209,23.981,24.096,23.922,24.019,3800,0
20150210,24.086,24.219,24.076,24.219,7327,0
20150211,24.038,24.163,24.028,24.028,3156,0
20150212,24.297,24.429,24.297,24.429,493,0
20150213,24.535,24.621,24.535,24.621,13319,0
20150217,24.535,24.669,24.535,24.66,11047,0
20150218,24.66,24.718,24.592,24.718,4105,0
20150219,24.718,24.833,24.718,24.808,7598,0
20150220,24.793,24.965,24.784,24.912,13855,0
20150223,25.003,25.013,24.879,24.955,6816,0
20150224,25.003,25.003,24.861,24.974,7145,0
20150225,25.013,25.182,25.013,25.166,35088,0
20150226,25.196,25.214,25.129,25.196,2690,0
20150227,25.338,25.338,25.27,25.27,7990,0
20150302,25.299,25.338,25.27,25.299,9100,0
20150303,25.28,25.299,25.234,25.243,4603,0
20150304,25.214,25.243,25.119,25.243,7425,0
20150305,25.329,25.434,25.27,25.416,10040,0
20150306,25.387,25.387,25.061,25.099,11609,0
20150309,24.889,25.387,24.889,24.908,12970,0
20150310,24.564,24.736,24.544,24.544,3451,0
20150311,24.621,24.669,24.458,24.66,3871,0
20150312,24.764,25.042,24.764,24.908,5229,0
20150313,24.994,25.042,24.544,24.774,7844,0
20150316,24.689,25.042,24.64,25.003,8889,0
20150317,24.955,25.214,24.861,25.214,97892,0
20150318,24.774,26.257,24.764,25.53,8367,0
20150319,25.605,25.807,25.396,25.75,8994,0
20150320,25.797,25.884,25.481,25.787,17675,0
20150323,25.826,26.055,25.787,25.961,19976,0
20150324,25.72,26.036,25.711,25.961,21125,0
20150325,25.874,26.006,25.826,25.884,9622,0
20150326,25.769,25.769,25.453,25.55,32211,0
20150327,25.903,25.903,25.416,25.511,18719,0
20150330,25.72,25.73,25.434,25.615,8367,0
20150331,25.377,25.425,25.338,25.338,4183,0
20150401,25.338,25.569,25.309,25.338,4289,0
20150402,25.491,25.816,25.491,25.816,14536,0
20150406,26.276,26.477,26.161,26.371,15164,0
20150407,26.342,26.381,26.295,26.361,14446,0
20150408,26.477,26.477,26.371,26.428,12758,0
20150409,26.477,26.477,26.295,26.467,8873,0
20150410,26.467,26.477,26.313,26.467,6797,0
20150413,26.342,26.611,26.303,26.448,17466,0
20150414,26.467,26.829,26.4,26.592,31689,0
20150415,26.601,26.82,26.601,26.782,9514,0
20150416,26.734,27.144,26.696,27.097,21215,0
20150417,26.848,26.848,26.458,26.534,44761,0
20150420,26.448,26.677,26.448,26.601,86479,0
20150421,26.734,26.917,26.734,26.769,21939,0
20150422,26.753,26.868,26.753,26.753,7318,0
20150423,26.848,27.002,26.802,26.964,107409,0
20150424,27.05,27.213,27.04,27.088,20080,0
20150427,27.318,27.337,27.26,27.269,52084,0
20150428,27.337,27.337,27.194,27.241,30539,0
20150429,27.127,27.233,26.983,27.021,32631,0
20150430,26.773,26.773,26.62,26.62,56580,0
20150501,26.898,27.233,26.524,26.829,31166,0
20150504,26.601,26.898,26.601,26.839,45808,0
20150505,27.021,27.031,26.63,26.753,56790,0
20150506,26.696,26.783,26.505,26.557,25661,0
20150507,26.505,26.649,26.505,26.534,10690,0
20150508,27.002,27.327,26.992,27.269,22904,0
20150511,27.309,27.309,27.088,27.088,35662,0
20150512,27.25,27.25,26.858,27.102,41306,0
20150513,27.346,27.644,27.318,27.384,31062,0
20150514,27.527,27.625,27.384,27.527,20708,0
20150515,27.681,27.805,27.681,27.795,68952,0
