Date,Open,High,Low,Close,Volume,OpenInt
20071212,43.614,43.614,43.614,43.614,118,0
20071213,43.154,43.675,43.154,43.675,13612,0
20071214,43.477,43.607,43.376,43.376,6100,0
20071217,41.501,41.62,41.374,41.484,8685,0
20071218,41.893,41.893,41.332,41.332,4693,0
20071219,45.166,45.166,41.118,41.544,20772,0
20071220,42.319,42.319,40.87,41.288,22883,0
20071221,42.124,42.258,41.451,42.012,54920,0
20071224,42.907,42.907,41.944,42.235,40251,0
20071226,42.813,42.813,41.756,41.893,26519,0
20071227,42.524,42.558,41.996,42.276,43066,0
20071228,42.625,42.693,42.183,42.652,42244,0
20071231,42.693,43.445,42.354,43.445,74750,0
20080102,42.703,42.865,41.791,42.838,29103,0
20080103,42.607,42.805,42.44,42.805,9620,0
20080104,44.014,44.014,41.332,41.332,12439,0
20080107,40.673,40.682,40.291,40.633,19832,0
20080108,41.442,41.442,40.547,40.589,4107,0
20080109,40.956,40.956,39.599,40.264,12086,0
20080110,39.763,39.763,39.541,39.695,8685,0
20080111,39.413,39.413,38.961,39.405,2816,0
20080114,41.356,41.356,39.608,39.813,11735,0
20080115,39.813,39.813,38.774,38.817,15606,0
20080116,38.136,38.136,37.436,37.471,5280,0
20080117,38.664,38.664,37.3,37.583,18775,0
20080118,37.768,37.768,37.521,37.521,4342,0
20080122,39.2,75.043,35.05,38.67,16664,0
20080123,35.952,39.977,35.876,39.977,69115,0
20080124,38.894,38.894,37.861,37.906,34030,0
20080125,38.647,38.647,37.956,37.973,16077,0
20080128,38.339,38.339,37.471,37.803,11149,0
20080129,38.262,38.485,37.982,38.323,13728,0
20080130,40.351,40.351,36.644,38.58,7277,0
20080131,36.107,38.912,36.107,38.912,17837,0
20080201,39.599,39.599,38.85,38.903,15726,0
20080204,39.245,39.864,39.245,39.703,3401,0
20080205,38.774,38.774,37.76,37.76,8565,0
20080206,38.347,38.347,37.776,37.898,5399,0
20080207,37.394,37.394,36.294,36.294,18540,0
20080208,36.005,38.774,36.005,36.753,30159,0
20080211,38.05,38.05,36.78,37.257,14549,0
20080212,36.882,37.547,36.882,37.513,6806,0
20080213,37.683,37.7,37.436,37.436,30510,0
20080214,38.143,38.152,37.999,37.999,5750,0
20080215,38.092,38.485,37.888,38.315,47524,0
20080219,39.457,39.457,38.834,38.944,34851,0
20080220,40.206,40.342,38.279,38.611,25583,0
20080221,40.113,40.113,38.664,38.876,24057,0
20080222,39.72,39.72,38.288,39.012,15840,0
20080225,39.397,39.397,38.4,38.996,12439,0
20080226,39.541,40.658,39.031,39.831,102559,0
20080227,39.711,39.797,39.599,39.763,11149,0
20080228,40.291,40.291,39.2,39.593,15840,0
20080229,39.2,39.2,38.552,38.765,12908,0
20080303,39.448,39.457,38.407,38.451,56443,0
20080304,38.451,38.451,37.583,37.965,31448,0
20080305,38.715,38.715,38.177,38.407,33912,0
20080306,38.859,38.859,37.93,37.93,25229,0
20080307,37.921,37.921,35.366,37.318,15136,0
20080310,38.391,38.391,36.474,36.857,15961,0
20080311,38.339,38.339,37.428,38.187,4225,0
20080312,38.518,38.518,38.136,38.136,13377,0
20080313,37.351,38.58,37.351,38.58,8098,0
20080314,38.476,38.476,37.257,37.453,56443,0
20080317,37.921,37.921,36.447,36.798,13261,0
20080318,38.296,38.296,37.359,37.982,30863,0
20080319,37.794,37.794,36.61,36.617,9270,0
20080320,36.601,36.745,36.089,36.745,8802,0
20080324,36.943,37.07,36.729,37.044,7391,0
20080325,37.93,38.279,37.821,38.279,23940,0
20080326,39.098,39.294,38.315,38.595,28164,0
20080327,39.413,39.413,38.774,38.935,7745,0
20080328,39.362,39.371,38.732,38.868,21007,0
20080331,39.14,39.55,39.14,39.506,19714,0
20080401,39.72,40.273,39.532,40.257,103265,0
