Date,Open,High,Low,Close,Volume,OpenInt
20141117,47.213,47.213,47.195,47.195,429,0
20141120,47.221,47.221,47.221,47.221,633,0
20141121,47.213,47.241,47.213,47.241,1758,0
20141125,47.286,47.286,47.286,47.286,200,0
20141201,47.596,47.596,47.557,47.557,201,0
20141203,47.152,47.162,47.152,47.162,1269,0
20141209,47.433,47.433,47.415,47.415,450,0
20141216,47.481,47.481,47.481,47.481,101,0
20141222,47.228,47.274,47.228,47.274,1162,0
20141223,47.182,47.182,47.182,47.182,2880,0
20141224,47.112,47.112,47.112,47.112,201,0
20141226,47.274,47.274,47.152,47.152,531,0
20141229,47.199,47.199,47.199,47.199,429,0
20141230,47.309,47.317,47.3,47.3,713,0
20141231,47.345,47.383,47.345,47.383,2151,0
20150102,47.413,47.509,47.413,47.499,1797,0
20150106,47.781,47.8,47.738,47.738,1267,0
20150107,47.585,47.654,47.585,47.654,795,0
20150108,47.641,47.781,47.641,47.69,1267,0
20150109,47.781,47.809,47.781,47.781,1165,0
20150116,47.884,47.884,47.875,47.875,328,0
20150120,48.02,48.02,47.989,47.989,736,0
20150121,47.894,47.894,47.884,47.884,530,0
20150122,47.837,47.884,47.837,47.884,631,0
20150126,47.869,47.869,47.869,47.869,141,0
20150130,48.394,48.394,48.394,48.394,101,0
20150202,48.296,48.316,48.296,48.316,569,0
20150204,48.091,48.091,48.091,48.091,101,0
20150205,48.101,48.101,48.101,48.101,428,0
20150206,47.862,47.967,47.862,47.967,428,0
20150209,47.967,47.967,47.967,47.967,403,0
20150211,47.871,47.88,47.871,47.88,851,0
20150212,47.9,47.9,47.9,47.9,2167,0
20150213,47.918,47.947,47.918,47.947,1057,0
20150218,47.833,47.852,47.833,47.852,977,0
20150220,47.976,47.976,47.89,47.89,579,0
20150225,48.195,48.195,48.195,48.195,8114,0
20150226,48.072,48.111,48.072,48.111,5556,0
20150227,48.157,48.157,48.129,48.157,6975,0
20150302,48.118,48.118,48.118,48.118,1055,0
20150303,47.945,47.945,47.945,47.945,1055,0
20150304,47.974,48.021,47.974,48.021,1583,0
20150305,48.021,48.04,48.021,48.04,326,0
20150306,47.793,47.793,47.793,47.793,101,0
20150309,47.935,47.954,47.935,47.945,2006,0
20150310,48.021,48.021,48.021,48.021,326,0
20150312,48.059,48.059,47.974,47.974,2319,0
20150316,48.011,48.108,48.011,48.098,1686,0
20150317,48.069,48.089,48.059,48.089,1583,0
20150318,48.324,48.324,48.324,48.324,101,0
20150320,48.324,48.324,48.324,48.324,326,0
20150324,48.419,48.419,48.399,48.399,1583,0
20150325,48.484,48.484,48.484,48.484,101,0
20150327,48.165,48.314,48.165,48.314,528,0
20150330,48.314,48.314,48.314,48.314,101,0
20150331,48.362,48.362,48.362,48.362,101,0
20150401,48.39,48.437,48.39,48.437,629,0
20150402,48.362,48.362,48.362,48.362,733,0
20150406,49.243,49.243,49.243,49.243,326,0
20150407,48.362,48.362,48.362,48.362,529,0
20150413,48.419,48.419,48.419,48.419,427,0
20150414,48.562,48.562,48.562,48.562,101,0
20150415,48.514,48.523,48.504,48.514,679,0
20150417,48.659,48.659,48.62,48.62,8442,0
20150420,48.591,48.591,48.552,48.582,1156,0
20150421,48.465,48.465,48.465,48.465,201,0
20150427,48.61,48.61,48.523,48.523,201,0
20150428,48.504,48.504,48.504,48.504,101,0
20150430,48.324,48.324,48.324,48.324,101,0
20150501,48.405,48.471,48.32,48.32,732,0
20150504,48.272,48.272,48.272,48.272,953,0
20150505,48.15,48.199,48.15,48.17,732,0
20150507,48.074,48.074,48.074,48.074,613,0
20150508,48.199,48.272,48.19,48.237,2314,0
20150511,48.123,48.123,47.987,48.045,7690,0
20150512,47.949,48.035,47.949,48.035,320,0
20150513,47.94,48.016,47.94,48.016,201,0
20150518,48.208,48.208,48.208,48.208,217,0
20150520,48.103,48.18,48.103,48.18,1683,0
20150521,48.208,48.32,48.17,48.281,1683,0
20150522,48.246,48.246,48.246,48.246,325,0
20150526,48.112,48.18,48.112,48.18,10745,0
20150528,48.228,48.228,48.228,48.228,7366,0
20150529,48.29,48.29,48.29,48.29,101,0
20150601,48.281,48.281,48.217,48.217,425,0
20150602,48.207,48.207,47.929,47.929,1258,0
20150605,47.751,47.751,47.685,47.685,201,0
20150608,47.778,47.778,47.714,47.714,1258,0
20150610,47.512,47.512,47.512,47.512,101,0
20150615,47.891,47.891,47.788,47.788,846,0
20150616,47.626,47.626,47.626,47.626,101,0
20150617,47.676,47.761,47.676,47.761,846,0
20150624,47.685,47.751,47.685,47.751,2629,0
20150625,47.751,47.751,47.751,47.751,1258,0
20150626,47.559,47.559,47.559,47.559,101,0
20150629,47.724,47.724,47.724,47.724,21132,0
20150630,47.734,47.769,47.734,47.769,324,0
20150701,47.738,47.738,47.736,47.736,201,0
20150702,47.832,47.832,47.776,47.776,1049,0
20150706,47.889,47.984,47.889,47.984,1574,0
20150707,48.148,48.158,48.061,48.158,1255,0
20150708,48.289,48.289,48.289,48.289,101,0
20150709,47.984,47.984,47.975,47.975,201,0
20150710,47.795,47.795,47.795,47.795,626,0
20150713,47.804,47.804,47.749,47.795,11018,0
20150714,47.832,47.832,47.832,47.832,324,0
20150715,47.767,47.824,47.767,47.786,1419,0
20150716,47.742,47.742,47.742,47.742,201,0
20150720,47.749,47.749,47.749,47.749,201,0
20150721,47.795,47.795,47.795,47.795,101,0
20150722,47.795,47.795,47.712,47.712,3673,0
20150724,47.795,47.795,47.795,47.795,730,0
20150727,47.87,47.87,47.87,47.87,201,0
20150728,47.842,47.861,47.842,47.852,424,0
20150730,47.786,47.786,47.786,47.786,201,0
20150731,47.879,47.917,47.879,47.917,323,0
20150804,47.985,48.043,47.957,47.967,1253,0
20150806,47.833,47.833,47.833,47.833,202,0
20150807,47.9,47.967,47.89,47.967,3458,0
20150810,47.823,47.823,47.823,47.823,524,0
20150811,47.976,47.976,47.976,47.976,626,0
20150813,47.843,47.843,47.843,47.843,201,0
20150818,47.75,47.75,47.75,47.75,625,0
20150819,47.75,47.75,47.75,47.75,1571,0
20150820,48.217,48.217,48.217,48.217,101,0
20150821,48.236,48.236,48.043,48.043,1047,0
20150824,48.121,48.894,48.121,48.121,524,0
20150826,47.928,47.928,47.928,47.928,101,0
20150828,47.957,48.033,47.91,48.033,2934,0
20150831,48.072,48.072,48.024,48.024,5761,0
20150901,48.56,48.56,48.56,48.56,421,0
