Date,Open,High,Low,Close,Volume,OpenInt
20111117,14.532,14.542,14.107,14.176,8874,0
20111118,14.463,14.463,14.176,14.245,3603,0
20111121,13.948,13.958,13.394,13.503,8375,0
20111122,13.533,13.552,13.177,13.324,36601,0
20111123,12.84,13.058,12.721,12.761,12955,0
20111125,12.811,12.811,12.564,12.564,6373,0
20111128,12.86,12.939,12.663,12.672,5330,0
20111129,12.613,12.821,12.613,12.801,2789,0
20111130,13.206,13.206,12.998,13.206,43357,0
20111201,13.324,13.344,13.226,13.344,16224,0
20111202,13.711,13.799,13.642,13.691,6843,0
20111205,13.938,13.938,13.731,13.731,3798,0
20111206,13.503,13.582,13.503,13.582,5787,0
20111207,13.622,13.642,13.354,13.642,9119,0
20111208,13.404,13.404,13.304,13.304,2526,0
20111209,13.592,13.592,13.324,13.483,4963,0
20111212,13.048,13.334,13.048,13.245,7734,0
20111213,13.443,13.443,13.235,13.235,3982,0
20111214,12.919,12.919,12.761,12.761,1799,0
20111215,12.919,12.919,12.919,12.919,202,0
20111216,12.811,12.811,12.731,12.811,606,0
20111219,12.761,12.761,12.663,12.663,2123,0
20111220,12.978,13.068,12.87,13.058,1522,0
20111221,13.077,13.077,12.692,12.741,1826,0
20111222,12.731,12.958,12.731,12.958,3892,0
20111223,13.038,13.058,12.968,12.968,1170,0
20111227,12.978,12.978,12.978,12.978,1011,0
20111228,12.87,12.87,12.87,12.87,3032,0
20111229,12.761,12.86,12.731,12.811,1833,0
20111230,12.939,13.087,12.939,12.958,304,0
20120103,13.196,13.285,13.137,13.147,6671,0
20120104,13.068,13.087,13.008,13.087,707,0
20120105,12.949,13.028,12.929,13.028,3038,0
20120106,12.731,12.86,12.613,12.613,2133,0
20120109,12.613,12.613,12.366,12.435,3740,0
20120112,12.909,12.919,12.909,12.919,505,0
20120113,12.87,13.018,12.87,12.939,1502,0
20120117,13.097,13.137,13.097,13.137,202,0
20120118,13.206,13.206,13.196,13.196,1718,0
20120123,13.592,13.592,13.483,13.483,304,0
