Date,Open,High,Low,Close,Volume,OpenInt
20091123,43.789,43.812,43.772,43.812,2254,0
20091124,43.846,43.883,43.838,43.883,12804,0
20091125,43.902,43.902,43.873,43.883,17622,0
20091127,43.939,43.948,43.939,43.948,677,0
20091130,43.965,44.026,43.965,44.026,2648,0
20091201,44.016,44.016,43.948,43.948,4902,0
20091202,43.92,43.948,43.902,43.902,5477,0
20091203,43.856,43.956,43.846,43.856,64685,0
20091204,43.78,43.812,43.734,43.812,2778,0
20091207,43.846,43.902,43.846,43.902,4140,0
20091208,43.92,43.939,43.91,43.939,28089,0
20091209,43.91,43.948,43.91,43.91,30666,0
20091210,43.856,43.892,43.856,43.873,2226,0
20091211,43.812,43.846,43.812,43.846,729,0
20091214,43.838,43.864,43.831,43.831,2532,0
20091215,43.762,43.78,43.688,43.762,6798,0
20091216,43.798,43.798,43.734,43.789,5618,0
20091217,43.864,43.929,43.864,43.929,3169,0
20091218,43.805,43.812,43.805,43.812,18243,0
20091221,43.873,43.873,43.645,43.645,8842,0
20091222,43.576,43.593,43.521,43.521,6110,0
20091223,43.511,43.584,43.511,43.584,1579,0
20091224,43.433,43.442,43.378,43.415,3608,0
20091228,43.415,43.415,43.297,43.307,463,0
20091229,43.378,43.386,43.378,43.386,993,0
20091230,43.396,43.405,43.396,43.405,530,0
20091231,43.307,43.326,43.287,43.287,3348,0
20100104,43.415,43.423,43.415,43.423,833,0
20100105,43.503,43.521,43.485,43.521,848,0
20100106,43.584,43.584,43.503,43.521,36598,0
20100107,43.557,43.576,43.53,43.538,104038,0
20100111,43.538,43.611,43.538,43.576,4847,0
20100112,43.662,43.706,43.652,43.697,61239,0
20100113,43.603,43.67,43.603,43.652,61228,0
20100114,43.629,43.652,43.629,43.645,1025,0
20100115,43.715,43.821,43.715,43.805,4538,0
20100119,43.812,43.812,43.753,43.798,8664,0
20100120,43.821,43.846,43.789,43.831,8144,0
20100121,43.838,43.883,43.838,43.873,7041,0
20100122,43.856,43.856,43.821,43.831,5416,0
20100125,43.821,43.831,43.821,43.831,1146,0
20100126,43.883,43.902,43.846,43.846,1061,0
20100127,43.883,43.883,43.883,43.883,268,0
20100128,43.821,43.892,43.821,43.892,5278,0
20100129,43.831,43.831,43.831,43.831,231,0
20100201,43.846,43.846,43.772,43.831,10295,0
20100202,43.821,43.838,43.798,43.798,2331,0
20100203,43.812,43.812,43.798,43.805,3377,0
20100204,43.798,43.91,43.798,43.91,450,0
20100205,43.948,43.983,43.929,43.965,2363,0
20100208,43.929,43.929,43.929,43.929,573,0
20100209,43.929,43.929,43.91,43.91,2448,0
20100210,43.892,43.902,43.838,43.846,1904,0
20100211,43.78,43.789,43.734,43.753,1304,0
20100212,43.798,43.798,43.789,43.798,2030,0
20100216,43.743,43.831,43.743,43.812,6667,0
20100217,43.939,43.939,43.743,43.753,1786,0
20100218,43.762,43.762,43.67,43.688,5623,0
20100219,43.645,43.67,43.645,43.67,6649,0
20100222,43.68,43.743,43.68,43.743,3152,0
20100223,43.798,43.846,43.798,43.846,5965,0
20100224,43.831,43.831,43.789,43.798,1428,0
20100225,43.789,43.831,43.789,43.798,6286,0
20100226,43.652,43.724,43.652,43.697,4598,0
20100301,43.652,43.734,43.652,43.706,2060,0
20100302,43.697,43.706,43.697,43.706,677,0
20100303,43.831,43.883,43.831,43.883,2514,0
20100304,43.929,43.929,43.91,43.929,1189,0
20100305,43.902,43.902,43.846,43.892,4297,0
20100308,43.873,43.902,43.873,43.902,3224,0
20100309,43.939,43.948,43.92,43.939,4885,0
20100310,43.846,43.929,43.838,43.92,5797,0
20100311,43.873,43.902,43.846,43.892,33917,0
20100312,43.902,43.948,43.892,43.948,10180,0
20100315,43.929,43.948,43.929,43.948,2621,0
20100316,43.929,44.107,43.929,44.107,26527,0
20100317,43.983,44.009,43.948,44.009,7131,0
20100318,43.965,43.974,43.965,43.974,573,0
20100319,43.983,44.026,43.983,44.026,2284,0
20100322,44.064,44.081,44.055,44.081,24061,0
20100323,44.073,44.173,44.073,44.173,11538,0
20100324,44.126,44.126,43.939,43.939,3761,0
20100325,43.812,43.883,43.812,43.883,1680,0
20100326,43.92,43.965,43.78,43.805,37760,0
20100329,43.838,43.873,43.798,43.821,2763,0
20100330,43.838,43.856,43.724,43.838,4041,0
20100331,43.68,43.762,43.652,43.734,1835,0
20100401,43.715,43.734,43.652,43.734,1578,0
20100405,43.662,43.662,43.611,43.611,1819,0
20100406,43.576,43.611,43.53,43.611,2003,0
20100407,43.715,43.812,43.645,43.724,3418,0
20100408,43.789,43.812,43.789,43.812,204,0
20100409,43.652,43.652,43.652,43.652,520,0
20100412,43.846,43.929,43.762,43.864,3433,0
20100413,43.929,43.929,43.856,43.873,1852,0
20100414,43.91,43.91,43.734,43.734,3559,0
20100415,43.838,43.873,43.753,43.762,11691,0
20100416,43.948,43.948,43.812,43.856,1393,0
20100419,43.838,43.892,43.838,43.846,7907,0
20100420,43.831,43.846,43.697,43.846,8941,0
20100421,43.772,43.929,43.743,43.798,29462,0
20100422,43.831,43.831,43.706,43.706,24418,0
20100423,43.739,43.817,43.739,43.817,766,0
20100426,43.883,43.883,43.821,43.846,2676,0
20100427,43.983,43.983,43.939,43.965,1214,0
20100428,43.883,43.999,43.743,43.772,6445,0
20100429,43.983,43.983,43.831,43.873,5346,0
20100430,43.902,43.974,43.821,43.864,13781,0
20100503,43.91,43.929,43.789,43.883,12455,0
20100504,44.016,44.016,43.883,43.939,1793,0
20100505,43.965,44.081,43.53,43.974,30443,0
20100506,44.163,46.478,44.163,46.478,999,0
