Date,Open,High,Low,Close,Volume,OpenInt
20101116,49.127,49.127,48.397,48.397,8466,0
20101117,48.685,48.712,48.667,48.667,2222,0
20101118,49.135,49.453,49.135,49.314,5995,0
20101119,49.163,49.488,49.045,49.47,16944,0
20101122,49.234,49.37,48.99,49.314,16433,0
20101123,48.894,48.909,48.647,48.775,3664,0
20101124,49.253,49.556,49.224,49.556,4999,0
20101126,49.127,49.398,49.127,49.271,5328,0
20101129,48.74,49.224,48.639,49.224,21094,0
20101130,48.676,49.135,48.667,49.109,20429,0
20101201,49.623,49.974,49.623,49.92,17430,0
20101202,50.008,50.552,50.001,50.514,8439,0
20101203,50.424,50.533,50.424,50.533,4330,0
20101206,50.623,50.785,50.623,50.785,1997,0
20101207,51.199,51.218,50.739,50.739,33418,0
20101208,50.838,50.935,50.595,50.821,18318,0
20101209,51.108,51.108,50.899,51.029,22309,0
20101210,51.152,51.434,51.064,51.416,32087,0
20101213,51.487,51.63,51.379,51.379,34357,0
20101214,51.478,51.541,51.324,51.406,18205,0
20101215,51.351,51.505,51.133,51.261,18205,0
20101216,51.261,51.505,51.218,51.478,7614,0
20101217,51.496,51.665,51.397,51.578,99181,0
20101220,51.757,51.855,51.694,51.811,74184,0
20101221,51.938,51.938,51.938,51.938,667,0
20101222,52.164,52.279,52.126,52.215,30087,0
20101223,52.232,52.27,52.172,52.172,17466,0
20101227,51.704,51.946,51.704,51.946,2440,0
20101228,51.963,52.008,51.892,52.008,9550,0
20101229,52.136,52.164,52.053,52.073,150424,0
20101230,52.063,52.136,51.972,52.008,54805,0
20101231,51.867,52.031,51.867,51.941,12770,0
20110103,52.388,52.748,52.388,52.604,44829,0
20110104,52.703,52.703,52.164,52.315,11099,0
20110105,52.288,52.666,52.232,52.649,3665,0
20110106,52.703,52.703,52.549,52.576,1887,0
20110107,52.362,52.495,52.279,52.495,5821,0
20110110,52.514,52.514,52.505,52.505,445,0
20110111,52.703,52.703,52.703,52.703,667,0
20110112,52.9,52.9,52.9,52.9,667,0
20110114,53,53.378,53,53.378,18020,0
20110119,53.35,53.368,52.882,52.928,4778,0
20110120,52.596,52.596,52.596,52.596,445,0
20110121,53.088,53.117,52.983,52.983,2217,0
20110124,52.847,53.182,52.828,53.072,4857,0
20110125,53,53.163,52.938,53.008,40186,0
20110126,53.324,53.603,53.243,53.585,8439,0
20110127,53.63,53.666,53.54,53.666,3045,0
20110128,53.693,53.757,52.649,52.649,48624,0
20110131,52.879,53.182,52.86,52.963,12324,0
20110201,53.425,53.955,53.425,53.955,3998,0
20110202,53.856,53.928,53.856,53.883,445,0
20110203,53.847,54.045,53.847,54.045,554,0
