Date,Open,High,Low,Close,Volume,OpenInt
20050225,29.5,29.5,29.5,29.5,12600,0
20050228,30,30,29.25,29.53,400200,0
20050301,29.25,29.25,28.75,29,371661,0
20050302,29,29.25,29,29.25,38600,0
20050304,29.25,29.25,29.25,29.25,200,0
20050308,29.5,29.5,29.5,29.5,2500,0
20050309,29.2,29.2,28.9,29,4854,0
20050310,28.75,29.05,28.75,29,79454,0
20050311,28.75,28.75,28,28,7599,0
20050314,29,29,29,29,500,0
20050315,28.75,28.75,28.75,28.75,26000,0
20050316,29,29,28.75,28.75,5100,0
20050317,28.76,28.76,28.74,28.74,23854,0
20050321,27.9,28,27.8,28,25900,0
20050322,27.7,28,27,27.5,305000,0
20050324,27.75,27.75,27.75,27.75,10000,0
20050329,27.25,27.25,27,27,12000,0
20050330,27,27.27,27,27,59908,0
20050401,26.75,28,26.75,27.25,11108,0
20050406,27,27,27,27,14493,0
20050407,27.25,27.4,27.24,27.25,58500,0
20050411,26.75,26.75,26.75,26.75,17600,0
20050413,26.5,26.5,26.5,26.5,6000,0
20050414,25.5,25.55,25,25,119412,0
20050415,24.5,24.5,24,24,30150,0
20050418,23.9,24.25,23.9,24,119000,0
20050419,24,24.3,24,24.3,19500,0
20050420,24.25,24.25,24.25,24.25,15000,0
20050421,25.45,25.45,25.45,25.45,30000,0
20050429,24,26,24,24.25,22200,0
20050504,25,25.47,25,25.1,223000,0
20050505,25.5,27,25.45,27,350300,0
20050506,26.5,27.75,26.5,26.55,50759,0
20050509,27,28.25,27,27.8,952100,0
20050510,27.5,28,27.5,27.98,154784,0
20050511,27.8,27.8,27.8,27.8,5000,0
20050512,28.5,29,28.25,28.85,96700,0
20050517,28.85,28.85,28.85,28.85,171800,0
20050518,28,30,28,29,177600,0
20050519,30,30,29.5,29.5,11200,0
20050520,30,30,30,30,181000,0
20050523,30.75,33.7,30.75,33.17,818300,0
20050524,34,34.12,33.7,33.75,230000,0
20050525,33.02,33.02,33,33,29500,0
20050526,32,32.65,32,32.5,132000,0
20050527,32.5,32.75,32.5,32.75,5701,0
20050531,33,33,32.75,33,55300,0
20050601,33.5,33.5,33.25,33.25,20100,0
20050602,33.25,34,33.25,34,104000,0
20050603,34,34.25,33.97,34,137540,0
20050606,34,35,34,35,548300,0
20050607,35,36,35,35.5,95140,0
20050608,35.75,35.75,34,34.1,464200,0
20050609,33.5,34,33.5,34,8341,0
20050614,34,34.5,34,34,10655,0
20050617,34.55,34.55,34.5,34.5,13000,0
20050620,34.88,35,34.5,34.78,97000,0
20050621,34.75,34.75,34,34,6000,0
20050622,33.5,33.5,33.5,33.5,20000,0
20050623,34,34,33.5,33.5,44200,0
20050624,33.5,33.5,33.5,33.5,200,0
20050628,32.75,32.75,32.75,32.75,17000,0
20050630,32.5,32.5,32.25,32.5,110155,0
20050701,32.5,32.5,32.5,32.5,33000,0
20050705,32.5,32.5,32.5,32.5,10000,0
20050708,32.25,32.3,32.25,32.3,55500,0
20050711,32.25,32.25,32.25,32.25,13000,0
20050712,32.25,32.25,32,32.25,121100,0
20050713,32,32.25,31.85,31.85,134135,0
20050714,31.6,31.6,31.25,31.3,28083,0
20050718,31.3,31.3,30.5,31,44760,0
20050719,30.5,31,30.5,30.5,35538,0
20050720,30.5,30.6,30.5,30.6,3473,0
20050721,30.5,31,30.5,31,33325,0
20050722,31,31.38,31,31.25,91202,0
20050725,31.55,31.6,31.25,31.55,59612,0
20050726,31.6,33.05,31.6,32.1,186020,0
20050727,32.5,34,32.4,34,455783,0
20050728,33.95,35.05,33.95,34.75,322288,0
20050729,34,34.5,33,33,320240,0
20050801,34,34,33,34,84324,0
20050802,33,34.1,33,33.5,65507,0
20050803,33.5,34,33,33.5,96397,0
20050804,33,34,33,33.75,223604,0
20050805,33,35,33,33.5,262622,0
20050808,34,34.25,34,34,154099,0
20050809,33,34.3,33,34,157280,0
20050810,34.5,34.5,34,34.5,24768,0
20050811,34.5,36,34.3,35.75,259031,0
20050812,35.25,35.25,35,35,15094,0
20050815,34.5,35,34.5,35,33357,0
20050816,34.75,35,34.75,35,55299,0
20050817,34.85,34.92,34.35,34.5,258845,0
20050818,34.35,34.4,34.35,34.35,595880,0
20050819,34.65,34.65,34,34,67135,0
20050822,34,34,34,34,5922,0
20050823,34,34.2,34,34.1,14200,0
20050824,34,34,33.5,33.5,66501,0
20050825,33.85,33.85,33.85,33.85,850,0
20050826,33,33.5,32.5,33.45,34041,0
20050830,33.75,33.75,32.5,32.7,43050,0
20050831,33,33,32.75,32.75,36850,0
20050901,32.75,32.75,32.5,32.5,37397,0
20050906,33.85,33.85,33.85,33.85,1001,0
20050907,34,34.25,34,34.25,99973,0
20050908,33,34.25,33,33.95,11986,0
20050909,34.1,34.1,34.05,34.1,142405,0
20050914,34,34.05,33.8,34,268440,0
20050915,34,34,34,34,449,0
20050919,34,34,34,34,400,0
20050920,34,34.05,32,33.5,90498,0
20050921,33.3,33.3,33,33,35000,0
20050922,31.95,32.25,31,31.5,267987,0
20050923,31.25,31.5,30,30,157212,0
20050926,30.4,30.7,29,30.25,104477,0
20050927,29.8,32,29.8,31.18,165583,0
20050928,30,31.8,30,31.8,98283,0
20050929,32,32.05,31.4,31.5,202728,0
20050930,31.4,32.7,31.4,32,306180,0
20051003,31.9,33,31.9,32.7,430492,0
20051004,33.2,33.75,32.45,32.5,139720,0
20051005,31.9,32.9,31.9,32.25,208098,0
20051006,32.1,33,32.1,32.15,447057,0
20051007,32,33,32,33,97060,0
20051010,32.1,33,32.1,33,11944,0
20051011,33,33,32.5,32.5,20745,0
20051012,32.38,32.38,32,32,20757,0
20051013,31.6,32,31.5,31.53,48548,0
20051014,31.5,32.25,29.75,31.75,50264,0
20051017,30.95,31.5,30.95,31.5,1194,0
20051018,32,32,31,31.5,46700,0
20051019,32,32,31.4,31.45,167958,0
20051020,31,31.1,31,31.1,16165,0
20051021,29.75,31,29.75,31,1419,0
20051024,29.5,31.55,29.5,31,4084,0
20051025,31,31.5,31,31,3587,0
20051026,31,31.25,31,31.25,590,0
20051027,31.5,31.5,31.25,31.25,3898,0
20051028,31,31.35,31,31,28744,0
20051031,30,31,30,31,3878,0
20051101,31,31.15,30,30,93171,0
20051102,29.8,31,29.8,30,57500,0
20051103,30,30.95,30,30.5,108035,0
20051104,30,31,30,30,13450,0
20051107,30,31,30,31,5918,0
20051108,30,30.55,30,30.55,2654,0
20051109,30,31,30,31,130501,0
20051110,30,31,30,31,17781,0
20051111,30,31,30,31,3608,0
20051114,30.2,31.5,30.2,31,5405,0
20051115,30.25,31,30,31,6264,0
20051116,30.4,30.4,30.25,30.25,47800,0
20051117,31,31,30.5,31,462555,0
20051118,31.25,31.3,31,31.3,40794,0
20051121,31.1,32.5,31.1,32.5,417852,0
20051122,33.25,33.25,32,33,159630,0
20051123,33,33.25,32.5,32.75,156209,0
20051128,32.9,33,32.9,33,21265,0
20051129,32.9,33.2,32.9,33,65902,0
20051130,33,34.55,33,34.55,151637,0
20051201,34.5,36.05,34.5,36,45414,0
20051202,35.8,37.25,35.8,37,98995,0
20051205,36,37.79,36,37.5,329250,0
20051206,36.75,38.1,36.75,38.1,70243,0
20051207,38,38,38,38,12403,0
20051208,38.5,42,38.5,41.75,537213,0
20051209,39,42,39,41.5,181376,0
20051212,42,42,40,41.5,308275,0
20051213,40,42.5,40,41,31223,0
20051214,42.5,42.5,41.25,41.75,7799,0
20051215,41.75,41.75,41.5,41.75,3726,0
20051216,42,42.75,42,42.5,264748,0
20051219,42,42.5,42,42.5,63394,0
20051220,42.5,43,42.5,43,44994,0
20051221,42.75,44,42.5,43.1,23505,0
20051222,44,44,43,43.15,117535,0
20051223,43.5,44,43.5,44,5454,0
20051227,43.75,44.5,43.75,43.85,965,0
20051228,45,45,44.25,44.8,26252,0
20051229,45,45,44.25,45,81076,0
20051230,43,45,43,45,20701,0
20060103,44.5,45,44,44.5,202062,0
20060104,44,45,43.5,45,12739,0
20060105,45,45,44.5,44.5,87830,0
20060106,44.5,44.7,44,44.25,87672,0
20060109,44,45,42,44,12446,0
20060110,43.45,44,43.45,43.75,830325,0
20060111,45,45,43.75,43.75,6931,0
20060112,45,45,44,44,42311,0
20060113,45,45.75,44,45.75,10103,0
20060117,45,45,44.5,45,20557,0
20060118,44,45,44,44.7,14421,0
20060119,44.83,44.9,44.7,44.9,37324,0
20060120,44.7,44.85,44.25,44.25,24932,0
20060123,44.25,44.75,43.5,44.2,51356,0
20060124,44.5,44.5,43.5,44.5,28593,0
20060125,44,45,44,44.5,112814,0
20060126,44,45.5,44,44.5,82325,0
20060127,44.75,47,44.75,45.75,2625,0
20060130,46,47.5,46,47,27462,0
20060131,46.9,48.25,46.9,48,9521,0
20060201,47.75,49,47.75,48.75,30644,0
20060202,48,48.75,48,48.25,67469,0
20060203,48.25,49,47.5,47.75,36973,0
20060206,47.75,48.25,47.75,47.75,59601,0
20060207,47.75,47.75,47.75,47.75,6197,0
20060208,48,48,47.73,47.75,112151,0
20060209,47.5,48.25,47.5,48.25,356,0
20060213,47,48.25,47,48.25,16120,0
20060214,47.5,50,46.75,48.25,32428,0
20060215,47,47.75,45.75,47.75,239639,0
20060216,46,47.75,46,47.75,6397,0
20060217,47,47.75,47,47.75,1873,0
20060221,48,49,47.5,47.63,46262,0
20060223,46,49,46,47.5,35252,0
20060224,46,49,46,47.5,14109,0
20060227,47.5,47.5,47.48,47.48,13146,0
20060228,47.5,48,47.5,47.75,57142,0
20060301,48.5,48.75,48,48,181033,0
20060302,48,48,40,48,24398,0
20060303,47.25,48,47,47.5,1717,0
20060308,45,45,42.95,44.5,451841,0
20060309,44.25,44.5,43.5,44.5,311147,0
20060310,44,46,44,46,407439,0
20060313,46,47,45.4,47,196616,0
20060314,47,47,47,47,12969,0
20060315,46.75,48,46.75,48,24544,0
20060316,47,48,47,48,25664,0
20060317,48,48,35,48,2899,0
20060320,48,48,45,48,50880,0
20060321,47,47.5,46,47.5,4068,0
20060322,47.25,47.25,46,47,46718,0
20060323,47.25,47.75,47.25,47.25,27791,0
20060324,47,47.5,47,47.5,25272,0
20060327,47.5,47.5,35,46.5,57930,0
20060328,47.38,47.38,46.5,46.5,56964,0
20060329,45.5,47.25,45.5,46.5,22618,0
20060330,47,48,47,47.55,9716,0
20060331,47.25,47.6,47,47.1,15589,0
20060403,47.1,47.1,44,44.5,505150,0
20060404,45.5,46.5,42,45.01,1137717,0
20060405,46,46,44.75,46,15232,0
20060406,44,46,44,46,207284,0
20060407,45,46,45,46,157490,0
20060411,45,45.5,45,45.5,649,0
20060412,44,46,44,46,13298,0
20060413,46,46,46,46,1497,0
20060417,46,46,44,46,16464,0
20060418,44.5,46,44.5,46,2672,0
20060419,44,46,44,46,29786,0
20060420,45.75,46,45,46,171738,0
20060421,46,46,45.5,46,1942,0
20060424,46,46,45,46,34224,0
20060425,45,45.9,45,45.9,23675,0
20060426,45.5,47,45.5,47,89873,0
20060427,46,48,46,46,12226,0
20060428,46,48,45,48,78536,0
20060501,46,47.5,46,47.5,18300,0
20060502,47.5,50,47.5,50,486507,0
20060503,47.5,49.75,47.5,49.5,40069,0
20060504,48.5,49.75,48.5,49.75,50672,0
20060505,49.75,51,49.5,50,100908,0
20060508,49.51,51.1,49.51,50,106920,0
20060509,50.5,50.75,49.95,50.75,52650,0
20060510,50.25,51.15,50.25,50.75,27613,0
20060511,50.75,50.75,50.5,50.75,29966,0
20060512,50.75,50.75,50.75,50.75,24000,0
20060515,50,50,49.25,50,100317,0
20060516,51.05,51.1,49.25,51,27532,0
20060517,50,51,48.5,50,7964,0
20060518,35,51,35,50,13473,0
20060519,49,49,49,49,7489,0
20060522,50.5,50.5,49,49,3571,0
20060523,46.5,49,46.5,49,5960,0
20060524,49.47,49.9,47.5,48.5,353472,0
20060525,49,49,48,48.5,68657,0
20060526,48,49,48,49,671,0
20060530,50,51.2,50,51,8767,0
20060531,51,52,49.5,52,19900,0
20060601,51.02,51.02,50.75,50.99,9380,0
20060602,51.22,51.24,50.96,51.04,70930,0
20060605,51,51.03,50.88,50.89,56804,0
20060606,51,51,50.89,51,60037,0
20060607,50.88,51.01,50.48,50.98,23424,0
20060608,50.75,51,48.76,49.47,152029,0
20060609,49.7,49.9,48.96,49.15,13888,0
20060612,49.48,49.75,47.75,48.42,92517,0
20060613,48.29,48.29,47.45,47.96,7124,0
20060614,48.01,49.37,48,49.37,20182,0
20060615,49.33,50.12,49.22,50,109286,0
20060616,49.99,50.51,49.79,49.79,223560,0
20060619,49.75,50.5,49.47,50.03,101226,0
20060620,50.03,50.03,49.85,50,215330,0
20060621,50.03,50.03,49.95,50,46569,0
20060622,50,50,49.79,49.9,91700,0
20060623,50,50,49.98,50,57022,0
20060626,50.23,50.23,49.85,50,111003,0
20060627,50,50,49.78,50,78564,0
20060628,50,50,49.94,50,304449,0
20060629,50,50.54,49.96,50.34,259449,0
20060630,50.61,50.61,49,49.04,2031088,0
20060703,48.98,50,48.98,49.95,83847,0
20060705,49.24,50,48.32,48.96,115532,0
20060706,49.61,50,48.59,49.05,80511,0
20060707,49.27,49.27,46.54,47.56,158052,0
20060710,48,49.01,46.9,47.6,56412,0
20060711,47.73,49.02,46.52,47.09,159309,0
20060712,47.2,47.75,45.06,45.91,106985,0
20060713,45.37,45.37,41.7,42.38,511409,0
20060714,42.31,42.31,40.69,41.51,91839,0
20060717,41.69,41.69,40.04,41.05,138160,0
20060718,41.76,41.98,40.88,41.1,204477,0
20060719,41.29,45.05,41.28,44.49,81487,0
20060720,44.74,44.74,43.06,43.35,77917,0
20060721,43.04,44.02,39.54,41.23,116577,0
20060724,41.68,44.01,41.68,42.74,66247,0
20060725,42.95,43.16,41.16,42.57,76274,0
20060726,42.5,42.7,41.41,41.63,57938,0
20060727,42,42.15,40.79,41.04,44980,0
20060728,40.67,42.25,40.46,41.13,129689,0
20060731,40.97,42.64,40.97,42.06,109653,0
20060801,41.92,42.05,40,40.94,74368,0
20060802,40.99,41.5,40.25,41,41856,0
20060803,40.75,41.14,40.42,40.54,65232,0
20060804,40.79,41.39,39.2,39.82,117984,0
20060807,39.74,39.98,39.25,39.45,57908,0
20060808,39.75,39.75,38.48,38.66,123872,0
