Date,Open,High,Low,Close,Volume,OpenInt
20170516,25.5,25.55,25.4,25.55,22000,0
20170517,25.69,25.69,25.65,25.65,1130,0
20170519,25.85,25.85,25.85,25.85,200,0
20170522,25.95,25.95,25.95,25.95,700,0
20170523,25.7,25.9,25.69,25.9,300,0
20170524,25.9,25.9,25.5,25.5,3000,0
20170525,25.65,26.15,25.65,25.67,2900,0
20170531,25.75,25.75,25.75,25.75,400,0
20170601,25.8,25.8,25.8,25.8,100,0
20170602,25.74,26.05,25.74,26,15502,0
20170608,25.77,25.77,25.77,25.77,896,0
20170614,25.78,25.78,25.78,25.78,185,0
20170616,25.9087,25.9686,25.83,25.9686,1200,0
20170619,25.8,25.81,25.8,25.8,2300,0
20170626,25.85,25.85,25.85,25.85,100,0
20170629,25.83,25.86,25.5,25.51,25673,0
20170630,25.55,25.85,25.46,25.75,33169,0
20170706,26,26,26,26,271,0
20170707,26.38,26.88,25.98,26.59,3137,0
20170710,26,26.0049,26,26,3850,0
20170713,25.77,25.77,25.76,25.76,500,0
20170718,25.8087,25.8087,25.77,25.77,746,0
20170720,25.79,25.8,25.78,25.78,1500,0
20170724,26,26.13,26,26.13,700,0
20170725,25.79,25.79,25.755,25.7592,900,0
20170726,25.8865,25.8865,25.8865,25.8865,1000,0
20170728,25.91,25.91,25.91,25.91,100,0
20170731,26,26,25.99,26,2350,0
20170801,26,26.0187,26,26,1600,0
