Date,Open,High,Low,Close,Volume,OpenInt
20050225,5.87,6,5.855,5.975,634992,0
20050228,5.94,5.96,5.79,5.84,638780,0
20050301,5.775,5.825,5.475,5.68,1735408,0
20050302,5.64,5.66,5.5,5.53,1076668,0
20050303,5.555,5.625,5.48,5.48,656728,0
20050304,5.475,5.58,5.125,5.275,1882112,0
20050307,5.26,5.545,5.235,5.255,2206956,0
20050308,5.255,5.28,5.105,5.135,1500924,0
20050309,5.125,5.145,4.945,5.095,1400488,0
20050310,5.14,5.205,5.02,5.09,971812,0
20050311,5.055,5.125,4.96,5.08,2634188,0
20050314,5.23,5.565,5.2,5.475,3110768,0
20050315,5.515,5.65,5.32,5.395,1490680,0
20050316,5.345,5.5,5.315,5.34,1046084,0
20050317,5.32,5.395,5.3,5.31,600480,0
20050318,5.29,5.355,5.235,5.285,1361004,0
20050321,5.265,5.4,5.265,5.36,443644,0
20050322,5.36,5.575,5.35,5.375,612504,0
20050323,5.35,5.7,5.325,5.49,1428128,0
20050324,5.515,5.64,5.465,5.525,874504,0
20050328,5.525,5.565,5.385,5.41,574828,0
20050329,5.38,5.395,5.2,5.23,1294108,0
20050330,5.25,5.395,5.205,5.385,1243604,0
20050331,5.38,5.415,5.305,5.415,1617000,0
20050401,5.465,5.57,5.17,5.235,1071188,0
20050404,5.21,5.215,5,5.02,2348504,0
20050405,5.02,5.09,4.99,5.06,1149708,0
20050406,5.08,5.27,5.06,5.125,1906596,0
20050407,5.135,5.18,5.05,5.15,2023956,0
20050408,5.15,5.18,5.06,5.13,705068,0
20050411,5.155,5.235,5.03,5.135,778672,0
20050412,5.135,5.325,5.04,5.3,1315256,0
20050413,5.305,5.33,5.2,5.27,846752,0
20050414,5.26,5.375,5.15,5.165,1108264,0
20050415,5.185,5.2,5.02,5.115,1163760,0
20050418,5.09,5.19,5.015,5.105,1191712,0
20050419,5.11,5.27,5.1,5.25,1094736,0
20050420,5.23,5.275,5.13,5.17,1229440,0
20050421,5.19,5.4,5.175,5.33,2158692,0
20050422,5.34,5.38,5.25,5.355,1293164,0
20050425,5.425,5.425,5.265,5.32,991916,0
20050426,5.35,5.435,5.265,5.315,511904,0
20050427,5.285,5.33,5.24,5.26,375568,0
20050428,5.235,5.295,5.17,5.175,1425964,0
20050429,5.18,5.2,5.055,5.185,700180,0
20050502,5.16,5.31,5.07,5.16,894180,0
20050503,5.16,5.275,5.14,5.215,813140,0
20050504,5.195,5.32,5.19,5.285,918056,0
20050505,5.275,5.435,5.25,5.42,765984,0
20050506,5.44,5.55,5.415,5.465,726036,0
20050509,5.5,5.77,5.465,5.77,1369636,0
20050510,5.77,5.815,5.61,5.695,708740,0
20050511,5.73,5.735,5.55,5.7,559816,0
20050512,5.705,5.835,5.53,5.605,457540,0
20050513,5.63,5.845,5.63,5.81,1730400,0
20050516,5.77,6,5.77,5.945,1241368,0
20050517,5.9,5.995,5.77,5.835,722264,0
20050518,5.86,5.975,5.85,5.875,2398768,0
20050519,5.88,5.985,5.855,5.95,1456312,0
20050520,5.9,5.9,5.74,5.765,1009588,0
20050523,5.765,5.83,5.655,5.675,2443264,0
20050524,5.69,5.765,5.62,5.7,1657148,0
20050525,5.695,5.7,5.56,5.63,889188,0
20050526,5.65,5.76,5.615,5.675,778860,0
20050527,5.7,5.81,5.63,5.75,576568,0
20050531,5.77,5.77,5.625,5.69,1019312,0
20050601,5.67,5.87,5.63,5.69,1067636,0
20050602,5.685,5.695,5.605,5.65,606556,0
20050603,5.675,5.825,5.565,5.795,1595700,0
20050606,5.81,5.81,5.5,5.595,2025128,0
20050607,5.62,5.62,5.47,5.47,1447172,0
20050608,5.465,5.505,5.43,5.435,632628,0
20050609,5.425,5.595,5.36,5.495,1922584,0
20050610,5.51,5.51,5.38,5.44,532656,0
20050613,5.435,5.545,5.395,5.48,589492,0
20050614,5.49,5.545,5.455,5.5,693244,0
20050615,5.52,5.535,5.38,5.44,793116,0
20050616,5.465,5.68,5.405,5.645,1653472,0
20050617,5.66,5.795,5.64,5.685,2156632,0
20050620,5.675,5.88,5.675,5.825,1178532,0
20050621,5.82,5.905,5.805,5.865,495444,0
20050622,5.865,5.95,5.795,5.93,1006276,0
20050623,5.91,6.025,5.775,5.785,1506824,0
20050624,5.785,5.935,5.74,5.845,431228,0
20050627,5.835,6,5.78,5.805,694472,0
20050628,5.82,5.995,5.795,5.925,1555904,0
20050629,5.93,5.97,5.755,5.78,1106532,0
20050630,5.79,5.82,5.65,5.76,2269872,0
20050701,5.775,5.91,5.76,5.9,1380900,0
20050705,5.92,5.98,5.85,5.88,1089668,0
20050706,5.88,6.045,5.88,5.915,1008428,0
20050707,5.795,6.05,5.78,5.99,659844,0
20050708,6,6.31,5.985,6.265,996540,0
20050711,6.265,6.365,6.125,6.23,1715212,0
20050712,6.225,6.25,6.06,6.22,539420,0
20050713,6.25,6.25,6.065,6.09,374248,0
20050714,6.06,6.26,6.055,6.205,734480,0
20050715,6.16,6.625,6.16,6.435,2947424,0
20050718,6.435,6.48,6.27,6.34,840496,0
20050719,6.345,6.385,6.235,6.305,962248,0
20050720,6.275,6.625,6.275,6.605,1966528,0
20050721,6.6,6.73,6.475,6.565,1742056,0
20050722,6.555,6.645,6.36,6.575,1358260,0
20050725,6.59,6.59,6.465,6.475,416640,0
20050726,6.485,6.575,6.465,6.555,460660,0
20050727,6.56,6.645,6.44,6.465,831052,0
20050728,6.435,6.63,6.415,6.615,421940,0
20050729,6.525,6.53,6.38,6.51,1188844,0
20050801,6.525,6.62,6.46,6.56,819664,0
20050802,6.6,6.925,6.545,6.89,2218300,0
20050803,6.88,6.895,6.75,6.81,925752,0
20050804,6.775,6.8,6.71,6.74,1805724,0
20050805,6.725,6.765,6.545,6.565,1580420,0
20050808,6.57,6.615,6.31,6.435,1547352,0
20050809,6.425,6.575,6.4,6.565,786760,0
20050810,6.62,6.93,6.56,6.875,2447000,0
20050811,6.86,6.91,6.75,6.83,1774296,0
20050812,6.69,6.82,6.675,6.75,3875044,0
20050815,6.735,6.855,6.66,6.845,2274540,0
20050816,6.82,6.895,6.745,6.775,1646436,0
20050817,6.81,6.85,6.65,6.705,1204696,0
20050818,6.675,6.725,6.485,6.615,1004896,0
20050819,6.575,6.685,6.505,6.605,851060,0
20050822,6.62,6.675,6.59,6.655,560924,0
20050823,6.655,6.77,6.635,6.69,629288,0
20050824,6.755,7.07,6.7,6.98,2539980,0
20050825,6.995,7.145,6.95,7.045,1022500,0
20050826,7.05,7.06,6.865,6.94,827196,0
20050829,6.895,7.11,6.895,7.07,1170820,0
20050830,7.075,7.245,7.075,7.165,1347832,0
20050831,7.175,7.25,7.075,7.15,2833672,0
20050901,7.15,7.35,7.135,7.265,1043244,0
20050902,7.27,7.3,7.075,7.145,506664,0
20050906,7.16,7.31,7.145,7.305,926052,0
20050907,7.29,7.43,7.22,7.42,1165336,0
20050908,7.39,7.495,7.31,7.385,589784,0
20050909,7.385,7.5,7.385,7.495,611852,0
20050912,7.44,7.5,7.41,7.455,714448,0
20050913,7.41,7.45,7.26,7.43,715908,0
20050914,7.405,7.425,7.21,7.34,1200884,0
20050915,7.345,7.38,7.125,7.215,1610676,0
20050916,7.26,7.27,7.09,7.1,1173444,0
20050919,7.065,7.115,7.055,7.09,603068,0
20050920,7.075,7.325,7.005,7.095,885448,0
20050921,7.06,7.095,6.855,6.895,1200400,0
20050922,6.88,6.955,6.795,6.925,1512388,0
20050923,6.88,7.065,6.84,6.9,720948,0
20050926,6.95,7.02,6.81,6.91,816996,0
20050927,6.875,6.88,6.74,6.755,795856,0
20050928,6.735,6.77,6.665,6.745,819788,0
20050929,6.745,6.95,6.725,6.85,934864,0
20050930,6.84,6.945,6.81,6.91,2771064,0
20051003,6.94,7.07,6.73,7.01,2015156,0
20051004,7.06,7.27,6.915,7.02,3143992,0
20051005,6.96,7,6.705,6.74,3335180,0
20051006,6.695,6.805,6.5,6.645,2665184,0
20051007,6.77,6.8,6.56,6.61,1503616,0
20051010,6.61,6.735,6.49,6.615,1242696,0
20051011,6.625,6.625,6.2,6.215,3091384,0
20051012,6.195,6.235,6.11,6.175,2475628,0
20051013,6.205,6.3,6.1,6.25,1897064,0
20051014,6.325,6.535,6.265,6.515,4736436,0
20051017,6.54,6.54,6.33,6.495,1515168,0
20051018,6.49,6.55,6.4,6.525,3287888,0
20051019,6.49,6.695,6.425,6.68,2393056,0
20051020,6.665,6.665,6.43,6.485,2111436,0
20051021,6.475,6.6,6.465,6.59,1565044,0
20051024,6.645,7.065,6.58,6.725,3173424,0
20051025,6.705,6.925,6.685,6.81,1516000,0
20051026,6.8,6.905,6.685,6.74,894348,0
20051027,6.715,6.785,6.605,6.7,2105908,0
20051028,6.685,6.925,6.61,6.73,1424964,0
20051031,6.74,7.05,6.715,6.85,2663408,0
20051101,6.8,6.905,6.7,6.755,2672936,0
20051102,6.745,6.95,6.685,6.925,3633072,0
20051103,6.935,7.05,6.845,6.865,2700680,0
20051104,6.875,7.11,6.875,6.94,1793076,0
20051107,6.97,7.11,6.955,7.04,2310180,0
20051108,7.04,7.11,6.965,7.01,2208876,0
20051109,7.025,7.03,6.86,6.895,1514796,0
20051110,6.895,6.975,6.805,6.895,1376656,0
20051111,6.88,6.905,6.785,6.825,1125188,0
20051114,6.845,6.995,6.79,6.95,3288852,0
20051115,6.95,7.225,6.935,7.17,3558376,0
20051116,7.21,7.225,7.025,7.1,1493968,0
20051117,7.12,7.155,7.005,7.12,1182212,0
20051118,7.18,7.23,7.05,7.065,2666996,0
20051121,7.075,7.48,7.01,7.445,6343512,0
20051122,7.45,7.455,7.375,7.39,2220068,0
20051123,5.395,5.81,5.275,5.385,60097248,0
20051125,5.43,5.5,5.195,5.265,5838536,0
20051128,5.255,5.35,4.745,4.955,15945108,0
20051129,4.95,4.96,4.595,4.655,11377728,0
20051130,4.695,4.93,4.64,4.88,6920348,0
20051201,4.89,4.94,4.81,4.91,2706224,0
20051202,4.9,5.06,4.85,5.005,4097032,0
20051205,4.995,5.135,4.98,5.09,3689776,0
20051206,5.15,5.165,4.975,5.015,5001404,0
20051207,4.98,5.03,4.78,4.905,2920028,0
20051208,4.9,4.92,4.785,4.825,1750376,0
20051209,4.805,4.94,4.785,4.935,1362864,0
20051212,5.025,5.035,4.85,4.95,3217744,0
20051213,4.94,5,4.89,4.925,1851988,0
20051214,4.93,4.975,4.855,4.9,2318464,0
20051215,4.95,5.075,4.925,4.975,3471600,0
20051216,4.985,5.065,4.975,5.035,3126036,0
20051219,5.02,5.075,4.8,4.86,1993768,0
20051220,4.855,5.58,4.805,4.87,36507720,0
20051221,4.85,5.12,4.85,5.08,2809584,0
20051222,5.075,5.125,5,5.1,978060,0
20051223,5.125,5.175,5.05,5.15,976784,0
20051227,5.18,5.23,4.99,5.05,1372204,0
20051228,5.085,5.085,4.98,5,2241276,0
20051229,4.985,5.145,4.985,5.06,1801616,0
20051230,5.02,5.105,4.955,5.06,1540156,0
20060103,5.105,5.105,4.975,5.07,1576296,0
20060104,5.07,5.15,5.035,5.105,2853360,0
20060105,5.12,5.145,5.02,5.06,2049792,0
20060106,5.12,5.12,5.045,5.105,2402264,0
20060109,5.125,5.185,5.05,5.18,1699152,0
20060110,5.145,5.2,5.095,5.16,2105420,0
20060111,5.18,5.18,5.06,5.09,2732292,0
20060112,5.06,5.12,4.99,5.015,2258076,0
20060113,5.005,5.27,5.005,5.235,2873376,0
20060117,5.24,5.355,5.19,5.33,2215368,0
20060118,5.34,5.53,5.315,5.49,4664848,0
20060119,5.51,5.515,5.355,5.475,3340168,0
20060120,5.485,5.505,5.255,5.33,3148448,0
20060123,5.375,5.52,5.35,5.495,3677368,0
20060124,5.525,5.62,5.425,5.505,3931848,0
20060125,5.54,5.54,5.395,5.485,2624164,0
20060126,7.05,7.06,6.53,6.6,33716672,0
20060127,6.605,7.115,6.505,7.005,7278840,0
20060130,6.98,7.485,6.85,7.3,6719228,0
20060131,7.3,7.385,7.125,7.205,5591168,0
20060201,7.245,7.63,7.16,7.63,5795456,0
20060202,7.63,7.74,7.43,7.645,6844332,0
20060203,7.645,7.73,7.55,7.66,3213924,0
20060206,7.67,7.735,7.465,7.525,2941340,0
20060207,7.525,7.93,7.51,7.825,4424852,0
20060208,7.875,8.61,7.84,8.45,10318776,0
20060209,8.54,8.59,8.275,8.5,3312160,0
20060210,8.51,8.6,8.205,8.545,2712876,0
20060213,8.53,8.58,8.365,8.425,3340460,0
20060214,8.425,8.685,8.28,8.525,2911156,0
20060215,8.555,8.79,8.445,8.76,2886340,0
20060216,8.8,8.905,8.79,8.865,3126724,0
20060217,8.865,9.035,8.815,8.98,2310792,0
20060221,8.915,9.16,8.91,9.105,2363688,0
20060222,9.1,9.23,9.035,9.23,1943428,0
20060223,9.225,9.305,9.155,9.285,2344200,0
20060224,9.265,9.565,9.25,9.555,2600988,0
20060227,9.58,9.66,9.4,9.59,3553520,0
20060228,9.57,9.63,9.15,9.395,3345432,0
20060301,9.39,9.435,9.18,9.385,2240592,0
20060302,9.335,9.335,9.03,9.15,2245136,0
20060303,9.125,9.135,9.005,9.06,1704072,0
20060306,9.03,9.25,8.81,9,1618172,0
20060307,9.1,9.25,9.035,9.15,1588608,0
20060308,9.07,9.33,8.975,9.315,1121696,0
20060309,9.28,9.42,9.225,9.31,1614040,0
20060310,9.285,9.955,9.08,9.6,3299060,0
20060313,9.6,9.85,9,9.445,4748488,0
20060314,9.385,9.455,9.245,9.33,1410444,0
20060315,9.355,9.465,9.255,9.335,985664,0
