Date,Open,High,Low,Close,Volume,OpenInt
20050225,9.4717,9.4717,9.2251,9.3164,13949,0
20050228,9.2376,9.91,9.2376,9.655,126871,0
20050301,9.947,10.019,9.655,9.77,169800,0
20050302,9.776,9.91,9.726,9.862,49009,0
20050303,10.008,10.008,9.63,9.63,52745,0
20050304,9.927,9.927,9.624,9.732,15684,0
20050307,9.957,9.982,9.799,9.799,32516,0
20050308,9.849,10.082,9.714,9.818,33155,0
20050309,9.661,9.799,9.661,9.782,21270,0
20050310,9.63,9.751,9.2988,9.536,54329,0
20050311,9.624,9.849,9.3796,9.703,24745,0
20050314,9.592,10.082,9.592,9.969,42133,0
20050315,10.008,10.082,9.927,10.052,33416,0
20050316,10.082,10.082,9.592,9.703,30414,0
20050317,9.703,10.032,9.3164,9.799,43894,0
20050318,9.927,9.982,9.744,9.927,23474,0
20050321,10.052,10.052,9.3975,9.4406,17602,0
20050322,9.3164,9.617,9.3164,9.617,4910,0
20050323,9.4658,9.4658,8.8654,9.3728,48459,0
20050324,9.1762,9.4658,9.1762,9.4658,11816,0
20050328,9.4658,9.4658,9.2562,9.2865,5171,0
20050329,9.2865,9.3106,8.951,9.1762,60685,0
20050330,9.0913,9.3846,9.0913,9.1705,19351,0
20050331,9.0913,9.867,9.0913,9.4717,57312,0
20050401,9.4406,10.057,9.4406,9.916,54930,0
20050404,9.776,9.776,9.561,9.776,24671,0
20050405,9.776,9.776,9.708,9.776,15066,0
20050406,9.585,9.776,9.585,9.69,30768,0
20050407,9.927,9.927,9.3551,9.3975,21913,0
20050408,9.776,9.776,9.3492,9.3846,17413,0
20050411,9.3164,9.744,9.3164,9.542,12539,0
20050412,9.555,9.624,9.555,9.624,2470,0
20050413,9.776,9.776,9.3796,9.3846,13216,0
20050414,9.2251,9.3728,8.0772,8.5843,131354,0
20050415,8.5539,8.8348,8.3215,8.7187,25212,0
20050418,8.4255,8.6515,8.2541,8.6515,33765,0
20050419,8.3279,8.7066,8.2483,8.5659,32197,0
20050420,8.8348,8.8348,8.5169,8.7066,47138,0
20050421,8.9202,8.9692,8.8348,8.9327,16588,0
20050422,8.6332,9.2988,8.6332,8.9327,26292,0
20050425,9.1576,9.1576,8.4498,8.6761,11659,0
20050426,8.7739,8.7739,8.6086,8.6086,4655,0
20050427,8.401,9.1576,8.401,8.4436,27234,0
20050428,8.4436,8.7858,8.401,8.401,23158,0
20050429,8.5539,8.5539,8.2177,8.2605,44554,0
20050502,8.3887,8.4498,8.2541,8.3704,15626,0
20050503,8.5233,9.1518,8.3826,9.0726,16901,0
20050504,8.7858,9.2013,8.7125,9.0726,28466,0
20050505,8.8592,9.1576,8.6148,9.0913,27039,0
20050506,8.7982,9.1393,8.6269,8.8958,29939,0
20050509,8.8958,8.8958,8.6576,8.6576,20022,0
20050510,8.5539,9.1644,8.5539,9.1518,29842,0
20050511,9.0668,9.1518,8.8592,8.9876,27001,0
20050512,9.0491,9.3106,8.9448,9.1829,27460,0
20050513,9.542,9.542,9.0303,9.1644,40019,0
20050516,9.0548,9.0726,8.7798,8.9018,35666,0
20050517,8.9937,8.9937,8.8348,8.9327,15542,0
20050518,9.0177,9.0423,8.8713,8.9999,29599,0
20050519,9.1644,9.1644,8.9202,9.1092,22878,0
20050520,8.9814,9.1273,8.9202,8.9202,13096,0
20050523,9.0668,9.1644,8.8592,9.1644,14530,0
20050524,9.1576,9.2622,9.134,9.2436,17828,0
20050525,9.2376,9.4406,9.1644,9.3164,41354,0
20050526,9.3164,9.744,9.3164,9.661,37445,0
20050527,9.744,9.995,9.703,9.776,32889,0
20050531,10.019,10.019,9.738,10.019,28265,0
20050601,9.788,10.019,9.542,9.732,19432,0
20050602,9.568,10.013,9.3796,9.776,40711,0
20050603,9.536,10.019,9.3164,10.008,36529,0
20050606,10.039,10.198,10.013,10.019,95629,0
