Date,Open,High,Low,Close,Volume,OpenInt
20050225,7.55,8.3,7.55,8.1,1114010,0
20050228,8,8.09,7.81,8.05,241449,0
20050301,8.07,8.35,8.06,8.25,331998,0
20050302,8.29,8.45,8.18,8.2,197507,0
20050303,8.09,8.2,8.09,8.2,64108,0
20050304,8.19,8.19,8.05,8.12,116253,0
20050307,8.05,8.11,8.05,8.11,70249,0
20050308,8.1,8.1,8,8.01,81535,0
20050309,8.01,8.02,7.78,8,198547,0
20050310,7.99,8,7.93,7.96,1275867,0
20050311,7.96,7.96,7.91,7.94,188105,0
20050314,7.93,7.99,7.92,7.92,109617,0
20050315,7.92,7.97,7.92,7.97,42500,0
20050316,7.97,7.97,7.91,7.92,300139,0
20050317,7.92,7.96,7.92,7.95,189173,0
20050318,7.93,7.95,7.93,7.94,74500,0
20050321,7.95,7.96,7.95,7.96,205795,0
20050322,7.95,7.96,7.95,7.95,126557,0
20050323,7.95,7.96,7.77,7.81,248248,0
20050324,7.78,7.79,7.58,7.59,160608,0
20050328,7.56,7.6,7.44,7.45,320014,0
20050329,7.45,7.46,7.25,7.35,332890,0
20050330,7.32,7.33,7.1,7.23,613979,0
20050331,7.24,7.29,7.2,7.24,299098,0
20050401,7.15,7.25,7.1,7.17,400488,0
20050404,7.14,7.2,7.14,7.2,98815,0
20050405,7.23,7.23,7.19,7.21,108646,0
20050406,7.58,7.88,7.55,7.65,426905,0
20050407,7.67,7.93,7.66,7.7,122053,0
20050408,7.72,7.72,7.66,7.66,51710,0
20050411,7.64,7.75,7.62,7.67,95742,0
20050412,7.7,7.7,7.46,7.65,82444,0
20050413,7.64,7.75,7.55,7.6,135802,0
20050414,7.55,7.63,7.55,7.6,52042,0
20050415,7.59,7.59,7.45,7.59,109467,0
20050418,7.57,7.57,7.51,7.55,89000,0
20050419,7.55,7.57,7.51,7.53,167032,0
20050420,7.53,7.54,7.45,7.47,112743,0
20050421,7.3,7.7,7.3,7.7,76237,0
20050422,7.56,7.89,7.55,7.83,338396,0
20050425,7.75,7.83,7.75,7.82,89364,0
20050426,7.83,7.83,7.75,7.76,42620,0
20050427,7.76,7.76,7.51,7.71,76251,0
20050428,7.65,7.69,7.45,7.45,112877,0
20050429,7.4,7.41,7.08,7.37,583384,0
20050502,7.35,7.65,7.35,7.61,141536,0
20050503,7.65,7.72,7.61,7.72,387632,0
20050504,7.75,7.75,7.62,7.75,315458,0
20050505,8,8.05,7.9,8.05,653312,0
20050506,8.15,8.42,8.1,8.29,597251,0
20050509,8.49,8.55,7.95,8.09,175525,0
20050510,8.01,8.3,7.9,7.9,43517,0
20050511,8,8.19,7.55,8.09,111230,0
20050512,8.1,8.1,7.85,8.06,136132,0
20050513,7.95,8.09,7.39,7.69,303133,0
20050516,7.63,7.72,7.26,7.4,330690,0
20050517,7.34,7.48,7.15,7.29,300559,0
20050518,7.24,7.71,7.18,7.59,240526,0
20050519,7.83,7.94,7.41,7.52,182237,0
20050520,7.29,7.6,7.29,7.54,717982,0
20050523,7.43,7.6,7.3,7.38,226584,0
20050524,7.32,7.64,7.25,7.55,156581,0
20050525,7.55,7.94,7.5,7.65,215765,0
20050526,7.84,7.84,7.55,7.65,173378,0
20050527,7.83,7.83,7.18,7.74,171226,0
20050531,7.66,7.77,7.25,7.52,220526,0
20050601,7.5,7.72,7.41,7.56,134352,0
20050602,7.6,7.7,7.4,7.67,254756,0
20050603,7.74,7.74,7.41,7.65,111186,0
20050606,7.69,7.8,7.64,7.72,266986,0
20050607,7.8,7.88,7.68,7.86,325983,0
20050608,7.84,7.93,7.83,7.89,142126,0
20050609,7.91,7.96,7.52,7.79,148476,0
20050610,7.73,7.8,7.44,7.65,182875,0
20050613,7.41,7.64,7.25,7.33,336050,0
20050614,7.26,7.45,7.25,7.34,361644,0
20050615,7.97,8.18,7.77,8,1245130,0
20050616,8.15,8.4,7.91,8.11,1183395,0
20050617,8.1,8.25,7.95,8.1,219339,0
20050620,8,8.25,8,8.2,638273,0
20050621,8.25,8.5,8.15,8.5,584044,0
20050622,8.5,8.5,8.25,8.36,440521,0
20050623,8.34,8.37,8.03,8.15,284814,0
20050624,8.17,8.25,8,8.11,3849991,0
20050627,8.1,8.21,7.9,8.15,678651,0
20050628,8.13,8.19,7.82,8.15,435135,0
20050629,8.21,8.23,8.03,8.15,118783,0
20050630,8.18,8.22,8.11,8.15,297631,0
20050701,8.17,8.19,7.98,8.16,270097,0
20050705,8.19,8.2,8.1,8.2,156105,0
20050706,8.2,8.5,8.13,8.34,540534,0
20050707,8.19,8.48,8.01,8.41,338833,0
20050708,8.39,8.51,8.3,8.51,365253,0
20050711,8.46,8.75,8.46,8.65,381892,0
20050712,8.6,8.65,8.2,8.49,177903,0
