Date,Open,High,Low,Close,Volume,OpenInt
20050225,13.27,13.64,12.8,12.84,837924,0
20050228,13.19,13.2,12.1,12.71,1686813,0
20050301,13.3,13.56,13.13,13.26,1277062,0
20050302,13.55,13.69,13.34,13.52,598420,0
20050303,13.48,13.55,13.25,13.28,366857,0
20050304,13.43,13.46,12.9,13,493343,0
20050307,13.15,13.25,12.87,13.02,423948,0
20050308,13.07,13.19,12.47,12.69,327629,0
20050309,12.63,12.93,12.52,12.7,357931,0
20050310,12.76,12.89,12.21,12.28,444495,0
20050311,12.34,12.48,12.2,12.27,252216,0
20050314,12.42,12.42,12.15,12.27,238095,0
20050315,12.31,12.35,11.44,11.61,936689,0
20050316,11.59,12.04,11.47,11.53,434993,0
20050317,11.8,11.91,11.5,11.53,299952,0
20050318,11.65,11.65,11.11,11.38,311710,0
20050321,11.44,11.5,11.01,11.17,413170,0
20050322,11.09,11.23,10.92,11,701055,0
20050323,10.9,10.94,10.66,10.91,651246,0
20050324,11,11.57,11,11.31,736499,0
20050328,11.52,11.6,11.34,11.38,465710,0
20050329,11.34,11.49,10.9,10.95,254541,0
20050330,11.03,11.24,10.92,11.2,309426,0
20050331,11.3,11.32,11.11,11.26,303692,0
20050401,11.27,11.46,11.17,11.33,669373,0
20050404,11.35,11.44,11.2,11.3,659243,0
20050405,11.23,11.35,10.58,10.9,975709,0
20050406,10.93,11.15,10.42,10.47,971944,0
20050407,10.45,10.74,10.09,10.2,1632976,0
20050408,10.3,10.49,10.15,10.3,1112360,0
20050411,10.44,10.59,9.97,10.12,942299,0
20050412,10.15,10.2,9.82,10,838819,0
20050413,9.9,10.13,9.64,9.65,694425,0
20050414,9.71,9.91,9.19,9.44,607960,0
20050415,9.35,9.38,8.86,9.07,652774,0
20050418,9.32,9.46,9.13,9.4,542778,0
20050419,9.65,9.8,9.6,9.79,587950,0
20050420,9.9,9.94,9.64,9.71,810472,0
20050421,9.77,9.97,9.74,9.95,461631,0
20050422,9.99,10.2,9.65,9.74,318629,0
20050425,9.89,9.89,9.33,9.4,465387,0
20050426,9.7,9.72,8.67,9.08,2169362,0
20050427,9.21,9.67,9.15,9.61,727642,0
20050428,9.86,9.94,9.54,9.55,383146,0
20050429,9.68,9.83,9.33,9.71,359989,0
20050502,9.87,10.13,9.8,9.89,523308,0
20050503,9.94,10.02,9.78,9.86,322968,0
20050504,9.9,10.15,9.82,10.11,232310,0
20050505,10.21,10.45,10.17,10.43,298309,0
20050506,10.49,10.5,10.3,10.41,276499,0
20050509,10.52,10.59,10.41,10.57,333251,0
20050510,10.54,10.61,10.52,10.59,311772,0
20050511,10.62,10.75,10.53,10.71,201343,0
20050512,10.8,11,10.7,10.95,283003,0
20050513,11,11.16,10.91,10.96,372438,0
20050516,11.02,11.27,11.02,11.27,230316,0
20050517,11.11,11.11,10.85,10.97,212231,0
20050518,10.88,11.12,10.73,11.07,399553,0
20050519,11.1,11.34,11.1,11.32,738236,0
20050520,11.21,11.37,11.21,11.28,278808,0
20050523,11.22,11.22,11.07,11.15,345159,0
20050524,11.07,11.18,10.96,11,190267,0
20050525,11.42,11.8,11.22,11.74,617348,0
20050526,11.91,12,11.71,11.77,403293,0
20050527,11.75,12.15,11.61,12.12,459002,0
20050531,12.18,12.18,11.9,12.07,206162,0
20050601,11.98,12.16,11.8,12.02,227541,0
20050602,11.77,12.07,11.55,12,289869,0
20050603,11.97,11.97,11.8,11.83,338106,0
20050606,11.73,11.83,11.72,11.76,471845,0
20050607,12.11,12.12,11.77,11.86,361449,0
20050608,11.99,12.04,11.53,11.7,354278,0
20050609,11.67,11.67,11.4,11.45,331343,0
20050610,11.32,11.48,11.05,11.1,431944,0
20050613,11.01,11.08,10.85,11.06,373990,0
20050614,11.01,11.23,10.91,10.99,267178,0
20050615,10.9,10.9,10.57,10.63,355681,0
20050616,10.57,10.7,10.49,10.52,342156,0
20050617,10.62,10.8,10.49,10.57,217661,0
20050620,10.54,10.99,10.5,10.77,805769,0
20050621,11.1,11.1,10.92,11,538971,0
20050622,11,11.16,10.8,10.86,537895,0
20050623,10.97,10.97,10.35,10.63,688468,0
20050624,10.6,10.6,10,10.05,579966,0
20050627,10.14,10.25,10.04,10.12,557803,0
20050628,10.2,10.27,10.09,10.18,452151,0
20050629,10.2,10.2,10.05,10.12,378750,0
20050630,10.1,10.2,9.94,9.95,297584,0
20050701,10,10.15,9.82,10,509921,0
20050705,9.9,10.73,9.85,10.59,927650,0
20050706,10.67,10.97,10.6,10.86,701199,0
20050707,10.65,10.8,10.53,10.71,479518,0
20050708,10.68,10.87,10.66,10.82,358806,0
20050711,10.88,10.9,10.71,10.8,313771,0
20050712,10.84,10.86,9.86,9.95,1041189,0
20050713,9.99,10.47,9.99,10.27,1158209,0
20050714,10.39,10.57,10.32,10.52,486967,0
20050715,10.38,10.51,10.3,10.35,170293,0
