Date,Open,High,Low,Close,Volume,OpenInt
20161011,5.06,5.59,4.87,4.98,113950,0
20161012,5.01,5.48,5,5.48,122383,0
20161013,5.55,5.6,5.12,5.15,45506,0
20161014,5.34,5.3499,5.011,5.26,77110,0
20161017,5.27,5.34,5,5.01,119242,0
20161018,5.1,5.14,3.98,4.97,38647,0
20161019,5,5.0425,4.85,4.95,34443,0
20161020,4.9,5,4.9,5,14790,0
20161021,4.9925,5,4.95,4.98,18804,0
20161024,4.9626,5.05,4.9505,5,4710,0
20161025,4.96,4.9875,4.95,4.98,6477,0
20161026,4.9999,5.043,4.9999,5,16798,0
20161027,5.08,5.085,5,5,3100,0
20161028,5.09,5.09,4.95,4.95,5595,0
20161031,4.87,5.07,4.85,5.07,3162,0
20161101,5.03,5.0373,5.03,5.0373,212,0
20161102,4.85,4.9999,4.7472,4.9999,4016,0
20161104,4.9,4.9,4.75,4.75,1022,0
20161107,4.8822,4.8822,4.8822,4.8822,500,0
20161108,4.97,4.989,4.97,4.97,300,0
20161109,4.75,4.76,4.75,4.75,1000,0
20161110,4.646,4.9799,4.5,4.74,8139,0
20161111,4.85,4.85,4.542,4.542,2800,0
20161114,4.5068,4.7445,4.5,4.63,17611,0
20161115,4.7,4.7,4.5,4.63,10622,0
20161116,4.7,4.8842,4.5,4.625,20225,0
20161117,4.8,4.9755,4.65,4.65,4800,0
20161118,4.65,4.68,4.5,4.68,15897,0
20161121,4.64,4.64,3.93,4.3,34521,0
20161122,4.57,4.9,4,4.29,37263,0
20161123,4.22,4.23,4,4.15,12549,0
20161125,4.17,4.46,4.168,4.46,14300,0
20161128,4.412,4.76,4.0515,4.1,19710,0
20161129,4.25,4.25,4.01,4.01,6237,0
20161130,4.1,4.2,4,4.05,9034,0
20161201,4.39,4.4,4.05,4.095,9194,0
20161202,4.11,4.11,4.11,4.11,304,0
20161205,4.05,4.4,4,4.25,19535,0
20161206,4.4,4.9,4.3,4.355,30830,0
20161207,4.4934,4.4934,4.4,4.429,3258,0
20161208,4.56,4.63,4.13,4.59,47215,0
20161209,4.77,4.85,4.28,4.55,18663,0
20161212,4.52,4.85,4.19,4.5,34645,0
20161213,4.68,4.73,4.33,4.52,27770,0
20161214,4.55,4.6,4.47,4.51,3940,0
20161215,4.53,4.55,4.22,4.4,6196,0
20161216,4.15,4.23,3.96,3.96,30143,0
20161219,4.22,4.22,4.02,4.03,2220,0
20161220,4.1,4.1,4,4,6031,0
20161221,4.1,4.9285,4.0256,4.1923,33383,0
20161222,4.34,4.45,4.05,4.25,9176,0
20161223,4.12,4.2428,4.05,4.09,6386,0
20161227,4.09,4.09,4,4.05,7363,0
20161228,4.02,4.3705,4,4.04,6725,0
20161229,4.5,4.5,4.04,4.35,10414,0
20161230,4.35,4.8216,4.35,4.74,5813,0
20170103,4.43,4.595,4.25,4.25,5494,0
20170104,4.13,4.27,4.09,4.25,13293,0
20170105,4.45,4.96,4.25,4.65,22000,0
20170106,4.75,4.75,4.6748,4.6748,6315,0
20170109,5,5,4.85,4.963,4401,0
20170110,4.99,4.99,4.85,4.99,7252,0
20170111,4.9657,4.9657,4.77,4.82,4005,0
20170112,4.71,4.809,4.25,4.4,11824,0
20170113,4.67,4.67,4.43,4.63,738,0
20170117,4.3886,4.5,4.33,4.35,18373,0
20170118,4.35,4.6156,4.32,4.32,1131,0
20170119,4.355,4.5369,4.32,4.32,1103,0
20170120,4.5,4.68,4.47,4.56,3509,0
20170123,4.98,4.98,4.32,4.35,1715,0
20170124,4.311,4.3531,4.311,4.3531,1232,0
20170125,4.45,4.45,4.45,4.45,104,0
20170126,4.47,4.65,4.47,4.65,3798,0
20170127,4.9,4.98,4.612,4.75,13742,0
20170130,4.91,4.91,4.5,4.5,8707,0
20170131,4.5,4.5,4.38,4.38,1310,0
20170201,4.4825,4.4825,4.4825,4.4825,138,0
20170202,4.4899,4.4899,4.4316,4.4399,3984,0
20170203,4.49,4.55,4.42,4.48,6071,0
20170206,4.56,4.59,4.25,4.25,23916,0
20170207,4.25,4.25,4,4,13396,0
20170208,4,4.1,4,4,6363,0
20170209,4.05,4.05,4.0476,4.0476,991,0
20170210,4.05,4.05,4.05,4.05,100,0
20170214,4.06,4.2359,4.0501,4.2359,4785,0
20170215,4.23,4.2659,4,4.09,12832,0
20170216,4.1,4.1,4.1,4.1,400,0
20170217,4.05,4.1736,4.05,4.14,1696,0
20170221,4.14,4.16,4,4.14,14900,0
20170222,4.11,4.11,4.01,4.01,5354,0
20170223,4.0735,4.13,4.0311,4.04,5195,0
20170224,4.01,4.3,4.01,4.19,63604,0
20170227,4.16,4.5,4.16,4.2697,64623,0
20170228,4.2435,4.29,4.13,4.15,18195,0
20170301,4.169,4.175,4.03,4.12,13207,0
20170302,4.15,4.3,4.04,4.08,24511,0
20170303,4.099,4.099,4.02,4.08,11700,0
20170306,4.03,4.3,4.03,4.14,34904,0
20170307,4.14,4.3,4.0501,4.17,32711,0
20170308,4.15,4.21,4.0686,4.12,18635,0
