Date,Open,High,Low,Close,Volume,OpenInt
20050225,6.5937,6.6132,6.5453,6.5647,49004,0
20050228,6.5647,6.5842,6.2734,6.283,49004,0
20050301,6.2734,6.2734,6.186,6.2538,125811,0
20050302,6.2538,6.283,6.2442,6.2734,9732,0
20050303,6.283,6.3317,6.283,6.3123,6255,0
20050304,6.3414,6.3703,6.3217,6.3703,16681,0
20050307,6.3996,6.4578,6.3996,6.3996,5215,0
20050308,6.419,6.4869,6.419,6.4869,10427,0
20050309,6.5064,6.5161,6.4481,6.4869,25370,0
20050310,6.4773,6.4773,6.4578,6.4675,4865,0
20050311,6.4481,6.4481,6.3996,6.419,9732,0
20050314,6.3897,6.4093,6.3317,6.3608,9732,0
20050315,6.3608,6.3897,6.3317,6.3317,8341,0
20050316,6.3023,6.3414,6.283,6.3414,4520,0
20050317,6.3317,6.3608,6.3217,6.3608,6255,0
20050318,6.3608,6.3802,6.2442,6.2442,28151,0
20050321,6.2538,6.3317,6.2248,6.3317,26066,0
20050322,6.3023,6.3317,6.3023,6.3317,35103,0
20050323,6.3317,6.4288,6.3317,6.4288,83759,0
20050324,6.4288,6.5161,6.4288,6.5064,48656,0
20050328,6.5355,6.7007,6.5355,6.7007,11470,0
20050329,6.7201,6.7394,6.6521,6.6521,46570,0
20050330,6.6716,6.6909,6.6422,6.6521,40316,0
20050331,6.6229,6.7007,6.6229,6.6909,27803,0
20050401,6.6716,6.6909,6.6229,6.6229,5215,0
20050404,6.5937,6.6422,6.5937,6.6229,30583,0
20050405,6.6716,6.6716,6.6132,6.6327,27803,0
20050406,6.6327,6.6716,6.6327,6.6521,7646,0
20050407,6.6716,6.6716,6.6616,6.6616,3476,0
20050408,6.6716,6.6716,6.6616,6.6616,2780,0
20050411,6.6616,6.6616,6.6132,6.6229,19810,0
20050412,6.6132,6.6616,6.6035,6.6327,10427,0
20050413,6.6422,6.6616,6.6132,6.6422,24675,0
20050414,6.6229,6.6229,6.4481,6.4773,138671,0
20050415,6.4481,6.5064,6.419,6.419,21201,0
20050418,6.3996,6.4093,6.3802,6.3802,11816,0
20050419,6.3802,6.3802,6.3608,6.3608,9732,0
20050420,6.3608,6.3608,6.3023,6.3023,7994,0
20050421,6.3023,6.3023,6.283,6.283,11122,0
20050422,6.283,6.2928,6.283,6.2928,4170,0
20050425,6.3123,6.3123,6.3023,6.3023,5215,0
20050426,6.3023,6.3802,6.2928,6.3608,7299,0
20050427,6.3703,6.3703,6.3414,6.3608,5909,0
20050428,6.3897,6.6132,6.3703,6.6132,36493,0
20050429,6.6422,6.9046,6.5743,6.9046,40316,0
20050502,6.9336,7.2834,6.9336,7.2834,96619,0
20050503,7.3124,7.4095,7.264,7.3124,41010,0
20050504,7.3124,7.3124,7.1376,7.2153,52132,0
20050505,7.196,7.5067,7.196,7.5067,50395,0
20050506,7.5357,7.6523,7.5357,7.6037,56649,0
20050509,7.6426,8.0989,7.6232,8.0989,106348,0
20050510,8.1282,8.3806,8.0989,8.3418,163694,0
20050511,8.3418,8.3418,8.2446,8.2641,109824,0
20050512,8.2641,8.2738,8.1864,8.2252,97313,0
20050513,8.2156,8.3028,8.1476,8.3028,105307,0
20050516,8.2738,8.2738,8.167,8.167,97313,0
20050517,8.1572,8.1572,7.9533,7.9533,25024,0
20050518,7.9339,8.0407,7.9047,8.0309,52132,0
20050519,8.0309,8.1183,8.0116,8.0309,23633,0
20050520,8.0407,8.0407,8.0019,8.0309,16335,0
20050523,8.0602,8.1476,7.9727,8.0213,56649,0
20050524,8.0309,8.0309,7.9825,7.9922,41705,0
20050525,7.9727,7.9727,7.9339,7.9727,50395,0
20050526,7.9727,7.9825,7.9436,7.9727,21201,0
20050527,7.9436,7.9533,7.9146,7.9436,43096,0
20050531,7.9146,8.0019,7.7689,7.9727,65686,0
20050601,7.9727,7.9727,7.9242,7.9631,42400,0
20050602,7.9146,7.9436,7.8659,7.8951,91751,0
20050603,7.8853,7.9146,7.8853,7.9047,47613,0
20050606,7.8659,8.2252,7.8659,8.0989,76113,0
20050607,8.1282,8.3126,8.1282,8.167,84454,0
20050608,8.1864,8.5457,8.1864,8.4874,128592,0
20050609,8.4874,8.5165,8.3514,8.4874,56303,0
20050610,8.4583,8.5165,8.167,8.3999,63948,0
20050613,8.3612,8.3612,8.2835,8.3126,143535,0
20050614,8.3126,8.5069,8.2738,8.4583,105307,0
