Date,Open,High,Low,Close,Volume,OpenInt
20050225,26.944,27.737,26.716,27.737,38882,0
20050228,27.573,28.229,27.327,28.219,85626,0
20050301,27.692,29.058,27.647,28.948,98521,0
20050302,28.556,29.369,28.556,28.584,26356,0
20050303,28.821,29.03,28.395,28.85,25826,0
20050304,29.123,29.194,28.694,29.194,30488,0
20050307,29.138,29.165,29.058,29.058,34285,0
20050308,28.694,28.767,28.238,28.529,38144,0
20050309,28.201,28.437,27.856,28.238,52665,0
20050310,28.481,28.481,27.8,27.984,30957,0
20050311,27.965,28.519,27.781,28.431,67651,0
20050314,29.095,29.231,28.437,28.84,38767,0
20050315,29.13,29.13,28.593,28.593,16921,0
20050316,28.056,28.757,28.056,28.757,14754,0
20050317,28.357,28.675,27.947,28.631,18046,0
20050318,28.694,28.694,27.5,28.012,110407,0
20050321,28.491,28.491,28.012,28.32,30352,0
20050322,28.584,28.584,27.773,28.182,29341,0
20050323,27.601,28.163,27.17,27.197,40501,0
20050324,27.409,28.056,27.037,27.754,12854,0
20050328,27.481,27.965,27.419,27.609,12522,0
20050329,27.337,28.403,26.672,26.672,17631,0
20050330,26.934,28.136,26.934,28.083,22389,0
20050331,27.781,29.531,27.273,27.601,80567,0
20050401,27.791,28.201,26.607,26.87,50942,0
20050404,26.699,27.709,26.699,27.444,22110,0
20050405,27.197,27.718,27.187,27.345,27392,0
20050406,27.737,27.737,27.073,27.091,39880,0
20050407,27.161,27.817,27.161,27.709,16189,0
20050408,27.984,27.984,26.708,26.826,24624,0
20050411,26.569,27.245,26.533,26.699,27510,0
20050412,26.371,27.197,24.513,25.55,163092,0
20050413,25.743,26.171,25.506,25.633,44528,0
20050414,25.37,25.771,25.178,25.178,48412,0
20050415,25.151,25.914,25.151,25.361,39572,0
20050418,25.37,25.614,24.824,25.351,29180,0
20050419,25.513,26.171,25.47,25.797,73269,0
20050420,25.969,25.969,24.724,25.031,47372,0
20050421,25.578,26.744,25.387,26.616,26275,0
20050422,26.489,26.489,24.619,24.704,39321,0
20050425,24.824,26.306,24.513,26.205,40259,0
20050426,25.96,25.96,24.54,24.931,39451,0
20050427,24.231,25.771,23.264,24.11,33987,0
20050428,24.477,24.477,23.701,23.857,50319,0
20050429,23.938,24.513,23.938,24.458,29909,0
20050502,24.338,24.448,23.938,24.056,52224,0
20050503,23.947,24.001,23.529,23.802,38716,0
20050504,23.71,24.593,23.52,24.593,37431,0
20050505,24.496,24.638,24.139,24.487,31390,0
20050506,24.638,24.657,23.984,24.102,22156,0
20050509,23.92,24.531,23.849,24.487,27767,0
20050510,23.992,24.177,23.501,24.019,26727,0
20050511,23.885,24.676,23.583,24.54,31932,0
20050512,24.657,25.151,24.657,25.151,20272,0
20050513,25.151,25.212,24.139,24.505,25300,0
20050516,24.319,25.022,23.821,23.966,39423,0
20050517,24.223,24.223,23.464,23.511,52437,0
20050518,23.92,24.029,23.492,23.683,83691,0
20050519,23.92,24.319,23.867,24.206,29352,0
20050520,23.938,24.056,23.693,23.857,24581,0
20050523,24.073,26.78,23.693,26.315,100188,0
20050524,26.691,28.412,26.223,27.409,115496,0
20050525,26.99,27.827,26.981,27.419,104452,0
20050526,27.311,28.885,27.311,28.885,111662,0
20050527,28.876,28.893,28.173,28.465,53647,0
20050531,28.421,28.421,27.144,27.235,173268,0
20050601,27.419,28.311,26.889,28.028,76505,0
20050602,27.928,28.056,27.409,27.874,43365,0
20050603,27.864,27.864,27.046,27.235,43085,0
20050606,27.454,27.454,26.744,26.927,38796,0
20050607,27.037,27.311,26.744,26.851,40391,0
20050608,26.77,27.082,26.463,26.663,39904,0
20050609,26.417,26.87,25.905,26.87,62116,0
20050610,27.178,27.178,26.417,26.616,37328,0
20050613,26.417,27.5,26.417,27.178,37839,0
20050614,27.327,27.327,26.971,27.327,37379,0
20050615,27.327,27.327,26.232,27.254,43742,0
20050616,26.682,27.674,26.682,27.444,25566,0
20050617,27.518,27.938,27.101,27.292,63587,0
20050620,27.019,27.037,26.473,26.843,38335,0
