Date,Open,High,Low,Close,Volume,OpenInt
20160629,24.113,24.259,24.113,24.259,221907,0
20160630,24.21,24.346,24.162,24.297,206908,0
20160701,24.356,24.356,24.21,24.21,149532,0
20160705,24.259,24.278,24.22,24.259,106999,0
20160706,24.259,24.356,24.22,24.317,227695,0
20160707,24.356,24.404,24.24,24.317,169583,0
20160708,24.356,24.356,24.259,24.291,83070,0
20160711,24.278,24.308,24.23,24.298,165785,0
20160712,24.22,24.308,24.094,24.259,183297,0
20160713,24.308,24.327,24.181,24.278,153176,0
20160714,24.356,24.356,24.233,24.347,98658,0
20160715,24.404,24.404,24.21,24.356,71411,0
20160718,24.404,24.491,24.21,24.472,137586,0
20160719,24.472,24.54,24.433,24.482,147329,0
20160720,24.501,24.56,24.443,24.491,140175,0
20160721,24.452,24.744,24.452,24.638,162612,0
20160722,24.734,24.744,24.609,24.676,115544,0
20160725,24.734,24.734,24.647,24.676,83802,0
20160726,24.647,24.647,24.482,24.54,104971,0
20160727,24.443,24.647,24.443,24.588,79850,0
20160728,24.647,24.744,24.55,24.744,86379,0
20160729,24.744,24.929,24.598,24.841,66795,0
20160801,24.811,25.18,24.764,24.92,131355,0
20160802,24.929,25.123,24.821,24.851,93903,0
20160803,24.937,25.025,24.681,24.841,113049,0
20160804,24.666,24.841,24.628,24.773,54071,0
20160805,24.783,24.909,24.754,24.899,28058,0
20160808,24.801,24.919,24.801,24.919,60148,0
20160809,24.919,24.987,24.812,24.841,68933,0
20160810,24.861,24.869,24.811,24.851,45868,0
20160811,24.801,24.841,24.56,24.608,90671,0
20160812,24.696,24.851,24.656,24.851,31216,0
20160815,24.987,25.161,24.861,25.025,111039,0
20160816,24.987,25.074,24.879,25.074,77022,0
20160817,25.123,25.365,24.987,25.229,80976,0
20160818,25.229,25.229,24.879,25.156,24713,0
20160819,25.219,25.306,24.938,25.209,32389,0
20160822,25.209,25.209,24.977,25.146,32695,0
20160823,25.209,25.448,25.065,25.375,50928,0
20160824,25.481,25.685,25.123,25.2,39884,0
20160825,25.326,25.448,25.18,25.375,54263,0
20160826,25.433,25.433,25.248,25.268,19984,0
20160829,25.326,25.326,25.219,25.272,19587,0
20160830,25.345,25.423,25.247,25.384,21748,0
20160831,25.384,25.462,25.287,25.453,32958,0
20160901,25.462,25.714,25.28,25.472,48366,0
20160902,25.311,25.656,25.249,25.656,25641,0
20160906,25.513,25.513,25.229,25.238,39589,0
20160907,25.316,25.326,25.229,25.229,46744,0
20160908,25.462,25.462,25.229,25.272,32468,0
20160909,25.472,25.472,24.744,24.773,48077,0
20160912,25.133,25.133,24.744,24.998,28649,0
20160913,24.861,24.902,24.423,24.647,28032,0
20160914,24.666,24.739,24.404,24.676,21816,0
20160915,24.676,25.133,24.598,24.869,50860,0
20160916,25.133,25.413,24.501,25.103,67642,0
20160919,25.229,25.636,24.963,25.375,32563,0
20160920,25.472,25.472,24.851,25.084,39360,0
20160921,25.142,25.18,24.783,24.841,29819,0
20160922,24.987,25.065,24.774,24.899,30102,0
20160923,24.987,25.055,24.841,24.987,25803,0
20160926,25.035,25.035,24.784,24.929,21930,0
20160927,25.025,25.123,24.841,25.025,17116,0
20160928,25.084,25.084,24.861,25.065,16409,0
20160929,24.997,25.035,24.754,24.754,16557,0
20160930,24.937,25.229,24.764,25.015,42395,0
20161003,25.045,25.045,24.801,24.811,14219,0
20161004,24.899,24.899,24.791,24.791,18065,0
20161005,24.909,24.909,24.791,24.851,22401,0
20161006,24.909,24.909,24.569,24.715,49347,0
20161007,24.851,24.851,24.598,24.608,21947,0
20161010,24.656,24.744,24.551,24.686,7096,0
20161011,24.744,24.753,24.375,24.375,39669,0
20161012,24.356,24.841,24.288,24.652,78661,0
20161013,24.831,24.841,24.325,24.433,44634,0
20161014,24.452,24.676,24.423,24.423,18274,0
20161017,24.501,24.618,24.298,24.375,24397,0
20161018,24.404,24.55,24.355,24.501,30879,0
20161019,24.56,24.841,24.472,24.472,31488,0
20161020,24.472,24.569,24.472,24.501,9914,0
20161021,24.501,24.838,24.491,24.623,18448,0
20161024,24.783,24.783,24.55,24.608,17645,0
20161025,24.773,24.783,24.462,24.462,25627,0
20161026,24.686,24.729,24.452,24.511,16840,0
20161027,24.547,24.734,24.404,24.423,26657,0
20161028,24.491,24.598,24.414,24.501,14549,0
20161031,24.53,24.55,24.404,24.404,24565,0
20161101,24.443,24.518,24.404,24.452,16549,0
20161102,24.356,24.52,23.785,24.23,45585,0
20161103,24.259,24.501,24.045,24.404,40109,0
20161104,24.404,24.404,24.065,24.394,24814,0
20161107,24.394,24.501,24.288,24.366,34553,0
20161108,24.356,24.384,24.278,24.278,10686,0
20161109,23.959,24.308,23.881,23.929,29572,0
20161110,24.064,24.074,21.396,21.746,234438,0
20161111,21.814,23.645,21.454,21.833,86822,0
20161114,21.833,22.173,20.915,21.464,52377,0
20161115,21.503,22.173,21.503,21.804,76725,0
20161116,21.842,22.735,21.833,22.716,105027,0
20161117,22.775,22.988,22.236,22.677,38181,0
20161118,22.395,22.948,22.395,22.512,26983,0
20161121,22.512,23.06,22.26,22.647,33350,0
20161122,22.434,22.729,22.221,22.405,27870,0
20161123,22.367,22.93,22.28,22.726,30548,0
20161125,22.793,22.793,22.27,22.395,7309,0
20161128,22.463,23.14,21.377,21.638,109262,0
20161129,21.687,22.065,21.348,21.474,68704,0
20161130,21.348,21.597,20.917,20.959,77258,0
20161201,20.969,21.532,20.62,21.231,72770,0
20161202,21.299,21.542,21.077,21.202,40012,0
20161205,21.386,21.445,20.969,21.425,34175,0
20161206,21.591,21.645,21.348,21.543,39485,0
20161207,21.687,21.92,21.626,21.784,20700,0
20161208,21.92,21.92,20.969,21.299,101832,0
20161209,21.377,21.687,21.315,21.493,40623,0
20161212,22.007,22.007,21.163,21.299,54117,0
20161213,21.595,21.595,20.972,21.01,61025,0
20161214,21.01,21.441,20.914,21.021,59109,0
20161215,20.942,21.4,20.865,21.06,39234,0
20161216,21.39,21.39,21.128,21.342,38658,0
20161219,21.303,21.546,21.156,21.332,56248,0
20161220,21.371,21.789,21.06,21.789,68059,0
20161221,21.877,22.071,21.779,21.857,37420,0
20161222,22.003,22.003,21.654,21.711,45762,0
20161223,21.653,21.789,21.643,21.789,11599,0
20161227,21.711,21.876,21.643,21.789,42608,0
20161228,21.789,21.877,21.644,21.663,19011,0
20161229,21.653,21.915,21.643,21.828,37857,0
20161230,21.935,21.935,21.322,21.673,57733,0
20170103,21.682,22.353,21.682,21.983,36430,0
20170104,22.12,22.47,22.033,22.373,24922,0
20170105,22.373,22.558,22.275,22.334,23582,0
20170106,22.558,22.558,22.373,22.528,8607,0
20170109,22.558,22.558,22.081,22.412,26758,0
20170110,22.548,22.694,22.451,22.694,22979,0
20170111,22.713,22.966,22.334,22.918,33963,0
20170112,22.928,22.996,22.772,22.918,26465,0
20170113,23.026,23.21,22.664,22.996,38426,0
20170117,22.956,23.151,22.955,22.986,16418,0
20170118,22.956,23.089,22.956,23.018,15511,0
20170119,23.044,23.092,22.854,22.956,22888,0
20170120,22.86,23.064,22.762,22.956,8346,0
20170123,23.044,23.248,22.84,23.122,16692,0
20170124,23.21,23.249,22.818,23.092,15773,0
20170125,22.918,23.147,22.855,22.868,10239,0
20170126,23.014,23.024,22.782,22.85,15046,0
20170127,22.81,22.983,22.46,22.577,21540,0
20170130,22.577,23.044,22.577,22.83,26017,0
20170131,22.908,23.005,22.772,22.996,20148,0
20170201,23.054,23.064,22.869,22.986,10964,0
20170202,23.005,23.141,23.005,23.112,17050,0
20170203,23.132,23.2,23.003,23.19,19402,0
20170206,23.034,23.336,23.034,23.326,24921,0
20170207,23.151,23.754,23.03,23.03,24268,0
20170208,23.21,23.53,23.21,23.238,10283,0
20170209,23.443,23.443,23.238,23.248,7397,0
20170210,23.306,23.315,23.054,23.18,12297,0
20170213,23.297,23.54,23.272,23.443,38104,0
20170214,23.375,23.54,23.064,23.404,44138,0
20170215,23.355,23.433,23.16,23.2,22410,0
20170216,23.21,23.54,23.21,23.384,28153,0
20170217,23.521,23.535,23.2,23.326,17334,0
20170221,23.384,23.831,23.384,23.831,26321,0
20170222,24.065,24.065,23.496,23.667,29119,0
20170223,23.861,23.881,23.55,23.676,23187,0
20170224,23.783,23.783,23.55,23.725,21579,0
20170227,23.569,23.977,23.21,23.569,15389,0
20170228,23.667,23.68,23.357,23.55,22018,0
20170301,23.55,23.831,23.501,23.608,29901,0
20170302,23.705,23.972,23.501,23.511,12960,0
20170303,23.511,23.929,23.427,23.657,10894,0
20170306,23.754,23.783,23.375,23.453,16536,0
20170307,23.462,23.54,23.346,23.462,24452,0
20170308,23.365,23.54,23.21,23.248,18091,0
20170309,23.394,23.394,23.16,23.336,18264,0
20170310,23.083,23.511,23.083,23.102,23857,0
20170313,23.492,23.592,23.074,23.217,16336,0
20170314,23.177,23.444,23.098,23.118,8387,0
20170315,23.098,23.68,23.098,23.424,10829,0
20170316,23.68,23.779,23.354,23.463,13690,0
20170317,23.463,23.547,23.305,23.483,13853,0
20170320,23.532,23.68,23.483,23.523,11891,0
20170321,23.483,23.72,23.414,23.542,21030,0
20170322,23.483,23.868,23.483,23.868,9024,0
20170323,23.878,23.927,23.638,23.7,10978,0
20170324,23.7,23.916,23.621,23.621,14720,0
20170327,23.69,24.117,23.552,23.858,14458,0
20170328,23.878,24.178,23.602,23.878,24537,0
20170329,23.986,24.128,23.68,24.065,15353,0
20170330,24.174,24.174,23.71,23.976,20958,0
20170331,23.947,24.026,23.852,24.026,10895,0
20170403,24.134,24.371,24.046,24.302,18456,0
20170404,24.055,24.371,24.055,24.174,17620,0
20170405,24.361,24.361,23.682,23.682,22287,0
20170406,23.937,24.272,23.927,24.272,26062,0
20170407,24.401,24.42,24.085,24.302,26696,0
20170410,24.322,24.42,24.272,24.292,18933,0
20170411,24.42,24.649,24.089,24.618,48776,0
20170412,24.667,24.874,24.42,24.47,37449,0
20170413,24.47,24.593,23.977,24.263,8351,0
20170417,24.322,24.598,24.036,24.203,20941,0
20170418,24.322,24.533,24.191,24.43,13913,0
20170419,24.539,24.568,24.322,24.47,20555,0
20170420,24.342,24.559,24.323,24.361,11933,0
20170421,24.332,24.549,24.085,24.095,10733,0
20170424,24.194,24.527,24.075,24.391,25403,0
20170425,24.499,24.499,24.086,24.115,19068,0
20170426,24.223,24.272,24.075,24.095,8596,0
20170427,24.115,24.42,24.115,24.184,11006,0
20170428,24.134,24.446,24.134,24.272,13911,0
20170501,24.272,24.272,24.075,24.213,10152,0
20170502,24.272,24.47,24.272,24.46,8447,0
20170503,24.526,24.578,24.49,24.578,13129,0
20170504,24.568,24.568,24.42,24.42,9668,0
20170505,24.559,24.568,24.371,24.519,26351,0
20170508,24.519,24.568,24.401,24.543,18846,0
20170509,24.647,24.651,24.065,24.651,8578,0
20170510,24.598,24.618,24.184,24.614,12069,0
20170511,24.618,24.618,24.351,24.371,21353,0
20170512,24.371,24.371,24.312,24.335,18043,0
20170515,24.43,24.568,24.342,24.499,17557,0
20170516,24.519,24.568,24.312,24.322,20993,0
20170517,24.322,24.519,24.302,24.42,10885,0
20170518,24.48,24.549,24.284,24.322,16007,0
20170519,24.42,24.511,24.322,24.356,11618,0
20170522,24.529,24.577,24.351,24.559,19845,0
20170523,24.598,24.677,24.511,24.667,16747,0
20170524,24.677,24.883,24.42,24.731,9807,0
20170525,24.628,24.953,24.45,24.667,20322,0
20170526,24.766,25.012,24.43,24.855,14907,0
20170530,25.012,25.012,24.49,24.588,10670,0
20170531,24.628,24.756,24.529,24.628,10131,0
20170601,24.707,24.707,24.521,24.578,11209,0
20170602,24.618,25.012,24.618,24.618,30317,0
20170605,25.062,25.062,24.716,24.731,19447,0
20170606,24.815,24.85,24.672,24.687,27035,0
20170607,24.746,24.766,24.638,24.726,9069,0
20170608,24.756,24.874,24.756,24.864,18223,0
20170609,24.884,25.062,24.845,24.845,14620,0
20170612,24.943,25.137,24.815,24.894,15507,0
20170613,25.2,25.26,24.9225,24.95,15774,0
20170614,25.17,25.1799,24.959,24.98,14300,0
20170615,25.1,25.1,24.97,25,8359,0
