Date,Open,High,Low,Close,Volume,OpenInt
20120126,4.7004,4.8884,4.7004,4.8884,1170,0
20120127,4.6816,4.691,4.6816,4.691,532,0
20120130,4.5592,4.6816,4.5311,4.6816,514,0
20120131,4.6061,4.6157,4.6061,4.6157,213,0
20120203,4.4935,4.6251,4.4935,4.6251,406,0
20120206,4.6721,4.7004,4.6251,4.7004,2213,0
20120207,4.7004,4.7004,4.5218,4.691,1536,0
20120208,4.5123,4.5123,4.3337,4.3713,1170,0
20120209,4.6816,4.691,4.6816,4.691,426,0
20120210,4.6061,4.6061,4.6061,4.6061,925,0
20120213,4.7004,4.7004,4.6061,4.7004,4319,0
20120214,4.7943,5.1515,4.7943,5.1515,213,0
20120215,4.9354,4.9354,4.8884,4.9354,3329,0
20120216,4.9354,4.9354,4.7943,4.7943,617,0
20120217,4.9354,4.9354,4.4653,4.5311,14721,0
20120221,4.7097,4.9354,4.7004,4.7472,2659,0
20120222,4.8225,4.926,4.7472,4.926,5052,0
20120223,4.9164,4.926,4.7004,4.8884,2075,0
20120224,4.7568,4.7568,4.7004,4.7004,428,0
20120227,4.7756,4.9354,4.7472,4.8884,8639,0
20120229,5.161,5.161,4.8508,4.8508,2768,0
20120301,4.8039,4.9354,4.8039,4.9354,796,0
20120302,4.9447,4.9447,4.9447,4.9447,319,0
20120305,4.9542,5.0293,4.9542,5.0293,822,0
20120307,4.9635,4.9635,4.7191,4.9635,8541,0
20120308,4.7285,5.631,4.7004,4.7097,15504,0
20120309,5.631,5.631,4.9447,5.3773,1197,0
20120313,5.1515,5.4338,5.1515,5.4053,1065,0
20120314,5.396,5.396,5.396,5.396,106,0
20120316,5.4899,5.4995,5.0764,5.161,1990,0
20120320,5.3114,5.3114,5.3114,5.3114,129,0
20120321,5.3114,5.4995,5.3114,5.4995,719,0
20120322,5.5934,5.6403,5.5934,5.5934,5346,0
20120323,5.4616,5.6403,5.4616,5.6403,598,0
20120327,5.4616,5.4616,5.4525,5.4525,213,0
20120330,5.0764,5.5839,5.0764,5.0764,1972,0
