Date,Open,High,Low,Close,Volume,OpenInt
20050225,29.599,31.439,29.41,31.325,44047,0
20050228,30.476,31.248,30.437,31.117,20881,0
20050301,30.91,31.39,30.91,31.126,15535,0
20050302,30.513,31.268,30.476,30.607,4616,0
20050303,31.117,31.4,31.117,31.231,15217,0
20050304,30.92,31.682,30.569,31.087,15510,0
20050307,31.248,31.458,30.949,31.192,12377,0
20050308,31.097,31.419,30.949,31.117,16164,0
20050309,31.117,31.419,30.751,30.827,16167,0
20050310,30.673,31.39,30.346,30.864,21965,0
20050311,31.004,31.297,30.751,31.06,16784,0
20050314,30.994,31.107,30.759,30.827,11448,0
20050315,30.569,31.419,30.569,30.949,46591,0
20050316,30.949,31.458,30.949,31.268,16565,0
20050317,31.153,31.325,30.968,31.145,16758,0
20050318,31.307,31.307,30.55,30.673,86090,0
20050321,31.126,31.363,30.968,31.307,15874,0
20050322,31.231,31.468,31.031,31.192,16920,0
20050323,30.929,31.135,30.56,31.004,14308,0
20050324,31.173,31.173,30.476,30.476,9490,0
20050328,30.855,30.855,30.55,30.778,8317,0
20050329,30.788,31.041,30.194,30.194,10154,0
20050330,30.495,31.287,30.204,31.287,8566,0
20050331,30.929,31.268,30.26,30.56,21314,0
20050401,30.722,31.041,29.336,29.401,9678,0
20050404,29.553,30.223,29.553,30.079,6308,0
20050405,30.457,30.741,30.4,30.693,2498,0
20050406,30.891,31.041,30.607,30.92,7688,0
20050407,30.901,30.929,30.437,30.872,3233,0
20050408,30.364,30.437,29.572,29.572,9699,0
20050411,29.476,30.589,29.307,30.279,34021,0
20050412,30.061,30.495,29.155,30.194,22697,0
20050413,29.872,30.307,29.278,29.476,2291,0
20050414,29.41,29.572,28.664,28.664,14090,0
20050415,28.894,29.203,27.891,27.91,16521,0
20050418,28.1,28.847,28.1,28.552,16097,0
20050419,28.543,29.495,28.543,29.495,14044,0
20050420,29.184,29.184,28.194,28.194,17736,0
20050421,28.731,29.041,28.1,28.741,39062,0
20050422,28.383,28.469,26.403,26.808,38576,0
20050425,27.072,28.308,26.865,27.157,21391,0
20050426,27.27,27.798,26.44,26.561,18374,0
20050427,26.648,27.856,26.422,27.741,25982,0
20050428,27.873,28.242,27.533,27.533,39537,0
20050429,27.882,28.469,27.686,28.421,40368,0
20050502,28.571,29.327,28.421,29.327,36800,0
20050503,29.327,29.42,28.204,28.251,16388,0
20050504,28.148,28.459,27.986,28.242,8882,0
20050505,28.459,29.307,28.298,29.307,36950,0
20050506,29.515,29.694,29.155,29.599,20023,0
20050509,29.524,29.665,28.838,29.061,7775,0
20050510,28.789,29.59,28.129,28.599,9056,0
20050511,28.809,28.809,27.986,28.402,13124,0
20050512,28.609,28.969,28.024,28.024,31919,0
20050513,28.552,28.552,27.183,27.365,32062,0
20050516,27.686,28.645,27.542,28.589,8555,0
20050517,28.683,28.683,28.004,28.412,23339,0
20050518,28.683,29.93,28.683,29.787,24571,0
20050519,29.627,29.93,29.476,29.665,16596,0
20050520,29.401,29.533,28.969,29.365,16795,0
20050523,28.875,29.797,28.875,29.703,16730,0
20050524,29.797,29.845,29.439,29.778,17499,0
20050525,29.553,29.703,28.828,28.866,11133,0
20050526,29.061,29.768,28.894,29.476,9217,0
20050527,29.307,29.675,29.25,29.392,13769,0
20050531,29.135,30.589,29.135,30.327,37976,0
20050601,30.288,30.929,29.872,30.929,20227,0
20050602,29.967,30.929,29.967,30.807,27001,0
20050603,30.929,31.672,30.26,31.097,84933,0
20050606,30.949,30.949,30.307,30.467,11466,0
20050607,30.541,30.949,30.383,30.476,17809,0
20050608,30.184,30.929,29.93,30.204,50473,0
20050609,29.862,30.354,29.713,30.26,28042,0
20050610,30.089,30.175,29.92,29.938,3593,0
20050613,30.071,30.071,29.004,29.135,20891,0
20050614,29.213,30.117,29.145,29.778,33463,0
20050615,30.213,30.4,29.59,30.346,34318,0
20050616,30.136,31.325,29.93,31.307,40710,0
20050617,31.363,31.439,30.307,30.607,61946,0
20050620,30.693,30.693,29.93,30.673,16253,0
20050621,30.55,31.117,30.175,30.25,23804,0
20050622,30.627,31.202,30.213,31.202,36350,0
20050623,31.258,31.458,30.958,31.117,42168,0
20050624,30.929,30.929,30.194,30.673,99816,0
20050627,30.232,30.531,29.996,30.288,22351,0
20050628,30.513,31.55,30.117,31.513,36504,0
20050629,31.54,32.117,31.022,31.372,29186,0
20050630,31.56,32.307,30.337,30.476,46902,0
20050701,30.476,30.627,29.967,30.099,14908,0
20050705,30.194,32.862,30.194,32.786,36836,0
20050706,32.675,32.675,31.918,32.126,28945,0
20050707,31.258,32.126,31.087,32.107,17726,0
20050708,32.427,32.436,31.701,32.297,15193,0
20050711,32.058,32.975,32.058,32.975,13161,0
20050712,32.956,33.907,32.712,33.702,27763,0
20050713,33.492,33.492,33.069,33.343,14465,0
20050714,33.673,33.673,31.768,32.039,10716,0
20050715,31.826,32.483,31.797,32.436,9803,0
20050718,32.078,32.569,31.599,31.599,11529,0
20050719,32.307,32.843,31.768,32.843,11369,0
20050720,32.927,34.257,32.9,34.022,27165,0
20050721,33.86,33.946,32.289,32.297,29842,0
20050722,32.617,33.787,32.068,33.787,35890,0
20050725,33.842,33.842,33.259,33.259,17419,0
20050726,33.806,34.351,33.806,34.351,22346,0
20050727,34.144,34.653,33.955,34.653,46722,0
20050728,34.511,35.359,34.097,35.351,22774,0
20050729,35.359,35.738,34.74,35.03,15433,0
20050801,34.653,35.983,34.653,35.387,14066,0
20050802,35.126,36.485,35.126,36.388,17133,0
20050803,36.398,36.51,36.161,36.303,13576,0
20050804,36.51,36.51,34.672,34.888,16906,0
20050805,34.653,34.769,33.926,34.521,27417,0
20050808,34.692,34.804,33.502,33.502,10985,0
20050809,33.984,34.107,33.587,33.587,9733,0
20050810,33.456,33.749,32.002,32.483,65082,0
20050811,32.646,33.731,32.251,33.428,13962,0
20050812,33.171,33.22,32.325,33.003,16307,0
20050815,33.133,34.041,33.003,34.031,12665,0
20050816,33.712,34.022,33.013,33.013,13357,0
20050817,33.003,33.249,32.703,33.249,8948,0
20050818,33.003,33.287,32.852,32.862,11552,0
20050819,32.806,33.428,32.796,33.239,7742,0
20050822,33.023,33.768,32.917,33.465,12503,0
20050823,33.522,34.605,33.042,34.371,20112,0
20050824,34.417,35.774,34.267,35.239,22523,0
20050825,35.04,35.368,34.059,34.427,13745,0
20050826,34.202,34.436,33.259,33.259,18272,0
20050829,33.124,34.174,32.521,34.144,14313,0
20050830,34.267,34.267,33.55,33.731,10073,0
20050831,33.363,35.04,33.363,34.531,30227,0
20050901,34.361,34.56,33.635,34.115,9618,0
20050902,33.946,33.946,33.484,33.492,15398,0
20050906,33.475,34.779,33.456,34.779,17898,0
20050907,35.154,35.606,34.917,35.606,9806,0
20050908,34.956,35.322,34.05,34.323,12572,0
20050909,34.05,34.823,34.05,34.823,12945,0
20050912,34.888,35.549,34.304,35.351,8683,0
20050913,34.965,35.078,34.313,34.804,9654,0
20050914,34.682,35.342,34.211,34.455,20683,0
20050915,34.731,34.795,33.702,34.097,19250,0
20050916,34.436,34.436,33.587,34.05,72038,0
20050919,34.257,34.296,33.259,33.306,7938,0
20050920,33.645,33.955,32.956,32.985,18473,0
20050921,32.683,33.003,32.058,32.058,16384,0
20050922,32.445,32.549,32.03,32.297,10274,0
20050923,32.251,33.418,31.918,33.418,15240,0
20050926,33.475,34.888,33.051,34.888,29372,0
20050927,34.878,35.455,34.4,35.011,31933,0
20050928,34.888,35.211,34.701,35.211,11837,0
20050929,34.956,36.303,34.83,36.097,19935,0
20050930,35.597,35.692,35.368,35.559,7428,0
20051003,35.766,35.917,34.682,34.804,12016,0
20051004,34.858,35.426,34.427,34.492,16817,0
20051005,34.417,35.172,34.192,34.417,37191,0
20051006,34.371,34.75,33.722,33.815,21404,0
20051007,34.135,34.135,33.306,33.381,10413,0
20051010,33.568,33.568,33.013,33.171,10828,0
20051011,33.492,33.492,32.27,32.27,5398,0
20051012,32.289,32.289,31.599,31.692,30031,0
20051013,31.589,32.334,31.419,32.334,10079,0
20051014,32.806,33.267,32.289,33.267,5588,0
20051017,32.966,32.966,32.068,32.279,9287,0
20051018,32.068,32.068,31.439,31.608,14789,0
20051019,31.372,32.242,31.316,32.242,71452,0
20051020,32.531,32.956,32.164,32.483,44142,0
20051021,32.058,33.492,32.039,33.287,20830,0
20051024,33.475,33.946,33.475,33.946,12676,0
20051025,33.86,33.897,32.796,32.956,4744,0
20051026,32.683,33.86,32.683,33.277,9765,0
20051027,32.937,33.398,31.864,31.967,8508,0
20051028,31.9,33.456,31.9,33.456,10083,0
20051031,33.456,34.436,33.446,34.436,40223,0
20051101,34.031,34.304,33.907,34.107,8925,0
20051102,34.144,35.117,34.144,35.117,14523,0
20051103,35.126,35.135,34.663,34.983,18542,0
20051104,35.172,35.313,34.013,34.4,12173,0
20051107,34.926,34.926,34.05,34.427,6000,0
20051108,33.851,34.858,33.702,34.239,7235,0
