Date,Open,High,Low,Close,Volume,OpenInt
20050225,13.528,13.697,10.653,10.992,10615,0
20050228,11.159,11.836,10.992,10.992,23059,0
20050301,11.159,11.667,10.823,11.499,3655,0
20050302,11.328,11.499,10.823,10.823,3724,0
20050303,10.823,10.823,10.653,10.653,1838,0
20050304,10.484,10.823,10.484,10.484,1723,0
20050307,10.484,11.836,9.182,9.3,11331,0
20050308,8.6241,11.499,8.6241,11.328,9458,0
20050309,10.484,12.177,10.147,10.823,9166,0
20050310,10.992,12.177,10.678,10.992,3503,0
20050311,10.992,11.499,10.992,10.992,2684,0
20050314,11.328,11.499,10.314,10.484,2469,0
20050315,10.823,11.328,9.975,10.147,9432,0
20050316,9.807,10.147,9.3,9.807,9121,0
20050317,9.4694,10.147,9.1303,9.1303,3590,0
20050318,9.4694,10.653,9.4694,10.653,3209,0
20050321,10.992,11.836,10.653,10.653,2157,0
20050322,10.992,10.992,10.484,10.992,347,0
20050323,10.992,11.836,10.314,10.823,9676,0
20050324,10.948,10.948,8.1588,8.5817,106924,0
20050328,8.4553,8.4553,7.6093,7.6602,47072,0
20050329,7.6262,7.6517,6.8568,7.5585,25785,0
20050330,7.5247,7.9982,7.5247,7.9897,8280,0
20050331,8.0067,10.568,8.0067,10.568,41159,0
20050401,10.484,10.568,9.79,9.79,17032,0
20050404,9.706,9.706,9.563,9.563,1537,0
20050405,9.571,9.571,9.0221,9.0628,21643,0
20050406,9.0894,9.537,9.0533,9.1657,21170,0
20050407,9.1896,10.068,9.1896,9.807,17153,0
20050408,9.841,9.984,9.64,9.64,8280,0
20050411,9.725,9.766,9.258,9.2908,6507,0
20050412,9.3,9.63,9.3,9.612,5562,0
20050413,9.512,9.579,9.512,9.579,474,0
20050414,9.604,9.64,9.4862,9.555,3785,0
20050415,9.4763,9.891,9.4615,9.817,19868,0
20050418,9.725,9.766,9.679,9.679,710,0
20050419,9.612,9.725,9.555,9.725,1537,0
20050420,9.679,10.568,9.679,10.568,19991,0
20050421,10.696,10.738,10.323,10.602,23772,0
20050422,10.552,10.552,10.314,10.314,6625,0
20050425,10.314,10.314,10.314,10.314,236,0
20050426,10.314,10.314,10.239,10.247,2129,0
20050427,10.23,10.406,10.23,10.348,1300,0
20050428,10.358,10.358,10.306,10.323,6625,0
20050429,10.443,11.414,10.373,11.354,18213,0
20050502,11.439,11.829,11.439,11.627,27203,0
20050503,11.711,11.743,11.694,11.703,5677,0
20050504,11.642,11.711,11.583,11.627,12653,0
20050505,11.743,13.105,11.618,13.105,16915,0
20050506,13.248,17.291,13.248,17.163,92965,0
20050509,17.036,17.33,16.361,17.163,46246,0
20050510,17.036,17.036,16.401,16.695,29807,0
20050511,16.613,16.613,15.682,15.682,12065,0
20050512,15.642,15.642,13.105,13.612,27085,0
20050513,13.697,15.682,13.697,14.754,34297,0
20050516,14.838,16.233,14.838,15.548,41514,0
20050517,15.598,16.485,15.304,15.447,41159,0
20050518,15.642,16.149,15.464,16.072,27678,0
20050519,16.063,18.39,16.063,18.39,42698,0
20050520,18.346,19.481,17.03,19.481,54409,0
20050523,19.277,21.144,18.599,21.144,70374,0
20050524,20.967,22.195,20.123,21.558,65405,0
20050525,21.645,23.082,21.636,22.936,119340,0
20050526,22.936,23.927,22.152,22.659,79482,0
20050527,22.785,22.973,19.741,20.291,102664,0
20050531,20.08,20.08,18.855,19.455,262577,0
20050601,19.362,20.538,19.15,20.207,46012,0
20050602,20.207,20.207,19.032,19.835,80901,0
