Date,Open,High,Low,Close,Volume,OpenInt
20140707,31.923,31.961,31.923,31.961,23101,0
20140708,31.932,31.952,31.932,31.941,4373,0
20140709,31.923,31.999,31.923,31.961,58392,0
20140710,31.961,31.961,31.923,31.923,1020,0
20140711,31.914,31.914,31.833,31.902,2622,0
20140714,32.469,32.469,31.903,31.903,6028,0
20140715,31.905,31.914,31.762,31.833,5131,0
20140716,31.862,31.952,31.843,31.932,79553,0
20140717,32.255,32.255,31.658,31.658,3851,0
20140718,31.753,31.932,31.753,31.914,17476,0
20140721,31.789,31.789,31.789,31.789,1271,0
20140722,31.914,31.932,31.914,31.923,2231,0
20140723,31.896,31.896,31.862,31.862,63329,0
20140724,31.971,31.971,31.942,31.942,378,0
20140725,31.852,31.852,31.772,31.78,4038,0
20140728,31.705,31.9,31.705,31.895,3405,0
20140729,31.905,31.905,31.78,31.789,27843,0
20140730,31.789,31.789,31.593,31.622,5902,0
20140731,31.441,31.46,31.184,31.184,3466,0
20140801,31.084,31.13,30.974,31.13,35281,0
20140804,31.556,31.556,30.938,31.075,4364,0
20140805,31.121,31.121,30.808,30.865,10064,0
20140806,30.92,30.92,30.89,30.892,3697,0
20140807,30.856,30.856,30.78,30.78,1764,0
20140808,30.901,30.92,30.901,30.92,3061,0
20140811,31.38,31.469,31.292,31.341,174211,0
20140812,31.332,31.556,31.193,31.241,6771,0
20140813,31.547,31.547,31.302,31.441,12615,0
20140814,31.538,31.583,31.512,31.575,6984,0
20140815,31.696,31.733,31.469,31.612,71660,0
20140818,32.201,32.201,31.711,31.762,16128,0
20140819,31.825,31.91,31.825,31.862,1369,0
20140820,31.906,32.019,31.906,32.019,51207,0
20140821,32.082,32.112,32.062,32.072,6106,0
20140822,32.062,32.062,31.956,31.972,6203,0
20140825,32.164,32.164,32.062,32.12,16990,0
20140826,32.164,32.164,32.062,32.062,29814,0
20140827,32.072,32.112,32.069,32.093,28452,0
20140828,31.991,32.174,31.991,32.164,13452,0
20140829,32.174,32.248,32.174,32.248,8079,0
20140902,32.257,32.285,32.069,32.164,12224,0
20140903,32.715,32.715,32.222,32.238,38305,0
20140904,32.332,32.332,32.193,32.193,2748,0
20140905,32.202,32.414,32.184,32.414,29353,0
20140908,32.352,32.358,32.219,32.295,7608,0
20140909,32.12,32.156,32.027,32.053,12132,0
20140910,31.991,32.044,31.917,32.044,5644,0
20140911,32.184,32.184,32,32.184,8828,0
20140912,31.991,31.991,31.897,31.91,3346,0
20140915,31.972,31.981,31.906,31.962,3417,0
20140916,31.827,32.262,31.827,32.204,5947,0
20140917,32.291,32.291,32.156,32.253,1823,0
20140918,32.253,32.29,32.217,32.271,8628,0
20140919,32.373,32.373,32.281,32.32,6895,0
20140922,33.014,33.014,32.11,32.121,16308,0
20140923,32.039,32.039,31.967,31.967,3364,0
20140924,31.977,32.176,31.929,32.143,4295,0
20140925,31.875,31.929,31.801,31.801,6206,0
20140926,31.819,31.977,31.819,31.948,4348,0
20140929,31.842,31.948,31.827,31.911,7431,0
20140930,31.834,31.856,31.809,31.853,2963,0
20141001,31.766,31.801,31.607,31.607,2278,0
20141002,31.507,31.635,31.507,31.635,2553,0
20141003,31.727,31.874,31.727,31.856,12038,0
20141006,31.783,31.819,31.783,31.819,1312,0
20141007,31.766,31.775,31.498,31.498,8478,0
20141008,31.513,31.874,31.479,31.874,8069,0
20141009,31.489,31.55,31.462,31.507,2776,0
20141010,31.513,31.522,31.268,31.268,4162,0
20141013,31.242,31.372,30.957,30.957,27630,0
20141014,31.056,31.278,31.037,31.037,9456,0
20141015,31.304,31.304,30.303,30.983,42108,0
20141016,30.67,30.937,30.441,30.937,24429,0
20141017,31.204,31.204,31.03,31.167,1602,0
20141020,31.343,31.449,31.314,31.424,5278,0
20141021,31.768,31.945,31.632,31.939,5947,0
20141022,32.13,32.157,31.863,31.863,45886,0
20141023,32.14,32.224,32.017,32.029,34308,0
20141024,32.15,32.288,31.917,32.278,34601,0
20141027,32.616,32.616,32.139,32.24,36786,0
20141028,32.176,32.38,32.176,32.38,8880,0
20141029,32.492,32.914,32.186,32.364,52706,0
20141030,32.351,32.704,32.326,32.625,16041,0
