Date,Open,High,Low,Close,Volume,OpenInt
20140922,29.479,31.607,29.42,30.149,6428,0
20140923,30.548,31.123,30.246,30.49,41498,0
20140924,31.123,32.668,30.877,32.076,547388,0
20140925,32.54,32.777,30.605,30.877,712519,0
20140926,31.123,33.411,30.266,30.266,645989,0
20140929,31.123,31.123,29.907,29.907,1089149,0
20140930,29.77,30.927,29.371,29.75,38037759,0
20141001,29.302,30.49,29.302,30.149,10149704,0
20141002,29.859,30.441,29.177,29.469,9449786,0
20141003,29.08,29.167,28.204,28.748,5183492,0
20141006,28.254,28.895,28.204,28.613,5143714,0
20141007,28.234,28.349,26.394,26.746,7118514,0
20141008,26.085,27.348,25.77,27.057,9770337,0
20141009,26.484,26.609,25.432,25.804,8217633,0
20141010,25.5,25.821,25.14,25.287,5004015,0
20141013,25.14,27.027,25.101,25.457,3747230,0
20141014,25.529,25.597,25.11,25.267,3779114,0
20141015,24.888,25.277,24.362,24.809,4979576,0
20141016,24.324,25.149,24.315,24.529,2969846,0
20141017,24.509,26.21,24.509,25.938,2958195,0
20141020,25.549,26.512,25.365,26.454,2725757,0
20141021,26.552,27.328,26.114,27.26,3433539,0
20141022,27.242,27.592,26.794,27.348,1795366,0
20141023,26.989,29.08,25.715,28.292,6092529,0
20141024,28.195,28.807,28.136,28.565,1357185,0
20141027,28.204,29.273,27.766,28.973,3915225,0
20141028,30.548,32.426,30.149,32.113,8852650,0
20141029,32.085,32.191,31.166,31.472,3468604,0
20141030,31.238,32.027,30.957,31.755,1664517,0
20141031,31.909,32.949,31.539,32.678,2970464,0
20141103,32.482,32.805,32.349,32.688,2978085,0
20141104,32.378,32.767,32.319,32.697,1739518,0
20141105,32.863,33.72,32.6,33.671,3887977,0
20141106,33.691,35.45,33.691,35.108,3608637,0
20141107,35.108,35.762,34.769,35.586,2022957,0
20141110,35.44,35.926,35.158,35.799,1452022,0
20141111,35.586,37.851,35.381,37.724,3788905,0
20141112,37.25,39.641,37.25,38.923,4009948,0
20141113,38.844,40.848,38.275,40.779,2287818,0
20141114,40.643,40.965,38.475,38.583,2150594,0
20141117,37.601,39.301,36.86,39.136,1465564,0
20141118,39.039,39.096,37.231,38.027,1154042,0
20141119,37.951,38.067,36.958,37.345,748297,0
20141120,36.85,37.395,36.782,37.093,1778722,0
20141121,37.365,37.639,36.938,37.395,2176767,0
20141124,37.152,37.482,36.831,37.413,1645996,0
20141125,37.395,37.502,37.053,37.192,1734170,0
20141126,37.034,37.838,36.907,37.044,764373,0
20141128,36.597,37.582,36.587,37.142,399110,0
20141201,36.898,38.657,36.713,38.479,1373111,0
20141202,38.234,40.566,37.66,39.484,1568194,0
20141203,39.268,40.158,39.122,39.57,1791212,0
20141204,39.367,40.01,39.092,39.893,909064,0
20141205,39.718,40,38.899,39.083,965159,0
20141208,38.869,39.99,38.479,39.357,1378228,0
20141209,38.243,39.931,38.243,39.787,967419,0
20141210,39.446,40.341,38.752,38.929,1209955,0
20141211,39.493,39.816,38.682,39.19,1814446,0
20141212,38.138,39.455,38.1,39.035,1005073,0
20141215,38.997,38.997,38.03,38.459,871377,0
20141216,37.981,38.859,37.775,37.824,1366951,0
20141217,38.352,39.484,38.05,39.367,966718,0
20141218,39.757,39.777,38.605,39.718,1089573,0
20141219,39.512,39.912,38.633,39.308,4174734,0
20141222,39.2,39.268,38.377,38.829,770533,0
20141223,38.859,40.49,38.812,39.609,994099,0
20141224,39.738,40.331,39.728,40.244,208511,0
20141226,40.371,42.109,40.206,40.283,2527056,0
20141229,40.039,40.197,39.426,39.98,374927,0
20141230,39.579,39.698,39.17,39.426,512785,0
20141231,39.239,39.97,39.083,39.767,511408,0
20150102,39.797,40.293,38.4,39.484,937760,0
20150105,38.819,39.112,38.548,38.849,1074316,0
20150106,38.801,39.083,37.883,38.742,1044614,0
20150107,39.016,39.053,38.001,38.839,812439,0
20150108,39.025,40.49,38.972,39.865,891105,0
20150109,39.757,40.624,39.455,40.283,871708,0
20150112,39.708,40.595,39.579,40.538,793978,0
20150113,40.351,42.196,40.351,41.25,1223366,0
20150114,40.167,41.669,40,40.917,809813,0
20150115,40.831,41.649,40.43,40.692,1281794,0
20150116,40.585,41.23,40.547,41.064,609833,0
