Date,Open,High,Low,Close,Volume,OpenInt
20130627,17.076,18.15,16.824,17.783,8560664,0
20130628,17.811,18.557,17.792,18.024,741087,0
20130701,18.052,18.296,17.753,17.753,407145,0
20130702,17.753,19.015,17.679,18.606,231131,0
20130703,18.381,18.591,18.072,18.467,107121,0
20130705,18.576,18.741,17.957,18.606,115494,0
20130708,18.44,18.855,18.258,18.615,114102,0
20130709,18.517,19.283,18.449,18.874,213222,0
20130710,18.845,19.313,18.44,18.487,345954,0
20130711,18.44,19.022,18.44,18.953,112391,0
20130712,18.615,18.913,18.596,18.884,118379,0
20130715,18.741,19.118,18.606,18.933,183149,0
20130716,18.431,19.988,18.431,19.455,247165,0
20130717,19.37,19.816,19.089,19.719,143715,0
20130718,19.845,20.324,19.42,20.163,167316,0
20130719,20.329,20.706,20.106,20.173,652249,0
20130722,19.941,20.037,19.572,19.691,509170,0
20130723,19.641,20.027,19.362,19.572,42804,0
20130724,19.582,20.027,19.408,19.913,44963,0
20130725,19.691,21.278,19.362,21.278,239999,0
20130726,21.412,21.431,20.378,20.901,145948,0
20130729,20.812,21.298,20.386,21.006,87930,0
20130730,21.015,21.102,20.134,20.91,97751,0
20130731,21.092,21.092,20.512,20.812,54240,0
20130801,20.763,21.101,20.488,20.966,187584,0
20130802,20.976,21.778,20.493,21.71,233054,0
20130805,21.71,22.263,21.55,22.061,108221,0
20130806,22.099,22.361,21.868,22.08,433509,0
20130807,22.071,22.253,21.918,22.214,85577,0
20130808,22.263,22.361,22.071,22.331,76549,0
20130809,22.118,22.38,22.118,22.311,69612,0
20130812,22.118,22.458,22.118,22.42,120035,0
20130813,22.4,22.796,22.118,22.651,105787,0
20130814,22.556,22.651,22.41,22.613,74433,0
20130815,22.651,22.651,22.071,22.263,289341,0
20130816,22.243,22.351,22.071,22.311,84912,0
20130819,22.263,22.4,21.972,22.351,202558,0
20130820,22.68,22.99,22.137,22.371,142529,0
20130821,22.331,22.556,22.071,22.292,91957,0
20130822,22.311,22.551,22.118,22.273,54365,0
20130823,22.223,22.565,22.137,22.527,40199,0
20130826,22.527,22.527,22.219,22.243,130650,0
20130827,22.137,22.176,21.298,21.51,290016,0
20130828,21.72,21.72,21.2,21.278,80886,0
20130829,21.161,21.431,20.589,21.372,177210,0
20130830,21.307,21.451,21.151,21.228,114561,0
20130903,21.451,22.429,21.082,21.808,97136,0
20130904,21.74,22.273,21.316,22.273,121777,0
20130905,22.176,22.99,22.071,22.575,87208,0
20130906,22.565,22.99,22.251,22.497,106354,0
20130909,22.527,22.766,21.932,22.223,127759,0
20130910,22.263,22.497,21.869,22.292,129771,0
20130911,22.167,22.766,21.788,22.67,128850,0
20130912,22.651,22.786,22.283,22.351,694410,0
20130913,22.283,22.766,22.167,22.746,220871,0
20130916,22.894,23.204,22.507,23.106,193155,0
20130917,23.057,23.213,22.351,22.487,325913,0
20130918,22.341,23.223,22.223,23.026,282689,0
20130919,22.845,23.136,22.42,22.709,348014,0
20130920,22.613,22.776,21.956,22.157,1209573,0
20130923,22.167,23.184,22.015,23.095,456983,0
20130924,23.106,23.61,23.087,23.522,406816,0
20130925,23.522,23.65,23.233,23.357,271896,0
20130926,23.484,23.726,23.067,23.223,489049,0
20130927,23.194,23.62,23.028,23.213,162070,0
20130930,23.057,23.32,22.052,22.099,1480499,0
20131001,21.976,22.458,21.908,22.458,122415,0
20131002,22.39,22.41,21.559,22.052,183263,0
20131003,21.995,22.575,21.918,22.575,94006,0
20131004,22.595,22.613,22.42,22.604,113944,0
20131007,22.448,22.575,22.233,22.311,58471,0
20131008,22.263,22.546,22.08,22.38,131197,0
20131009,22.439,22.584,21.788,21.956,67014,0
20131010,22.08,22.57,22.015,22.311,112272,0
20131011,22.321,22.527,22.137,22.253,73721,0
20131014,22.204,22.214,21.798,22.052,94163,0
20131015,22.061,22.176,21.788,21.928,80198,0
20131016,21.976,22.176,21.644,21.946,76757,0
20131017,21.838,22.331,21.431,22.052,104027,0
20131018,22.176,22.41,21.848,22.253,97004,0
20131021,22.253,22.39,21.778,21.838,41942,0
20131022,21.848,22.176,21.316,22.071,48242,0
20131023,21.402,22.361,21.015,21.995,130475,0
20131024,21.976,21.976,20.522,21.307,244937,0
20131025,21.298,21.928,20.802,21.441,169215,0
20131028,21.55,21.749,21.141,21.345,125828,0
20131029,21.461,21.644,21.062,21.248,70455,0
20131030,21.218,21.47,20.406,21.392,175825,0
20131031,21.18,21.53,20.628,21.288,154855,0
20131101,22.263,22.805,21.2,21.345,314979,0
20131104,21.102,22.301,21.006,22.204,223145,0
20131105,22.263,22.604,21.908,22.263,179339,0
20131106,22.263,22.507,22.071,22.253,116736,0
20131107,22.223,22.497,21.898,22.243,311259,0
20131108,22.223,22.321,21.818,22.214,572726,0
20131111,21.672,21.672,20.92,21.023,178042,0
20131112,20.901,20.957,20.037,20.416,494422,0
20131113,20.097,20.591,19.933,20.165,960974,0
20131114,20.389,20.815,19.98,20.039,7174764,0
