Date,Open,High,Low,Close,Volume,OpenInt
20050225,196,198.66,182,193.2,69806,0
20050228,203.49,217,194.67,207.9,134978,0
20050301,211.68,211.68,196.14,203,54575,0
20050302,206.92,206.92,171.5,182.91,178482,0
20050303,183.05,186.2,175.07,179.69,36353,0
20050304,179.27,192.29,175,189.7,53681,0
20050307,188.37,202.65,188.37,195.86,40175,0
20050308,193.9,199.57,182.35,189.56,15378,0
20050309,191.45,191.45,175.21,181.65,25672,0
20050310,180.74,180.74,168.7,174.3,41574,0
20050311,171.22,175.56,168.07,172.76,18776,0
20050314,171.5,171.5,151.2,153.37,62036,0
20050315,162.4,171.36,161,165.9,49703,0
20050316,166.95,170.03,161.56,162.12,20557,0
20050317,161.35,162.4,154,156.8,23850,0
20050318,157.15,168,157.15,161.56,9074,0
20050321,160.58,164.22,152.95,154.77,10172,0
20050322,154.7,163.59,151.48,153.16,17922,0
20050323,152.32,154.07,142.45,147.21,23208,0
20050324,144.41,156.87,144.2,155.26,18966,0
20050328,156.59,157.99,147.84,156.59,8898,0
20050329,150.92,153.44,144.06,149.17,16089,0
20050330,150.5,153.09,145.6,149.03,8520,0
20050331,149.8,158.34,146.44,149.03,33473,0
20050401,148.54,151.9,140.14,142.38,21522,0
20050404,144.9,147.98,132.51,141.68,25929,0
20050405,142.03,142.59,135.66,141.12,19842,0
20050406,141.05,142.73,136.5,137.55,19350,0
20050407,136.15,140,134.33,140,7129,0
20050408,140.07,140.77,134.96,136.78,9782,0
20050411,139.3,139.3,131.6,135.31,15883,0
20050412,144.13,162.54,143.92,159.6,89748,0
20050413,164.5,175,161.91,165.69,80616,0
20050414,161.21,164.43,154.7,156.73,27187,0
20050415,155.05,158.55,145.67,151.9,17105,0
20050418,150.78,154.7,145.25,149.1,21055,0
20050419,148.75,160.72,148.75,157.5,13967,0
20050420,157.5,159.04,143.78,147.56,23116,0
20050421,147.14,154.49,144.55,154,22781,0
20050422,153.65,155.75,149.87,155.05,16663,0
20050425,155.75,158.9,152.6,156.94,11816,0
20050426,157.5,169.75,154.28,162.19,32266,0
20050427,164.43,166.25,158.2,165.2,16071,0
20050428,165.9,169.33,159.95,165.41,8000,0
20050429,164.5,169.47,162.61,165.83,5506,0
20050502,166.11,173.88,164.43,169.26,11729,0
20050503,168.42,171.5,162.26,170.1,10988,0
20050504,174.65,180.74,168.49,177.8,34782,0
20050505,179.55,187.95,178.01,185.85,17715,0
20050506,186.9,189,180.04,184.1,9886,0
20050509,185.5,185.5,180.88,183.05,5782,0
20050510,182.14,185.36,180.32,182,2783,0
20050511,182,184.73,175.35,182.35,5421,0
20050512,183.33,189.21,178.01,180.32,3153,0
20050513,179.55,179.55,164.5,169.4,16780,0
20050516,168,172.27,165.76,171.85,5492,0
20050517,169.75,175,169.4,173.25,4549,0
20050518,174.02,177.17,170.45,173.95,19358,0
20050519,175,176.05,171.08,172.27,4519,0
20050520,172.9,174.23,168.77,172.55,4745,0
20050523,173.6,173.95,168.7,171.71,6605,0
20050524,168,168.49,159.39,162.75,27021,0
20050525,163.73,163.73,157.29,158.06,9184,0
20050526,157.85,167.93,157.85,162.33,6391,0
20050527,167.44,167.44,161.14,164.15,3980,0
20050531,166.25,168.7,162.4,163.8,5919,0
20050601,165.41,169.33,162.61,169.05,20484,0
20050602,169.4,171.5,168.7,171.5,11503,0
20050603,172.06,173.04,168.7,172.9,9813,0
20050606,173.74,177.1,171.71,175.28,18296,0
20050607,175.7,177.31,174.58,176.75,9149,0
20050608,176.75,177.59,175,175.42,11280,0
20050609,174.51,175.07,168.07,173.53,9711,0
20050610,173.6,173.67,167.3,170.17,4966,0
20050613,170.38,170.38,166.25,168.28,6338,0
20050614,167.86,167.86,162.19,165.27,19533,0
20050615,163.38,168,162.4,167.37,15445,0
20050616,171.01,176.68,164.57,167.93,65701,0
20050617,175.7,179.76,171.5,176.4,208754,0
20050620,178.29,181.3,170.31,175.35,74252,0
20050621,175.77,176.05,171.5,175.49,18660,0
20050622,175.98,178.29,175,176.05,14895,0
20050623,175.28,177.24,168.14,170.17,24054,0
20050624,167.79,170.17,157.5,164.71,79124,0
20050627,161,166.11,161,164.57,24943,0
20050628,164.08,170.73,161,168.98,17988,0
20050629,172.48,172.48,165.27,167.09,14018,0
20050630,166.67,172.69,165.62,169.54,19250,0
20050701,169.96,171.5,166.67,169.4,8621,0
20050705,168.14,170.94,165.76,170.03,9357,0
20050706,168.84,172.69,167.16,169.4,7455,0
20050707,167.72,178.5,167.16,178.5,74199,0
20050708,187.25,196,185.57,191.31,91342,0
20050711,192.5,197.75,191.87,194.25,32675,0
20050712,195.23,195.23,191.31,194.39,10729,0
20050713,194.53,194.67,191.94,193.62,11411,0
20050714,194.25,199.5,193.13,193.97,27533,0
20050715,193.97,195.16,185.5,194.6,17230,0
20050718,195.3,196.07,189,189,13276,0
20050719,193.13,193.13,180.6,183.26,51867,0
20050720,184.1,189.7,178.92,189,19958,0
20050721,189,189,182,184.66,8561,0
20050722,185.08,185.78,182.07,185.5,18587,0
20050725,186.41,187.18,182.07,182.98,11790,0
20050726,183.75,186.55,182.77,183.4,16370,0
20050727,183.75,185.36,172.2,182.7,20984,0
20050728,182,197.68,182,196.91,47489,0
20050729,201.95,203,193.41,197.26,48840,0
20050801,199.29,205.94,193.27,205.73,84280,0
20050802,187.95,193.34,182.56,186.34,131067,0
20050803,182.7,191.17,182.7,186.27,53112,0
20050804,185.43,187.04,180.88,185.29,19965,0
20050805,183.4,183.75,165.13,170.45,64231,0
20050808,168.98,170.17,158.13,160.72,59395,0
20050809,161.21,171.36,160.72,165.62,37634,0
20050810,166.53,170.03,161.07,166.74,18388,0
20050811,165.9,168,161.49,166.74,17486,0
20050812,166.04,167.79,162.4,163.94,10662,0
20050815,163.66,164.85,159.81,163.03,7068,0
20050816,162.61,162.75,160.58,161.63,5123,0
20050817,161,161,151.2,156.1,26236,0
20050818,156.87,157.99,152.6,157.08,15748,0
20050819,158.13,158.13,153.3,154,20380,0
20050822,153.44,156.59,152.6,156.52,8633,0
20050823,156.8,157.5,152.95,154.7,9545,0
20050824,154.56,165.2,153.37,156.87,18342,0
20050825,157.5,160.58,144.41,146.3,47575,0
20050826,144.55,147.91,141.75,146.93,19895,0
20050829,145.18,147.91,143.08,145.88,33263,0
20050830,144.76,149.31,144.2,144.55,17502,0
20050831,144.55,150.08,143.71,149.1,23126,0
20050901,149.52,152.74,147.07,151.9,10816,0
20050902,152.25,159.46,148.47,148.89,19888,0
20050906,149.66,151.97,147.98,151.2,19512,0
20050907,150.99,152.39,148.68,150.5,12439,0
20050908,148.54,148.75,140,144.27,26608,0
20050909,143.71,146.23,140.7,143.5,14442,0
20050912,143.78,145.39,143.22,145.32,11553,0
20050913,145.32,146.23,142.1,142.94,16326,0
20050914,143.01,143.01,137.9,140.91,18311,0
20050915,141.47,145.88,141.47,142.1,11205,0
20050916,143.22,143.29,139.02,140.21,7329,0
20050919,139.86,140.84,134.82,136.85,6834,0
20050920,136.71,137.13,126.7,129.64,27271,0
20050921,128.8,133,127.75,129.08,23163,0
20050922,129.5,135.87,129.5,135.52,14360,0
20050923,135.1,139.79,130.55,134.75,13763,0
20050926,134.75,136.08,130.55,132.23,7429,0
