Date,Open,High,Low,Close,Volume,OpenInt
20050225,22.711,23.021,22.646,23.016,8173,0
20050228,23.094,23.293,22.631,23.184,40323,0
20050301,23.087,23.354,22.972,23.001,12724,0
20050302,22.964,23.036,22.178,22.207,12124,0
20050303,22.149,22.711,22.141,22.609,18378,0
20050304,22.456,23.102,22.368,22.993,6878,0
20050307,22.476,23.184,22.476,23.094,2342,0
20050308,23.265,23.412,22.609,23.079,23279,0
20050309,23.257,23.483,22.731,22.778,15772,0
20050310,23.184,23.405,22.753,23.029,11742,0
20050311,23.087,23.321,22.823,23.049,20582,0
20050314,23.293,23.741,22.901,23.398,18126,0
20050315,23.347,23.761,22.815,22.867,18609,0
20050316,22.489,23.036,22.36,22.566,10924,0
20050317,22.631,22.964,22.504,22.696,7254,0
20050318,22.738,22.738,22.242,22.242,22638,0
20050321,22.375,22.703,22.261,22.489,11175,0
20050322,22.339,22.456,21.744,21.85,11622,0
20050323,21.659,21.98,21.523,21.523,10221,0
20050324,21.857,22.171,20.992,21.147,15609,0
20050328,21.545,21.545,20.529,20.529,11525,0
20050329,20.75,21.083,19.969,20.182,11876,0
20050330,20.232,20.892,19.871,20.82,42299,0
20050331,20.812,21.49,20.488,21.382,27194,0
20050401,21.587,21.779,20.403,21.503,39342,0
20050404,20.986,21.779,20.906,21.645,30363,0
20050405,21.53,21.73,20.563,20.95,42935,0
20050406,21.132,21.283,20.488,21.07,12731,0
20050407,21.323,22.318,21.234,21.98,28004,0
20050408,21.689,22.106,21.345,21.454,13339,0
20050411,21.33,21.517,20.77,20.77,5680,0
20050412,20.556,21.359,19.962,21.311,21233,0
20050413,21.303,21.689,21.198,21.213,19966,0
20050414,21.183,21.382,21,21,13701,0
20050415,21.033,21.645,20.856,20.877,11348,0
20050418,20.856,20.856,20.659,20.737,2679,0
20050419,21.098,21.098,20.522,20.757,12926,0
20050420,20.403,20.556,19.741,19.828,29468,0
20050421,20.219,21.047,20.219,20.637,18381,0
20050422,20.593,20.593,19.692,19.706,21514,0
20050425,19.635,19.906,19.606,19.699,4296,0
20050426,19.962,20.466,19.925,20.329,14937,0
20050427,20.352,20.885,19.877,20.73,14378,0
20050428,20.63,20.85,19.856,19.932,19006,0
20050429,20.005,20.239,19.771,20.197,12713,0
20050502,20.267,20.44,19.969,20.182,9509,0
20050503,20.083,20.083,19.734,19.891,7436,0
20050504,19.925,20.26,19.906,19.906,3137,0
20050505,20.047,20.289,19.841,20.289,3943,0
20050506,20.466,20.563,20.005,20.005,10805,0
20050509,20.005,20.396,19.955,20.396,5027,0
20050510,20.282,20.282,19.955,20.075,10067,0
20050511,19.955,20.104,19.706,19.793,15730,0
20050512,19.806,19.998,19.734,19.771,5721,0
20050513,19.771,19.955,19.726,19.726,3337,0
20050516,19.741,19.919,19.628,19.793,7864,0
20050517,19.969,19.99,19.771,19.771,3523,0
20050518,20.04,20.765,20.04,20.765,6685,0
20050519,20.943,21.055,20.616,20.957,14930,0
20050520,20.701,20.856,20.155,20.586,19677,0
20050523,20.245,21.318,20.245,21.247,9172,0
20050524,21.565,21.565,21.055,21.352,27728,0
20050525,20.95,21.382,20.862,21.352,26209,0
20050526,21.311,21.908,21.311,21.807,6406,0
20050527,21.425,22.041,21.425,22.041,9084,0
20050531,21.779,22.353,21.779,22.296,7372,0
20050601,22.36,22.36,21.447,22.041,21091,0
20050602,21.842,22.214,21.842,22.171,4578,0
20050603,22.229,22.235,21.785,21.785,1408,0
20050606,22.164,22.559,21.879,22.504,17085,0
20050607,22.552,23.575,22.552,23.17,26491,0
20050608,23.369,23.589,23.021,23.128,14513,0
20050609,23.513,23.513,22.972,23.102,3472,0
20050610,23.306,23.412,23.277,23.347,2652,0
20050613,23.094,23.265,22.93,22.93,1408,0
20050614,23.121,23.688,23.064,23.121,8289,0
20050615,23.596,23.596,22.703,22.703,12250,0
20050616,22.517,22.951,22.482,22.93,4387,0
20050617,23.102,23.102,22.609,22.859,19220,0
20050620,22.759,22.867,22.552,22.559,4956,0
20050621,22.427,22.523,22.412,22.427,3802,0
20050622,22.88,22.88,22.303,22.609,5203,0
20050623,22.261,22.668,22.106,22.106,10031,0
20050624,22.537,22.545,21.779,21.779,44577,0
20050627,21.696,21.95,21.696,21.864,7382,0
20050628,21.894,22.427,21.879,22.427,7954,0
20050629,22.019,22.894,22.019,22.815,34917,0
20050630,22.442,22.957,22.368,22.383,5966,0
20050701,22.149,22.682,22.149,22.631,3560,0
20050705,22.964,22.964,22.566,22.901,13240,0
20050706,23.029,23.056,22.427,22.66,14995,0
20050707,22.427,23.056,21.792,22.83,7454,0
20050708,22.986,22.986,22.442,22.894,10908,0
20050711,22.531,23.383,22.531,23.25,14815,0
20050712,23.227,23.383,23.156,23.321,6162,0
20050713,23.681,23.681,23.178,23.178,28150,0
20050714,23.149,23.227,22.867,23.029,6887,0
20050715,22.894,23.227,22.588,22.766,5844,0
20050718,22.696,23.094,22.303,22.303,6860,0
20050719,22.594,22.594,22.242,22.405,1111,0
20050720,22.853,23.056,22.853,23.056,985,0
20050721,22.574,23.041,22.192,22.449,5858,0
20050722,22.339,22.427,22.171,22.303,4918,0
20050725,22.326,22.482,22.141,22.311,4323,0
20050726,22.171,22.36,22.106,22.242,4359,0
20050727,22.207,22.908,22.207,22.703,2056,0
20050728,22.766,22.874,22.766,22.874,1080,0
20050729,22.517,22.951,22.427,22.427,3380,0
20050801,22.427,22.639,22.427,22.427,4861,0
20050802,22.427,23.079,22.427,22.785,15668,0
20050803,22.88,22.88,22.427,22.88,7712,0
20050804,22.88,22.88,22.427,22.427,7460,0
