Date,Open,High,Low,Close,Volume,OpenInt
20150820,33.12,33.169,33.1,33.1,1562,0
20150821,32.564,32.564,32.225,32.225,312,0
20150824,31.786,31.786,31.786,31.786,156,0
20150825,32.005,32.005,32.005,32.005,101,0
20150826,31.554,31.554,31.554,31.554,208,0
20150827,32.456,32.65,32.456,32.554,728,0
20150831,32.324,32.324,32.265,32.284,521,0
20150901,31.363,31.373,31.363,31.373,625,0
20150910,31.986,32.083,31.986,32.083,208,0
20150917,32.908,32.917,32.908,32.917,208,0
20150930,31.147,31.147,31.147,31.147,101,0
20151002,31.82,31.82,31.82,31.82,101,0
20151008,32.736,32.736,32.736,32.736,312,0
20151009,32.996,32.996,32.996,32.996,101,0
20151012,32.966,32.966,32.966,32.966,520,0
20151013,32.744,32.744,32.744,32.744,101,0
20151014,32.716,32.716,32.716,32.716,101,0
20151015,33.119,33.119,33.119,33.119,101,0
20151016,33.226,33.255,33.226,33.255,208,0
20151019,33.053,33.053,33.053,33.053,208,0
20151023,33.765,33.765,33.746,33.756,312,0
20151026,33.658,33.658,33.658,33.658,101,0
20151105,33.38,33.38,33.38,33.38,520,0
20151106,33.109,33.976,32.907,33.216,12052,0
20151109,32.832,32.832,32.832,32.832,101,0
20151111,33.033,33.109,33.033,33.099,727,0
20151112,32.707,32.773,32.707,32.754,727,0
20151113,32.533,32.542,32.444,32.454,2494,0
20151116,32.926,33.698,32.273,32.783,291743,0
20151117,32.832,32.897,32.763,32.793,936,0
20151118,32.841,32.956,32.802,32.887,1767,0
20151119,33.187,33.294,33.187,33.275,4051,0
20151120,33.275,33.294,33.187,33.245,43221,0
20151123,33.099,33.119,33.043,33.043,6234,0
20151124,32.812,33.043,32.812,33.004,624,0
20151125,33.099,33.187,33.004,33.004,3326,0
20151202,33.582,33.582,33.226,33.226,1038,0
20151203,33.204,33.204,32.956,32.956,3137,0
20151204,33.099,33.34,33.089,33.34,832,0
20151208,32.599,32.599,32.599,32.599,133,0
20151211,32.032,32.032,31.964,31.964,312,0
20151214,31.87,31.943,31.869,31.869,726,0
20151215,32.223,32.223,32.051,32.051,727,0
20151216,32.273,32.273,32.273,32.273,832,0
20151217,32.37,32.37,32.37,32.37,208,0
20151221,32.186,32.186,32.186,32.186,101,0
20151223,32.628,32.638,32.628,32.638,1246,0
20151224,32.716,32.726,32.716,32.726,579,0
20151230,32.819,32.879,32.819,32.879,83352,0
20151231,32.538,32.538,32.538,32.538,1347,0
20160104,31.611,31.611,31.611,31.611,311,0
20160105,31.736,31.737,31.736,31.737,222,0
20160106,31.282,31.311,31.282,31.311,482,0
20160107,30.927,30.928,30.58,30.58,1044,0
20160108,30.549,30.565,30.531,30.565,756,0
20160111,30.404,30.54,30.404,30.54,317,0
20160112,30.703,30.703,30.607,30.607,311,0
20160113,30.616,30.616,30.53,30.53,227,0
20160114,30.319,30.531,30.319,30.531,281,0
20160115,29.343,29.526,29.343,29.526,1033,0
20160119,29.691,29.72,29.499,29.72,2797,0
20160120,28.802,29.168,28.802,29.168,443,0
20160121,29.249,29.249,29.249,29.249,107,0
20160122,28.977,29.934,28.977,29.856,430,0
20160126,30.027,30.027,30.027,30.027,101,0
20160127,30.006,30.431,30.006,30.22,733,0
20160128,30.135,30.135,30.135,30.135,101,0
20160201,30.481,30.54,30.385,30.54,127332,0
20160202,29.944,29.962,29.944,29.962,540,0
20160203,30.066,30.066,29.547,30.018,753,0
20160204,30.176,30.26,29.845,30.26,4491,0
20160205,29.73,29.73,29.73,29.73,101,0
20160208,28.997,29.025,28.997,29.025,297,0
20160209,42.442,42.442,28.784,28.784,1106,0
20160211,28.302,28.544,28.302,28.544,1390,0
20160212,28.599,28.629,28.599,28.629,460,0
20160216,29.198,29.265,29.121,29.248,105905,0
20160217,29.835,29.835,29.748,29.748,207,0
20160218,30.135,30.135,29.895,30.057,414,0
20160219,29.885,29.885,29.758,29.767,26876,0
20160222,30.22,30.22,30.22,30.22,311,0
20160224,29.325,29.691,29.325,29.691,207,0
20160225,30.066,30.066,30.066,30.066,101,0
20160226,30.047,30.047,29.988,29.988,207,0
20160229,29.964,29.964,29.964,29.964,414,0
20160301,30.454,30.645,30.454,30.645,269,0
20160302,30.596,30.596,30.56,30.56,7227,0
20160308,30.914,30.914,30.904,30.904,794,0
20160314,31.357,31.367,31.357,31.367,504,0
20160315,31.443,31.56,31.433,31.55,92106,0
20160316,31.88,31.88,31.88,31.88,591,0
20160318,32.255,32.255,32.179,32.179,865,0
20160321,32.139,32.159,32.111,32.148,36681,0
20160322,32.028,32.121,32.023,32.023,1093,0
20160323,31.763,31.763,31.763,31.763,1021,0
20160328,31.868,31.868,31.868,31.868,637,0
20160329,31.811,31.811,31.802,31.802,310,0
20160330,32.525,32.525,32.525,32.525,108,0
20160331,32.417,32.417,32.417,32.417,186,0
20160401,31.964,31.964,31.84,31.84,58076,0
20160404,31.773,31.773,31.773,31.773,101,0
20160405,31.377,31.377,31.377,31.377,108,0
20160406,31.729,31.733,31.729,31.733,387,0
20160407,31.183,31.183,31.183,31.183,461,0
20160408,31.992,31.992,31.992,31.992,254,0
20160412,32.788,32.788,32.788,32.788,215,0
20160414,32.788,32.788,32.778,32.788,2300,0
20160415,32.749,32.749,32.68,32.68,486,0
20160418,32.902,32.902,32.807,32.807,1898,0
20160419,33.336,33.336,33.336,33.336,101,0
20160420,33.376,33.376,33.376,33.376,101,0
20160421,33.155,33.155,32.981,33.008,1639,0
20160425,32.773,32.773,32.773,32.773,146,0
20160426,32.921,33.018,32.921,33.018,440,0
20160427,32.968,32.968,32.968,32.968,340,0
20160428,32.981,32.981,32.981,32.981,582,0
20160429,32.487,32.487,32.487,32.487,240,0
20160502,32.971,32.971,32.971,32.971,101,0
20160503,32.497,32.497,32.497,32.497,101,0
20160504,32.114,32.114,32.114,32.114,311,0
20160510,32.242,32.438,32.242,32.438,715,0
20160511,33.251,33.251,33.251,33.251,449,0
20160512,32.408,32.408,32.314,32.314,621,0
20160513,32.051,32.051,32.051,32.051,131,0
20160516,32.111,32.188,32.111,32.188,207,0
20160517,32.28,32.28,32.042,32.071,783,0
20160519,31.819,31.819,31.819,31.819,170,0
20160520,32.102,32.139,32.102,32.138,1954,0
20160524,32.44,32.48,32.396,32.477,2552,0
20160525,32.651,32.68,32.547,32.68,624,0
20160526,33.511,33.511,32.633,32.633,433,0
20160531,32.603,32.621,32.603,32.621,1242,0
20160601,32.52,32.52,32.52,32.52,344,0
20160602,32.479,32.621,32.479,32.621,435,0
20160607,33.241,33.241,33.193,33.193,17666,0
20160610,32.545,32.545,32.364,32.364,414,0
20160614,31.391,31.391,31.312,31.312,20912,0
20160620,32.526,32.585,32.363,32.543,6880,0
20160621,32.702,32.761,32.682,32.761,941,0
20160622,32.702,32.751,32.536,32.622,409,0
20160627,29.935,29.935,29.757,29.757,35336,0
20160628,30.696,30.745,30.52,30.725,1329,0
20160629,31.214,31.302,31.133,31.302,2358,0
20160705,31.048,31.048,31.038,31.038,1021,0
20160707,30.925,30.925,30.925,30.925,516,0
20160715,32.184,32.184,32.183,32.183,376,0
20160718,31.783,32.378,31.783,32.378,968,0
20160719,32.115,32.144,32.115,32.144,409,0
20160721,32.397,32.397,32.397,32.397,614,0
20160725,32.212,32.212,32.212,32.212,12886,0
20160726,32.398,32.456,32.398,32.456,409,0
20160727,32.47,32.47,32.47,32.47,311,0
20160728,32.613,32.613,32.613,32.613,614,0
20160729,32.825,32.825,32.825,32.825,175,0
20160801,32.721,32.721,32.721,32.721,133,0
20160808,32.688,32.777,32.688,32.777,1247,0
20160812,33.483,33.483,33.483,33.483,172,0
20160815,33.405,33.405,33.376,33.376,150828,0
20160816,33.396,33.455,33.356,33.435,1431,0
20160817,33.112,33.112,33.102,33.112,940,0
20160818,33.378,33.43,33.378,33.43,390,0
20160819,33.337,33.337,33.337,33.337,100,0
20160822,33.23,33.23,33.23,33.23,100,0
20160823,33.425,33.478,33.425,33.478,456,0
20160824,33.435,33.445,33.356,33.356,818,0
20160825,33.287,33.287,33.271,33.271,240,0
20160826,33.387,33.387,33.028,33.028,973,0
20160829,33.149,33.149,33.092,33.092,614,0
20160830,33.201,33.201,33.014,33.015,1712,0
20160831,32.967,32.967,32.967,32.967,1136,0
20160906,33.802,33.895,33.739,33.895,30967,0
20160907,34.066,34.086,33.78,33.78,13500,0
20160908,33.849,33.849,33.849,33.849,8880,0
20160912,33.024,33.024,32.996,32.996,611,0
20160913,32.868,32.868,32.868,32.868,479,0
20160915,32.8,32.951,32.8,32.951,1407,0
20160916,33.014,33.014,32.809,32.809,1730,0
20160919,32.996,32.996,32.996,32.996,1017,0
20160920,32.966,32.966,32.91,32.91,224,0
20160921,33.202,33.241,33.202,33.211,2035,0
20160922,33.713,33.713,33.713,33.713,542,0
20160923,34.537,34.537,34.537,34.537,300,0
20160928,33.723,33.723,33.407,33.565,3358,0
20160929,33.417,33.417,33.133,33.133,5806,0
20160930,33.149,33.427,33.149,33.427,1743,0
20161003,33.221,33.221,33.221,33.221,204,0
20161006,32.927,33.054,32.927,33.037,1988,0
20161013,32.209,32.405,32.209,32.405,916,0
20161014,32.593,32.593,32.444,32.444,1147,0
20161017,32.298,32.318,32.298,32.298,509,0
20161018,32.631,32.631,32.631,32.631,204,0
20161019,32.77,32.77,32.77,32.77,122,0
20161020,32.71,32.71,32.671,32.671,407,0
20161024,32.691,32.691,32.573,32.573,407,0
20161028,32.342,32.342,32.342,32.342,158,0
20161102,32.112,32.112,32.112,32.112,176,0
20161103,32.032,32.032,32.032,32.032,127,0
20161104,31.816,31.856,31.816,31.856,884,0
20161107,32.042,32.111,31.998,32.089,1467,0
20161109,32.15,32.15,32.15,32.15,629,0
20161110,31.923,31.931,31.899,31.931,1475,0
20161111,31.571,31.629,31.541,31.541,3240,0
20161115,31.49,31.49,31.49,31.49,467,0
20161116,31.392,31.392,31.392,31.392,313,0
20161117,31.539,31.579,31.5,31.519,5683,0
20161118,31.363,31.382,31.353,31.382,1951,0
20161121,31.537,31.537,31.527,31.527,827,0
20161122,31.579,31.579,31.579,31.579,214,0
20161128,31.549,31.569,31.539,31.569,964,0
20161130,31.657,31.657,31.657,31.657,507,0
20161201,31.608,31.608,31.42,31.47,9107,0
20161202,31.53,31.53,31.53,31.53,121,0
20161205,31.598,31.854,31.598,31.767,4807,0
20161206,31.687,31.933,31.687,31.913,3159,0
20161209,32.369,32.369,32.365,32.365,1412,0
20161212,32.249,32.299,32.21,32.21,2112,0
20161213,32.651,32.661,32.622,32.622,593,0
20161215,31.98,31.98,31.979,31.979,1170,0
20161216,31.98,31.98,31.98,31.98,561,0
20161219,31.984,31.984,31.984,31.984,216,0
20161220,31.98,32.099,31.98,32.089,31063,0
20161222,32.039,32.079,32.039,32.039,1604,0
20161223,32.099,32.099,32.058,32.058,1114,0
20161227,32.128,32.137,32.059,32.059,4101,0
20161228,32.019,32.019,31.91,31.913,2049,0
20161230,32.128,32.187,32.099,32.187,10780,0
20170104,32.583,32.611,32.571,32.583,1923,0
20170106,32.868,32.868,32.868,32.868,1012,0
20170110,32.802,32.802,32.802,32.802,253,0
