Date,Open,High,Low,Close,Volume,OpenInt
20111118,12.7,12.77,12.5,12.58,77258,0
20111121,12.51,12.59,12.5,12.55,100305,0
20111122,12.5,12.59,12.45,12.54,65709,0
20111123,12.54,12.55,12.47,12.55,30569,0
20111125,13.4,13.42,12.4,13.01,52438,0
20111128,13.52,14,13,13.01,78750,0
20111129,12.95,13,12.59,12.75,35705,0
20111130,13.49,13.49,12.84,12.87,41674,0
20111201,13.24,13.24,12.25,12.26,46382,0
20111202,12.98,12.98,12.2,12.67,20571,0
20111205,12.96,13.05,12.2,12.78,30738,0
20111206,12.26,12.45,12.2,12.26,5600,0
20111207,12.7,12.7,12.25,12.29,3500,0
20111208,12.26,12.4,11.45,11.7,15415,0
20111209,11.68,11.9,11.68,11.78,2390,0
20111212,13.23,13.26,11.78,13.03,68250,0
20111213,13.2,13.21,12.31,12.9,92357,0
20111214,12.79,13.03,12.34,12.82,66721,0
20111215,12.41,12.7,12.33,12.53,48214,0
20111216,12.37,13.27,11.95,12.4,1347642,0
20111219,12.55,12.61,11.8,11.93,41821,0
20111220,12.17,13.07,11.85,12.82,50109,0
20111221,12.77,14.82,12.75,13.76,38804,0
20111222,13.91,14.19,13.76,14.08,49070,0
20111223,13.63,14.85,13.63,14.02,100335,0
20111227,13.87,14.34,13.78,14.13,16830,0
20111228,14.05,14.19,13,13.72,21968,0
20111229,13.52,14.34,13.42,14.27,11197,0
20111230,14.19,14.45,13.7,14.09,44444,0
20120103,14.36,14.87,13.41,13.98,34184,0
20120104,14.13,14.82,13.95,14.03,55551,0
20120105,14.3,14.99,14.19,14.5,55350,0
20120106,15,15,14.32,14.52,97414,0
20120109,14.61,14.61,14.36,14.5,75154,0
20120110,14.51,14.98,14.32,14.81,65464,0
20120111,14.34,14.76,14.2,14.48,22481,0
20120112,14.47,14.58,14.3,14.5,81852,0
20120113,14.31,14.83,13.86,14.54,68717,0
20120117,14.75,14.75,14.61,14.61,23582,0
20120118,14.81,17.72,14.81,17.1,76794,0
20120119,17,20,16.67,19.71,134277,0
20120120,18.03,20,18.03,19.9,81859,0
20120123,19.8,19.8,19.22,19.53,84123,0
20120124,19.19,19.33,18.65,19,44954,0
20120125,18.56,19,18.56,19,16417,0
20120126,19.16,19.16,18.41,18.69,17402,0
20120127,19.12,19.78,18.59,19.6,39823,0
20120130,19.24,19.24,18.44,18.89,36640,0
20120131,19,19.09,18.07,18.98,39923,0
20120201,19.14,20.59,19.04,20.36,85132,0
20120202,20.27,21.27,20.27,21,158295,0
20120203,22.61,24.07,21.39,23.81,103988,0
20120206,23.39,24.49,22.94,24.26,32208,0
20120207,24.5,27.29,24.24,24.59,133001,0
