Date,Open,High,Low,Close,Volume,OpenInt
20050225,29.77,30.18,29.33,30.18,90556,0
20050228,30.19,30.45,29.71,30.35,186891,0
20050301,30.13,30.97,30.09,30.76,168343,0
20050302,30.57,31,30.01,30.33,166874,0
20050303,30.87,30.95,30.39,30.58,140795,0
20050304,30.46,30.93,30.35,30.46,100241,0
20050307,30.34,31,30.34,30.78,133576,0
20050308,30.45,30.96,30.45,30.7,148277,0
20050309,30.5,30.87,30.5,30.53,215714,0
20050310,30.66,31,30.12,30.42,202847,0
20050311,30.63,30.98,30.34,30.52,121359,0
20050314,30.86,31.13,30.62,30.97,101602,0
20050315,30.73,31.19,30.5,30.67,159193,0
20050316,30.4,31.11,30.4,30.66,275046,0
20050317,30.47,31.31,30.47,31.31,191383,0
20050318,31.24,31.63,31.18,31.59,403745,0
20050321,31.3,32.15,31.26,31.95,194286,0
20050322,31.71,33.15,31.71,32.86,295285,0
20050323,32.6,32.86,32.53,32.6,159554,0
20050324,32.52,33.2,32.51,32.72,103548,0
20050328,33,33.32,32.73,32.94,240494,0
20050329,32.9,33.47,32.57,33.41,178929,0
20050330,33.5,34,33.42,34,190030,0
20050331,34,34,33.33,33.76,242478,0
20050401,33.82,33.85,33.35,33.36,175384,0
20050404,33.51,33.61,33.2,33.35,87456,0
20050405,33.29,33.89,33.29,33.68,182974,0
20050406,33.51,33.88,33.51,33.69,193896,0
20050407,33.55,33.78,33.4,33.71,125677,0
20050408,33.79,33.93,33.4,33.45,129560,0
20050411,33.38,33.76,33.01,33.05,115416,0
20050412,32.8,34,32.36,33.78,190710,0
20050413,33.5,33.71,31.99,32.07,224054,0
20050414,31.98,32.53,31.54,31.75,172905,0
20050415,31.72,31.97,30.64,30.68,108029,0
20050418,30.32,31.12,30.32,30.85,102519,0
20050419,30.74,31.9,30.74,31.34,365818,0
20050420,31.39,32.21,30.92,30.92,173265,0
20050421,30.97,32.59,30.97,32.31,140859,0
20050422,31.98,32.18,30.46,30.94,213230,0
20050425,31.14,31.62,30.74,31.54,164235,0
20050426,31.45,31.91,30.75,30.77,188898,0
20050427,30.71,32.95,30.71,31.76,279531,0
20050428,31.6,32.48,31.43,31.79,154575,0
20050429,31.71,32.22,31.07,32.08,130002,0
20050502,31.92,32.46,31.86,32.44,181024,0
20050503,32.03,32.92,32.03,32.64,163314,0
20050504,32.56,32.75,32.11,32.75,137599,0
20050505,33,33.25,32.64,33.24,115315,0
20050506,33,33.14,32.32,32.57,142293,0
20050509,32.81,32.85,32.35,32.85,100808,0
20050510,32.39,32.78,32.02,32.38,164650,0
20050511,32.22,32.97,32.2,32.52,121460,0
20050512,32.6,32.88,31.77,31.78,172148,0
20050513,32.15,32.5,31.8,32.2,117892,0
20050516,31.92,32.5,31.92,32.47,221169,0
20050517,32,32.5,32,32.49,165596,0
20050518,32.24,32.94,32.23,32.56,174074,0
20050519,32.3,33.2,32.3,33.06,121739,0
20050520,33.13,33.13,32.35,32.68,83083,0
20050523,32.15,32.85,32.12,32.55,171855,0
20050524,32.43,32.63,31.94,32.02,150981,0
20050525,31.82,31.98,31.1,31.62,91920,0
20050526,32,32.21,31.64,32.04,84900,0
20050527,31.86,32.15,31.31,31.89,82417,0
20050531,31.63,33,31.59,32.83,129473,0
20050601,32.67,33.7,32.26,33.11,221195,0
20050602,32.88,33.5,32.57,32.74,142567,0
20050603,32.51,33.2,32.28,32.58,81199,0
20050606,32.63,33.19,32.21,33.17,173761,0
20050607,33.1,34.49,32.76,34.11,330126,0
20050608,34,35.49,33.61,35.03,408961,0
20050609,35.25,35.8,34.35,35.62,188720,0
20050610,35.66,35.74,35.34,35.58,102700,0
20050613,35.31,36.08,35.19,35.73,197557,0
20050614,35.65,36.24,35.43,36.23,182429,0
20050615,36.06,36.41,34.51,35.82,262457,0
20050616,35.88,36.95,35.52,36.95,195578,0
20050617,37.06,37.93,36.77,37.5,412069,0
20050620,37.69,38.11,37.42,37.75,219517,0
20050621,37.6,37.8,36.54,36.62,179603,0
20050622,36.59,37.47,36.59,37.41,150527,0
20050623,37.33,37.72,36.31,36.35,157755,0
20050624,36.17,36.19,34.46,35.28,505673,0
20050627,35,35.11,34.24,34.73,205750,0
20050628,34.76,36.88,34.06,36.3,391574,0
20050629,36.35,37.38,36.05,36.9,165679,0
20050630,36.99,37.43,35.97,36.01,179407,0
20050701,36.12,36.71,36.01,36.32,61908,0
