Date,Open,High,Low,Close,Volume,OpenInt
20150120,3.01,3.0101,2.7546,2.7546,10865,0
20150122,2.8702,2.8702,2.85,2.85,400,0
20150123,2.882,2.882,2.882,2.882,200,0
20150127,2.85,2.9124,2.83,2.85,11956,0
20150128,2.84,2.84,2.82,2.82,26703,0
20150129,2.947,2.947,2.94,2.94,2716,0
20150203,2.8364,2.8364,2.8364,2.8364,500,0
20150204,2.8501,2.8501,2.8501,2.8501,2100,0
20150205,2.85,2.85,2.85,2.85,300,0
20150210,3.01,3.01,2.85,2.85,7800,0
20150213,2.81,2.9999,2.81,2.9999,5388,0
20150217,3.01,3.6,3.01,3.17,134276,0
20150218,3.17,3.1701,2.85,3,25355,0
20150220,3.02,3.13,2.86,3.04,15704,0
20150223,3.0009,3.09,3.0009,3.09,300,0
20150224,3,3.09,3,3.05,712,0
20150225,2.92,3,2.86,2.98,8400,0
20150226,2.93,2.93,2.9195,2.9195,3105,0
20150227,2.92,2.9501,2.92,2.95,500,0
20150302,2.94,3.05,2.94,3.04,4500,0
20150303,3.05,3.05,3,3.01,3500,0
20150304,3.02,3.05,2.9,2.95,17200,0
20150305,2.95,2.95,2.94,2.95,12000,0
20150306,2.94,2.95,2.88,2.95,12400,0
20150309,2.91,2.91,2.85,2.9,21000,0
20150310,2.85,2.89,2.85,2.86,7100,0
20150311,2.85,3,2.83,2.93,14600,0
20150312,2.98,2.98,2.81,2.92,22200,0
20150313,2.84,2.92,2.82,2.86,800,0
20150316,2.99,3,2.87,3,5200,0
20150317,3,3.1,3,3.07,5700,0
20150318,3.1,3.15,3,3.01,15200,0
20150319,3.14,3.15,2.87,3.05,12300,0
20150320,3.15,3.15,2.75,2.75,61000,0
20150323,2.93,2.93,2.8,2.87,6200,0
20150324,2.94,3,2.87,2.87,5400,0
20150325,3.03,3.03,2.9,2.9,300,0
20150326,2.94,2.94,2.91,2.94,3500,0
20150327,2.89,2.89,2.82,2.82,200,0
20150331,2.99,2.99,2.8,2.8,600,0
20150401,2.83,2.83,2.82,2.82,300,0
20150402,2.82,2.82,2.8,2.8,4600,0
20150406,2.82,2.82,2.75,2.8,3300,0
20150407,2.76,2.7613,2.76,2.7613,300,0
20150408,2.76,2.76,2.76,2.76,100,0
20150410,2.75,2.8,2.75,2.79,9100,0
20150413,2.75,2.89,2.75,2.76,10300,0
20150414,2.77,2.77,2.77,2.77,100,0
20150415,2.75,2.75,2.75,2.75,100,0
20150416,2.75,2.75,2.75,2.75,100,0
20150417,2.75,2.75,2.75,2.75,100,0
20150420,2.75,2.75,2.75,2.75,100,0
20150504,2.9,2.94,2.85,2.85,3400,0
20150505,2.65,2.66,2.26,2.35,16200,0
20150506,2.6,2.6,2.494,2.58,12500,0
20150507,2.55,2.55,2.55,2.55,5050,0
20150508,2.35,2.42,2.35,2.38,500,0
20150512,2.4,2.4,2.4,2.4,120,0
20150513,2.4,2.4,2.4,2.4,100,0
20150514,2.52,2.52,2.52,2.52,600,0
20150515,2.489,2.49,2.3901,2.3901,1700,0
20150518,2.45,2.45,2.38,2.3806,6800,0
20150519,2.43,2.5,2.43,2.5,6300,0
20150520,2.38,2.38,2.38,2.38,400,0
20150521,2.46,2.5,2.45,2.5,5000,0
20150522,2.45,2.52,2.45,2.52,5000,0
20150526,2.38,2.38,2.38,2.38,100,0
20150527,2.38,2.4,2.35,2.35,4000,0
20150528,2.35,2.35,2.35,2.35,850,0
20150529,2.35,2.4,2.35,2.4,15700,0
20150601,2.35,2.35,2.35,2.35,7600,0
20150602,2.4,2.53,2.4,2.53,10000,0
20150603,2.29,2.29,2.29,2.29,100,0
20150604,2.29,2.29,2.29,2.29,100,0
20150608,2.29,2.29,2.26,2.26,1100,0
20150609,2.35,2.35,2.25,2.2528,224624,0
20150610,2.35,2.35,2.35,2.35,1100,0
20150611,2.3,2.3,2.2,2.22,3542,0
20150612,2.32,2.32,2.32,2.32,1000,0
20150615,2.25,2.35,2.01,2.34,17900,0
20150616,2.35,2.35,2.35,2.35,1200,0
20150617,2.35,2.4,2.35,2.39,13900,0
20150618,2.32,2.32,2.32,2.32,200,0
20150619,2.42,2.44,2.38,2.38,3900,0
20150622,2.26,2.31,2.26,2.29,600,0
20150623,2.27,2.27,2.27,2.27,100,0
20150624,2.27,2.31,2.27,2.31,500,0
20150625,2.29,2.29,2.29,2.29,100,0
20150626,2.43,2.48,2.43,2.48,3500,0
20150629,2.46,2.46,2.46,2.46,1000,0
20150630,2.4,2.4,2.34,2.34,600,0
20150701,2.47,2.47,2.44,2.44,6400,0
20150702,2.44,2.47,2.44,2.46,1900,0
20150706,2.44,2.45,2.13,2.15,18900,0
20150707,2.16,2.32,1.91,2.26,22500,0
20150708,2.28,2.28,2.26,2.26,1300,0
20150709,2.26,2.26,2.26,2.26,100,0
20150710,2.27,2.27,2.27,2.27,100,0
20150714,2.27,2.27,2.27,2.27,2000,0
20150715,2.26,2.27,2.26,2.27,1689,0
20150716,2.28,2.28,2.28,2.28,100,0
20150717,2.39,2.39,2.39,2.39,600,0
20150721,2.28,2.28,2.26,2.26,2100,0
20150724,2.26,2.34,2.26,2.27,400,0
20150727,2.26,2.26,2.03,2.03,3800,0
20150728,2.07,2.07,2.03,2.03,300,0
20150729,2.03,2.03,2.03,2.03,300,0
20150731,2.25,2.76,2.25,2.45,13800,0
20150803,2.69,2.8084,2.56,2.64,3637,0
20150804,2.7,2.71,2.6,2.6,2000,0
20150806,2.5,2.5,2.45,2.45,1447,0
20150807,2.47,2.47,2.45,2.45,1000,0
20150810,2.45,2.49,2.45,2.48,1700,0
20150811,2.47,2.47,2.47,2.47,100,0
20150812,2.45,2.47,2.45,2.47,2000,0
20150813,2.45,2.45,2.45,2.45,3600,0
20150814,2.45,2.45,2.44,2.44,2900,0
20150817,2.44,2.44,2.4,2.4,7200,0
20150818,2.47,2.47,2.4,2.45,2100,0
20150819,2.4,2.4,2.4,2.4,3800,0
20150820,2.4,2.4,2.3,2.3,8300,0
20150821,2.36,2.36,2.36,2.36,100,0
20150824,2.15,2.15,2.15,2.15,1173,0
20150825,2.05,2.25,2.05,2.25,6100,0
20150826,2.25,2.26,2.12,2.24,18300,0
20150827,2.24,2.24,2.23,2.23,1600,0
20150828,2.16,2.2,2.16,2.2,1000,0
20150831,2.41,2.41,2.41,2.41,200,0
20150901,2.26,2.43,2.26,2.43,2400,0
20150902,2.36,2.45,2.18,2.36,6700,0
20150903,2.38,2.41,2.36,2.41,1900,0
20150904,2.41,2.41,2.41,2.41,700,0
20150908,2.21,2.4,2.21,2.4,15500,0
20150909,2.4,2.4,2.27,2.32,8600,0
20150910,2.26,2.46,2.26,2.46,5052,0
20150911,2.46,2.79,2.43,2.57,7200,0
20150914,2.84,3.05,2.84,3.05,11600,0
20150915,2.96,3.05,2.62,3.03,9400,0
20150916,2.97,3,2.93,3,10600,0
20150917,3.01,3.01,2.81,2.91,8900,0
20150918,2.75,2.91,2.37,2.37,22100,0
20150921,2.3,2.58,2.3,2.57,7900,0
20150922,2.58,2.72,2.51,2.72,3800,0
20150923,2.6,2.68,2.6,2.65,400,0
20150924,2.53,2.55,2.53,2.54,1228,0
20150925,2.53,2.54,2.37,2.38,4500,0
20150928,2.38,2.38,2.19,2.22,6496,0
20150929,2.15,2.27,2.15,2.25,2100,0
20150930,2.2,2.3,2.2,2.29,16100,0
20151002,2.25,2.25,2.25,2.25,300,0
20151006,2.29,2.29,2.29,2.29,100,0
20151007,2.29,2.29,2.21,2.21,600,0
20151008,2.2,2.24,2.15,2.24,3100,0
20151012,2.25,2.2501,2.25,2.25,5400,0
20151014,2.25,2.26,2.25,2.26,4800,0
20151015,2.29,2.4,2.29,2.4,2700,0
20151019,2.5,2.51,2.24,2.4,9200,0
20151020,2.25,2.51,2.15,2.51,9815,0
20151021,2.23,2.62,2.23,2.55,7100,0
20151022,2.3,2.99,2.3,2.52,53300,0
20151023,2.4,2.86,2.39,2.66,74500,0
20151026,2.68,2.68,2.43,2.5,9600,0
20151027,2.5,2.69,2.5,2.69,2500,0
20151028,2.69,2.76,2.59,2.6,4000,0
20151029,2.57,2.57,2.5,2.5,3200,0
20151030,2.47,2.6,2.43,2.43,6200,0
20151102,2.46,2.46,2.34,2.34,900,0
20151103,2.32,2.34,2.23,2.23,4100,0
