Date,Open,High,Low,Close,Volume,OpenInt
20050225,12.624,13.123,12.597,12.835,224017,0
20050228,13.15,13.386,12.843,13.036,260556,0
20050301,13.386,13.386,13.098,13.193,75185,0
20050302,13.228,13.228,12.291,12.851,101607,0
20050303,12.835,13.114,12.817,13.114,148037,0
20050304,13.228,13.307,13.071,13.237,122167,0
20050307,13.246,13.588,13.193,13.588,315534,0
20050308,13.588,13.588,13.228,13.281,211514,0
20050309,13.536,13.536,12.86,12.913,254216,0
20050310,12.843,13.071,11.721,11.888,495604,0
20050311,11.923,12.037,11.652,11.879,282141,0
20050314,11.879,12.081,10.714,11.213,641847,0
20050315,11.433,11.546,11.17,11.24,192544,0
20050316,11.485,11.564,11.292,11.371,204852,0
20050317,11.485,11.678,11.213,11.213,169271,0
20050318,11.45,11.45,11.213,11.213,86053,0
20050321,11.441,11.485,11.222,11.249,137664,0
20050322,11.485,11.485,11.09,11.09,153632,0
20050323,11.09,11.099,10.023,10.583,542828,0
20050324,10.583,10.933,10.469,10.854,118217,0
20050328,11.09,11.301,10.82,11.012,133276,0
20050329,11.09,11.09,10.723,10.776,166882,0
20050330,10.495,10.968,10.461,10.837,281748,0
20050331,10.89,11.083,10.697,10.881,118347,0
20050401,11.09,11.205,10.881,10.96,114976,0
20050404,10.82,11.09,10.697,10.828,74237,0
20050405,10.951,11.17,10.951,11.065,82733,0
20050406,11.17,11.249,11.038,11.056,88567,0
20050407,11.161,11.161,10.837,10.863,44380,0
20050408,10.854,11.047,10.845,10.89,31629,0
20050411,11.012,11.362,10.714,10.802,44847,0
20050412,10.899,10.899,10.469,10.513,142869,0
20050413,10.811,11.003,10.461,10.495,122590,0
20050414,10.399,10.399,9.584,9.794,493657,0
20050415,9.558,9.558,8.0772,9.2687,973665,0
20050418,9.0322,9.3387,8.7343,9.0496,339491,0
20050419,8.8043,9.576,8.8043,9.2862,168635,0
20050420,9.4264,9.506,8.8218,8.9095,111958,0
20050421,9.111,9.2336,8.5153,8.6642,239542,0
20050422,8.8657,8.9796,8.6379,8.7255,161415,0
20050425,8.7168,8.7343,8.4803,8.7168,163697,0
20050426,8.7168,8.7868,8.6291,8.6554,353151,0
20050427,8.5678,8.6554,8.0159,8.2437,219405,0
20050428,8.0072,8.1824,7.8144,7.8758,468282,0
20050429,7.8232,8.2349,7.8232,8.1561,512592,0
20050502,8.3575,8.4451,8.1911,8.2612,155073,0
20050503,8.454,8.7868,8.2787,8.6467,109798,0
20050504,8.9796,9.2687,8.9095,9.1285,113671,0
20050505,9.1898,9.2424,8.5153,8.7606,165937,0
20050506,8.7343,8.9095,8.5064,8.5416,121409,0
20050509,8.3663,8.5239,8.2437,8.3575,246152,0
20050510,8.27,8.9095,8.27,8.8132,108715,0
20050511,8.9095,9.593,8.8394,9.4442,237295,0
20050512,9.4699,9.707,9.2774,9.4175,203557,0
20050513,9.3914,9.742,9.1985,9.707,161975,0
20050516,9.506,9.776,9.4788,9.645,77392,0
20050517,9.645,9.672,9.506,9.593,52420,0
20050518,9.4788,9.785,9.4788,9.742,74877,0
20050519,9.864,10.092,9.514,10.092,104631,0
20050520,10.023,10.198,9.899,10.136,192179,0
20050523,10.136,10.136,9.2336,9.952,184428,0
20050524,9.769,10.337,9.715,10.259,155303,0
20050525,10.259,10.337,10.259,10.302,111787,0
20050526,10.302,10.443,10.232,10.232,149978,0
20050527,10.066,10.355,10.057,10.259,58509,0
20050531,10.268,10.346,10.162,10.259,69616,0
20050601,10.014,10.302,9.917,9.969,310561,0
20050602,9.899,9.944,9.672,9.672,73707,0
20050603,9.549,9.724,9.3475,9.4699,127753,0
20050606,9.3914,9.891,9.3914,9.856,43899,0
20050607,10.136,10.207,9.794,9.794,59615,0
20050608,9.76,10.18,9.707,9.899,107731,0
20050609,9.899,10.005,9.847,9.891,24936,0
20050610,9.821,9.821,9.628,9.689,28235,0
20050613,9.4531,9.978,9.3475,9.645,66982,0
20050614,9.549,9.707,9.549,9.672,18197,0
20050615,9.549,9.803,9.549,9.769,39787,0
20050616,9.891,9.944,9.785,9.856,62536,0
20050617,10.014,10.014,9.663,9.733,33314,0
20050620,9.785,9.864,9.567,9.689,50832,0
20050621,9.4699,9.576,9.4699,9.4788,83799,0
20050622,9.4264,9.584,9.4264,9.522,23116,0
20050623,9.514,9.908,9.514,9.733,39875,0
20050624,9.944,9.944,9.506,9.549,40416,0
20050627,9.4699,9.549,9.33,9.3563,73992,0
20050628,9.2511,9.584,9.1898,9.4531,43912,0
20050629,9.506,9.742,9.461,9.742,70079,0
20050630,9.506,9.83,9.506,9.628,42350,0
20050701,9.584,9.742,9.3997,9.4442,42386,0
20050705,9.3997,9.4966,8.7168,9.0322,109377,0
20050706,8.9445,9.2774,8.8745,9.1898,87956,0
20050707,9.0322,9.4699,9.0322,9.2687,32800,0
20050708,9.2687,9.3914,9.0409,9.0585,27888,0
20050711,9.1898,9.2336,8.9095,8.962,96381,0
20050712,8.9533,9.0322,8.9533,8.9533,105931,0
20050713,8.962,9.3914,8.9533,9.3212,93639,0
20050714,9.4699,9.654,9.4699,9.584,64127,0
20050715,9.663,9.715,9.584,9.645,26010,0
20050718,9.645,9.645,9.3997,9.4699,44060,0
20050719,9.506,9.663,9.4699,9.576,28613,0
20050720,9.3475,9.576,9.3475,9.4442,54686,0
20050721,9.506,9.506,9.3212,9.4442,28952,0
20050722,9.4442,9.4442,9.1898,9.1985,62241,0
20050725,9.146,9.4264,9.146,9.1898,62418,0
20050726,9.146,9.1636,9.0409,9.0409,60392,0
20050727,8.9883,8.9972,8.7956,8.9708,140723,0
20050728,8.9095,9.821,8.9095,9.522,119610,0
20050729,9.506,9.681,9.4353,9.584,106015,0
20050801,9.584,9.742,8.7168,9.576,113576,0
20050802,9.514,9.742,9.3475,9.707,54404,0
20050803,10.101,10.101,9.628,9.803,87881,0
20050804,9.707,9.742,9.637,9.637,45809,0
20050805,9.601,9.821,9.601,9.601,39481,0
20050808,9.522,9.891,9.522,9.531,30389,0
20050809,9.601,9.601,9.3997,9.506,33739,0
20050810,9.628,9.645,9.576,9.645,60604,0
20050811,9.637,9.742,9.593,9.593,107245,0
20050812,9.584,9.584,9.3125,9.3914,37554,0
20050815,9.4264,9.4264,9.111,9.2074,100413,0
20050816,9.645,9.645,9.0671,9.1373,97597,0
20050817,8.9972,9.0935,8.8745,8.962,115418,0
20050818,9.0322,9.3475,8.8745,8.9533,98955,0
20050819,8.9533,9.0322,8.927,8.9358,52327,0
20050822,9.1285,9.4353,9.0322,9.3475,241686,0
20050823,9.3914,9.461,9.3125,9.3475,69265,0
20050824,9.0409,9.2687,8.962,8.9708,181698,0
20050825,8.7781,8.9883,8.7781,8.9358,104304,0
20050826,9.0671,9.0671,8.8745,9.0322,237092,0
20050829,9.0322,9.0496,8.9182,8.9883,74973,0
20050830,9.0671,9.3125,9.0147,9.2336,76121,0
20050831,9.2862,9.33,9.0671,9.3125,52454,0
20050901,9.3475,9.4699,9.3125,9.4699,66298,0
20050902,9.558,9.558,9.365,9.4966,99328,0
20050906,9.506,9.628,9.3125,9.461,155420,0
20050907,9.584,9.584,9.2249,9.3212,343745,0
20050908,9.33,9.4877,9.2599,9.3914,447501,0
20050909,9.584,9.821,9.4966,9.785,261791,0
20050912,9.812,9.908,9.794,9.908,115009,0
20050913,9.978,10.023,9.899,10.023,117292,0
20050914,10.057,10.075,9.908,10.031,94129,0
20050915,9.978,10.373,9.978,10.302,228855,0
20050916,10.382,10.758,9.812,10.732,129984,0
20050919,10.872,10.933,10.776,10.863,103089,0
20050920,10.89,10.96,10.854,10.907,65752,0
20050921,10.609,11.012,10.574,10.924,108314,0
20050922,10.907,10.968,10.89,10.907,134378,0
20050923,10.828,11.17,10.32,11.108,247960,0
20050926,11.266,11.485,11.161,11.249,203911,0
20050927,11.362,11.362,11.09,11.152,72380,0
20050928,11.099,11.17,10.845,10.881,88051,0
20050929,10.933,11.003,10.373,10.89,56497,0
20050930,10.933,11.056,10.574,10.881,88952,0
20051003,10.776,10.968,10.697,10.942,85073,0
