Date,Open,High,Low,Close,Volume,OpenInt
20170517,25.137,25.137,24.438,24.448,43315,0
20170518,24.498,24.538,24.462,24.498,13442,0
20170519,24.637,24.652,24.587,24.647,1250356,0
20170522,24.757,24.767,24.742,24.767,10525,0
20170523,24.757,24.894,24.757,24.887,11107,0
20170524,24.947,24.957,24.857,24.857,10964,0
20170525,24.987,24.987,24.767,24.877,10305,0
20170526,24.737,24.856,24.737,24.847,11316,0
20170530,24.787,24.787,24.688,24.694,17702,0
20170531,25.587,25.587,24.528,24.667,13222,0
20170601,24.827,25.088,24.817,25.07,57624,0
20170602,25.247,25.521,25.218,25.347,21713,0
20170605,26.197,26.197,25.127,25.127,17379,0
20170606,24.977,25.09,24.937,25.007,35051,0
20170607,25.002,25.067,24.947,25.007,16063,0
20170608,25.06,25.553,25.06,25.475,83429,0
20170609,25.597,25.817,25.597,25.677,33433,0
20170612,25.787,25.937,25.614,25.617,39892,0
20170613,25.737,25.967,25.737,25.777,24699,0
20170614,26.007,26.007,25.547,25.607,22959,0
20170615,25.607,25.697,25.417,25.467,14118,0
20170616,25.317,25.397,25.207,25.307,49293,0
20170619,25.386,25.477,25.386,25.477,13337,0
20170620,25.317,25.357,25.187,25.222,1283076,0
20170621,25.18,25.31,24.9,25,45491,0
20170622,24.9916,25.21,24.72,25.01,36142,0
20170623,25.03,25.23,25.01,25.21,48524,0
20170626,25.31,25.4,25.15,25.38,15361,0
20170627,25.47,25.5,25.17,25.17,36697,0
20170628,25.62,25.62,25.34,25.5957,48636,0
20170629,25.83,25.83,25.1981,25.4735,21499,0
20170630,25.4474,25.56,25.4201,25.49,16034,0
20170703,25.78,25.82,25.58,25.63,28647,0
20170705,25.43,25.56,25.3472,25.56,20748,0
20170706,25.5,25.5,25.23,25.23,33631,0
20170707,25.46,25.58,25.29,25.58,27234,0
20170710,25.55,25.62,25.3897,25.48,18916,0
20170711,25.4311,25.49,25.4311,25.45,120765,0
20170712,25.8,25.85,25.5535,25.62,29107,0
20170713,25.63,25.7,25.541,25.7,924078,0
20170714,25.66,25.8,25.635,25.72,28179,0
20170717,25.66,25.87,25.645,25.8,26722,0
20170718,25.9,25.9,25.6213,25.74,47884,0
20170719,25.92,25.98,25.89,25.97,15415,0
20170720,25.9719,25.98,25.8686,25.969,17497,0
20170721,25.9799,25.9799,25.73,25.7304,19923,0
20170724,25.66,25.77,25.6256,25.77,18779,0
20170725,25.89,26.05,25.89,26.03,17438,0
20170726,26.22,26.22,25.81,25.84,28924,0
20170727,25.8,25.94,25.62,25.6472,20898,0
20170728,25.73,25.73,25.46,25.46,32071,0
20170731,25.55,25.6299,25.44,25.5,66755,0
20170801,25.55,25.59,25.4,25.59,32028,0
