Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.518,11.932,11.398,11.902,10642666,0
20050228,11.917,12.017,11.483,11.778,8185917,0
20050301,11.867,11.947,11.733,11.872,6361719,0
20050302,11.897,12.142,11.783,11.872,6949281,0
20050303,11.962,11.967,11.463,11.688,4420452,0
20050304,11.822,12.182,11.678,12.127,5389197,0
20050307,12.212,12.346,12.022,12.097,5923395,0
20050308,11.783,11.887,11.498,11.633,11210739,0
20050309,11.588,11.723,11.324,11.403,7000348,0
20050310,11.418,11.573,11.189,11.543,6358884,0
20050311,11.623,11.758,11.458,11.688,7111996,0
20050314,11.802,11.922,11.558,11.673,5844516,0
20050315,11.763,11.768,11.219,11.443,7559809,0
20050316,11.408,11.598,11.199,11.259,6539592,0
20050317,11.234,11.234,10.785,11.144,7671837,0
20050318,11.104,11.164,10.984,11.109,4528423,0
20050321,11.114,11.249,10.964,11.194,4180835,0
20050322,11.438,11.528,11.259,11.388,6345140,0
20050323,11.373,11.573,11.199,11.553,5219450,0
20050324,11.553,11.683,11.473,11.598,4467626,0
20050328,11.688,11.713,11.254,11.378,6205928,0
20050329,11.418,11.548,11.074,11.109,6612161,0
20050330,11.154,11.403,11.104,11.334,4250657,0
20050331,11.388,11.688,11.274,11.523,5508807,0
20050401,11.648,11.678,11.259,11.463,8242300,0
20050404,11.403,11.663,11.373,11.588,3072421,0
20050405,11.653,11.982,11.598,11.962,6530455,0
20050406,12.017,12.072,11.773,11.847,5808861,0
20050407,11.912,11.912,11.733,11.857,4155777,0
20050408,11.837,11.837,11.403,11.423,5646696,0
20050411,11.533,11.553,11.254,11.264,4252846,0
20050412,11.254,11.563,11.179,11.463,4571716,0
20050413,11.508,11.508,11.254,11.259,3905358,0
20050414,10.925,10.944,10.251,10.281,25471761,0
20050415,10.146,10.226,9.747,9.962,23793149,0
20050418,9.907,10.401,9.862,10.271,8813280,0
20050419,10.216,10.351,10.037,10.236,9761068,0
20050420,10.501,10.52,10.171,10.236,12155881,0
20050421,10.321,10.506,10.246,10.476,8305154,0
20050422,10.451,10.511,10.261,10.326,5069153,0
20050425,10.416,10.545,10.341,10.545,4354214,0
20050426,10.466,10.476,10.156,10.226,8348022,0
20050427,10.091,10.501,9.508,10.501,18543228,0
20050428,10.451,10.745,10.406,10.451,6318606,0
20050429,10.585,10.59,10.206,10.476,7280299,0
20050502,10.476,10.555,10.326,10.525,5026389,0
20050503,10.496,10.78,10.451,10.665,5287637,0
20050504,10.675,10.725,10.496,10.665,6964954,0
20050505,10.715,10.915,10.555,10.895,6914532,0
