Date,Open,High,Low,Close,Volume,OpenInt
20150707,13.83,13.83,13.83,13.83,3607,0
20150709,13.83,13.83,13.83,13.83,1340,0
20150710,12.859,13.626,12.859,13.626,618,0
20150714,12.859,12.859,12.131,12.615,928,0
20150715,12.615,12.635,12.615,12.635,1580,0
20150717,12.635,12.635,12.625,12.625,1031,0
20150721,13.179,13.199,13.179,13.199,514,0
20150722,13.538,13.538,13.247,13.247,7832,0
20150724,13.247,13.247,13.247,13.247,12572,0
20150727,13.344,13.587,13.344,13.587,2885,0
20150728,13.199,13.344,13.16,13.344,8347,0
20150729,13.217,13.247,13.217,13.247,2577,0
20150730,13.247,13.344,13.199,13.199,5874,0
20150731,13.577,13.577,13.199,13.325,1031,0
20150803,13.199,13.199,13.199,13.199,412,0
20150804,13.344,13.344,13.247,13.344,4946,0
20150805,13.295,13.46,13.247,13.46,2679,0
20150806,13.257,13.412,13.257,13.354,1917,0
20150807,13.587,13.587,13.257,13.344,10408,0
20150810,13.587,13.587,13.257,13.344,4019,0
20150811,13.4,13.4,13.393,13.393,1004,0
20150812,13.557,13.567,13.344,13.567,6286,0
20150813,13.577,13.577,13.257,13.257,3297,0
20150814,13.431,13.441,13.412,13.412,9067,0
20150817,13.393,13.441,13.257,13.364,15972,0
20150818,13.587,13.683,13.577,13.606,4121,0
20150819,13.616,13.791,13.199,13.257,18445,0
20150820,13.393,13.393,13.393,13.393,102,0
20150821,13.393,13.393,13.199,13.199,2164,0
20150824,13.111,13.247,12.615,13.101,14083,0
20150825,13.15,13.15,13.111,13.15,412,0
20150826,13.15,13.15,13.101,13.101,3297,0
20150831,13.101,13.713,13.101,13.713,1134,0
20150902,13.451,13.781,12.625,13.101,3915,0
20150903,13.005,13.489,12.869,12.956,1958,0
20150908,13.005,13.479,12.859,13.393,4226,0
20150909,12.829,13.005,12.723,13.005,2164,0
20150910,13.053,13.122,13.005,13.101,2412,0
20150911,13.005,13.005,13.005,13.005,1237,0
20150915,13.005,13.005,13.005,13.005,618,0
20150917,13.005,13.005,12.878,12.995,2267,0
20150918,12.956,13.005,12.713,12.859,1134,0
20150921,12.946,12.946,12.946,12.946,1958,0
20150923,13.005,13.005,12.762,12.762,1443,0
20150924,12.762,12.809,12.615,12.659,5900,0
20150925,12.674,13.005,12.674,12.809,6698,0
20150929,12.809,13.005,12.15,12.907,8347,0
20151002,12.733,12.782,12.15,12.421,4328,0
20151005,12.615,12.897,12.276,12.869,16806,0
20151006,12.927,12.927,12.907,12.907,618,0
20151007,12.888,12.907,12.888,12.907,2783,0
20151012,12.849,13.107,12.819,13.005,4430,0
20151013,12.809,12.878,12.809,12.878,1031,0
20151014,12.809,13.081,12.296,12.869,8243,0
20151015,12.859,12.859,12.859,12.859,102,0
20151016,13.101,13.101,12.956,13.005,3091,0
20151019,13.101,13.101,13.101,13.101,514,0
20151020,13.101,13.111,13.101,13.101,108573,0
20151021,13.15,13.15,13.15,13.15,206,0
20151022,13.199,13.199,13.199,13.199,3503,0
20151023,13.15,13.15,13.15,13.15,102,0
20151026,13.111,13.295,13.111,13.295,206,0
20151027,13.101,13.101,13.101,13.101,102,0
20151028,13.285,13.295,13.091,13.217,9480,0
20151029,13.295,13.295,13.101,13.101,1031,0
20151030,13.199,13.247,13.199,13.247,2164,0
20151102,13.247,13.247,13.101,13.247,2128,0
20151103,13.247,13.247,13.053,13.247,3915,0
20151104,13.344,13.354,13.335,13.344,7311,0
20151106,13.111,13.344,13.111,13.344,3297,0
20151110,13.111,13.111,13.111,13.111,2783,0
20151113,13.16,13.16,13.111,13.111,1031,0
20151116,13.121,13.344,13.121,13.14,2164,0
20151117,13.131,13.131,13.101,13.101,6183,0
20151118,13.091,13.179,13.091,13.101,2885,0
20151119,13.121,13.121,13.121,13.121,102,0
20151123,13.101,13.101,13.073,13.073,2164,0
20151124,13.101,13.15,13.101,13.15,20608,0
20151125,13.489,13.489,13.431,13.431,4121,0
20151127,13.412,13.412,13.403,13.403,206,0
20151130,13.403,13.403,13.403,13.403,102,0
20151201,13.422,13.422,13.422,13.422,102,0
20151202,13.489,13.489,13.441,13.489,7987,0
20151204,13.509,13.509,13.509,13.509,102,0
20151208,13.499,13.509,13.499,13.509,1052,0
20151209,13.393,13.509,13.354,13.354,8965,0
20151211,13.364,13.373,13.364,13.373,928,0
20151215,13.344,13.47,13.344,13.47,9996,0
20151216,13.364,13.519,13.364,13.509,8449,0
20151217,13.393,13.412,13.393,13.412,1031,0
20151222,13.441,13.489,13.441,13.489,123136,0
20151223,13.567,13.577,13.538,13.538,824,0
20151228,13.435,13.447,13.435,13.447,1114,0
20151229,13.577,13.587,13.101,13.101,15409,0
20151230,13.208,13.587,13.199,13.485,6329,0
20151231,13.496,13.683,13.295,13.305,2909,0
20160104,13.451,13.451,13.295,13.295,3091,0
20160105,13.585,13.585,13.305,13.305,10761,0
20160106,13.561,13.561,13.561,13.561,101,0
20160107,13.542,13.546,13.512,13.542,8263,0
20160108,13.512,13.688,13.394,13.688,20104,0
20160111,13.768,13.768,13.502,13.502,304,0
20160112,13.512,13.512,13.496,13.512,710,0
20160113,13.542,13.55,13.449,13.542,7053,0
20160114,13.502,13.502,13.447,13.447,5795,0
20160115,13.516,13.516,13.295,13.295,3596,0
20160119,13.571,13.621,13.295,13.394,4772,0
20160120,13.295,13.581,13.295,13.295,2845,0
20160121,13.581,13.581,13.581,13.581,570,0
20160122,13.542,13.542,13.542,13.542,102,0
20160125,13.414,13.542,13.394,13.532,9805,0
20160126,13.423,13.552,13.414,13.414,406,0
20160128,13.423,13.423,13.295,13.295,3132,0
20160129,13.345,13.591,13.345,13.394,6357,0
20160201,13.542,13.542,13.414,13.414,2031,0
20160202,13.569,13.59,13.569,13.59,2031,0
20160203,13.482,13.584,13.394,13.394,8032,0
20160204,13.404,13.453,13.399,13.419,14180,0
20160205,13.423,13.492,13.295,13.385,17983,0
20160208,13.394,13.404,13.295,13.374,8868,0
20160209,13.581,13.59,13.365,13.532,11474,0
20160210,13.345,13.466,13.345,13.404,18619,0
20160211,13.542,13.542,13.394,13.404,20003,0
20160212,13.492,13.492,13.492,13.492,507,0
20160216,13.492,13.492,13.394,13.394,1576,0
20160217,13.409,13.417,13.404,13.417,2849,0
20160218,13.514,13.514,13.512,13.512,15637,0
20160219,13.512,13.53,13.512,13.528,812,0
20160222,13.512,13.512,13.374,13.492,19585,0
20160223,13.443,13.443,13.443,13.443,8885,0
20160224,13.404,13.423,13.399,13.404,5129,0
20160225,13.404,13.64,13.369,13.561,29938,0
20160226,13.462,13.581,13.462,13.581,619,0
20160229,13.522,13.522,13.522,13.522,203,0
20160301,13.572,13.63,13.404,13.482,12490,0
20160302,13.453,13.482,13.453,13.482,2437,0
20160303,13.574,13.58,13.492,13.492,1117,0
20160304,13.584,13.64,13.404,13.63,4175,0
20160307,13.64,13.689,13.611,13.679,4781,0
20160308,13.689,14.26,13.674,14.222,23665,0
20160309,14.034,14.034,13.788,14.015,8811,0
20160310,14.182,14.182,14.073,14.083,4471,0
20160311,14.222,14.231,13.891,14.034,8669,0
20160314,14.231,14.763,14.197,14.477,25231,0
20160315,14.428,14.526,14.319,14.516,12390,0
20160316,14.27,14.516,14.192,14.477,13845,0
20160317,14.477,14.516,14.3,14.418,6622,0
20160318,14.3,14.783,14.28,14.783,117283,0
20160321,14.674,14.733,14.674,14.733,5567,0
20160322,14.773,14.773,14.531,14.576,5904,0
20160323,14.349,14.399,14.349,14.399,458,0
20160324,14.674,16.487,14.457,16.083,38164,0
20160328,15.944,16.25,15.274,16.25,10365,0
20160329,16.25,16.25,15.964,16.053,13776,0
20160330,16.043,16.24,15.856,15.856,8201,0
20160331,15.817,15.905,15.659,15.895,6022,0
20160404,15.557,15.558,14.92,15.383,2691,0
20160405,14.9,16.182,14.9,15.049,1665,0
20160406,15.521,15.521,15.256,15.256,304,0
20160407,15.266,15.266,15.196,15.196,507,0
20160408,14.783,14.94,14.773,14.783,2220,0
20160411,15.678,16.25,15.206,15.837,7248,0
20160412,15.827,15.836,15.511,15.511,7013,0
20160413,15.583,15.589,15.56,15.56,812,0
20160414,15.56,15.59,15.117,15.117,7174,0
20160415,15.481,15.481,15.481,15.481,609,0
20160418,15.612,15.669,15.59,15.62,8573,0
20160419,15.477,15.944,15.477,15.56,16551,0
20160420,15.757,16.131,15.481,15.511,39442,0
20160421,15.481,15.481,15.481,15.481,6122,0
20160425,15.521,15.521,15.481,15.481,1137,0
20160426,15.507,15.511,15.507,15.511,2031,0
20160428,15.511,16.053,15.481,15.89,12239,0
20160429,15.481,15.481,15.481,15.481,1371,0
20160502,15.481,15.481,15.481,15.481,101,0
20160503,15.266,15.274,15.266,15.266,10459,0
20160504,14.989,14.989,14.989,14.989,101,0
20160506,15.501,15.511,15.501,15.511,3554,0
20160509,14.703,15.501,14.703,15.403,2367,0
20160510,15.501,15.511,15.403,15.403,3859,0
20160511,15.453,15.511,15.413,15.453,7356,0
20160519,14.773,15.256,14.773,15.256,8227,0
20160520,15.256,15.256,14.773,15.196,3727,0
20160524,15.157,15.157,14.871,14.871,256,0
20160525,15.246,15.344,14.876,15.246,40867,0
20160526,15.019,15.344,15.019,15.196,11256,0
20160527,15.443,15.452,15.167,15.167,1828,0
20160601,15.256,15.452,15.256,15.452,2335,0
20160602,15.226,15.226,15.226,15.226,101,0
