Date,Open,High,Low,Close,Volume,OpenInt
20120210,14.4,15.35,14.14,14.24,894352,0
20120213,14.62,14.8,13.13,13.16,853676,0
20120214,13.22,13.48,11.82,12.59,902879,0
20120215,12.78,13.19,12.28,12.48,405072,0
20120216,12.69,13.48,12.32,12.66,1058582,0
20120217,13,13.24,12.56,12.56,275086,0
20120221,12.71,12.76,12.3,12.56,328939,0
20120222,12.78,12.82,12,12,207897,0
20120223,12.05,12.23,10.95,11.4,658077,0
20120224,11.5,11.5,10.77,10.87,541400,0
20120227,10.42,10.62,10.36,10.36,382419,0
20120228,10.69,11,10.36,10.86,452002,0
20120229,11.08,11.87,10.9,11.32,640300,0
20120301,11.48,11.57,10.93,11.22,391664,0
20120302,11.21,11.33,10.95,11,197465,0
20120305,11.3,11.5,11,11.27,541815,0
20120306,11.11,11.25,11,11.19,159029,0
20120307,11.25,11.27,10.9,11.19,82997,0
20120308,11.25,11.28,10.95,11.01,79515,0
20120309,11.08,11.15,10.99,11.04,67680,0
20120312,11.02,11.05,10.96,11.05,84908,0
20120313,11.1,11.15,10.97,11.01,140448,0
20120314,11.04,12.88,11,12.88,1555113,0
20120315,13.12,13.48,11.88,12.52,1482692,0
20120316,12.55,13.29,12.28,12.99,416784,0
20120319,12.89,13.34,12.51,12.93,332050,0
20120320,13.17,13.2,12.61,12.99,209049,0
20120321,13.25,13.25,12.63,12.7,304508,0
20120322,12.52,12.61,12.38,12.55,163225,0
20120323,12.51,12.62,12.4,12.5,151411,0
20120326,12.66,13.05,12.51,12.9,360743,0
20120327,12.65,13.25,12.55,12.98,382795,0
20120328,13.02,14.3,13.02,13.95,1063110,0
20120329,13.95,14.64,12.85,13.84,913568,0
20120330,13.85,14.75,13.72,14.74,5121307,0
20120402,14.8,15.14,14.61,15.08,857103,0
20120403,15.21,15.6,14.85,15.16,550357,0
20120404,15.04,15.42,14.9,15.11,300550,0
20120405,15.43,15.74,15.11,15.41,344128,0
20120409,15.23,15.59,14.9,15.39,301492,0
20120410,15.33,15.68,15,15.22,509697,0
20120411,15.34,15.43,15,15.28,210943,0
20120412,15.28,15.68,15.02,15.64,219821,0
20120413,15.54,15.61,14.49,14.55,387824,0
20120416,14.55,14.68,13.68,13.83,317237,0
20120417,13.91,13.92,13.48,13.77,184734,0
20120418,13.85,14.11,13.56,13.7,128885,0
20120419,13.64,13.96,13.2,13.27,158343,0
20120420,14.16,14.16,12.21,12.52,601997,0
20120423,12.3,12.59,11.95,12.05,280245,0
20120424,12.09,12.85,12,12.49,178399,0
20120425,12.61,12.75,12.23,12.47,207935,0
20120426,12.37,13.75,12.32,13.69,313619,0
20120427,13.59,14.25,13.34,14.17,216887,0
20120430,14.1,14.74,13.75,14.64,444333,0
20120501,14.6,15.05,13.76,14.75,274809,0
20120502,14.5,14.82,13.8,14.75,295311,0
20120503,14.69,14.93,13.99,14.05,165633,0
20120504,13.98,14.05,13.33,13.48,116092,0
20120507,13.41,15.12,13.1,13.6,255842,0
20120508,13.56,14.1,13.17,13.38,90867,0
20120509,13.19,14.25,13.19,14.05,195926,0
20120510,14.16,14.3,13.96,14.2,72447,0
20120511,14.07,14.56,13.94,14.43,116478,0
20120514,14.32,14.32,13.45,13.75,187235,0
20120515,13.73,13.91,13.61,13.78,90365,0
20120516,13.89,13.96,13.21,13.48,146849,0
