Date,Open,High,Low,Close,Volume,OpenInt
20050225,5.17,5.21,4.92,5.1,64866,0
20050228,4.94,5.32,4.94,5.23,16000,0
20050301,5.09,5.15,4.87,5.11,11700,0
20050302,5.15,5.27,4.85,5.2,7254,0
20050303,5.23,5.28,4.8,4.8,25235,0
20050304,4.92,5.15,4.82,5.07,17434,0
20050307,5.14,5.18,4.86,5.08,5680,0
20050308,5.06,5.18,4.89,4.89,13736,0
20050309,4.88,5.18,4.86,4.97,9500,0
20050310,4.97,5.04,4.77,4.92,5404,0
20050311,4.77,4.78,4.77,4.78,500,0
20050314,4.69,4.97,4.69,4.97,3367,0
20050315,4.82,4.98,4.82,4.98,400,0
20050316,4.91,4.94,4.73,4.94,1800,0
20050317,4.83,4.89,4.52,4.56,16028,0
20050318,4.56,4.65,4.33,4.65,69395,0
20050321,4.4,4.57,4.38,4.57,8373,0
20050322,4.52,4.52,4.51,4.51,1500,0
20050323,4.51,4.65,4.4,4.61,6630,0
20050324,4.38,4.55,4.38,4.49,6012,0
20050328,4.46,4.58,4.46,4.49,3300,0
20050329,4.45,4.48,4.39,4.4,96999,0
20050330,4.34,4.34,4.28,4.28,7650,0
20050331,4.3,4.36,4.16,4.17,5737,0
20050401,4.25,4.4,4.16,4.23,275558,0
20050404,4.21,4.25,4.02,4.18,6700,0
20050405,4.15,4.18,4.03,4.13,8900,0
20050406,4.13,4.22,4.13,4.19,3400,0
20050407,4.19,4.19,4.1,4.1,6506,0
20050408,4.07,4.23,4.05,4.23,247933,0
20050411,4.25,4.25,4.09,4.12,3986,0
20050412,4.03,4.24,3.98,3.98,166782,0
20050413,4,4.16,3.98,4.16,2900,0
20050414,4.13,4.13,3.98,4.06,7456,0
20050415,3.98,4.25,3.9,4.02,6728,0
20050418,3.92,4.18,3.92,4,6137,0
20050419,4.05,4.15,3.96,4.01,7500,0
20050420,4.11,4.5,4.11,4.27,32066,0
20050421,4.27,4.27,4.02,4.14,244026,0
20050422,4.13,4.18,4.06,4.08,14600,0
20050425,4.04,4.12,4.04,4.05,13300,0
20050426,4.15,4.37,4.15,4.28,12033,0
20050427,4.39,4.39,4.15,4.26,10879,0
20050428,4.32,4.32,4.17,4.17,12024,0
20050429,4.27,4.33,4.16,4.33,7700,0
20050502,4.4,4.46,4.35,4.37,13470,0
20050503,4.37,4.55,4.32,4.38,15075,0
20050504,4.3,4.5,4.3,4.37,14190,0
20050505,4.37,4.53,4.37,4.53,8859,0
20050506,4.53,4.55,4.45,4.55,5860,0
20050509,4.23,4.55,4.23,4.35,19958,0
20050510,4.51,4.51,4.35,4.38,4600,0
20050511,4.29,4.45,4.18,4.19,8730,0
20050512,4.26,4.35,4.15,4.17,7667,0
20050513,4.09,4.51,4.09,4.16,14309,0
20050516,4.27,4.47,4.16,4.22,4810,0
20050517,4.13,4.24,4.13,4.2,4298,0
20050518,4.2,4.31,4.18,4.3,8800,0
20050519,4.29,4.38,4.17,4.35,9953,0
20050520,4.35,4.37,4.17,4.36,3588,0
20050523,4.21,4.5,4.21,4.5,82906,0
20050524,4.5,4.5,4.23,4.23,10250,0
20050525,4.29,4.48,4.29,4.39,3000,0
20050526,4.35,4.4,4.21,4.4,10990,0
20050527,4.28,4.42,4.28,4.42,9600,0
20050531,4.37,4.52,4.22,4.38,7833,0
20050601,4.39,4.52,4.22,4.33,8409,0
20050602,4.25,4.45,4.25,4.37,7065,0
20050603,4.23,4.35,4.23,4.35,98565,0
20050606,4.3,4.34,4.23,4.32,4288,0
20050607,4.29,4.29,4.23,4.23,3689,0
20050608,4.23,4.33,4.23,4.26,6500,0
20050609,4.25,4.31,4.25,4.27,5350,0
20050610,4.26,4.36,4.25,4.31,8185,0
20050613,4.25,4.4,4.25,4.38,3566,0
20050614,4.39,4.4,4.39,4.39,800,0
20050615,4.4,4.5,4.38,4.5,8422,0
20050616,4.5,4.5,4.35,4.36,8900,0
20050617,4.5,4.5,4.5,4.5,1400,0
20050620,4.5,4.54,4.45,4.48,12586,0
20050621,4.41,4.6,4.36,4.52,11199,0
20050622,4.3,4.5,4.3,4.48,2313,0
20050623,4.47,4.53,4.36,4.41,15259,0
20050624,4.36,4.39,4.3,4.35,4000,0
20050627,4.39,4.41,4.39,4.41,1400,0
20050628,4.41,4.45,4.4,4.41,34001,0
20050629,4.41,4.42,4.27,4.34,112439,0
20050630,4.46,4.47,4.34,4.39,150943,0
20050701,4.47,4.47,4.27,4.28,21188,0
20050705,4.27,4.37,4.27,4.29,79947,0
20050706,4.29,4.31,4.28,4.28,14000,0
20050707,4.23,4.45,4.23,4.37,14595,0
20050708,4.41,4.41,4.06,4.11,52133,0
20050711,4.12,4.28,4.05,4.05,104771,0
20050712,4.1,4.16,4.05,4.1,29804,0
20050713,4.05,4.13,4,4.13,33296,0
20050714,4.06,4.22,4.06,4.08,24336,0
20050715,4.05,4.18,4.03,4.1,7700,0
20050718,4.1,4.36,4.1,4.23,9436,0
20050719,4.32,4.32,4.02,4.09,17446,0
20050720,4.18,4.72,4.18,4.68,272444,0
