Date,Open,High,Low,Close,Volume,OpenInt
20050225,2.58,2.64,2.4,2.44,855604,0
20050228,2.4,2.4,2.16,2.24,1533396,0
20050301,2.25,2.35,2.17,2.3,817748,0
20050302,2.32,2.47,2.32,2.41,844013,0
20050303,2.4,2.49,2.35,2.39,467176,0
20050304,2.22,2.25,2.11,2.15,2303028,0
20050307,2.21,2.21,2.11,2.15,1249033,0
20050308,2.18,2.19,2.11,2.18,759142,0
20050309,2.15,2.27,2.01,2.08,1162324,0
20050310,2.05,2.08,1.95,1.98,1005888,0
20050311,2,2.08,1.97,2,753659,0
20050314,2.14,2.14,2,2.01,597368,0
20050315,2.05,2.08,2.01,2.02,443502,0
20050316,2.05,2.06,1.97,1.99,374286,0
20050317,1.98,2,1.9,1.93,526580,0
20050318,1.91,1.99,1.88,1.88,372703,0
20050321,1.97,1.97,1.9,1.95,386005,0
20050322,1.96,2,1.9,1.91,401477,0
20050323,1.9,1.99,1.86,1.88,518687,0
20050324,1.86,1.92,1.79,1.84,669701,0
20050328,1.8,1.82,1.76,1.78,515326,0
20050329,1.76,1.81,1.61,1.61,563665,0
20050330,1.62,1.73,1.61,1.67,768636,0
20050331,1.73,1.8,1.65,1.67,772744,0
20050401,1.78,1.8,1.7,1.7,284093,0
20050404,1.75,1.78,1.71,1.75,427246,0
20050405,1.77,1.8,1.7,1.75,416482,0
20050406,1.77,1.8,1.73,1.75,403731,0
20050407,1.75,1.76,1.7,1.73,236373,0
20050408,1.77,1.78,1.7,1.72,224907,0
20050411,1.72,1.74,1.63,1.64,460062,0
20050412,1.64,1.64,1.52,1.63,648602,0
20050413,1.63,1.67,1.6,1.63,521772,0
20050414,1.61,1.77,1.54,1.68,880722,0
20050415,1.73,1.73,1.54,1.6,537996,0
20050418,1.57,1.6,1.49,1.52,785909,0
20050419,1.54,1.58,1.51,1.54,453704,0
20050420,1.53,1.6,1.47,1.54,489885,0
20050421,1.55,1.6,1.5,1.58,459572,0
20050422,1.57,1.59,1.5,1.53,383390,0
20050425,1.52,1.52,1.29,1.32,1818288,0
20050426,1.27,1.37,1.26,1.27,901702,0
20050427,1.28,1.32,1.26,1.29,367241,0
20050428,1.26,1.31,1.03,1.04,2584528,0
20050429,1.17,1.26,1.11,1.2,2344812,0
20050502,1.27,1.49,1.25,1.49,2753112,0
20050503,1.5,1.79,1.48,1.65,4199250,0
20050504,1.82,1.82,1.61,1.64,1575252,0
20050505,1.64,1.73,1.48,1.55,1344958,0
20050506,1.55,1.6,1.49,1.59,766965,0
20050509,1.61,1.65,1.52,1.59,594611,0
20050510,1.59,1.6,1.48,1.51,699262,0
20050511,1.51,1.54,1.35,1.44,1021172,0
20050512,1.41,1.46,1.38,1.41,415483,0
20050513,1.41,1.44,1.35,1.39,542155,0
20050516,1.42,1.7,1.4,1.7,1692641,0
20050517,1.7,1.99,1.67,1.97,3677204,0
20050518,2.01,2.09,1.76,1.9,2423394,0
20050519,1.91,1.91,1.76,1.8,843987,0
20050520,1.8,2.09,1.76,2.05,1834695,0
20050523,2.15,2.47,2.04,2.38,3859869,0
20050524,2.38,2.49,2.13,2.24,1867818,0
20050525,2.01,2.03,1.82,1.88,2502162,0
20050526,1.95,1.96,1.86,1.9,911905,0
20050527,1.85,1.92,1.79,1.84,1000953,0
20050531,1.8,2,1.8,1.93,619188,0
20050601,1.97,2.2,1.95,2.08,1454113,0
20050602,2.1,2.15,1.98,2.04,784417,0
20050603,2.02,2.21,1.89,2.12,1109612,0
20050606,2.22,2.24,2.02,2.07,626685,0
20050607,2.19,2.25,2.12,2.15,1092277,0
20050608,2.18,2.2,2.06,2.15,569567,0
20050609,2.1,2.24,2.08,2.1,389943,0
20050610,2.14,2.28,2.1,2.28,780414,0
20050613,2.3,2.3,2.15,2.19,738800,0
20050614,2.21,2.21,2.11,2.14,332258,0
20050615,2.17,2.22,2.09,2.13,468864,0
20050616,2.07,2.16,2.06,2.09,490143,0
20050617,2.06,2.11,1.95,2.1,1445527,0
20050620,2,2.05,1.97,2.01,470990,0
20050621,2,2.04,1.95,1.96,588658,0
20050622,1.95,2.02,1.9,1.91,574587,0
20050623,1.9,1.98,1.86,1.87,416589,0
20050624,1.86,1.9,1.8,1.82,562559,0
20050627,1.83,1.87,1.75,1.84,467785,0
20050628,1.86,1.87,1.76,1.78,648430,0
20050629,1.85,1.85,1.76,1.76,559729,0
20050630,1.75,1.79,1.65,1.67,1064939,0
20050701,1.64,1.72,1.6,1.64,598949,0
20050705,1.6,1.64,1.51,1.52,932374,0
20050706,1.57,1.58,1.51,1.51,425720,0
20050707,1.5,1.57,1.45,1.56,426385,0
20050708,1.58,1.88,1.55,1.87,1722988,0
20050711,1.87,2.09,1.85,2.04,2163646,0
20050712,2,2.02,1.83,1.88,1422516,0
20050713,1.91,1.95,1.85,1.89,631260,0
20050714,1.9,1.97,1.89,1.9,471941,0
20050715,1.93,1.93,1.88,1.89,267118,0
20050718,1.9,1.91,1.86,1.88,247034,0
20050719,1.9,1.93,1.86,1.89,452073,0
20050720,1.91,1.94,1.85,1.91,457313,0
20050721,1.9,2.03,1.9,2.02,678256,0
20050722,2.03,2.14,1.92,2.03,1349648,0
20050725,2.08,2.1,2,2.01,382924,0
20050726,2.05,2.05,1.92,1.94,500475,0
20050727,2,2.04,1.93,1.98,485035,0
20050728,2,2,1.9,1.96,410390,0
20050729,1.95,2.01,1.93,1.93,233858,0
20050801,1.92,1.99,1.89,1.97,465597,0
20050802,1.97,2.02,1.95,1.97,237405,0
20050803,1.95,1.99,1.95,1.98,165588,0
20050804,1.95,1.99,1.89,1.89,258195,0
20050805,1.85,1.88,1.79,1.84,587194,0
20050808,1.82,1.87,1.76,1.76,385084,0
20050809,1.81,1.85,1.77,1.83,276488,0
20050810,1.84,1.86,1.76,1.76,269652,0
20050811,1.77,1.82,1.77,1.78,173475,0
20050812,1.78,1.84,1.77,1.84,219548,0
20050815,1.86,1.86,1.78,1.79,171724,0
20050816,1.8,1.85,1.79,1.8,262474,0
20050817,1.81,1.83,1.73,1.75,299966,0
20050818,1.73,1.8,1.69,1.74,261454,0
20050819,1.75,1.78,1.74,1.76,85656,0
20050822,1.69,1.83,1.67,1.79,246059,0
20050823,1.77,1.8,1.75,1.78,123144,0
20050824,1.79,1.8,1.73,1.8,301543,0
20050825,1.8,2.02,1.75,2.02,1525456,0
20050826,2.04,2.04,1.88,1.97,727086,0
20050829,1.96,2.12,1.87,1.98,1297909,0
20050830,1.98,2.04,1.96,1.98,474690,0
20050831,1.97,2.03,1.87,1.9,542360,0
20050901,1.89,1.9,1.8,1.85,433848,0
20050902,1.88,1.95,1.84,1.86,211725,0
20050906,1.92,2,1.91,1.93,400653,0
20050907,1.99,2,1.93,1.97,186022,0
