Date,Open,High,Low,Close,Volume,OpenInt
20050225,12.43,12.85,12.27,12.85,54795,0
20050228,13,13.31,12.75,13.05,77930,0
20050301,12.85,13.31,12.79,12.97,57544,0
20050302,12.84,13.21,12.81,13.21,13185,0
20050303,13.16,13.31,12.68,13.3,52916,0
20050304,13.25,13.25,12.96,13.07,22255,0
20050307,12.95,13.31,12.95,13.17,88362,0
20050308,13.17,13.26,12.87,12.99,32663,0
20050309,12.85,13.07,12.02,12.38,40878,0
20050310,12.21,12.76,12.19,12.5,82942,0
20050311,12.54,12.73,12.17,12.24,29107,0
20050314,12.31,12.39,11.76,11.95,59967,0
20050315,11.98,12.04,11.56,11.75,29957,0
20050316,11.61,11.76,11.01,11.16,48071,0
20050317,11.17,11.23,10.9,10.93,58823,0
20050318,11,11.53,10.63,11.32,232613,0
20050321,11.41,12.54,11.4,12.38,65502,0
20050322,12.63,12.7,12.2,12.63,37030,0
20050323,12.95,12.95,12.53,12.76,48501,0
20050324,12.84,13.11,12.84,13.04,34798,0
20050328,13.19,13.5,13.15,13.21,40681,0
20050329,13.29,13.29,12.61,13.09,39459,0
20050330,12.99,13.1,12.83,13.1,18505,0
20050331,13.1,13.19,12.96,13.05,44331,0
20050401,13.05,13.21,12.91,13.11,19137,0
20050404,13.02,13.16,12.45,13.07,20280,0
20050405,13.08,13.28,12.86,13.28,14550,0
20050406,13.17,13.21,13.07,13.12,22578,0
20050407,12.98,13.08,12.77,12.91,10299,0
20050408,12.96,13.09,12.28,12.86,43260,0
20050411,12.81,12.81,12.44,12.45,30114,0
20050412,12.45,12.54,12.44,12.44,27640,0
20050413,12.34,12.41,11.98,12.09,48357,0
20050414,11.98,12.18,11.98,12.06,21392,0
20050415,12,12.06,11.74,11.93,26226,0
20050418,11.79,12.24,11.79,11.93,18319,0
20050419,11.76,11.77,11.31,11.56,18425,0
20050420,11.5,11.82,11.5,11.52,22800,0
20050421,11.62,11.75,11.37,11.63,21614,0
20050422,11.6,11.99,11.6,11.84,17680,0
20050425,11.96,11.96,11.77,11.9,6100,0
20050426,11.75,11.75,11.34,11.38,10321,0
20050427,11.31,11.54,11.31,11.5,16423,0
20050428,11.75,12.79,11.75,12.62,80718,0
20050429,12.63,13.39,12.63,13.39,56800,0
20050502,13.11,13.38,12.8,13.31,111200,0
20050503,13.21,13.72,13.21,13.44,79097,0
20050504,13.56,13.56,13.2,13.3,67416,0
20050505,13.3,13.34,13.25,13.28,54325,0
20050506,13.25,13.31,13.25,13.31,30044,0
20050509,13.35,13.49,13.31,13.45,92717,0
20050510,13.49,13.49,13.31,13.41,55950,0
20050511,13.35,13.36,13.25,13.3,32042,0
20050512,13.25,13.5,13.21,13.45,31606,0
20050513,13.36,13.55,13.36,13.48,31829,0
20050516,13.37,13.57,13.1,13.2,72550,0
20050517,13.17,13.26,13.1,13.16,26054,0
20050518,13.23,13.4,13.1,13.4,23120,0
20050519,13.44,14,13.2,13.7,44365,0
20050520,13.6,13.68,12.82,13.37,77412,0
20050523,13.3,13.7,13.3,13.69,19204,0
20050524,13.78,13.97,13.47,13.85,17904,0
20050525,13.86,13.95,13.57,13.92,36036,0
20050526,14,14,13.76,13.8,36271,0
20050527,13.62,13.82,13.5,13.67,27344,0
20050531,13.63,13.74,13.46,13.58,38788,0
20050601,13.5,13.74,13.5,13.73,26230,0
20050602,13.73,13.75,13.49,13.75,25402,0
20050603,13.59,13.74,13.55,13.65,14886,0
20050606,13.69,13.75,13.5,13.65,61244,0
20050607,13.53,13.75,13.53,13.69,40303,0
20050608,13.73,13.98,13.65,13.95,65008,0
20050609,13.92,14.4,13.86,14.15,80655,0
20050610,14.3,14.75,14.25,14.74,182532,0
20050613,14.5,14.84,14,14.71,636798,0
20050614,14.55,14.98,14.4,14.92,97883,0
20050615,14.95,15.3,14.1,14.67,246432,0
20050616,14.67,15.22,14.67,15.15,126056,0
20050617,15.25,15.37,14.95,15.25,38596,0
20050620,15.14,15.87,15.14,15.75,185031,0
20050621,15.79,16.02,15.43,16,192260,0
20050622,15.65,15.79,14.07,15.38,210519,0
20050623,15.33,15.35,14.67,14.98,56786,0
20050624,14.86,15.28,14.59,14.79,956897,0
20050627,14.77,15.49,14.59,14.93,132932,0
20050628,14.96,14.97,14.5,14.61,81526,0
20050629,14.6,15.11,14.6,14.86,145780,0
20050630,14.32,14.97,14.15,14.97,1417959,0
20050701,14.99,15.25,14.62,15.21,227312,0
20050705,15.2,15.69,15.09,15.58,218118,0
20050706,15.5,16.94,15.45,16.62,747950,0
20050707,16.67,17.94,16.18,17.54,622206,0
20050708,17.93,18.62,16.96,17.62,1083784,0
20050711,17.67,17.82,17.07,17.71,252310,0
20050712,17.75,18.48,17.75,17.89,399758,0
20050713,17.85,17.85,16.7,16.98,272760,0
20050714,17.02,17.16,15.78,16,427797,0
20050715,15.96,16.04,15.22,15.58,712882,0
20050718,15.52,15.98,15.07,15.78,324546,0
20050719,15.79,16.4,15.13,16.12,493775,0
20050720,16.12,16.29,15.75,15.95,162707,0
20050721,15.9,16.21,15.33,16.13,265670,0
20050722,16.1,16.77,16.06,16.29,334049,0
20050725,16.3,16.78,15.88,16.06,193858,0
20050726,16.06,16.35,15.53,15.92,233510,0
20050727,15.94,16.21,15.66,15.91,184314,0
20050728,15.84,15.96,15.23,15.73,236077,0
20050729,15.72,16.03,15.61,15.74,251039,0
20050801,15.82,16.45,15.8,16.01,391750,0
20050802,16.17,16.69,15.97,16.15,363939,0
20050803,16.19,17.4,16.11,16.77,326067,0
20050804,16.73,16.82,15.76,15.97,214532,0
20050805,15.95,16.67,15.95,16.43,115557,0
20050808,16.5,16.7,15.92,16,141189,0
20050809,16,16.27,15.6,15.82,104334,0
20050810,15.86,16.25,15.51,16,210405,0
20050811,16.25,17.37,16.25,17.3,543444,0
20050812,17.42,18,17.34,17.95,240733,0
20050815,17.93,17.99,17.5,17.76,163867,0
20050816,17.71,17.75,17.05,17.15,129864,0
20050817,17,17.02,15.94,16.11,523920,0
20050818,15.98,16.65,15.98,16.28,168255,0
20050819,16.25,16.44,15.91,15.94,109566,0
20050822,15.88,16.16,15.04,15.71,220764,0
20050823,15.71,16.25,15.53,15.65,144000,0
20050824,15.65,15.89,15.27,15.68,122706,0
20050825,15.71,15.86,15.27,15.76,104409,0
20050826,15.76,15.76,15.08,15.26,119063,0
20050829,15.18,15.31,14.58,14.96,180966,0
20050830,14.96,15.29,14.74,15.06,69402,0
20050831,15,15.38,14.64,15.38,109583,0
20050901,15.5,15.78,15.2,15.51,155764,0
20050902,15.45,15.5,15.19,15.42,118436,0
20050906,15.46,15.95,15.46,15.85,138599,0
20050907,15.83,16.19,15.83,16.15,136515,0
20050908,16.07,16.72,16,16.09,116114,0
20050909,16.07,16.19,15.99,16.13,98125,0
20050912,16.06,16.2,15.91,15.97,134449,0
20050913,15.89,16.3,15.86,16.14,90012,0
20050914,16.04,16.14,15.69,15.73,60502,0
20050915,15.73,15.87,15.54,15.59,56147,0
20050916,15.67,15.7,15.3,15.63,141483,0
20050919,15.54,15.68,15.47,15.48,72733,0
20050920,15.52,15.79,15.38,15.4,89166,0
20050921,15.29,15.43,14.57,14.91,290453,0
20050922,14.83,15.07,14.6,14.82,89456,0
20050923,14.73,16.36,14.59,15.28,87239,0
20050926,15.36,15.41,14.94,15.06,103183,0
20050927,15.03,15.29,14.9,15.04,59957,0
20050928,15.02,15.29,15.01,15.11,81150,0
20050929,15.1,15.25,14.9,15.22,51689,0
20050930,15.14,15.14,14.91,15.09,111769,0
20051003,15.21,15.41,14.99,15.35,76818,0
20051004,15.46,15.65,15.2,15.56,121423,0
20051005,15.42,15.59,14.75,15.2,184190,0
20051006,15.25,15.29,15.07,15.13,120891,0
20051007,15,15.31,14.8,14.82,165931,0
20051010,14.82,14.92,14.55,14.56,54401,0
20051011,14.57,14.82,14.57,14.61,227105,0
20051012,14.6,14.65,13.62,13.98,255180,0
20051013,13.85,14.33,13.83,13.89,113385,0
20051014,13.89,14.72,13.89,14.68,88744,0
20051017,14.59,15.15,14.54,15.1,79549,0
20051018,15.09,15.15,14.27,14.35,132062,0
20051019,14.37,14.92,14.1,14.89,50761,0
20051020,14.8,15.06,14.43,14.6,31879,0
20051021,14.49,14.81,14.39,14.7,35882,0
20051024,14.7,15.12,14.68,14.9,94754,0
20051025,14.84,15.47,14.71,15.4,104877,0
20051026,15.29,15.56,15.25,15.53,123057,0
20051027,15.52,15.67,15.43,15.62,156367,0
20051028,15.48,15.48,12.15,12.9,1153935,0
20051031,12.95,13.01,12.32,12.65,758125,0
20051101,12.65,12.68,12.4,12.6,428048,0
20051102,12.6,12.71,12.19,12.4,763524,0
20051103,12.73,12.73,12.45,12.6,401536,0
20051104,12.6,13.02,12.53,12.99,346722,0
20051107,12.91,13.43,12.76,13.22,227726,0
20051108,13.16,13.16,12.77,12.96,185400,0
20051109,13,13.71,12.89,13.5,202417,0
20051110,13.45,13.6,13.42,13.5,207072,0
20051111,13.5,13.54,13.2,13.3,184746,0
20051114,13.23,13.34,12.93,12.97,113010,0
20051115,12.57,12.76,12.53,12.74,592013,0
20051116,12.7,12.81,12.59,12.72,117403,0
20051117,12.78,12.78,12.44,12.49,151131,0
20051118,12.59,12.64,11.81,12.17,170167,0
20051121,12.08,12.18,11.85,12.16,168849,0
20051122,12.15,12.16,11.89,12.14,152994,0
20051123,12.2,12.25,12.08,12.14,162435,0
20051125,12.2,12.25,11.91,12,57779,0
20051128,12.02,12.05,11.3,11.44,318593,0
20051129,11.26,11.39,11.01,11.03,591861,0
20051130,11.15,11.15,10.92,11.1,772089,0
20051201,11.25,12.68,11.25,12.58,645235,0
20051202,12.67,13,12.6,13,232222,0
20051205,12.99,12.99,12.29,12.57,156045,0
20051206,12.51,12.6,12.14,12.17,141688,0
20051207,12.11,12.35,12.07,12.14,73452,0
20051208,12.1,12.25,12.03,12.15,86742,0
20051209,12.1,12.23,12.03,12.15,50855,0
20051212,12.2,12.67,12.05,12.59,258248,0
20051213,12.48,12.96,12.31,12.6,133755,0
20051214,12.72,12.72,12.21,12.52,366164,0
20051215,12.55,12.55,12.23,12.29,175263,0
20051216,12.31,12.5,11.87,11.99,244056,0
20051219,12,12.13,11.64,11.68,136887,0
20051220,11.73,11.76,11.49,11.63,145377,0
20051221,11.72,11.84,11.59,11.75,208408,0
20051222,11.84,11.92,11.6,11.79,185422,0
20051223,11.72,11.97,11.7,11.89,331025,0
20051227,11.84,11.87,11.1,11.18,518239,0
20051228,11.2,11.35,10.98,11.08,328814,0
20051229,10.16,11.25,10.01,11.09,1099061,0
20051230,10.85,11.1,10.6,11.02,397472,0
20060103,10.99,11.15,10.9,11.1,208262,0
20060104,11.1,11.34,11.1,11.33,158802,0
20060105,11.29,11.59,11.27,11.53,226256,0
20060106,11.46,11.59,11.38,11.55,315314,0
20060109,11.64,11.64,11.24,11.38,171078,0
20060110,11.37,11.73,11.36,11.54,168017,0
20060111,11.5,11.52,11.11,11.36,339772,0
20060112,11.43,12.25,11.42,11.99,285438,0
20060113,11.98,12.09,11.75,11.78,124264,0
20060117,11.66,12.11,11.61,11.86,209842,0
20060118,11.7,12.11,11.7,12.1,110789,0
20060119,12.2,12.55,12.15,12.55,334413,0
20060120,12.59,12.66,12.45,12.53,200932,0
20060123,12.64,13,12.4,13,387096,0
20060124,12.96,13.17,12.77,13.1,686331,0
20060125,13.2,13.2,12.92,13.06,341006,0
20060126,11.99,12.05,10.33,12,2569672,0
20060127,12.01,12.15,11.64,11.91,594753,0
20060130,11.79,12.28,11.65,11.91,428764,0
20060131,11.96,12.1,11.35,11.52,487753,0
20060201,11.5,11.7,11.31,11.57,370810,0
20060202,11.47,11.72,11.42,11.51,269966,0
20060203,11.51,11.8,11.34,11.71,231461,0
20060206,11.76,11.82,11.28,11.38,301599,0
20060207,11.35,11.49,11.21,11.33,163828,0
20060208,11.34,11.45,11.2,11.34,209711,0
20060209,11.31,11.48,11.3,11.41,215103,0
20060210,11.37,11.37,11.17,11.3,293208,0
20060213,11.3,11.53,11.25,11.43,213022,0
20060214,11.53,12.2,11.51,12.13,462516,0
20060215,12.2,12.35,12.1,12.31,292562,0
20060216,12.37,12.43,12.11,12.23,269907,0
20060217,12.27,12.35,12.13,12.31,99756,0
20060221,12.28,12.35,12.12,12.29,122631,0
20060222,12.35,12.71,12.28,12.66,137556,0
20060223,12.59,12.84,12.2,12.5,129050,0
20060224,12.56,12.76,12.45,12.74,114903,0
20060227,12.73,12.75,12.4,12.53,106329,0
20060228,12.54,12.67,12.18,12.27,117974,0
20060301,12.27,13,12.2,12.52,140289,0
20060302,12.52,13.35,12.52,12.77,142255,0
20060303,12.68,12.85,12.53,12.64,52522,0
20060306,12.72,13.1,12.29,12.41,118441,0
20060307,12.37,12.4,12.16,12.23,70767,0
20060308,12.2,12.39,12.12,12.2,100430,0
20060309,12.2,12.54,12.18,12.18,63535,0
20060310,12.2,12.67,12.2,12.53,81601,0
20060313,12.54,13.05,12.52,13,321387,0
20060314,13.03,13.03,12.67,12.81,80041,0
20060315,12.81,12.9,12.71,12.89,72275,0
20060316,12.87,12.9,12.62,12.8,103080,0
20060317,12.75,13.25,12.72,13.15,219513,0
20060320,13.14,13.15,12.97,13.01,86475,0
20060321,12.97,13.06,12.57,12.6,66122,0
20060322,12.59,13.09,12.4,12.86,104144,0
20060323,12.8,12.97,12.78,12.97,35421,0
20060324,12.96,13.2,12.74,13.05,213095,0
20060327,13.01,13.14,12.84,12.85,173573,0
20060328,12.85,13.03,12.77,12.86,126980,0
20060329,13,13.25,12.86,13.23,225159,0
20060330,13.15,13.46,13.13,13.2,143369,0
20060331,13.09,13.75,13.09,13.73,281354,0
20060403,13.8,13.8,13.32,13.63,118908,0
20060404,13.56,13.95,13.55,13.93,269603,0
20060405,13.84,14,13.59,13.95,106955,0
20060406,14,14,13.6,13.8,219645,0
20060407,13.8,13.91,13.55,13.58,161976,0
20060410,13.56,13.6,13.1,13.45,187719,0
20060411,13.52,13.52,13.14,13.41,64016,0
20060412,13.37,13.49,13,13.09,117762,0
20060413,13.09,13.75,13.09,13.45,134734,0
20060417,13.41,13.53,13.01,13.15,107806,0
20060418,13.22,13.75,13.2,13.59,312947,0
20060419,10.75,11.69,9.92,11.48,3099064,0
20060420,11.47,12.5,11.28,12.17,514039,0
20060421,12.17,12.21,11.83,11.87,179304,0
20060424,11.9,12.09,11.82,11.97,135891,0
20060425,11.97,12.02,11.85,12,205595,0
20060426,12,12.14,11.95,11.96,117259,0
20060427,11.88,11.96,11.5,11.79,133962,0
20060428,11.7,11.92,11.51,11.77,269368,0
20060501,11.72,11.87,11.44,11.47,192315,0
20060502,10.34,11.4,10.08,11.39,1537949,0
20060503,11.37,11.45,11.02,11.29,294176,0
20060504,11.27,11.55,11.22,11.54,117396,0
20060505,11.68,11.98,11.46,11.9,225226,0
20060508,11.96,12.22,11.65,12.1,279918,0
20060509,12.05,12.09,11.9,11.92,204859,0
20060510,11.84,11.98,11.72,11.88,100468,0
20060511,11.8,11.8,10.92,11.09,362806,0
20060512,11.01,11.1,10.78,11.02,224193,0
20060515,10.96,11.13,10.81,11.02,197171,0
20060516,10.99,11.25,10.55,10.9,882011,0
20060517,10.82,10.92,10.52,10.54,385705,0
20060518,10.55,10.68,10.25,10.28,385519,0
20060519,10.32,10.45,10.16,10.17,221822,0
20060522,10.13,10.23,9.99,10.1,214200,0
20060523,9.37,10.28,9.37,9.71,583190,0
20060524,9.6,10.39,9.46,10.33,452452,0
20060525,10.25,10.76,10.2,10.71,278466,0
20060526,10.61,10.89,10.39,10.86,151441,0
20060530,10.63,10.73,9.89,10.03,135045,0
20060531,10.03,10.14,9.9,10.06,129410,0
20060601,9.91,10.21,9.91,10.14,69212,0
20060602,10.06,10.18,9.5,9.8,369760,0
20060605,9.72,10.06,9.54,9.79,260631,0
20060606,9.74,9.74,9.3,9.33,97630,0
20060607,9.28,9.94,9.16,9.54,250610,0
20060608,9.53,9.58,9.04,9.48,144026,0
20060609,9.47,9.6,9.06,9.06,96048,0
20060612,9.06,9.06,8.91,8.92,176425,0
20060613,8.9,9.06,8.38,8.53,380606,0
20060614,8.47,8.89,8.47,8.86,83182,0
20060615,8.85,9.2,8.85,9.01,339858,0
20060616,8.94,9.06,8.86,8.93,229331,0
20060619,8.88,8.93,8.6,8.76,87248,0
20060620,8.68,8.95,8.68,8.83,151948,0
20060621,8.78,9.1,8.78,9.05,127476,0
20060622,8.98,8.98,8.86,8.88,65688,0
20060623,8.82,8.82,8.61,8.68,104891,0
20060626,8.72,8.92,8.64,8.75,101989,0
20060627,8.7,8.8,8.39,8.4,263818,0
20060628,8.4,8.4,8.05,8.23,638931,0
20060629,8.23,8.41,8.15,8.24,426190,0
20060630,8.24,8.25,8.05,8.14,1130972,0
20060703,8.15,8.22,8.01,8.08,83894,0
20060705,8.05,8.07,7.98,8.04,169584,0
20060706,8.03,8.18,7.82,7.89,191274,0
20060707,7.9,8.02,7.75,7.82,135789,0
20060710,7.83,8.02,7.78,7.9,208917,0
20060711,7.86,8.06,7.72,8.01,127313,0
20060712,8.03,8.45,7.85,7.94,124310,0
20060713,7.86,7.93,7.7,7.78,131217,0
20060714,7.81,7.81,7.57,7.57,115487,0
20060717,7.52,7.59,7.39,7.43,231221,0
20060718,7.44,7.64,7.29,7.44,330528,0
20060719,7.45,7.75,7.44,7.56,126786,0
20060720,7.54,7.71,7.29,7.32,62582,0
20060721,7.32,7.32,7.01,7.04,77109,0
20060724,7.11,7.25,7,7.02,183646,0
20060725,7.02,7.2,6.94,7,175704,0
20060726,6.94,7.17,6.93,6.99,283002,0
20060727,7,7.11,6.95,6.98,172448,0
20060728,7.06,7.25,6.97,7.23,359462,0
20060731,7.2,7.57,7.2,7.44,570748,0
20060801,7.37,7.69,7.37,7.6,128205,0
20060802,7.65,7.75,7.35,7.45,105154,0
20060803,7.36,8.25,7.3,8.05,188948,0
20060804,8.16,8.27,7.95,8.08,87256,0
20060807,8.02,8.23,7.93,8.06,100969,0
20060808,8.06,8.11,7.95,7.99,105356,0
20060809,8.07,8.23,7.81,7.97,127298,0
20060810,8.01,9.1,7.91,8.84,368917,0
20060811,8.8,8.96,8.49,8.51,108859,0
20060814,8.56,8.64,8.1,8.53,123614,0
20060815,8.66,8.95,8.64,8.85,73801,0
20060816,8.94,9.1,8.87,8.93,146130,0
20060817,8.88,9.02,8.79,8.81,98827,0
20060818,8.85,8.95,8.63,8.63,129557,0
20060821,8.59,8.71,8.5,8.66,157468,0
20060822,8.65,8.86,8.62,8.82,241586,0
20060823,8.8,9.02,8.8,8.95,131135,0
20060824,8.95,9.05,8.93,9.03,64400,0
20060825,9.04,9.43,9.04,9.23,66217,0
20060828,9.27,9.54,9.22,9.48,150973,0
20060829,9.5,10.09,9.4,10.08,143065,0
20060830,10.1,10.24,9.96,10.09,116270,0
20060831,10.09,10.3,9.86,10.09,110822,0
20060901,10.01,10.33,9.57,9.61,74333,0
20060905,9.65,9.9,9.57,9.81,123512,0
20060906,9.73,9.81,9.53,9.72,129921,0
20060907,9.65,9.69,9.5,9.63,141505,0
20060908,9.69,10.12,9.63,10.1,73021,0
20060911,10.02,10.5,9.99,10.36,282555,0
20060912,10.4,10.61,10.28,10.38,159775,0
20060913,10.3,10.44,10.23,10.29,61140,0
20060914,10.23,10.24,9.97,10.1,137783,0
20060915,10.15,10.3,9.72,9.77,199846,0
20060918,9.83,10,9.76,9.87,102335,0
20060919,9.91,9.94,9.55,9.86,101005,0
20060920,9.93,10.3,9.88,10.19,64524,0
20060921,10.19,10.4,10.13,10.18,52669,0
20060922,10.12,10.15,9.56,9.75,82067,0
20060925,9.8,9.84,9.37,9.81,106897,0
20060926,9.81,9.81,9.6,9.67,103209,0
20060927,9.61,9.92,9.52,9.7,168967,0
20060928,9.75,9.96,9.72,9.77,75158,0
20060929,9.8,9.97,9.73,9.76,82879,0
20061002,9.73,9.77,9.26,9.28,127964,0
20061003,9.23,9.52,9.19,9.32,117117,0
20061004,9.33,9.55,9.24,9.5,103607,0
20061005,9.47,9.59,9.39,9.55,68505,0
20061006,9.49,9.61,9.49,9.58,88697,0
20061009,9.52,9.6,9.43,9.54,41840,0
20061010,9.53,9.71,9.34,9.65,96420,0
20061011,9.64,9.77,9.41,9.57,106866,0
20061012,9.59,9.96,9.54,9.96,71584,0
20061013,10,10,9.85,9.99,72420,0
20061016,10,10.03,9.86,10.01,92400,0
20061017,9.92,10.03,9.67,9.95,81798,0
20061018,10,10,9.68,9.75,39238,0
20061019,9.7,9.95,9.66,9.84,86595,0
20061020,9.88,9.88,9.57,9.78,69632,0
