Date,Open,High,Low,Close,Volume,OpenInt
20160725,54.051,54.051,54.041,54.041,990,0
20160728,54.546,54.546,54.546,54.546,101,0
20160802,54.279,54.299,54.279,54.299,285,0
20160808,56.021,56.021,56.021,56.021,209,0
20160809,56.408,56.408,56.364,56.364,505,0
20160810,56.586,56.586,56.586,56.586,101,0
20160811,56.853,56.853,56.853,56.853,202,0
20160817,57.021,57.021,56.604,56.996,1111,0
20160819,57.031,57.031,57.031,57.031,170,0
20160822,57.001,57.001,56.625,56.625,379,0
20160823,56.863,56.863,56.863,56.863,101,0
20160824,56.447,56.586,56.427,56.427,5449,0
20160829,56.16,56.2,56.16,56.2,3394,0
20160831,56.22,56.22,55.952,55.952,364,0
20160901,56.021,56.111,56.021,56.111,202,0
20160902,56.734,56.734,56.734,56.734,103,0
20160907,58.289,58.308,58.229,58.229,3405,0
20160908,58.308,58.308,58.061,58.061,606,0
20160909,57.289,57.289,56.298,56.298,21061,0
20160912,55.625,55.625,55.477,55.477,202,0
20160916,55.586,55.586,55.586,55.586,101,0
20160919,56.378,56.378,56.378,56.378,12719,0
20160923,57.754,57.754,57.754,57.754,101,0
20160926,57.041,57.041,56.527,56.527,4572,0
20160927,57.051,57.22,57.051,57.22,352,0
20160928,57.357,57.645,56.952,57.645,1945,0
20160929,57.516,57.516,56.952,56.961,3933,0
20160930,56.923,57.2,56.923,57.09,3637,0
20161003,57.061,57.417,57.061,57.417,1314,0
20161004,57.417,57.417,57.071,57.071,1314,0
20161005,57.427,57.427,57.309,57.357,707,0
20161006,57.229,57.606,57.229,57.566,2389,0
20161007,57.546,57.546,57.081,57.338,909,0
20161011,57.09,57.09,56.744,56.744,404,0
20161012,56.417,56.645,56.368,56.625,1111,0
20161013,56.041,56.337,55.754,56.337,2030,0
20161014,56.437,56.437,56.234,56.278,715,0
20161017,56.22,56.278,56.22,56.278,606,0
20161020,57.457,57.485,57.427,57.427,1079,0
20161021,57.11,57.11,57.101,57.101,835,0
20161024,58.002,58.002,57.586,57.586,578,0
20161027,56.604,56.784,56.582,56.784,677,0
20161028,56.566,56.635,56.19,56.269,1831,0
20161101,56.724,56.724,55.854,56.17,3238,0
20161102,55.408,55.408,55.408,55.408,228,0
20161103,55.516,55.516,55.516,55.516,101,0
20161104,55.032,55.329,55.032,55.18,550,0
20161107,56.784,56.784,56.784,56.784,505,0
20161108,56.566,56.566,56.556,56.556,519,0
20161109,56.19,56.19,55.536,55.735,3156,0
20161110,55.645,55.645,54.108,54.108,691,0
20161111,53.007,53.007,52.932,52.932,593,0
20161114,52.428,52.508,52.22,52.486,2333,0
20161116,52.913,52.982,52.913,52.95,594,0
20161117,53.348,53.348,53.348,53.348,463,0
20161118,53.368,53.368,53.368,53.368,303,0
20161121,53.665,53.665,53.378,53.419,973,0
20161122,53.983,54.051,53.863,54.051,472,0
20161123,53.636,53.636,53.378,53.626,489,0
20161128,54.061,54.061,54.061,54.061,141,0
20161205,53.705,53.705,53.705,53.705,141,0
20161209,54.831,54.831,54.831,54.831,261,0
20161212,54.843,54.843,54.536,54.549,534,0
20161216,53.695,53.705,53.695,53.705,401,0
20161219,53.596,53.596,53.295,53.295,1072,0
20161220,53.428,53.428,53.428,53.428,7727,0
20161221,53.353,53.353,53.307,53.307,2045,0
20161223,53.125,53.125,53.125,53.125,237,0
20161227,53.274,53.274,53.22,53.22,2004,0
20161228,53.294,53.611,53.294,53.462,10682,0
20161229,53.979,54.257,53.979,54.213,1871,0
20161230,53.889,53.889,53.874,53.874,431,0
20170104,55.04,55.04,55.04,55.04,258,0
20170105,55.567,55.646,55.388,55.646,1505,0
20170110,55.805,55.805,55.805,55.805,164,0
20170111,55.835,56.272,55.726,56.272,2026,0
20170112,56.47,56.599,56.43,56.599,4564,0
20170113,56.371,56.371,56.359,56.359,446,0
20170117,56.579,56.579,56.579,56.579,338,0
20170119,56.242,56.242,56.023,56.202,1082,0
20170120,56.348,56.348,56.113,56.262,469,0
20170123,56.401,57.026,56.401,57.026,603,0
20170124,57.443,57.443,57.274,57.304,716,0
20170125,57.776,57.776,57.776,57.776,173,0
20170126,57.701,57.701,57.671,57.671,392,0
20170127,57.671,57.671,57.631,57.631,331,0
20170130,57.195,57.254,57.195,57.254,1478,0
20170202,57.731,57.731,57.71,57.71,478,0
20170207,58.237,58.237,57.88,57.89,1172,0
20170208,58.088,58.088,58.088,58.088,578,0
20170210,58.803,58.803,58.803,58.803,444,0
20170213,59.061,59.061,59.05,59.05,250,0
20170214,59.16,59.16,59.011,59.051,2684,0
20170215,59.22,59.22,59.21,59.21,996,0
20170216,59.795,59.795,59.503,59.507,1702,0
20170217,59.068,59.071,59.068,59.071,572,0
20170221,59.547,59.835,59.547,59.821,1505,0
20170222,60.024,60.024,59.766,59.994,3568,0
20170223,60.152,60.152,59.974,60.004,1299,0
20170224,59.458,59.458,59.259,59.339,4038,0
20170227,59.21,59.279,59.101,59.101,30803,0
20170301,59.458,59.547,59.458,59.547,4835,0
20170302,59.289,59.289,58.731,58.731,8549,0
20170303,58.981,59.19,58.952,59.186,1826,0
20170306,59.14,59.21,59.11,59.15,2133,0
20170307,59.458,59.458,59.19,59.19,1483,0
