Date,Open,High,Low,Close,Volume,OpenInt
20050225,3.95,4.03,3.95,4.03,25,0
20050302,5.13,5.13,5.13,5.13,126,0
20050304,5.53,5.53,5.53,5.53,20,0
20050307,3.95,3.99,3.95,3.95,316,0
20050308,3.55,3.55,3.55,3.55,126,0
20050310,3.55,3.55,3.55,3.55,126,0
20050318,3.55,3.55,3.55,3.55,190,0
20050322,3.55,3.55,3.55,3.55,177,0
20050323,3.55,3.55,3.55,3.55,25,0
20050405,3.55,3.75,3.55,3.55,437,0
20050412,3.36,3.36,3.36,3.36,25,0
20050422,3.16,3.16,2.76,2.76,506,0
20050425,3.55,3.95,3.55,3.95,443,0
20050426,4.34,4.34,4.34,4.34,126,0
20050429,4.34,4.34,4.34,4.34,126,0
20050506,3.16,3.16,3.16,3.16,50,0
20050509,4.34,4.34,4.34,4.34,50,0
20050511,3.95,4.34,3.95,4.34,800,0
20050512,4.74,4.74,4.74,4.74,126,0
20050513,5.53,7.89,5.53,7.5,495,0
20050516,6.71,6.71,5.92,6.32,924,0
20050517,5.92,6.32,5.92,6.32,564,0
20050518,6.67,6.71,6.51,6.71,506,0
20050519,7.11,8.68,7.11,8.29,984,0
20050520,7.5,7.89,7.5,7.89,159,0
20050524,7.5,7.5,7.5,7.5,309,0
20050525,7.5,7.5,7.5,7.5,126,0
20050526,7.11,7.11,6.32,6.32,380,0
20050527,6.32,6.32,6.32,6.32,126,0
20050531,6.32,6.32,5.92,5.92,633,0
20050601,5.13,5.13,4.74,4.74,886,0
20050617,5.13,5.13,5.13,5.13,253,0
20050627,4.93,4.93,4.74,4.74,274,0
20050701,4.74,4.93,4.74,4.93,532,0
20050713,5.53,5.53,5.53,5.53,126,0
20050714,4.74,4.74,4.74,4.74,253,0
20050729,3.95,3.95,2.37,3.95,1773,0
20050824,3.95,3.95,3.95,3.95,152,0
20050831,3.95,3.95,3.95,3.95,76,0
20050902,3.95,4.61,3.62,4.61,3632,0
20050906,5.59,5.92,4.28,5.26,2888,0
20050908,5.26,6.25,5.26,6.25,1026,0
20050909,5.92,5.92,5.92,5.92,885,0
20050913,5.59,6.25,5.59,6.25,456,0
20050914,6.25,6.25,6.25,6.25,117,0
20050915,5.92,5.92,5.92,5.92,152,0
20050916,5.92,5.92,5.92,5.92,190,0
20050921,6.25,6.25,6.25,6.25,190,0
20050923,5.92,5.92,5.92,5.92,405,0
20050927,5.92,5.92,5.92,5.92,292,0
20050930,5.92,5.92,5.92,5.92,391,0
20051004,5.92,5.92,5.92,5.92,456,0
20051013,5.92,5.92,5.92,5.92,760,0
20051025,5.99,5.99,5.89,5.99,1058,0
20051102,6.45,6.45,5.39,5.39,228,0
20051108,3.36,3.95,3.36,3.95,683,0
20051110,1.5,1.5,1.5,1.5,25,0
20051117,2,2,2,2,26,0
20051130,10.1,10.1,3.1,3.1,95,0
20051208,3.1,3.1,3,3,32,0
20051214,10.1,10.1,6,6,20,0
20051215,10.1,10.1,6,6,54,0
20051228,5,5,3.5,3.5,210,0
20060109,10.1,10.1,3.9,3.9,1260,0
20060110,9.6,11,8.5,11,1896,0
20060111,17.5,25,12,18,10049,0
20060112,20,20.7,16.5,17,11234,0
20060113,16.6,19.9,16.6,19.6,3080,0
20060117,22,30,21.5,27.9,26512,0
20060118,28.5,28.5,25.1,25.5,10630,0
20060119,26.5,27.9,25.9,27.2,21588,0
20060120,27.5,27.8,27.2,27.6,8352,0
20060123,27.8,27.9,27.1,27.1,6008,0
20060124,27.1,27.5,20,20,6563,0
20060125,20.2,24.8,20.2,24.6,11502,0
20060126,24.7,24.9,24.1,24.1,6963,0
20060127,24.4,24.4,20.1,22.5,5855,0
20060130,23.5,23.5,15,20,10406,0
20060131,20,20,15.1,16.5,3039,0
20060201,14.5,16.5,14.5,16.5,3485,0
20060202,18.4,21,15.6,20.2,7039,0
20060203,20.3,20.8,20.3,20.8,7294,0
20060206,21.3,21.5,21,21.4,13015,0
20060207,22,22.5,21.4,22,6163,0
20060208,23.5,23.5,21.4,21.8,3473,0
20060209,22.2,22.2,20.1,20.8,6127,0
20060210,20,21,18,19,8435,0
20060213,19.6,20,18.1,18.5,1269,0
20060214,18.5,20,18.5,19.5,1699,0
20060215,19.5,19.5,18.5,18.5,655,0
20060216,18.5,19.6,18.5,19.5,2285,0
20060217,19,19,18,18.1,8084,0
20060221,18,19.1,18,19,2205,0
20060222,19,19.1,18.1,18.1,2050,0
20060223,18.1,18.8,18,18,499,0
20060224,18,19,17,17,1573,0
20060227,16.5,17,15,15,4774,0
20060228,15.5,15.5,15,15.4,1045,0
20060301,14.8,15.5,14.8,14.8,1419,0
20060302,14.3,14.5,11,14,5121,0
20060303,14,14,12.6,13,6896,0
20060306,14.3,14.3,12.7,13.6,5043,0
20060307,13.6,13.6,13,13.3,5337,0
20060308,13.3,13.35,12.8,12.8,3305,0
20060309,12,12.5,11.8,12.5,1972,0
20060310,11.3,12,11.1,11.5,4891,0
20060313,11,11.5,10.3,11.3,5137,0
20060314,11,11.3,10.9,10.9,2186,0
20060315,10.9,11.3,10.7,10.8,2252,0
20060316,10.7,11,9,11,3765,0
20060317,10.7,11,10.7,11,414,0
20060320,11.5,13.8,11.3,13.7,10826,0
20060321,14.1,14.2,13.1,13.1,5116,0
20060322,13.9,14.5,12.6,13.5,4038,0
20060323,13.5,13.5,11.5,12.3,7110,0
20060324,12,13,12,12.5,5332,0
20060327,12.5,13,11.5,12,1496,0
20060328,13,13,10.5,10.5,1810,0
20060329,9.5,13,8.9,12.5,5627,0
20060330,12.9,12.9,12,12.5,3848,0
20060331,12.6,12.6,11.5,12.5,7385,0
20060403,12.8,13.2,12.5,12.8,7126,0
20060404,13,13.2,12.9,13.1,8020,0
20060405,13.2,13.2,13,13.2,7490,0
20060406,13.2,13.2,12.8,13.1,1671,0
20060407,13.1,13.2,13.1,13.2,5830,0
20060410,13.1,13.1,12.7,13,6109,0
20060411,13.2,13.2,12.7,12.7,8112,0
20060412,13.1,13.1,13,13,3587,0
20060413,13.1,13.1,12.7,12.8,2397,0
20060417,13,13.1,12.7,13,466,0
20060418,13.2,13.8,13,13.4,16006,0
20060419,14,17.8,13.8,17.6,92934,0
20060420,18.5,18.7,16.2,17.1,58898,0
20060421,17.4,17.9,17,17.3,16236,0
20060424,17.3,17.6,17.3,17.6,13968,0
20060425,17.6,17.6,12.7,16,12008,0
20060426,16.5,16.6,15.5,15.8,5718,0
20060427,15.5,16,14.5,14.5,16352,0
20060428,15,15,14.5,14.6,7973,0
20060501,14.5,15,14.5,15,1844,0
20060502,15.9,15.9,15,15.8,10325,0
20060503,15.9,16,15.5,15.9,9015,0
20060504,16.3,16.4,15.3,15.6,13408,0
20060505,15.7,15.7,15.3,15.5,1870,0
