Date,Open,High,Low,Close,Volume,OpenInt
20050225,12.87,13.01,12.72,13.01,85488,0
20050228,13.16,13.2,12.77,13,106523,0
20050301,13.08,13.15,12.69,12.97,138753,0
20050302,12.76,13.11,12.72,12.82,460481,0
20050303,13.01,13.2,12.89,13.09,234593,0
20050304,12.96,13.16,12.9,13.01,100406,0
20050307,12.9,13.27,12.9,13.09,90210,0
20050308,13.06,13.34,12.98,13.09,72151,0
20050309,12.95,13.06,12.69,12.75,79885,0
20050310,12.75,13.32,12.73,12.77,186665,0
20050311,13,13.2,12.73,12.74,50688,0
20050314,12.71,12.99,12.71,12.96,61214,0
20050315,13,13,12.7,12.75,89628,0
20050316,12.59,12.8,12.59,12.8,81709,0
20050317,12.68,12.81,12.09,12.29,170314,0
20050318,12.41,12.5,11.9,12.17,318469,0
20050321,12.1,12.44,12.1,12.35,83362,0
20050322,12.44,12.51,11.98,12.12,186902,0
20050323,12,12.4,11.86,12.07,120985,0
20050324,12.17,12.3,11.81,12.01,77425,0
20050328,11.93,12.13,11.71,11.87,179823,0
20050329,12.05,12.25,11.5,11.55,270028,0
20050330,11.67,12.37,11.67,12.3,297231,0
20050331,12.18,12.39,11.8,12.37,187889,0
20050401,12.55,12.55,12.11,12.29,295324,0
20050404,12.18,12.22,11.92,12.03,70322,0
20050405,11.93,12.22,11.86,11.99,114331,0
20050406,11.95,12.3,11.42,11.48,245139,0
20050407,11.49,11.61,11.1,11.35,292933,0
20050408,11.24,11.45,11.21,11.25,117779,0
20050411,11.26,11.34,11.02,11.15,124414,0
20050412,10.95,11.26,10.95,11.2,128816,0
20050413,11.3,11.3,10.97,10.97,119217,0
20050414,11.09,11.09,10.85,10.86,156515,0
20050415,11,11,10.57,10.67,165516,0
20050418,10.64,10.85,10.58,10.82,134427,0
20050419,10.91,10.91,10.66,10.78,49297,0
20050420,10.72,10.72,10.52,10.52,119936,0
20050421,10.52,10.74,10.5,10.59,105397,0
20050422,10.47,10.62,10.07,10.21,114334,0
20050425,10.21,10.37,10.15,10.28,28830,0
20050426,10.24,10.33,9.92,9.97,132980,0
20050427,9.9,10,9.73,9.8,116615,0
20050428,9.72,10.1,9.72,9.94,98950,0
20050429,9.92,9.92,9.4,9.9,106837,0
20050502,10,10,9.37,9.51,117730,0
20050503,9.38,9.6,8.87,8.95,210374,0
20050504,9.48,9.56,8.06,8.06,1495174,0
20050505,8.04,9.08,8.01,8.92,1041570,0
20050506,9.01,9.01,8.7,8.84,366592,0
20050509,8.67,9.6,8.14,8.77,428022,0
20050510,8.75,9.07,8.64,8.92,213625,0
20050511,9.04,9.04,8.53,8.59,277638,0
20050512,8.74,9.25,8.65,8.91,335829,0
20050513,8.98,9.13,8.87,9.04,324250,0
20050516,9.02,9.3,8.85,9.1,326188,0
20050517,9.08,9.26,8.95,9.01,299777,0
20050518,9.16,9.31,9.01,9.3,215521,0
20050519,9.3,9.39,8.85,9.06,221317,0
20050520,9.07,9.7,8.77,9.69,381240,0
20050523,9.64,9.7,9.01,9.04,376170,0
20050524,9.04,9.2,8.94,8.96,172026,0
20050525,8.94,9.25,8.92,9.13,206719,0
20050526,9.07,9.52,9.06,9.47,177662,0
20050527,9.42,9.52,9.28,9.33,209967,0
20050531,9.31,9.69,9.31,9.62,197878,0
20050601,9.67,9.72,9.51,9.55,139565,0
20050602,9.54,9.73,9.4,9.69,107759,0
20050603,9.69,9.74,9.45,9.62,301250,0
20050606,9.62,9.77,9.48,9.51,170634,0
20050607,9.53,9.78,9.5,9.61,132953,0
20050608,9.61,9.77,9.5,9.68,147622,0
20050609,9.65,10.07,9.63,9.99,172094,0
20050610,10.03,10.18,10,10.14,102141,0
20050613,10.19,10.19,10,10.09,140394,0
20050614,10.06,10.4,9.97,10.37,179962,0
20050615,10.41,10.46,10.21,10.44,146729,0
20050616,10.46,10.46,10.22,10.33,174023,0
20050617,10.26,10.53,10.26,10.44,144430,0
20050620,10.41,10.47,10.18,10.28,128978,0
20050621,10.25,10.35,10.08,10.14,220144,0
20050622,10.15,10.27,10.04,10.1,98933,0
20050623,10.07,10.2,9.83,9.9,119401,0
20050624,9.8,9.92,9.7,9.72,514001,0
20050627,9.93,9.93,9.42,9.42,196980,0
20050628,9.42,11,9.42,11,793008,0
20050629,10.92,12.13,10.75,11.94,648525,0
20050630,12.11,12.72,11.87,12.01,290248,0
20050701,12.03,12.21,11.47,11.81,178300,0
20050705,11.69,12.08,11.64,12,125105,0
20050706,12.05,12.23,11.6,11.77,189902,0
20050707,11.48,11.62,11.12,11.39,125151,0
20050708,11.45,12,11.15,12,141702,0
20050711,12,12.19,11.9,12.02,122172,0
20050712,12,12.13,11.78,12,128178,0
20050713,12,12.18,11.92,12.16,285694,0
20050714,12.25,12.48,11.95,12,113623,0
20050715,11.95,12.18,11.78,12.01,70800,0
20050718,12,12.25,11.9,12.16,126665,0
20050719,12.2,12.25,12.01,12.11,90469,0
20050720,12,12.48,11.99,12.47,225660,0
20050721,12.49,12.49,11.95,12.02,187182,0
20050722,12.06,12.37,11.92,12.25,186152,0
20050725,12.16,12.18,11.57,11.9,220652,0
20050726,11.92,11.94,11.55,11.72,183379,0
20050727,11.82,11.88,11.59,11.88,114205,0
20050728,11.95,12,11.65,12,74098,0
20050729,11.99,12.19,11.69,11.84,99496,0
20050801,11.88,12.04,11.84,11.96,87954,0
20050802,11.98,12.85,11.7,12.3,1314960,0
20050803,12.29,12.3,11.76,11.89,118018,0
20050804,11.87,11.97,11.55,11.73,132625,0
20050805,11.67,11.85,11.34,11.65,127424,0
20050808,11.6,12.01,11.51,11.75,135388,0
20050809,11.68,11.88,11.68,11.81,122051,0
20050810,12,13.09,12,12.68,727941,0
20050811,12.68,13.51,12.68,13.01,510643,0
20050812,12.89,13.23,12.67,12.97,175709,0
20050815,12.87,13.36,12.87,13.17,206249,0
20050816,13.08,13.17,12.95,12.97,104754,0
20050817,12.94,13.23,12.94,13.1,143973,0
20050818,12.99,13.22,12.88,13.19,206981,0
20050819,13.12,13.26,13.01,13.12,109199,0
20050822,13.09,13.35,12.99,13.13,160303,0
20050823,13.12,13.19,12.95,13.07,226871,0
20050824,13.04,13.36,13.01,13.06,177302,0
20050825,13.06,13.37,13.06,13.3,106587,0
20050826,13.29,13.39,12.88,13.02,142107,0
20050829,13.01,13.12,12.96,13.1,109304,0
20050830,13.02,13.15,13.01,13.1,145337,0
20050831,13.09,13.25,13.01,13.25,127386,0
20050901,13.09,13.09,12.15,12.51,312018,0
20050902,12.51,13,12.45,12.92,134502,0
20050906,13.07,13.07,12.9,13,149968,0
20050907,13,13.03,12.88,13,155892,0
20050908,12.79,12.95,12.61,12.79,131384,0
20050909,12.79,13,12.78,12.95,104744,0
20050912,12.89,13.05,12.78,12.96,165476,0
20050913,12.93,12.93,12.65,12.7,170665,0
20050914,12.71,12.81,12.43,12.49,74508,0
20050915,12.52,12.77,12.11,12.33,105435,0
20050916,12.45,12.45,12.07,12.35,302906,0
20050919,12.28,12.51,11.8,12.02,130859,0
20050920,12.06,12.34,11.96,12.2,77471,0
20050921,12.03,12.11,11.43,11.56,246766,0
20050922,11.48,11.77,11.33,11.63,143178,0
20050923,11.59,11.91,11.47,11.76,143823,0
20050926,11.82,11.96,11.31,11.39,395564,0
20050927,11.37,11.84,11.3,11.71,58413,0
20050928,11.68,11.73,11.19,11.25,256905,0
20050929,11.23,11.55,11.04,11.3,101123,0
20050930,11.2,11.49,11.2,11.35,101735,0
20051003,11.32,11.68,11.23,11.23,935744,0
20051004,9.9,11.12,9.61,10.48,667563,0
20051005,10.44,10.53,9.89,9.93,441353,0
20051006,10,10.09,9.38,9.44,376048,0
20051007,9.6,9.82,9.33,9.77,356752,0
20051010,9.77,9.78,9.54,9.68,221250,0
20051011,9.7,9.73,9.58,9.64,260605,0
20051012,10,10.28,9.65,10.07,400982,0
20051013,10.07,10.07,9.49,9.92,339628,0
20051014,9.99,10.1,9.75,10.05,102956,0
20051017,10.03,10.08,9.56,9.87,179768,0
20051018,9.85,9.94,9.56,9.63,206441,0
20051019,9.59,10.1,9.55,10.01,143752,0
20051020,10.09,10.09,9.55,9.81,116582,0
20051021,9.76,9.86,9.53,9.68,78197,0
20051024,9.72,9.96,9.62,9.82,90677,0
20051025,9.79,10.06,9.58,10.01,272452,0
20051026,9.98,10,9.56,9.8,186167,0
20051027,9.75,9.76,9.31,9.65,417421,0
20051028,9.7,9.73,9.24,9.5,100575,0
20051031,9.52,9.85,9.5,9.82,127099,0
20051101,9.75,9.85,9.48,9.61,58880,0
20051102,9.55,9.85,9.47,9.85,143701,0
20051103,9.87,10,9.79,9.97,152015,0
20051104,9.97,10.24,9.93,10,182347,0
20051107,10.14,10.15,9.83,9.94,193711,0
20051108,9.88,9.91,9.69,9.79,200610,0
20051109,9.69,9.8,9.56,9.69,161345,0
20051110,10.7,10.7,9.98,10.09,3039035,0
20051111,10.24,10.89,10.15,10.73,581708,0
20051114,10.75,11.66,10.75,10.89,365110,0
20051115,10.84,10.89,10.53,10.63,230577,0
20051116,10.64,10.95,10.64,10.91,167720,0
20051117,10.91,11.58,10.85,11.45,461014,0
20051118,11.52,11.65,11,11.22,261819,0
20051121,11.28,11.3,11.13,11.23,172805,0
20051122,11.37,11.37,11.06,11.17,200370,0
20051123,11.16,11.42,11.09,11.22,164603,0
20051125,11.31,11.48,11.22,11.36,56125,0
20051128,11.5,11.5,11.02,11.23,175297,0
20051129,11.26,11.3,10.88,10.93,187351,0
20051130,10.95,11.25,10.95,11.1,155849,0
20051201,11.29,11.58,11.18,11.49,360879,0
20051202,11.63,11.63,11.22,11.39,126061,0
20051205,11.43,11.98,11.43,11.88,412382,0
20051206,12.06,12.47,11.92,12.1,384091,0
20051207,12.2,12.2,11.95,11.99,269284,0
20051208,12.05,12.55,12.05,12.5,717562,0
20051209,12.52,12.69,12.45,12.5,310145,0
20051212,12.6,12.65,12.35,12.48,332412,0
20051213,12.45,12.45,12.18,12.27,239174,0
20051214,12.25,12.51,12.25,12.48,164433,0
20051215,12.49,12.5,12.26,12.45,346465,0
20051216,12.49,12.53,12.21,12.33,298456,0
20051219,12.26,12.28,11.64,11.77,302657,0
20051220,11.59,12.12,11.48,12.03,605104,0
20051221,12.02,12.29,12.02,12.25,165842,0
20051222,12.25,13,12.23,12.69,277242,0
20051223,12.81,12.81,12.65,12.75,113321,0
20051227,12.86,12.95,12.28,12.43,179296,0
