Date,Open,High,Low,Close,Volume,OpenInt
20050225,25.75,26.4,25.75,25.9,604080,0
20050228,25.71,26.29,25.7,25.8,916494,0
20050301,25.75,26,25.37,25.93,1264022,0
20050302,25.92,26.5,25.9,26,739531,0
20050303,26.23,26.3,25.86,25.95,694148,0
20050304,26.08,26.37,25.91,26.21,545328,0
20050307,26.22,26.43,26.13,26.23,242552,0
20050308,26.2,26.38,25.65,25.77,344705,0
20050309,25.71,26.86,25.64,26.47,774266,0
20050310,26.45,26.5,26,26.07,364137,0
20050311,25.98,26.3,25.95,26.05,311118,0
20050314,26,26.44,25.92,26,318059,0
20050315,25.93,26.44,25.93,26.12,180140,0
20050316,26.12,26.19,25.72,26.01,315349,0
20050317,25.92,26.45,25.76,26.13,415878,0
20050318,26.03,26.07,25.25,25.39,1065338,0
20050321,25.64,25.64,25.1,25.27,272909,0
20050322,25.31,25.31,25,25.18,323847,0
20050323,25,25.36,24.7,25.2,269080,0
20050324,25.16,25.57,24.9,25.3,346177,0
20050328,25.15,25.85,24.98,25.01,454769,0
20050329,24.92,25.03,23.97,24.12,432561,0
20050330,24.24,25.82,24.21,25.66,634248,0
20050331,25.55,25.96,25.5,25.93,430862,0
20050401,25.92,26.01,24.8,25.21,583579,0
20050404,25.12,25.36,24.86,25.21,158898,0
20050405,25.19,25.85,25.14,25.56,225743,0
20050406,25.5,25.91,25.43,25.43,281740,0
20050407,25.4,25.9,25.29,25.6,236453,0
20050408,25.54,25.91,25.31,25.43,159812,0
20050411,25.4,25.61,24.93,25.38,277031,0
20050412,25.38,25.63,24.95,25.55,234625,0
20050413,25.48,25.82,25.18,25.18,246837,0
20050414,25.15,25.5,24.9,25.32,282092,0
20050415,25.13,25.13,24.35,24.51,435318,0
20050418,24.65,24.85,24.3,24.77,337503,0
20050419,24.93,25.32,24.72,25.14,178465,0
20050420,24.98,25.16,24.08,24.16,327290,0
20050421,24.29,25.04,24.29,24.8,271889,0
20050422,24.69,24.71,23.61,23.68,534336,0
20050425,23.67,24.43,23.67,24.14,232546,0
20050426,24.04,24.45,23.62,23.65,244351,0
20050427,23.59,24.06,23.48,23.92,152736,0
20050428,23.93,23.96,23.2,23.37,203361,0
20050429,23.38,23.57,22.88,23.26,512554,0
20050502,23.41,23.48,23,23.25,419943,0
20050503,23.02,23.72,23.02,23.42,256472,0
20050504,23.49,23.55,23.21,23.44,436462,0
20050505,23.36,24.15,23.11,23.89,588124,0
20050506,23.78,24.18,23.78,24.1,238466,0
20050509,24.17,24.74,24.03,24.67,607516,0
20050510,20.35,21.55,18.9,19.05,9740788,0
20050511,19.45,20.99,19.31,20.8,2917290,0
20050512,20.73,20.85,19.94,20.04,1071704,0
20050513,20.31,20.31,19.63,19.83,815616,0
20050516,20,20.05,19.63,20,410717,0
20050517,20.02,20.21,19.87,20.03,481095,0
20050518,19.99,20.77,19.97,20.7,556605,0
20050519,20.69,21.11,20.32,21.02,411680,0
20050520,20.91,21.23,20.74,21.01,447743,0
20050523,21.18,21.23,20.82,20.9,405637,0
20050524,20.79,21.15,20.6,21.01,409221,0
20050525,20.86,21.19,20.86,21.05,253104,0
20050526,21.24,21.37,21.04,21.35,329554,0
20050527,21.42,21.48,21.18,21.35,229450,0
20050531,21.44,21.56,21.16,21.35,519388,0
20050601,21.25,21.97,21.25,21.86,400029,0
20050602,21.75,21.99,21.3,21.35,830322,0
20050603,21.26,21.97,21.26,21.74,530057,0
20050606,21.71,21.93,21.6,21.61,260365,0
20050607,21.56,22.56,21.56,21.96,659567,0
20050608,21.97,22.13,21.63,21.68,308521,0
20050609,21.71,21.91,21.39,21.76,251718,0
20050610,21.84,22.05,21.56,21.79,204553,0
20050613,21.83,22.04,21.52,21.93,263217,0
20050614,21.83,22,21.66,21.99,250627,0
20050615,22,22,21.55,21.72,479589,0
20050616,21.7,22.16,21.64,22,238477,0
20050617,22.06,22.17,21.53,21.55,353804,0
