Date,Open,High,Low,Close,Volume,OpenInt
20101015,3.14,3.2396,3.14,3.2396,802,0
20101018,3.2396,3.2396,3.2396,3.2396,502,0
20101019,3.09,3.09,3.09,3.09,1906,0
20101021,3.2396,3.2396,3.2396,3.2396,2508,0
20101022,3.14,3.14,3.14,3.14,502,0
20101027,3.2396,3.2396,3.2396,3.2396,2006,0
20101028,3.0104,3.0104,3.0104,3.0104,1004,0
20101029,3.4888,3.4888,3.4888,3.4888,502,0
20101101,3.4888,3.4888,3.4888,3.4888,200,0
20101108,3.4888,3.4888,3.4888,3.4888,200,0
20101110,3.14,3.2396,3.14,3.2396,4013,0
20101111,3.09,3.09,2.9904,3.09,3310,0
20101116,2.9904,2.9904,2.9904,2.9904,1004,0
20101117,2.9904,2.9904,2.9904,2.9904,6822,0
20101118,2.9904,2.9904,2.9904,2.9904,1004,0
20101119,2.9904,2.9904,2.9904,2.9904,502,0
20101122,2.9904,2.9904,2.9904,2.9904,802,0
20101129,2.9904,2.9904,2.9904,2.9904,1504,0
20101130,3.09,3.09,3.09,3.09,1004,0
20101201,2.9904,2.9904,2.7412,2.7412,2207,0
20101202,2.8409,2.9904,2.8409,2.9904,1404,0
20101203,2.9904,2.9904,2.7412,2.8908,3310,0
20101206,2.9406,2.9406,2.9406,2.9406,502,0
20101207,2.9904,2.9904,2.9406,2.9406,3010,0
20101208,2.9804,2.9904,2.9804,2.9904,1606,0
20101209,2.9904,2.9904,2.9904,2.9904,1504,0
20101210,2.8409,2.8908,2.8409,2.8908,1004,0
20101216,2.9904,2.9904,2.9904,2.9904,1004,0
20101221,2.8908,2.8908,2.8908,2.8908,200,0
20101222,2.9406,2.9904,2.8908,2.8908,4013,0
20101223,2.8908,2.8908,2.8409,2.8409,1504,0
20101227,2.8409,2.8409,2.8409,2.8409,502,0
20101228,2.8409,2.8409,2.7412,2.7412,2006,0
20101229,2.8908,2.9406,2.8908,2.9406,1004,0
20101231,2.7412,2.7412,2.7412,2.7412,2006,0
20110103,2.8908,3.0402,2.8908,2.9804,3010,0
20110104,2.9904,3.0402,2.9904,2.9904,3511,0
20110105,3.09,3.09,3.09,3.09,502,0
20110111,2.9306,2.9306,2.9306,2.9306,502,0
20110112,2.9306,2.9406,2.9306,2.9406,1504,0
20110113,2.9406,2.9406,2.9406,2.9406,502,0
20110114,2.9007,2.9904,2.9007,2.9904,3010,0
20110118,2.791,2.791,2.791,2.791,1004,0
20110121,2.9406,2.9904,2.9406,2.9904,1004,0
20110124,2.9904,2.9904,2.9904,2.9904,1004,0
20110125,2.9904,2.9904,2.9904,2.9904,3511,0
20110126,2.9904,2.9904,2.9904,2.9904,2006,0
20110127,2.9904,2.9904,2.9904,2.9904,1504,0
20110128,2.9804,3.14,2.9804,3.14,2006,0
20110201,3.09,3.1898,3.09,3.1898,4013,0
20110204,3.2396,3.2496,3.2396,3.2396,1004,0
20110207,3.2496,3.2496,3.2496,3.2496,702,0
20110209,3.3892,3.6384,3.2496,3.3892,5317,0
20110210,3.2496,3.2496,3.09,3.09,3110,0
20110211,3.2396,3.2396,3.2396,3.2396,1004,0
20110215,3.09,3.09,3.09,3.09,2006,0
20110217,3.1498,3.1498,3.14,3.14,4514,0
20110218,3.14,3.14,2.9904,2.9904,2006,0
20110224,3.14,3.14,3.14,3.14,1504,0
20110228,2.9904,2.9904,2.9904,2.9904,802,0
20110302,3.4888,3.4888,3.4888,3.4888,802,0
20110307,3.14,3.14,3.14,3.14,300,0
20110309,3.1,3.1,3.1,3.1,1004,0
20110310,3.1,3.1,3.1,3.1,802,0
20110311,3.2396,3.2396,3.2396,3.2396,1504,0
20110314,3.2396,3.3892,3.14,3.3892,3812,0
20110315,3.09,3.14,3.09,3.14,4816,0
20110316,3.2894,3.2894,3.14,3.14,4816,0
20110321,3.3892,3.3892,3.3792,3.3792,300,0
20110322,3.3792,3.3792,3.3792,3.3792,100,0
20110330,3.2396,3.2396,3.2296,3.2296,200,0
20110331,3.2396,3.2396,3.14,3.14,1504,0
20110401,3.2396,3.2396,3.2396,3.2396,3511,0
20110404,3.14,3.14,3.0402,3.0402,1504,0
20110405,3.2396,3.2396,3.2396,3.2396,402,0
20110413,3.738,3.7878,3.738,3.7878,1504,0
20110414,3.7878,3.7878,3.7878,3.7878,200,0
20110415,3.7878,4.1367,3.7878,4.1367,1906,0
20110419,4.1367,5.4824,4.1367,4.984,4514,0
20110420,4.4856,4.4856,4.4856,4.4856,200,0
20110421,5.3329,5.3329,5.3329,5.3329,1104,0
20110425,5.3229,5.3229,5.3229,5.3229,902,0
20110427,5.4824,5.4824,5.4824,5.4824,1404,0
20110509,5.4824,5.4824,5.2332,5.2332,1504,0
20110510,5.9808,5.9808,5.9808,5.9808,100,0
20110516,5.4824,5.4824,5.4824,5.4824,402,0
20110517,5.6818,5.6818,5.6818,5.6818,802,0
20110606,4.2863,4.2863,4.2863,4.2863,502,0
20110608,4.2364,4.2364,3.5386,3.5386,3010,0
20110609,3.9374,3.9374,3.3892,3.8875,2809,0
20110615,3.8875,3.8875,3.8875,3.8875,300,0
