Date,Open,High,Low,Close,Volume,OpenInt
20150610,72.614,72.693,72.302,72.585,743466,0
20150611,72.585,72.989,72.511,72.838,306067,0
20150612,73.068,74.148,72.165,72.165,451498,0
20150615,72.084,72.084,71.346,71.564,739745,0
20150616,71.86,72.744,71.86,72.367,660744,0
20150617,72.52,72.801,72.221,72.598,131347,0
20150618,73.185,73.185,72.403,72.548,332856,0
20150619,72.641,72.73,72.347,72.693,424981,0
20150622,73.056,73.084,72.403,72.766,90741,0
20150623,72.816,73.851,72.766,73.49,263808,0
20150624,73.49,73.989,72.585,73.453,117813,0
20150625,73.519,73.671,73.294,73.49,200679,0
20150626,73.121,73.149,72.766,72.766,37152,0
20150629,72.403,72.585,71.607,72.041,435198,0
20150630,72.179,72.367,71.592,72.331,554381,0
20150701,72.403,72.403,71.664,71.86,633809,0
20150702,71.896,72.041,70.991,70.991,475253,0
20150706,70.962,72.244,70.551,71.86,434509,0
20150707,72.028,72.179,70.768,71.804,801620,0
20150708,71.427,71.622,70.818,70.985,177478,0
20150709,71.622,71.622,70.731,71.216,651626,0
20150710,71.73,72.041,71.388,72.041,78311,0
20150713,72.347,73.143,72.056,73.143,548178,0
20150714,73.128,73.228,72.208,72.44,571520,0
20150715,72.44,72.44,71.441,71.882,373358,0
20150716,72.779,73.599,72.403,73.599,878135,0
20150717,73.49,76.236,73.49,74.576,2308179,0
20150720,74.156,74.568,72.744,73.237,248054,0
20150721,72.961,72.961,71.664,71.716,633121,0
20150722,71.534,71.816,70.796,70.81,326365,0
20150723,70.623,71.679,70.42,70.667,162009,0
20150724,70.521,70.775,68.023,68.117,296533,0
20150727,67.393,68.804,64.287,68.522,203719,0
20150728,68.356,69.131,66.742,68.856,318908,0
20150729,69.24,69.493,68.095,69.493,153032,0
20150730,69.63,70.469,68.638,68.92,101239,0
20150731,69.478,70.775,69.182,70.775,163804,0
20150803,70.775,74.934,70.775,74.486,971213,0
20150804,74.74,75.481,74.38,75.197,81210,0
20150805,75.69,76.743,74.003,76.743,276920,0
20150806,75.452,75.452,72.983,73.497,162179,0
20150807,74.003,75.189,73.49,74.409,111598,0
20150810,75.07,76.703,74.89,76.258,329819,0
20150811,76.743,76.743,76.095,76.304,87172,0
20150812,76.027,77.351,75.345,77.127,57456,0
20150813,77.351,77.351,76.46,76.468,5386,0
20150814,77.275,78.207,76.835,78.015,70991,0
20150817,78.439,79.364,77.883,79.126,237559,0
20150818,78.585,78.585,76.558,76.558,58977,0
20150819,76.348,76.348,75.407,76.304,334653,0
20150820,75.593,75.593,74.748,75.166,216564,0
20150821,74.613,75.062,73.077,73.888,149163,0
20150824,72.49,73.128,68.783,71.607,36193,0
20150825,72.403,73.272,71.492,71.492,338795,0
20150826,72.476,72.476,69.47,70.426,92675,0
20150827,71.207,71.932,70.412,71.281,15609,0
20150828,71.388,73.112,71.388,73.026,79554,0
20150831,73.077,73.272,72.548,72.983,28315,0
20150901,71.81,72.844,71.787,72.809,4144,0
20150902,73.272,74.882,73.272,74.538,253441,0
20150903,75.981,78.038,75.981,77.868,353298,0
20150904,76.95,77.051,76.02,76.207,4144,0
20150908,77.205,77.244,75.81,76.79,295289,0
20150909,77.491,78.285,76.95,76.95,409788,0
20150910,77.082,78.107,76.177,77.514,243500,0
20150911,78.245,78.245,74.823,76.813,495039,0
20150914,76.02,76.02,74.254,75.458,234823,0
20150915,76.005,76.981,76.005,76.679,116142,0
20150916,77.082,77.082,74.636,74.852,387184,0
20150917,74.86,75.78,73.326,75.541,43569,0
20150918,74.59,75.204,72.951,73.176,29936,0
20150921,74.141,74.141,72.04,72.391,87941,0
20150922,71.71,72.055,70.707,70.752,359250,0
20150923,71.305,72.121,71.305,71.494,162250,0
20150924,71.081,71.589,70.482,71.096,68356,0
20150925,71.456,74.074,71.456,72.705,423938,0
20150928,71.83,71.867,69.788,69.884,163988,0
20150929,69.66,70.745,69.023,69.023,226002,0
20150930,69.891,70.737,69.629,69.697,52791,0
20151001,70.109,70.558,69.271,69.472,311003,0
20151002,68.978,71.62,68.836,71.417,41431,0
20151005,71.83,74.486,71.83,74.486,22824,0
20151006,74.823,75.16,74.373,74.755,95559,0
20151007,75.294,77.066,74.748,76.967,32879,0
20151008,76.319,77.745,76.191,77.745,22853,0
20151009,77.745,77.975,74.732,74.8,26463,0
20151012,74.8,74.8,73.776,74.036,37541,0
20151013,74.157,75.593,73.909,73.909,48514,0
20151014,74.62,75.362,73.67,73.67,58806,0
20151015,74.418,76.558,74.036,76.4,29936,0
20151016,76.757,77.005,74.179,75.683,168801,0
20151019,75.758,76.146,75.593,75.593,93155,0
20151020,75.787,77.097,75.773,76.743,21518,0
20151021,76.935,77.12,76.244,76.244,277456,0
20151022,76.727,77.937,76.727,77.737,30606,0
20151023,78.238,78.339,77.328,77.328,81125,0
20151026,77.705,78.207,76.981,77.46,320226,0
20151027,77.145,77.529,75.219,75.698,46243,0
20151028,75.929,76.712,75.376,75.989,79654,0
20151029,75.66,75.713,74.418,74.418,687897,0
20151030,74.636,74.732,73.701,74.171,55598,0
20151102,74.2,75.04,73.079,74.486,66161,0
20151103,73.925,73.925,70.475,70.475,377962,0
20151104,71.335,71.53,69.974,70.002,71216,0
20151105,70.334,70.334,68.529,69.398,118281,0
20151106,69.66,69.66,68.313,68.859,27800,0
20151109,68.859,71.193,68.664,71.006,51235,0
20151110,74.823,74.823,69.585,69.585,65889,0
20151111,70.445,70.594,69.062,69.068,16841,0
20151112,69.016,69.997,69.016,69.502,113068,0
20151113,69.502,69.502,68.597,68.612,19915,0
20151116,69.023,69.907,68.425,69.711,37957,0
20151117,69.765,70.924,69.293,70.086,136055,0
20151118,70.558,71.35,70.558,71.35,14834,0
20151119,71.448,72.264,71.171,71.986,50786,0
20151120,72.264,72.384,71.471,71.748,17909,0
20151123,71.934,73.311,71.687,72.384,29803,0
20151124,72.151,72.465,71.404,71.687,18844,0
20151125,71.335,71.748,71.224,71.568,13631,0
20151127,71.641,73.521,71.641,72.705,10292,0
20151130,72.802,72.921,72.092,72.308,90347,0
20151201,72.705,73.692,72.705,73.521,57590,0
20151202,73.939,74.276,72.518,72.765,177188,0
20151203,73.14,73.244,71.83,72.749,27296,0
20151204,72.982,73.813,72.743,73.813,21517,0
20151207,73.813,73.813,72.578,73.228,33812,0
20151208,72.509,73.274,71.583,71.702,26035,0
20151209,72.017,72.654,71.387,71.499,138595,0
20151210,71.62,72.256,70.97,70.991,94757,0
20151211,71.07,71.261,68.911,68.911,36064,0
20151214,69.058,69.53,67.793,67.793,48837,0
20151215,69.004,69.096,67.585,68.364,465999,0
20151216,68.718,71.132,68.703,71.093,25039,0
20151217,72.149,72.549,71.462,71.771,30357,0
20151218,71.486,71.724,68.941,69.766,45406,0
20151221,70.16,70.77,69.42,69.759,73688,0
20151222,69.258,70.453,68.664,70.09,38530,0
20151223,70.569,72.273,70.536,72.164,11287,0
20151224,72.885,72.988,72.372,72.944,4500,0
20151228,72.881,72.881,71.449,72.587,3811,0
20151229,72.842,72.865,71.671,71.763,4861,0
20151230,71.648,71.648,70.498,70.546,44741,0
20151231,71.07,71.07,70.222,70.591,3063,0
20160104,70.222,70.653,68.989,70.252,9433,0
20160105,70.09,71.478,69.975,70.961,11464,0
20160106,70.76,72.041,70.583,71.662,18176,0
20160107,71.147,71.671,70.546,70.607,15693,0
20160108,71.301,71.644,70.145,70.53,15162,0
20160111,70.637,70.753,68.206,68.603,14737,0
20160112,69.004,69.004,67.061,67.185,10982,0
20160113,67.486,67.486,64.047,64.462,280855,0
20160114,65.689,67.1,61.971,66.675,28661,0
20160115,65.128,67.346,63.793,66.004,271353,0
20160119,66.322,66.452,64.587,64.71,87181,0
20160120,63.299,63.346,60.069,61.518,45263,0
20160121,62.242,63.377,61.518,62.543,23558,0
20160122,64.009,66.869,64.009,66.777,30426,0
20160125,65.781,66.644,64.526,64.548,33586,0
20160126,64.964,68.056,64.772,67.879,17388,0
20160127,67.292,68.75,67.292,68.134,5023,0
20160128,68.486,69.042,67.67,68.882,45219,0
20160129,69.497,69.497,68.618,69.343,5990,0
20160201,69.605,69.605,67.997,69.436,18041,0
20160202,68.603,69.374,66.421,67.023,68300,0
20160203,67.987,70.09,66.742,69.581,21089,0
20160204,68.864,73.032,68.864,70.992,33462,0
20160205,70.222,72.688,68.685,70.638,8659,0
20160208,69.936,69.959,64.88,66.229,20105,0
20160209,65.295,66.12,63.392,66.12,71925,0
20160210,66.669,66.669,63.792,63.862,71477,0
20160211,63.493,65.096,62.853,63.763,18517,0
20160212,63.237,65.334,63.015,65.065,38654,0
20160216,66.538,66.538,64.056,65.212,5845,0
20160217,65.164,67.547,65.164,67.277,7902,0
20160218,66.846,69.889,66.675,68.664,39136,0
20160219,68.025,68.264,66.968,67.285,10614,0
20160222,67.848,69.436,67.84,67.84,99513,0
20160223,69.528,74.77,69.528,74.578,78262,0
20160224,73.691,78.192,73.668,77.491,48545,0
20160225,77.66,78.429,75.702,77.266,50566,0
20160226,78.038,79.371,76.311,78.889,154405,0
20160229,78.624,79.784,78.007,78.161,55860,0
