Date,Open,High,Low,Close,Volume,OpenInt
20161026,19.705,19.781,19.703,19.775,10852,0
20161027,19.582,19.588,19.582,19.588,1691,0
20161028,19.705,19.815,19.705,19.815,40591,0
20161031,19.875,19.905,19.836,19.836,20844,0
20161101,19.94,19.94,19.774,19.825,4306,0
20161102,19.915,19.915,19.885,19.885,11002,0
20161103,19.805,19.805,19.605,19.608,99353,0
20161104,19.518,19.538,19.468,19.468,7338,0
20161107,19.792,19.793,19.754,19.764,2084,0
20161108,20.003,20.206,20.003,20.132,21125,0
20161109,19.568,19.785,19.568,19.735,11497,0
20161110,20.271,20.271,19.092,19.092,2509,0
20161111,19.032,19.062,18.928,18.928,2162,0
20161114,18.954,19.122,18.954,19.095,1611,0
20161115,19.222,19.222,19.222,19.222,352,0
20161116,19.222,19.268,19.222,19.268,2947,0
20161117,19.182,19.29,19.172,19.269,4747,0
20161118,19.256,19.269,19.212,19.261,6249,0
20161121,19.082,19.232,19.082,19.199,526,0
20161122,19.32,19.349,19.3,19.339,10581,0
20161123,19.319,19.319,19.309,19.309,226,0
20161125,19.29,19.369,19.241,19.369,2665,0
20161128,19.319,19.349,19.319,19.349,272,0
20161130,19.309,19.309,19.082,19.132,17032,0
20161201,18.873,18.874,18.871,18.874,1086,0
20161202,18.874,19.013,18.874,18.874,1068,0
20161205,19.004,19.004,19.004,19.004,261,0
20161206,19.117,19.14,19.117,19.139,731,0
20161207,19.299,19.299,19.299,19.299,195,0
20161208,19.538,19.548,19.518,19.537,2983,0
20161209,19.677,19.677,19.67,19.67,509,0
20161212,19.826,19.915,19.826,19.885,3311,0
20161213,20.033,20.033,19.935,19.963,3572,0
20161214,19.954,19.954,19.745,19.745,1426,0
20161215,19.815,19.973,19.815,19.875,7695,0
20161216,20.588,20.588,19.875,19.97,1306,0
20161219,19.885,19.924,19.879,19.923,6778,0
20161220,19.796,19.796,19.796,19.796,205,0
20161222,19.856,19.856,19.856,19.856,191,0
20161223,19.855,19.863,19.855,19.863,441,0
20161227,20.044,20.044,20.044,20.044,242,0
20161228,19.875,19.944,19.825,19.825,5714,0
20161229,19.835,19.876,19.835,19.875,9001,0
20161230,19.745,19.85,19.745,19.85,1755,0
20170103,19.895,19.944,19.865,19.944,36798,0
20170104,20.024,20.024,20.024,20.024,105,0
20170105,19.964,19.979,19.964,19.979,955,0
20170106,20.113,20.113,19.915,19.915,523,0
20170110,19.597,19.597,19.548,19.548,405,0
20170111,19.577,19.577,19.577,19.577,15441,0
20170112,19.538,19.57,19.497,19.57,519,0
20170113,19.388,19.597,19.388,19.597,9619,0
20170118,19.805,19.875,19.8,19.875,4332,0
20170119,19.745,19.775,19.632,19.677,8505,0
20170120,19.785,19.785,19.638,19.638,1248,0
20170123,19.755,19.765,19.695,19.745,1896,0
20170125,19.984,20.044,19.944,20.004,4717,0
20170126,19.964,19.964,19.858,19.858,6119,0
20170127,19.865,19.865,19.825,19.825,1383,0
20170131,19.735,19.735,19.712,19.712,578,0
20170201,19.667,19.695,19.667,19.695,1407,0
20170202,19.924,19.924,19.908,19.908,572,0
20170203,19.954,20.123,19.954,20.113,2205,0
20170206,19.855,19.865,19.855,19.855,2552,0
20170207,19.954,19.954,19.954,19.954,187,0
20170208,19.994,19.994,19.973,19.973,390,0
20170213,20.171,20.282,20.171,20.262,3326,0
20170214,20.202,20.202,20.202,20.202,396,0
20170215,20.426,20.426,20.426,20.426,119,0
20170216,20.619,20.619,20.213,20.224,803,0
20170221,20.401,20.461,20.362,20.391,1741,0
20170222,20.391,20.423,20.363,20.392,1314,0
20170223,20.371,20.461,20.371,20.461,205,0
20170224,20.362,20.362,20.362,20.362,4333,0
20170227,20.314,20.321,20.292,20.321,540,0
20170228,20.542,20.542,20.542,20.542,313,0
20170301,20.586,20.586,20.586,20.586,390,0
20170302,20.58,20.58,20.551,20.551,406,0
20170303,20.5,20.5,20.5,20.5,172,0
20170306,20.446,20.446,20.446,20.446,355,0
20170307,20.659,20.659,20.315,20.315,498,0
20170308,20.274,20.274,20.232,20.233,1349,0
20170309,20.342,20.342,20.342,20.342,988,0
20170310,20.449,20.449,20.449,20.449,186,0
20170313,20.451,20.451,20.411,20.411,597,0
20170315,20.511,20.719,20.511,20.719,2722,0
20170317,20.729,20.729,20.729,20.729,136,0
20170320,20.57,20.57,20.57,20.57,412,0
20170321,20.57,20.578,20.529,20.578,537,0
20170322,20.59,20.59,20.54,20.575,3034,0
20170323,20.638,20.678,20.628,20.628,2554,0
20170324,20.598,20.618,20.473,20.559,2594,0
20170327,20.489,20.512,20.489,20.512,679,0
20170329,20.638,20.668,20.638,20.668,568,0
20170330,20.608,20.608,20.598,20.598,2377,0
20170331,20.576,20.608,20.576,20.608,621,0
20170405,20.22,20.536,20.22,20.409,624,0
20170406,20.419,20.489,20.399,20.439,784,0
20170407,20.439,20.439,20.439,20.439,230,0
20170410,20.34,20.429,20.34,20.429,630,0
20170411,20.459,20.459,20.447,20.447,1072,0
20170412,20.532,20.532,20.499,20.499,1128,0
20170413,20.489,20.489,20.409,20.409,2099,0
20170417,20.459,20.509,20.459,20.509,222,0
20170419,20.633,20.633,20.633,20.633,112,0
20170420,20.598,20.728,20.598,20.678,2116,0
20170421,20.658,20.658,20.598,20.628,1330,0
20170424,20.419,20.678,20.419,20.678,280,0
20170427,20.489,20.489,20.479,20.479,1114,0
20170501,20.474,20.474,20.474,20.474,286,0
20170502,20.09,20.09,20.09,20.09,121,0
20170503,19.882,19.951,19.862,19.872,3641,0
20170504,19.951,20.111,19.951,20.092,7371,0
20170509,20.091,20.091,20.062,20.062,270,0
20170510,20.031,20.069,19.997,20.069,1193,0
20170511,20.001,20.031,19.931,20.031,1430,0
20170515,20.031,20.031,20.031,20.031,383,0
20170516,20.14,20.14,20.14,20.14,261,0
20170517,20.033,20.066,20.033,20.066,502,0
20170518,20.021,20.021,20.021,20.021,121,0
20170523,20.331,20.688,20.331,20.628,3493,0
20170524,20.579,20.678,20.579,20.678,772,0
20170525,20.618,20.629,20.618,20.628,3683,0
20170526,20.648,20.648,20.648,20.648,350,0
20170531,20.56,20.56,20.56,20.56,246,0
20170602,20.797,20.797,20.718,20.723,1235,0
20170605,20.539,20.539,20.539,20.539,140,0
20170606,20.642,20.642,20.642,20.642,265,0
20170607,20.658,20.658,20.658,20.658,479,0
20170608,20.539,20.539,20.53,20.53,362,0
