Date,Open,High,Low,Close,Volume,OpenInt
20050225,26.89,27.571,26.777,27.34,230791,0
20050228,27.458,27.75,27.049,27.591,203588,0
20050301,27.714,28.16,27.562,27.601,224806,0
20050302,28.012,28.012,27.35,27.394,185221,0
20050303,27.832,28.039,27.217,27.787,158232,0
20050304,28.012,28.012,27.34,27.449,177646,0
20050307,27.832,28.261,27.591,28.199,229260,0
20050308,27.887,28.385,27.887,28.169,196520,0
20050309,28.021,28.376,27.375,27.375,129385,0
20050310,27.657,27.75,26.89,27.02,166881,0
20050311,27.04,27.542,26.834,27.226,116605,0
20050314,27.264,27.571,27.04,27.254,157592,0
20050315,27.477,27.787,26.607,26.731,145698,0
20050316,26.759,27.169,26.646,27.011,216735,0
20050317,27.077,27.486,26.656,27.169,222094,0
20050318,27.403,27.403,26.589,26.713,350394,0
20050321,26.58,26.666,26.196,26.498,105106,0
20050322,26.31,26.713,26.234,26.291,352708,0
20050323,26.234,26.407,25.955,26.068,284791,0
20050324,26.215,26.542,26.168,26.282,208307,0
20050328,26.168,26.627,26.168,26.349,111974,0
20050329,26.542,26.637,25.897,26.068,250146,0
20050330,26.068,26.552,26.068,26.542,270483,0
20050331,26.589,26.607,26.225,26.532,321080,0
20050401,26.589,26.637,25.486,26.051,402383,0
20050404,25.011,25.887,25.011,25.552,610086,0
20050405,25.703,25.758,25.215,25.533,368525,0
20050406,25.694,26.033,25.441,25.441,155730,0
20050407,25.234,25.469,25.104,25.123,153110,0
20050408,25.14,25.14,23.607,23.732,501972,0
20050411,23.851,24.161,23.423,23.505,276865,0
20050412,23.378,24.198,23.077,23.962,245152,0
20050413,23.732,23.897,22.795,22.852,236154,0
20050414,22.712,22.946,22.01,22.104,359872,0
20050415,22.049,22.702,21.17,21.562,388315,0
20050418,21.346,22.272,21.085,22.113,392356,0
20050419,22.226,22.889,22.18,22.889,324839,0
20050420,22.852,23.415,22.487,23.225,459939,0
20050421,23.13,23.542,22.871,23.021,668645,0
20050422,22.766,22.946,22.122,22.346,357793,0
20050425,22.458,22.852,22.132,22.654,113199,0
20050426,22.664,22.664,21.608,21.683,168149,0
20050427,21.572,21.59,20.58,21.449,847240,0
