Date,Open,High,Low,Close,Volume,OpenInt
20110405,2.44,2.47,2.33,2.43,7529211,0
20110406,2.35,2.47,2.35,2.42,19336889,0
20110407,2.43,2.47,2.39,2.41,8736209,0
20110408,2.4,2.42,2.29,2.32,10098311,0
20110411,2.45,2.45,2.32,2.4,2206000,0
20110412,2.37,2.41,2.33,2.35,6093263,0
20110413,2.38,2.49,2.37,2.49,8337539,0
20110414,2.47,2.55,2.46,2.51,2746099,0
20110415,2.52,2.7,2.51,2.63,4884939,0
20110418,2.7,2.7,2.57,2.6,4935915,0
20110419,2.6,2.63,2.56,2.57,2566313,0
20110420,2.55,2.61,2.55,2.58,946972,0
20110421,2.58,2.58,2.46,2.46,1842158,0
20110425,2.48,2.51,2.45,2.5,2925404,0
20110426,2.49,2.58,2.49,2.54,3037386,0
20110427,2.52,2.57,2.51,2.51,2128670,0
20110428,2.55,2.55,2.49,2.49,2005225,0
20110429,2.49,2.52,2.46,2.48,1124826,0
20110502,2.49,2.52,2.45,2.47,1023015,0
20110503,2.47,2.52,2.45,2.46,1032609,0
20110504,2.46,2.5,2.45,2.49,912867,0
20110505,2.49,2.5,2.45,2.47,1578657,0
20110506,2.45,2.5,2.35,2.37,2542422,0
20110509,2.43,2.43,2.37,2.39,952314,0
20110510,2.38,2.43,2.35,2.37,1524868,0
20110511,2.34,2.38,2.34,2.36,965377,0
20110512,2.35,2.41,2.35,2.4,1326055,0
20110513,2.42,2.45,2.38,2.44,1136723,0
20110516,2.46,2.48,2.41,2.44,1519686,0
20110517,2.43,2.47,2.43,2.46,1103138,0
20110518,2.47,2.5,2.44,2.46,1130872,0
20110519,2.48,2.5,2.45,2.49,954486,0
20110520,2.5,2.53,2.48,2.5,1115850,0
20110523,2.45,2.51,2.45,2.49,546440,0
20110524,2.45,2.5,2.45,2.46,2555814,0
20110525,2.43,2.5,2.43,2.48,785204,0
20110526,2.5,2.5,2.43,2.45,468067,0
20110527,2.48,2.48,2.42,2.46,852451,0
20110531,2.48,2.48,2.4,2.4,874367,0
20110601,2.47,2.47,2.45,2.46,1277962,0
20110602,2.42,2.48,2.42,2.44,3700808,0
20110603,2.45,2.46,2.43,2.45,1460662,0
20110606,2.45,2.46,2.44,2.44,1835273,0
20110607,2.45,2.46,2.4,2.45,3670914,0
20110608,2.45,2.46,2.42,2.42,2830993,0
20110609,2.45,2.45,2.41,2.43,465512,0
20110610,2.45,2.45,2.41,2.41,486285,0
20110613,2.45,2.45,2.38,2.4,529061,0
20110614,2.4,2.44,2.39,2.39,382102,0
20110615,2.38,2.43,2.37,2.4,421862,0
20110616,2.4,2.41,2.38,2.38,257377,0
20110617,2.43,2.43,2.37,2.41,220701,0
20110620,2.41,2.43,2.38,2.38,633217,0
20110621,2.41,2.41,2.37,2.39,189137,0
20110622,2.39,2.41,2.35,2.36,894685,0
20110623,2.38,2.39,2.34,2.36,393774,0
20110624,2.37,2.4,2.35,2.37,196003,0
20110627,2.35,2.38,2.35,2.35,85487,0
20110628,2.35,2.37,2.29,2.29,643713,0
20110629,2.33,2.38,2.33,2.35,805132,0
20110630,2.39,2.46,2.35,2.41,1172624,0
20110701,2.47,2.48,2.42,2.44,250992,0
20110705,2.45,2.48,2.42,2.45,1675165,0
20110706,2.44,2.75,2.43,2.5,5215425,0
20110707,2.48,2.67,2.48,2.56,3594133,0
20110708,2.51,2.6,2.5,2.54,2720330,0
20110711,2.5,2.51,2.16,2.17,8680907,0
20110712,2.15,2.23,2.13,2.14,6273537,0
20110713,2.19,2.2,2.14,2.17,3038885,0
20110714,2.18,2.19,2.12,2.13,1056558,0
20110715,2.12,2.15,2.12,2.12,529295,0
20110718,2.14,2.15,2.12,2.14,246635,0
20110719,2.14,2.15,2.1,2.13,2589183,0
20110720,2.12,2.14,2.11,2.14,624109,0
20110721,2.15,2.15,2.06,2.08,2970642,0
20110722,2.08,2.08,1.95,1.99,5903846,0
20110725,1.96,2.1,1.95,2.06,2089630,0
20110726,2.01,2.09,1.96,2,3492987,0
20110727,1.98,2.01,1.95,2,990879,0
20110728,1.16,1.22,1.12,1.2,40485253,0
20110729,1.2,1.23,1.15,1.16,1326408,0
20110801,1.22,1.22,1.14,1.15,1039974,0
20110802,1.14,1.17,1.13,1.13,610536,0
20110803,1.15,1.15,1.06,1.07,9423306,0
20110804,1.08,1.12,1.03,1.03,2238115,0
20110805,1.08,1.08,1.03,1.04,2385757,0
20110808,1.03,1.07,1.01,1.04,1092664,0
20110809,1.02,1.05,1.01,1.01,938014,0
20110810,1.02,1.03,0.96,0.99,8108365,0
20110811,1.01,1.02,0.99,0.99,1378249,0
20110812,1.02,1.08,1,1.08,2436127,0
20110815,1.07,1.11,1.03,1.04,364013,0
20110816,1.03,1.07,1.02,1.03,450232,0
20110817,1.02,1.1,1.02,1.03,2126545,0
20110818,1.03,1.08,1.02,1.03,457886,0
20110819,1.01,1.05,1.01,1.03,2007577,0
20110822,1.03,1.07,1.03,1.06,860989,0
20110823,1.04,1.05,1.03,1.04,1054711,0
20110824,1.04,1.05,1.03,1.03,263524,0
20110825,1.03,1.04,1.03,1.03,615241,0
20110826,1.04,1.06,1.02,1.03,1035045,0
20110829,1.05,1.06,1.03,1.05,1177909,0
20110830,1.04,1.06,1.03,1.05,1116620,0
20110831,1.09,1.09,1.04,1.05,2424757,0
20110901,1.05,1.07,1.05,1.05,555263,0
20110902,1.06,1.07,1.03,1.05,119105,0
20110906,1.04,1.09,1.04,1.05,139085,0
20110907,1.07,1.11,1.05,1.09,590351,0
20110908,1.06,1.08,1.06,1.07,213722,0
20110909,1.07,1.09,1.06,1.06,225704,0
20110912,1.06,1.15,1.06,1.13,942740,0
20110913,1.1,1.15,1.08,1.1,152514,0
20110914,1.1,1.14,1.06,1.13,668956,0
20110915,1.1,1.1,1.06,1.1,468553,0
20110916,1.07,1.09,1.05,1.05,976912,0
20110919,1.05,1.1,1.05,1.05,574163,0
