Date,Open,High,Low,Close,Volume,OpenInt
20050225,22.173,22.173,22.043,22.108,320,0
20050228,22.118,22.118,22.035,22.035,1812,0
20050301,21.837,21.837,21.797,21.797,683,0
20050302,21.797,21.797,21.797,21.797,633,0
20050303,21.88,21.88,21.88,21.88,4026,0
20050304,21.856,21.898,21.817,21.898,26377,0
20050307,21.617,21.759,21.617,21.759,633,0
20050308,21.739,21.807,21.739,21.807,4556,0
20050315,21.807,21.898,21.807,21.898,423,0
20050321,21.807,21.871,21.807,21.871,29289,0
20050323,21.807,21.817,21.807,21.807,1271,0
20050324,21.837,21.837,21.807,21.827,1538,0
20050328,21.871,21.898,21.807,21.817,33168,0
20050329,21.759,21.759,21.522,21.522,533,0
20050330,21.43,21.43,21.43,21.43,213,0
20050331,21.286,21.286,21.286,21.286,1006,0
20050404,21.522,21.522,21.522,21.522,214,0
20050405,21.286,21.286,21.135,21.135,842,0
20050407,21.333,21.788,21.004,21.739,633,0
20050411,21.768,21.768,21.07,21.07,1378,0
20050412,21.476,21.476,21.476,21.476,847,0
20050413,21.856,21.864,21.711,21.711,2127,0
20050414,21.898,21.898,21.411,21.871,5001,0
20050419,21.241,21.476,21.241,21.476,289,0
20050420,21.476,21.711,21.476,21.476,2014,0
20050421,21.476,21.476,21.241,21.476,4768,0
20050422,21.711,21.768,21.476,21.768,5361,0
20050425,21.797,21.846,21.797,21.846,468,0
20050426,21.711,21.856,21.711,21.856,28037,0
20050429,21.241,21.241,21.241,21.241,213,0
20050502,21.571,21.571,21.571,21.571,633,0
20050503,21.711,21.856,21.711,21.856,804,0
20050506,21.571,21.571,21.571,21.571,1083,0
20050509,21.571,21.571,21.571,21.571,213,0
20050510,21.024,21.052,21.004,21.004,1056,0
20050513,20.864,20.864,20.765,20.765,500,0
20050517,20.765,20.765,20.702,20.702,2437,0
20050520,20.702,21.251,20.702,20.805,955,0
20050524,21.144,21.144,21.144,21.144,2514,0
20050527,21.846,21.856,21.827,21.856,633,0
20050531,21.947,21.947,21.947,21.947,107,0
20050601,21.711,22.183,21.476,22.183,955,0
20050602,22.278,22.402,21.759,21.759,4132,0
20050603,21.617,21.617,21.381,21.381,1802,0
20050607,21.251,21.251,21.251,21.251,423,0
20050608,21.251,21.251,21.251,21.251,846,0
20050609,21.241,21.241,21.241,21.241,213,0
20050610,22.118,22.136,22.118,22.136,213,0
20050613,21.627,21.711,21.627,21.711,423,0
20050614,21.598,21.598,21.598,21.598,506,0
20050621,21.947,21.947,21.947,21.947,2326,0
20050623,21.947,22.402,21.947,22.402,380,0
20050627,21.947,21.947,21.947,21.947,232,0
20050629,22.183,22.183,21.947,21.947,1149,0
20050630,21.797,21.797,21.797,21.797,320,0
20050708,21.711,21.947,21.711,21.947,293,0
20050711,21.711,21.711,21.711,21.711,107,0
20050712,21.937,21.937,21.759,21.759,2754,0
20050713,21.937,21.937,21.937,21.937,213,0
20050714,22.835,22.835,21.73,21.937,642,0
20050715,21.73,23.459,21.73,23.439,4592,0
20050718,23.599,24.404,23.363,23.363,12483,0
20050719,23.363,23.412,22.891,23.27,4751,0
20050720,23.542,23.562,23.542,23.562,1695,0
20050721,23.619,24.071,23.599,24.071,1750,0
20050722,24.12,24.259,24.12,24.259,2700,0
20050725,24.071,25.073,24.071,25.073,7415,0
20050726,25.111,25.94,25.111,25.591,3675,0
20050727,25.489,25.489,25.489,25.489,1915,0
20050728,25.489,25.723,25.489,25.723,1636,0
20050729,25.279,25.299,24.659,25.204,2542,0
20050801,24.688,24.807,24.185,24.185,3279,0
20050802,24.195,24.552,23.994,24.308,6150,0
20050803,24.241,24.542,23.97,24.542,1639,0
20050804,24.071,24.384,23.93,24.384,1367,0
20050805,24.856,24.856,24.856,24.856,107,0
20050808,23.979,24.6,23.96,24.157,623,0
20050809,24.619,24.914,23.95,24.914,1353,0
20050810,24.591,24.591,24.081,24.081,684,0
20050812,24.976,24.976,24.976,24.976,107,0
20050815,24.223,24.288,23.95,24.137,2770,0
20050816,24.205,24.205,24.205,24.205,107,0
20050818,25.014,25.014,25.014,25.014,1589,0
20050819,23.864,25.014,23.864,24.968,2014,0
20050822,24.968,25.014,24.968,25.014,396,0
20050825,25.014,25.014,25.004,25.004,1211,0
20050829,25.004,25.004,24.506,24.506,328,0
20050831,24.506,24.506,23.676,23.676,1802,0
20050901,23.836,24.722,23.599,24.326,4077,0
20050902,24.223,24.759,24.223,24.759,1044,0
20050906,24.759,24.923,24.45,24.45,2656,0
20050907,24.004,24.836,24.004,24.836,1142,0
20050908,24.101,24.101,24.071,24.071,1503,0
20050909,24.875,26.383,24.846,25.402,15348,0
20050912,26.271,26.271,24.639,24.779,2764,0
20050913,24.779,24.779,24.779,24.779,220,0
20050915,24.788,24.788,24.788,24.788,1164,0
20050916,24.968,24.968,24.959,24.959,320,0
20050919,24.923,24.923,24.561,24.769,1236,0
20050920,24.542,24.904,24.542,24.904,1673,0
20050921,24.6,24.6,24.6,24.6,1307,0
20050922,24.561,24.561,24.561,24.561,107,0
20050926,24.779,25.014,24.561,25.014,1871,0
20050927,25.014,25.761,25.014,25.648,1223,0
20050928,24.714,25.244,24.714,25.244,233,0
20050929,24.846,24.846,24.542,24.542,1854,0
20050930,24.875,25.639,24.875,25.639,1483,0
20051003,25.819,25.819,24.639,24.639,1143,0
20051004,24.704,25.582,24.704,25.582,1589,0
20051005,25.138,25.138,25.138,25.138,107,0
20051007,25.204,25.204,24.923,25.091,1056,0
20051010,24.704,24.704,24.704,24.704,213,0
20051011,24.826,24.826,24.779,24.779,335,0
20051012,24.649,24.923,24.649,24.923,4244,0
20051013,25.489,25.489,25.064,25.204,2331,0
20051014,25.204,25.582,25.204,25.345,2961,0
20051017,24.959,25.345,24.959,25.253,896,0
20051019,25.489,25.489,25.204,25.45,1378,0
20051024,24.968,24.968,24.968,24.968,533,0
20051026,25.12,25.489,25.12,25.489,213,0
20051028,25.234,25.234,25.234,25.234,110,0
20051031,25.244,25.244,25.244,25.244,235,0
20051101,25.253,25.253,25.253,25.253,1166,0
20051102,25.309,25.309,25.309,25.309,213,0
20051103,25.552,25.552,25.345,25.345,1377,0
20051104,25.489,25.63,25.489,25.63,1056,0
20051107,25.489,25.63,25.441,25.63,16537,0
20051108,25.63,25.959,25.63,25.959,13033,0
20051109,26.056,26.056,26.056,26.056,107,0
20051114,26.291,26.526,26.103,26.244,16335,0
20051115,26.065,26.065,26.065,26.065,417,0
20051116,25.978,25.978,25.978,25.978,1589,0
20051117,26.006,26.006,26.006,26.006,533,0
20051118,26.006,26.006,26.006,26.006,213,0
20051121,26.103,26.103,26.103,26.103,107,0
20051122,26.194,26.194,26.006,26.006,321,0
20051123,26.006,26.006,26.006,26.006,107,0
20051125,26.194,26.194,26.194,26.194,323,0
20051128,26.194,26.194,26.056,26.056,4924,0
20051129,26.536,26.668,26.185,26.668,8645,0
20051130,26.668,26.677,26.668,26.668,1799,0
20051201,26.431,26.441,26.431,26.441,484,0
20051202,26.056,26.056,26.056,26.056,533,0
20051205,26.056,26.677,26.056,26.204,7825,0
20051206,26.016,26.016,26.006,26.006,955,0
20051209,26.157,26.194,26.157,26.194,786,0
20051219,26.3,26.668,26.3,26.668,533,0
20051222,26.516,26.545,26.506,26.545,423,0
20051227,26.431,26.461,26.431,26.441,2437,0
20051229,26.338,26.338,26.338,26.338,428,0
20051230,26.338,26.338,26.338,26.338,107,0
20060104,26.167,26.262,26.129,26.129,1904,0
20060105,26.194,26.194,26.194,26.194,163,0
20060106,26.329,26.329,26.291,26.291,533,0
20060109,26.479,26.479,26.194,26.194,2120,0
20060110,26.479,26.479,26.479,26.479,107,0
20060111,26.194,26.194,26.194,26.194,902,0
20060112,26.204,26.204,26.204,26.204,423,0
20060113,26.431,26.479,26.291,26.479,1578,0
20060117,26.62,26.62,26.309,26.309,2249,0
20060118,26.366,26.383,26.3,26.383,561,0
20060119,26.668,26.668,26.383,26.441,2302,0
20060120,26.66,26.668,26.431,26.62,7288,0
20060123,26.582,26.668,26.582,26.668,748,0
20060124,26.479,26.526,26.479,26.526,360,0
20060125,26.392,26.392,26.392,26.392,213,0
20060126,26.62,26.903,26.62,26.903,2859,0
20060127,26.668,27.375,26.668,27.14,10719,0
20060131,26.753,26.753,26.753,26.753,423,0
20060202,27.462,27.462,27.462,27.462,107,0
20060206,26.951,27.007,26.933,27.007,320,0
20060207,27.083,27.083,27.083,27.083,771,0
20060208,26.309,27.471,26.309,27.462,25793,0
20060209,27.375,27.375,27.14,27.14,1406,0
20060213,26.715,26.715,26.668,26.668,374,0
20060214,26.903,26.903,26.572,26.582,717,0
20060215,26.847,26.847,26.582,26.582,293,0
20060216,26.903,26.903,26.572,26.903,633,0
20060217,26.582,26.63,26.582,26.63,533,0
20060222,26.903,26.903,26.668,26.668,633,0
20060224,27.065,27.065,27.065,27.065,151,0
20060227,26.761,26.761,26.761,26.761,533,0
20060228,26.77,26.77,26.77,26.77,213,0
20060301,26.668,27.045,26.668,26.78,1804,0
20060302,26.903,27.14,26.885,27.14,6147,0
20060303,27.091,27.28,27.091,27.217,14016,0
20060306,27.424,27.424,27.424,27.424,107,0
20060307,27.601,27.611,27.375,27.611,1614,0
20060308,27.611,27.659,27.611,27.611,955,0
20060316,27.414,27.424,27.404,27.404,1378,0
20060317,27.516,27.659,27.516,27.659,368,0
20060320,27.611,27.611,27.611,27.611,345,0
20060321,27.375,27.375,27.375,27.375,5932,0
20060322,27.255,27.706,27.197,27.611,4660,0
20060327,27.754,27.754,27.754,27.754,107,0
20060328,27.414,27.414,27.414,27.414,107,0
20060329,28.111,28.545,27.773,28.545,4852,0
20060330,28.555,28.555,28.235,28.32,1802,0
20060331,28.555,28.792,28.037,28.037,1135,0
20060404,28.32,28.32,27.64,27.64,359,0
20060406,28.878,28.878,27.375,27.375,1629,0
20060407,27.375,27.375,27.375,27.375,107,0
20060410,27.375,27.375,27.375,27.375,107,0
20060411,27.903,27.903,27.375,27.424,1271,0
20060413,27.792,27.792,27.375,27.375,6733,0
20060417,27.375,27.375,27.375,27.375,2538,0
20060418,27.535,27.847,27.535,27.716,3441,0
20060419,27.601,27.601,27.444,27.444,2440,0
20060420,27.299,27.318,27.299,27.318,608,0
20060421,27.318,27.649,27.28,27.649,2012,0
20060424,27.29,27.29,27.29,27.29,3176,0
20060425,27.28,27.337,27.28,27.337,2766,0
20060426,27.462,27.563,27.462,27.563,898,0
20060427,27.563,27.563,27.563,27.563,164,0
20060428,27.384,27.384,27.384,27.384,1021,0
20060501,27.471,27.471,27.424,27.424,1378,0
20060502,27.847,28.091,27.754,28.046,10086,0
20060505,28.046,28.046,28.046,28.046,144,0
20060509,27.857,27.942,27.857,27.942,320,0
20060511,27.942,27.942,27.942,27.942,107,0
20060512,27.857,27.857,27.847,27.847,1483,0
20060515,27.847,28.082,27.375,27.611,9532,0
20060516,27.611,27.611,27.611,27.611,107,0
20060517,27.187,27.187,27.187,27.187,320,0
20060518,27.187,28.018,27.14,27.28,6682,0
20060519,27.091,27.091,27.091,27.091,1021,0
20060524,27.091,27.28,27.091,27.091,488,0
