Date,Open,High,Low,Close,Volume,OpenInt
20090729,6.1895,6.1895,6.1895,6.1895,0,0
20090730,6.1895,6.7906,6.0215,6.269,4735350,0
20090731,6.2779,6.6315,6.1541,6.3663,284777,0
20090803,6.4103,7.0738,6.4103,7.0738,346162,0
20090804,7.0738,7.215,6.5167,6.8615,379874,0
20090805,6.835,7.843,6.6315,7.834,415591,0
20090806,7.781,7.781,7.0294,7.0472,402589,0
20090807,7.0738,7.4184,7.0738,7.3389,205852,0
20090810,7.3389,7.3389,6.7644,7.0738,135308,0
20090811,6.9853,7.0738,6.7731,6.8615,84700,0
20090812,6.8084,7.1179,6.6758,7.0029,182707,0
20090813,6.897,7.2947,6.897,7.2241,169980,0
20090814,7.2683,7.3389,7.162,7.2772,41448,0
20090817,7.1002,7.3389,7.0738,7.1091,69776,0
20090818,7.0825,7.2504,7.0738,7.1975,38942,0
20090819,7.1886,7.3389,6.9496,7.2504,58998,0
20090820,7.2947,7.3389,7.0738,7.171,246287,0
20090821,7.2683,7.3832,7.171,7.3389,75670,0
20090824,7.3389,7.5069,7.2063,7.2063,35382,0
20090825,7.1975,7.2947,6.9587,7.0118,81687,0
20090826,7.0472,7.2063,6.9235,7.2063,70367,0
20090827,7.56,7.56,7.215,7.2241,158701,0
20090828,7.2063,7.4624,7.0383,7.162,142814,0
20090831,7.0559,7.3389,6.7995,7.2419,63182,0
20090901,7.0029,7.162,6.9587,6.9853,73454,0
20090902,6.9056,7.1179,6.897,7.0118,95148,0
20090903,7.0029,7.1091,6.7644,7.0383,147415,0
20090904,7.0472,7.2504,7.0294,7.0825,56266,0
20090908,7.3566,7.4184,7.0825,7.2063,171837,0
20090909,7.2504,7.2504,7.1267,7.1975,63431,0
20090910,7.2241,7.4184,7.0825,7.2947,49493,0
20090911,7.2947,7.5335,7.2947,7.4716,107518,0
20090914,7.3921,7.4624,7.1267,7.3303,83226,0
20090915,7.3389,7.3389,7.2327,7.3389,115190,0
20090916,7.3124,7.3389,7.0738,7.215,125936,0
20090917,7.215,7.56,6.9853,7.3832,251219,0
20090918,7.56,7.56,7.1091,7.3656,121001,0
20090921,7.3034,7.4184,6.9413,7.2504,59533,0
20090922,7.4537,7.5511,7.0825,7.5511,69367,0
20090923,7.5422,7.5952,7.2947,7.5952,125943,0
20090924,7.6042,7.7369,7.4449,7.6131,90276,0
20090925,7.728,7.8784,7.5335,7.8255,74474,0
20090928,7.9224,7.9224,7.3034,7.5952,89469,0
20090929,7.56,7.781,7.56,7.6573,94758,0
20090930,7.843,8.1524,7.7104,7.9755,115858,0
20091001,7.9137,7.9137,7.3213,7.3832,194466,0
20091002,7.3832,7.8872,6.8526,7.6924,51453,0
20091005,7.7898,7.7898,7.4272,7.5422,20641,0
20091006,7.728,7.781,7.5246,7.728,148369,0
20091007,7.781,7.781,7.5156,7.5156,31717,0
20091008,7.6751,7.781,7.3656,7.56,77261,0
20091009,8.0286,8.0286,7.3656,7.7369,251695,0
20091012,7.8609,7.896,7.6217,7.8255,133789,0
20091013,7.9049,7.9049,7.7369,7.781,108966,0
20091014,7.9137,7.9401,7.763,7.763,54059,0
20091015,7.7987,7.958,7.7369,7.781,68576,0
20091016,7.781,7.8784,7.4272,7.4272,233027,0
20091019,7.3921,7.5511,7.3832,7.4095,413747,0
20091020,7.3566,7.4537,7.2947,7.3478,198872,0
20091021,7.3743,7.56,7.3743,7.4272,795978,0
20091022,7.5246,7.5777,7.3213,7.5335,1015199,0
20091023,7.5777,7.5777,7.3921,7.4272,70386,0
20091026,7.4981,7.4981,7.2947,7.3124,82810,0
20091027,7.3921,7.3921,7.2063,7.2241,108339,0
20091028,7.162,7.2063,6.729,6.8174,226202,0
20091029,6.9322,7.2063,6.7906,7.1797,100713,0
20091030,6.9763,7.1534,6.9763,7.0029,187221,0
20091102,7.0205,7.2504,6.8084,6.8526,137220,0
20091103,6.7644,7.1179,6.72,6.72,59474,0
20091104,6.7644,7.0559,6.7644,6.8789,68395,0
20091105,7.0205,7.6217,7.0205,7.4624,344240,0
20091106,7.3124,7.5511,7.2772,7.5246,34485,0
20091109,7.6308,7.728,7.4981,7.728,58753,0
20091110,7.6308,7.7369,7.5156,7.7369,103579,0
20091111,7.7456,7.8872,7.5246,7.8163,105424,0
20091112,7.8515,8.0286,7.6839,7.9931,174493,0
20091113,8.0551,8.294,7.7013,7.896,124172,0
20091116,8.0197,8.3736,7.4981,7.7987,243678,0
20091117,7.8515,7.8515,7.5069,7.6042,98056,0
20091118,7.5777,7.7456,7.4981,7.6924,224867,0
20091119,7.5952,7.8255,7.5952,7.6308,34987,0
20091120,7.6308,7.9401,7.6042,7.6042,55458,0
20091123,7.763,7.8077,7.5335,7.5511,108778,0
20091124,7.4716,7.6308,7.162,7.5335,66280,0
20091125,7.7987,8.0375,7.4449,7.5335,82799,0
20091127,7.3921,7.5069,7.1534,7.1886,43890,0
20091130,7.2241,7.4624,7.2241,7.3921,46871,0
20091201,7.5335,7.6924,7.4184,7.4716,83086,0
20091202,7.4272,7.4981,7.2504,7.4363,174504,0
20091203,7.5864,7.5864,7.1975,7.3566,111871,0
20091204,7.5511,7.5777,7.2772,7.5069,148544,0
20091207,8.5328,8.621,7.763,7.958,1110848,0
20091208,8.1171,8.5328,7.8872,8.285,428491,0
20091209,8.3646,8.6123,8.3646,8.4,293423,0
20091210,8.4794,8.5416,8.1347,8.1789,250314,0
20091211,8.3115,8.3912,8.1524,8.2584,200018,0
20091214,8.3912,8.4794,8.294,8.3471,218874,0
20091215,8.3556,8.4885,8.1171,8.1701,225321,0
20091216,8.3291,8.3291,8.1259,8.1789,89734,0
20091217,8.2497,8.2497,8.0197,8.0462,397137,0
20091218,8.0551,8.1524,8.0019,8.1347,674437,0
20091221,8.1612,8.1612,8.0462,8.0903,162853,0
20091222,8.1082,8.1082,7.958,8.0462,543658,0
20091223,8.0197,8.462,7.9931,8.4177,313021,0
20091224,8.4531,8.8245,8.3382,8.621,250179,0
20091228,8.6743,8.8245,8.4,8.5679,141775,0
20091229,8.6123,8.6743,8.5062,8.5328,46508,0
20091230,8.4794,8.621,8.3824,8.4,81935,0
20091231,8.3912,8.4177,8.2673,8.3115,83254,0
20100104,8.4,8.621,8.4,8.5328,510879,0
20100105,8.5328,8.8245,8.5148,8.7533,667406,0
20100106,8.789,8.9573,8.7094,8.7272,1154126,0
20100107,8.8421,8.9399,8.5328,8.7624,142747,0
20100108,8.8331,9.1776,8.7802,9.0634,2303053,0
20100111,9.1776,9.2675,8.8421,9.2675,301269,0
20100112,9.2411,9.4448,9.0357,9.2498,585530,0
20100113,9.3026,9.4448,9.1776,9.4448,718651,0
20100114,9.523,9.566,9.2055,9.2585,299977,0
20100115,9.3202,9.426,9.0453,9.2675,189233,0
20100119,9.3532,9.532,9.2929,9.4617,348550,0
20100120,9.426,9.532,9.3113,9.4795,306290,0
20100121,9.505,9.532,9.0271,9.0453,216023,0
20100122,9.0186,9.1776,8.6562,8.7006,794745,0
20100125,8.7533,8.9304,8.5503,8.6651,198667,0
20100126,8.6651,8.8421,8.4,8.6386,310081,0
20100127,8.7182,8.8593,8.4,8.4,866612,0
20100128,8.6651,8.7094,8.285,8.3115,202552,0
20100129,8.3382,8.4444,8.1347,8.2142,380209,0
20100201,8.2584,8.6031,8.2142,8.3205,375507,0
20100202,8.3115,8.9218,8.3115,8.8156,902793,0
20100203,8.8421,9.1688,8.8067,8.9754,623814,0
20100204,8.8511,8.904,8.1701,8.2763,461548,0
20100205,8.3736,8.5416,8.1612,8.2408,797071,0
20100208,8.3115,8.3646,8.1347,8.2055,645688,0
20100209,8.3646,8.4794,8.1347,8.3471,127191,0
20100210,8.4088,8.4088,8.2232,8.3471,90946,0
20100211,8.4088,8.4264,8.3291,8.3824,339706,0
20100212,8.4088,8.6123,8.2232,8.5945,547998,0
20100216,8.8156,9.0186,8.5945,8.6031,268654,0
20100217,8.7094,8.789,8.6031,8.7094,639020,0
20100218,8.6386,8.8593,8.5416,8.7978,349161,0
20100219,8.8067,9.4348,8.789,9.3202,967563,0
20100222,9.2841,9.532,9.2055,9.4527,519010,0
20100223,9.3709,9.505,9.0815,9.2314,457463,0
20100224,9.2411,9.2411,8.9932,9.1169,277594,0
20100225,8.9838,9.2675,8.8421,9.1688,99697,0
20100226,8.4885,9.2131,8.4444,9.0719,260078,0
20100301,9.0634,9.3202,8.9838,9.1342,169867,0
20100302,9.1593,9.2228,8.9304,9.1958,122377,0
20100303,9.2411,9.2411,9.1593,9.1776,72300,0
20100304,9.2228,9.3709,9.1593,9.3709,271671,0
20100305,9.4974,9.532,9.4172,9.4706,449199,0
20100308,9.505,9.967,9.4706,9.77,389359,0
20100309,9.763,9.94,9.514,9.736,335638,0
20100310,9.814,9.949,9.549,9.763,649608,0
20100311,9.804,10.018,9.682,9.85,1059380,0
20100312,9.886,9.886,9.77,9.822,78729,0
20100315,9.754,9.869,9.584,9.674,272806,0
20100316,9.655,9.727,9.602,9.682,134781,0
20100317,9.754,9.754,9.638,9.701,126154,0
20100318,9.655,9.746,9.592,9.736,437312,0
20100319,9.701,10.079,9.647,10.036,1340556,0
20100322,10.036,10.036,9.727,9.984,260342,0
20100323,9.921,9.921,9.727,9.796,432883,0
20100324,9.763,9.859,9.754,9.814,311923,0
20100325,9.859,9.99,9.814,9.832,404870,0
20100326,9.814,9.859,9.682,9.78,143792,0
20100329,9.814,9.814,9.638,9.736,278046,0
20100330,9.701,9.71,9.602,9.664,338574,0
20100331,9.602,9.99,9.539,9.893,466421,0
20100401,9.859,10.196,9.727,10.036,845927,0
20100405,10.079,10.079,9.893,9.94,216740,0
20100406,9.85,9.99,9.736,9.949,746735,0
20100407,9.903,10.16,9.886,10.044,382476,0
20100408,9.99,10.026,9.78,9.976,392128,0
20100409,9.949,10.036,9.903,9.99,370215,0
20100412,9.99,10.435,9.949,10.221,436904,0
20100413,10.248,10.266,10.143,10.204,530208,0
20100414,10.204,10.301,10.151,10.301,534764,0
20100415,10.239,10.893,10.213,10.743,2121542,0
20100416,10.76,10.875,10.592,10.743,635751,0
20100419,10.752,10.752,10.38,10.521,159552,0
20100420,10.521,10.584,10.39,10.549,192690,0
20100421,10.521,10.601,10.453,10.478,180933,0
20100422,10.416,10.584,10.39,10.54,241302,0
20100423,10.575,10.637,10.453,10.584,301746,0
20100426,10.61,11.043,10.61,10.947,764399,0
20100427,10.875,10.956,10.31,10.478,339852,0
20100428,10.495,10.778,10.486,10.735,276407,0
20100429,10.805,11.265,10.655,11.265,1065444,0
20100430,11.229,11.229,10.788,10.973,361149,0
20100503,10.965,11.105,10.788,10.857,773733,0
20100504,10.725,10.76,10.39,10.601,273566,0
20100505,10.512,10.53,10.169,10.409,482295,0
20100506,10.266,10.335,9.638,9.921,425058,0
20100507,9.78,10.105,9.1593,9.505,698547,0
20100510,10.196,10.327,9.804,10.186,313754,0
20100511,10.221,10.575,10.062,10.256,226256,0
20100512,9.746,10.788,9.592,10.68,599810,0
20100513,10.76,11.069,10.743,10.833,908560,0
20100514,10.833,10.93,10.435,10.655,432654,0
20100517,10.805,10.805,10.495,10.61,233512,0
20100518,10.629,10.629,10.124,10.301,571004,0
20100519,10.169,10.248,9.514,10.114,638096,0
20100520,9.84,9.958,8.8421,9.717,646665,0
20100521,9.2314,10.335,9.0634,10.213,669850,0
20100524,10.105,10.256,9.984,10.026,227508,0
20100525,9.539,10.018,9.1776,9.99,509893,0
20100526,10.079,10.462,9.804,9.85,2670796,0
20100527,10.143,10.478,9.984,10.204,823626,0
20100528,10.231,10.409,10.169,10.32,200377,0
20100601,10.133,10.256,9.796,9.796,189359,0
20100602,9.814,10.266,9.796,10.248,180428,0
20100603,9.754,10.362,9.736,10.301,109801,0
20100604,10.044,10.114,9.664,9.796,316612,0
20100607,9.77,9.796,9.2131,9.3358,274927,0
20100608,9.3358,9.3444,8.7182,8.9573,940337,0
20100609,8.8864,9.3026,8.6477,9.0186,687326,0
20100610,9.1342,9.3289,8.4794,8.8771,2678507,0
20100611,8.8067,9.1688,8.7272,9.1169,774740,0
20100614,9.727,10.036,9.4974,9.523,954023,0
20100615,9.638,9.869,9.611,9.814,531945,0
20100616,9.796,9.949,9.727,9.822,455148,0
20100617,9.796,9.869,9.701,9.746,210887,0
20100618,9.796,9.984,9.727,9.869,450633,0
20100621,10.071,10.453,9.976,10.169,1529996,0
20100622,10.239,10.335,9.877,10.018,648873,0
20100623,9.984,10.221,9.638,9.958,386703,0
20100624,9.93,10.026,9.647,9.674,360149,0
20100625,9.727,9.984,9.3896,9.814,10415664,0
20100628,9.763,10.204,9.674,9.877,435723,0
20100629,9.763,9.967,9.1409,9.2055,486936,0
20100630,9.1688,9.2841,9.0539,9.1342,442330,0
20100701,9.0998,9.1342,8.7714,9.1256,833749,0
20100702,9.2131,9.3113,8.7094,8.7978,353702,0
20100706,8.966,9.2498,8.6031,8.6651,445450,0
20100707,8.7359,9.3631,8.6477,9.3444,417905,0
20100708,9.3709,9.4974,9.1169,9.4706,297754,0
20100709,9.4875,9.664,9.2314,9.611,207540,0
20100712,9.584,9.674,9.3113,9.4082,149279,0
20100713,9.557,9.638,9.4527,9.575,415245,0
20100714,9.514,9.727,9.4527,9.539,147117,0
20100715,9.557,9.717,9.1075,9.2585,241706,0
20100716,9.1688,9.3984,8.8421,8.8864,440925,0
20100719,8.8948,8.9838,8.6743,8.8331,324493,0
20100720,8.7359,9.557,8.6651,9.539,463520,0
20100721,9.628,9.903,9.3797,9.664,990552,0
20100722,9.822,10.204,9.822,10.079,712575,0
20100723,9.999,10.38,9.584,10.283,903013,0
20100726,10.343,10.343,9.967,9.999,433589,0
20100727,10.096,10.343,9.859,10.291,416415,0
20100728,10.239,10.343,10.026,10.044,205378,0
20100729,10.114,10.399,9.949,10.274,325687,0
20100730,10.087,10.38,9.814,10.196,149847,0
20100802,10.372,10.592,10.151,10.353,239734,0
20100803,10.283,10.495,9.921,10.008,388097,0
20100804,10.008,10.133,9.727,10.062,418869,0
20100805,9.99,10.248,9.99,10.213,142580,0
20100806,10.062,10.266,9.903,10.204,253225,0
20100809,10.239,10.343,10.143,10.283,145480,0
20100810,10.143,10.409,9.967,10.221,484560,0
20100811,10.362,10.362,9.674,9.71,547156,0
20100812,9.584,9.886,9.539,9.77,384906,0
20100813,9.804,9.804,9.523,9.602,316708,0
20100816,9.592,10.213,9.557,10.062,485985,0
20100817,10.213,10.38,10.062,10.256,631911,0
20100818,10.283,10.512,10.079,10.301,408702,0
20100819,10.239,10.409,9.99,10.087,458000,0
