Date,Open,High,Low,Close,Volume,OpenInt
20050225,105.7,114.5,105.7,114.2,5866,0
20050228,110.3,110.5,104.3,104.9,5270,0
20050301,107.3,107.3,103.3,104.2,4320,0
20050302,103.7,104.8,102.6,102.7,2172,0
20050303,103,104.7,101,101,1518,0
20050304,103.3,103.9,99.4,99.9,2688,0
20050307,100.3,100.4,99.9,99.9,3945,0
20050308,102.5,102.9,100,101.9,4086,0
20050309,102,104,101.6,103.2,3089,0
20050310,103.7,104,102,103.3,1495,0
20050311,101.9,101.9,99.1,101,2145,0
20050314,100,104,100,103.7,2442,0
20050315,105,105.1,99.9,102.6,2378,0
20050316,105,110.9,102,109.8,2063,0
20050317,110,110.9,102.3,102.9,1050,0
20050318,104.3,106.8,101,101.6,6309,0
20050321,100,103,100,100.1,3947,0
20050322,100.6,103.3,100,100.8,1631,0
20050323,100.1,101.5,99.6,100.5,5503,0
20050324,102.3,102.4,100.1,100.2,1556,0
20050328,102,102,99.6,99.7,5544,0
20050329,100.5,100.5,98.5,99.1,6836,0
20050330,98,100,98,98,9421,0
20050331,98,99.2,89.8,91,8382,0
20050401,95.9,97.5,93,93,4697,0
20050404,95.9,96,92.5,93.1,3246,0
20050405,93.5,94.3,92.6,94.3,6265,0
20050406,95.6,96.5,94.4,95.4,3534,0
20050407,95.4,95.9,94.6,95.1,1122,0
20050408,96.3,96.3,94.4,95,2596,0
20050411,93.7,95.4,93.7,94.5,1070,0
20050412,93.7,95,93,94.1,3036,0
20050413,93.5,94.9,93,93,3646,0
20050414,94.1,95,93,93,4220,0
20050415,94.8,94.8,90,90.5,4828,0
20050418,92,93,88,88,2712,0
20050419,90,90,88.5,90,2020,0
20050420,90,90,88.3,88.7,1028,0
20050421,90,90.5,88.4,90.2,1059,0
20050422,90.1,90.3,87.3,87.8,2651,0
20050425,89.8,93,87.9,87.9,1112,0
20050426,87.5,89.3,87,87.4,2049,0
20050427,88.5,90.9,87,89.3,2124,0
20050428,91.3,91.3,86.8,86.8,1975,0
20050429,86.8,91.4,86.3,89.5,2160,0
20050502,89.8,90.5,89.1,89.8,3049,0
20050503,91,91.4,88.2,88.5,3098,0
20050504,89.9,90.3,88.5,90,2596,0
