Date,Open,High,Low,Close,Volume,OpenInt
20140429,8.1788,8.1788,8.0295,8.0295,8971,0
20140430,8.0228,8.0235,8.0228,8.0235,778,0
20140501,8.0228,8.0228,7.8696,7.8696,1247,0
20140502,7.8703,7.8703,7.7966,7.8703,8144,0
20140505,7.8384,7.8384,7.709,7.709,816,0
20140506,7.709,8.0295,7.709,7.8703,40662,0
20140507,7.0865,8.3526,6.8092,7.8703,26461,0
20140508,8.1284,8.1284,8.1284,8.1284,214,0
20140509,8.0295,8.0295,8.0295,8.0295,1482,0
20140513,8.0295,8.0295,8.0295,8.0295,13275,0
20140514,7.8703,7.8703,7.774,7.774,7482,0
20140515,7.8703,8.1921,7.8118,7.8703,73297,0
20140516,7.8902,8.1868,7.6061,7.8967,42116,0
20140519,7.9604,8.2179,7.9604,8.2179,21187,0
20140520,8.1675,8.1868,8.1542,8.1542,1326,0
20140522,8.1542,8.3805,8.1542,8.3805,9280,0
20140523,8.3805,8.7004,8.3361,8.7004,10551,0
20140527,8.8769,9.0242,8.8185,8.9712,9858,0
20140528,8.9911,9.508,8.9911,9.508,6561,0
20140529,9.508,9.508,9.346,9.4177,4384,0
20140530,9.617,9.669,9.508,9.669,4827,0
20140602,9.669,9.991,9.669,9.829,19674,0
20140603,9.669,9.829,9.4111,9.669,6958,0
20140604,9.72,9.829,9.669,9.829,5026,0
20140605,9.3527,9.829,9.3527,9.71,12505,0
20140606,9.733,9.829,9.733,9.829,5439,0
20140609,9.766,9.926,9.766,9.926,11522,0
20140610,9.926,9.991,9.669,9.926,11790,0
20140611,9.991,10.152,9.991,10.12,6663,0
20140612,10.12,10.954,10.031,10.938,6576,0
20140613,9.74,10.822,9.346,10.604,11890,0
20140616,10.924,10.924,10.5,10.5,6841,0
20140617,10.538,10.538,9.766,10.313,12752,0
20140618,10.629,10.629,9.779,10.146,6905,0
20140619,10.165,10.165,9.803,10.1,20388,0
20140620,10.106,10.249,8.3274,8.3274,46609,0
20140623,9.4562,9.4562,8.6373,9.3328,24803,0
20140624,9.076,9.2684,9.0693,9.1722,5983,0
20140625,9.0561,9.3726,9.0242,9.0309,4759,0
20140626,9.275,9.565,9.1656,9.565,4337,0
20140627,9.585,9.585,9.3858,9.3858,9940,0
20140630,9.52,9.656,9.3858,9.591,9294,0
20140701,9.65,9.754,9.591,9.754,1432,0
20140702,9.766,10.1,9.766,10.042,9155,0
20140703,10.506,10.506,10.095,10.19,4991,0
20140707,9.836,10.204,9.829,10.204,2163,0
20140708,10.056,10.056,9.4296,9.539,6998,0
20140709,9.4691,9.61,9.4691,9.598,2036,0
20140710,9.508,9.712,9.508,9.669,4158,0
20140714,9.76,9.76,9.4303,9.598,9120,0
20140715,9.605,9.605,9.558,9.558,2021,0
20140716,9.4495,9.502,9.2173,9.502,9394,0
20140717,9.531,9.531,9.3328,9.4632,6826,0
20140718,9.2472,9.669,9.2472,9.669,26780,0
20140721,9.4691,9.798,9.443,9.65,14373,0
20140722,9.669,10.833,9.669,10.442,14846,0
20140723,10.515,10.515,9.4821,10.23,16866,0
20140724,10.538,10.538,10.313,10.538,7470,0
20140725,10.538,10.699,10.326,10.345,9420,0
20140728,10.622,10.689,10.005,10.017,7969,0
20140729,10.326,10.326,10.113,10.216,2907,0
20140730,10.049,10.268,9.991,10.261,6673,0
20140731,10.261,10.313,10.011,10.159,7116,0
