Date,Open,High,Low,Close,Volume,OpenInt
20080619,7,8.35,6.5,6.84,165710,0
20080620,7,7.3,6.24,6.42,105685,0
20080623,6.74,6.74,5.05,5.6,38479,0
20080624,5.6,5.6,5.25,5.25,45165,0
20080625,5.43,5.45,5,5.1,21622,0
20080626,5,5.25,4.75,4.95,26077,0
20080627,4.9,5.5,4.85,5,22147,0
20080630,5.44,5.44,4.75,4.8,22125,0
20080701,4.75,4.9,4.6,4.77,6076,0
20080702,4.85,4.85,4.1,4.25,18450,0
20080703,4.4,4.75,4.4,4.75,4675,0
20080707,4.74,5.15,4.45,4.63,9361,0
20080708,4.35,4.85,3.85,4.8,23960,0
20080709,4.7,4.7,4.31,4.5,14485,0
20080710,4.53,4.63,4.25,4.35,2100,0
20080711,4.35,4.4,4.05,4.4,15194,0
20080714,4.05,4.4,4.05,4.15,7800,0
20080715,4.05,4.23,3.75,4,14544,0
20080716,3.67,4,3,3.96,43440,0
20080717,3.99,4.35,3.65,4.28,15407,0
20080718,4.45,4.7,4.2,4.56,12658,0
20080721,4.75,4.75,4.25,4.35,8550,0
20080722,4.22,4.22,4.1,4.2,6527,0
20080723,4.57,4.57,4.2,4.2,6665,0
20080724,4.3,4.3,3.55,3.61,16930,0
20080725,3.92,3.92,3.5,3.7,25730,0
20080728,3.55,3.75,3.55,3.68,9845,0
20080729,3.66,3.66,3.35,3.6,5600,0
20080730,3.5,3.7,3.45,3.7,3300,0
20080731,3.8,3.8,3.69,3.7,4800,0
20080801,3.7,4.09,3.61,4.09,7850,0
20080804,4.05,4.1,3.85,3.95,4775,0
20080805,3.98,4.1,3.98,4.1,8599,0
20080806,4.1,4.1,3.91,4.09,4051,0
20080807,4.78,4.78,4,4,3250,0
20080808,4.1,4.2,4,4.2,1680,0
20080811,4.1,4.25,4.05,4.25,3550,0
20080812,4.62,4.62,4.1,4.25,17355,0
20080813,3.8,3.8,3.05,3.45,35897,0
20080814,3.41,3.64,3.4,3.51,10400,0
20080815,3.57,4,3.4,4,7444,0
20080818,3.9,3.9,3.71,3.8,2725,0
20080819,3.8,3.8,3.66,3.79,3550,0
20080820,3.61,4.04,3.46,3.8,12279,0
20080821,3.99,3.99,3.51,3.6,4153,0
20080822,3.92,4.5,3.5,4.4,30181,0
20080825,4.49,4.5,4.1,4.25,10105,0
20080826,4.11,4.29,4,4.29,9066,0
20080827,4,4.2,3.9,4.2,4000,0
20080828,4.05,4.39,4.05,4.27,3000,0
20080829,4.39,4.39,4.1,4.27,1500,0
20080902,4.3,4.3,3.92,4.24,1150,0
20080903,4,4.22,3.73,4.01,6300,0
20080904,4.14,4.14,4,4.1,18755,0
20080905,4.05,4.35,4.02,4.11,22865,0
20080908,4.2,4.2,4.1,4.1,2582,0
20080909,4.1,4.22,4,4.14,6910,0
20080910,4.21,4.21,3.5,3.7,27894,0
20080911,3.84,3.84,3.45,3.55,6425,0
20080912,3.51,3.75,3.51,3.75,5900,0
20080915,3.65,3.74,3.65,3.68,5865,0
20080916,3.65,3.8,3.32,3.33,22044,0
20080917,3.32,3.35,1.68,2.5,36220,0
20080918,2.73,2.73,2.06,2.23,16200,0
20080919,2.3,2.7,2.3,2.69,140618,0
20080922,2.85,3.05,2.6,3.02,6300,0
20080923,3.1,3.11,3,3.05,13295,0
20080924,3,3.1,3,3.01,7400,0
20080925,3.03,3.15,3,3,30431,0
20080926,2.98,3.1,2.7,3.1,39900,0
20080929,3.2,3.2,3.02,3.05,14600,0
20080930,2.98,3.2,2.7,3.1,13815,0
20081001,3.05,3.09,2.75,3.09,19955,0
20081002,2.86,3.05,2.86,3.05,2900,0
20081003,2.99,3,2.7,3,9400,0
20081006,2.76,3.05,2.55,3.05,23560,0
20081007,2.92,3.05,2.6,3.05,12350,0
20081008,2.9,3.05,2.8,3.05,6300,0
20081009,2.9,3.02,2.65,3.02,14134,0
20081010,2.72,3.85,2.7,3.03,9074,0
20081013,3.34,3.34,2.9,3.04,7914,0
20081014,3.04,3.2,2.6,3.11,16400,0
20081015,3.1,3.1,2.8,3.03,11800,0
20081016,3,3.15,2.99,3.15,3000,0
20081017,3.35,3.35,2.75,3.02,26600,0
20081020,3,3.05,2.8,3.04,21270,0
20081021,3,3.05,2.8,3.04,14200,0
20081022,2.95,3.1,2.85,3.05,6197,0
20081023,2.87,3.05,2.87,3.05,300,0
20081024,2.93,3.04,2.72,3.04,1100,0
20081027,2.91,3.1,2.9,3.03,4241,0
20081028,2.95,3.05,2.8,3.05,7950,0
20081029,2.9,3.1,2.85,3.05,8399,0
20081030,2.95,3.1,2.95,3.09,8100,0
20081031,3.35,3.35,2.55,3.05,7735,0
20081103,2.97,3.1,2.94,3.04,3400,0
20081104,3,3.3,3,3.25,9840,0
20081105,3.2,3.45,3.2,3.45,800,0
20081106,2.79,3.15,2.5,3.1,23080,0
20081107,3.13,3.13,3.13,3.13,100,0
20081110,3.06,3.5,3.06,3.21,4200,0
20081111,3.16,3.46,3.15,3.46,5800,0
20081112,3.45,3.5,3.2,3.45,14400,0
20081113,3.41,3.49,3.3,3.45,1760,0
20081114,3.31,3.5,3.31,3.5,8400,0
20081117,3.31,3.5,3.1,3.5,6650,0
20081118,3.45,3.45,3.3,3.3,5600,0
20081119,3.2,3.2,3,3,4800,0
20081120,3.1,3.15,2.95,3.15,3300,0
20081121,2.95,3.16,2.95,3.16,6200,0
20081124,3.13,3.35,2.96,3.3,21360,0
20081125,3.2,3.2,3.02,3.15,5802,0
20081126,3.15,3.25,2.99,3.25,10300,0
20081128,3,3.25,3,3.1,4400,0
20081201,3.01,3.04,2.9,2.99,5400,0
20081202,2.8,3.3,2.8,3.3,16741,0
20081203,3.15,3.34,3.15,3.34,2000,0
20081204,3.17,3.32,3.15,3.29,5500,0
20081205,3.12,3.12,3.04,3.05,5000,0
20081208,2.97,3.05,2.9,3.05,13408,0
20081209,2.95,3.05,2.7,3.05,10800,0
20081210,2.95,3.05,2.87,3.03,3625,0
20081211,2.86,3.1,2.75,3.1,17154,0
20081212,2.71,3.04,2.71,3.04,1850,0
20081215,3.14,3.14,2.85,3.02,800,0
20081216,2.86,3.15,2.86,3.15,9187,0
20081217,3,3.05,3,3.01,3102,0
20081218,2.86,3.05,2.7,2.85,19300,0
20081219,2.71,2.99,2.71,2.95,5200,0
20081222,2.86,3.15,2.86,3.15,3900,0
20081223,3.15,3.19,2.7,3.05,7700,0
20081226,3,3.05,2.76,3.02,9700,0
20081229,3.02,3.05,2.96,3.05,1541,0
20081230,3,3,2.85,2.95,3300,0
20081231,2.72,3.19,2.65,3.19,5482,0
20090102,3.19,3.19,3,3.19,2475,0
20090105,3,3.19,3,3.15,2900,0
20090107,3.07,3.1,3,3.1,6250,0
20090108,3.05,3.1,3,3.1,1500,0
20090112,3,3.05,2.7,3.04,1875,0
20090113,2.85,3.05,2.85,3.05,4650,0
20090115,2.8,2.8,2.52,2.8,5326,0
20090116,2.95,3.04,2.8,3.04,24841,0
20090120,2.8,3,2.8,3,4756,0
20090121,3,3.05,2.83,3.05,7895,0
20090122,3,3.04,3,3.04,500,0
20090123,3,3.05,2.93,3,8500,0
20090126,3,3.04,2.9,3.03,3500,0
20090127,2.94,3.02,2.94,3.02,1500,0
20090128,3.01,3.01,2.8,3.01,4600,0
20090129,2.9,3,2.9,2.97,3600,0
20090130,2.95,2.95,2.95,2.95,100,0
20090202,2.91,3.04,2.8,3.04,4104,0
20090203,2.88,3.04,2.5,3.04,6741,0
20090204,3.02,3.05,2.82,2.9,3350,0
20090205,2.82,3.05,2.82,2.9,9400,0
20090206,2.9,2.95,2.38,2.95,12063,0
20090209,2.85,3.05,2.65,3,14120,0
20090210,2.9,3,2.8,3,14332,0
20090211,2.92,2.92,2.75,2.75,600,0
20090212,2.95,2.95,2.75,2.75,5568,0
20090213,2.75,2.75,2.75,2.75,300,0
20090217,2.56,2.75,2.41,2.65,1650,0
20090218,2.75,2.75,2.45,2.75,800,0
20090219,2.73,2.73,2.7,2.7,2200,0
20090220,2.51,2.7,2.51,2.65,5017,0
20090223,2.41,2.69,2.05,2.42,8567,0
20090224,2.15,2.45,2.05,2.44,3600,0
20090225,2.45,2.45,2.07,2.39,5717,0
20090227,2.2,2.75,2.15,2.75,12251,0
20090302,2.82,3,2.33,2.34,31025,0
20090303,2.36,2.36,2.05,2.25,19750,0
20090304,2.07,2.4,2.05,2.05,7241,0
20090305,2.3,2.4,2,2.2,13800,0
20090306,2.3,2.48,2.2,2.4,27150,0
20090309,2.36,2.48,2.29,2.48,13200,0
20090310,2.43,2.68,2.35,2.59,17870,0
20090311,2.59,2.59,2.45,2.45,2450,0
20090312,2.2,2.94,2.2,2.9,14600,0
20090313,3,3,2.4,2.52,8530,0
20090316,2.31,2.42,2.3,2.4,5400,0
20090317,2.7,2.7,2.28,2.4,2300,0
20090318,2.7,2.82,2.55,2.82,7000,0
20090319,2.9,2.9,2.65,2.7,5000,0
20090320,2.65,2.65,2.65,2.65,550,0
20090323,2.65,2.7,2.45,2.66,11566,0
20090324,2.65,2.7,2.6,2.68,9100,0
20090325,2.7,2.7,2.65,2.65,13300,0
20090326,2.65,2.8,2.6,2.8,13356,0
20090327,2.8,2.8,2.56,2.8,20450,0
20090330,2.89,2.89,2.65,2.65,11900,0
20090331,2.65,2.65,2.48,2.61,19700,0
20090401,2.6,2.64,2.3,2.62,7360,0
20090402,2.61,2.65,2.55,2.65,5500,0
20090403,2.51,2.65,2.51,2.65,2500,0
20090406,2.65,2.68,2.6,2.6,26300,0
20090407,2.51,2.6,2.3,2.52,13130,0
20090408,2.6,2.84,2.37,2.84,22750,0
20090409,2.59,3.05,2.35,2.4,77588,0
20090413,2.5,2.54,2.09,2.54,108236,0
20090414,2.49,2.77,2.24,2.5,28460,0
