Date,Open,High,Low,Close,Volume,OpenInt
20080812,7.7183,8.8741,7.7111,8.4045,111734,0
20080813,8.8596,9.3689,8.4815,9.2539,167223,0
20080814,9.4827,9.63,9.0596,9.2539,281960,0
20080815,9.284,10.178,9.2539,9.4461,173751,0
20080818,9.939,9.939,9.2539,9.554,352035,0
20080819,9.2461,9.522,9.2461,9.3277,759271,0
20080820,9.3366,9.724,9.2539,9.724,4842598,0
20080821,8.4815,11.882,8.4815,11.79,5625576,0
20080822,12.244,12.729,11.951,12.275,2394338,0
20080825,12.238,12.323,12.106,12.298,599136,0
20080826,12.36,12.754,12.251,12.306,977905,0
20080827,12.33,12.467,11.713,11.736,811795,0
20080828,11.428,11.688,10.905,11.257,836685,0
20080829,10.972,11.527,10.972,11.296,918753,0
20080902,10.987,12.467,10.987,11.606,660205,0
20080903,11.334,11.759,11.303,11.334,733138,0
20080904,11.334,11.713,11.303,11.303,615172,0
20080905,11.011,11.68,10.781,11.599,788329,0
20080908,11.459,11.759,11.233,11.319,522899,0
20080909,10.802,11.813,10.802,11.334,518419,0
20080910,11.334,11.359,10.972,11.273,819235,0
20080911,10.919,11.42,10.802,11.296,513280,0
20080912,11.004,11.381,10.802,11.233,625979,0
20080915,10.811,11.359,10.626,11.334,484734,0
20080916,10.905,11.428,10.766,11.428,1054751,0
20080917,11.388,11.388,10.619,10.774,868770,0
20080918,10.726,10.847,9.4075,9.4075,1786924,0
20080919,8.7283,10.016,7.3793,7.7879,6924696,0
20080922,8.5196,8.8439,7.873,8.7825,3905423,0
20080923,8.6135,8.944,8.2509,8.7672,1235155,0
20080924,8.9291,9.3689,8.4669,8.5981,1102330,0
20080925,8.5981,9.892,8.4815,8.8974,435853,0
20080926,8.7365,9.692,8.713,9.1215,692187,0
20080929,8.752,8.7905,7.3637,7.9724,1383248,0
20080930,7.464,9.1139,7.464,8.4888,973865,0
20081001,8.4961,8.9525,8.3423,8.628,415472,0
20081002,8.628,9.584,8.089,8.9899,397426,0
20081003,8.4742,9.63,8.089,8.2896,759980,0
20081006,7.7954,9.1379,6.1685,8.5981,701035,0
20081007,8.3893,9.1302,7.5796,7.741,508851,0
20081008,7.4175,9.1379,7.0243,7.9102,811645,0
20081009,7.7727,9.2539,5.8678,6.423,956034,0
20081010,6.0376,7.4175,4.4722,7.1555,983410,0
20081013,7.5489,7.8178,6.1763,6.6542,693344,0
20081014,6.2378,7.8034,4.7651,5.2741,1027716,0
20081015,5.1199,5.2123,4.3949,4.5801,758124,0
20081016,4.5801,4.6727,3.8632,4.5259,936441,0
20081017,4.3487,5.1892,4.0327,4.2874,1097739,0
20081020,4.372,4.7035,3.2693,3.6319,831926,0
20081021,3.6239,3.8551,3.3541,3.4929,706656,0
20081022,3.3927,3.4929,2.7989,3.223,509962,0
