Date,Open,High,Low,Close,Volume,OpenInt
20161118,9.84,9.98,9.75,9.95,4331301,0
20161121,9.95,9.98,9.76,9.88,177500,0
20161122,9.85,9.97,9.85,9.91,222760,0
20161123,9.91,9.91,9.86,9.86,44800,0
20161125,9.99,9.99,9.9,9.9,21758,0
20161128,9.9,9.94,9.9,9.9,20279,0
20161129,9.98,9.99,9.86,9.97,140900,0
20161130,9.98,9.99,9.95,9.97,118310,0
20161201,10,10.06,9.96,9.97,16800,0
20161202,10.04,10.04,9.95,9.95,112444,0
20161205,10.04,10.05,10.0072,10.0072,600,0
20161206,10,10.91,10,10,11270,0
20161207,10,10,10,10,100,0
20161208,10,10,9.97,10,22200,0
20161209,9.97,9.97,9.97,9.97,100,0
20161213,10.027,10.03,9.97,10,219300,0
20161214,10.15,10.16,9.99,10.03,44704,0
20161215,10.24,10.24,9.925,9.98,39923,0
20161216,9.98,10.01,9.96,9.96,13199,0
20161219,10.01,10.0472,10,10.0472,4303,0
20161220,10.01,10.01,10.01,10.01,940,0
20161221,10.1,10.1,10.01,10.1,400,0
20161222,10.09,10.1,10.09,10.1,200,0
20161223,10.15,10.15,10.15,10.15,4800,0
20161227,10.04,10.19,10.02,10.19,2500,0
20161230,10.03,10.15,10.02,10.15,514,0
20170106,10.17,10.17,10.17,10.17,100,0
20170110,10.18,10.18,10.1,10.12,314,0
20170111,10.15,10.15,10.15,10.15,550,0
20170118,10.13,10.13,10.1,10.1,734,0
20170119,10.1,10.1,10.05,10.05,10066,0
20170120,10.06,10.06,10.06,10.06,426,0
20170123,10.09,10.09,10.09,10.09,100,0
20170125,10.15,10.15,10.0923,10.0923,800,0
20170126,10.5,10.5,10.03,10.1,66025,0
20170130,10.1,10.1,10.06,10.1,27370,0
20170131,10.1,10.12,10.1,10.1,2200,0
20170201,10.1,10.1,10.06,10.06,3400,0
20170202,10.1,10.1,10.05,10.05,504,0
20170203,10.32,10.3664,10.12,10.12,10620,0
20170206,10.32,10.32,10.32,10.32,1000,0
20170208,10.2697,10.2697,10.2697,10.2697,100,0
20170209,10.06,10.22,10.05,10.22,1673,0
20170213,10.02,10.16,10,10.16,532,0
20170215,10.02,10.02,10.02,10.02,172,0
20170221,10.16,10.16,10.14,10.14,1395,0
20170222,10.02,10.15,10.02,10.15,848,0
20170224,10.12,10.14,10.1,10.1001,2600,0
20170228,10.11,10.11,10.02,10.08,35669,0
20170302,10.05,10.0999,10.02,10.0992,1462,0
20170306,10.1,10.1001,10.09,10.1,7275,0
20170308,10.1,10.1,10.1,10.1,4100,0
20170309,10.05,10.05,10.05,10.05,300,0
20170310,10.05,10.2,10.04,10.19,2900,0
20170313,10.2,10.32,10.2,10.3,15678,0
20170314,10.2801,10.2801,10.28,10.28,987,0
20170317,10.04,10.44,10,10.4,1562,0
20170320,10.016,10.3958,10.016,10.3958,403,0
20170321,10.2,10.2,10.197,10.1992,515,0
20170324,10,10.1492,10,10.1492,3577,0
20170327,10.2,10.2,10.06,10.2,19402,0
20170328,10.11,10.2,10.1,10.2,928,0
20170329,10.08,10.29,10.08,10.29,301,0
20170330,10.38,10.39,10.38,10.39,500,0
20170331,10.4,10.4,10.26,10.26,800,0
20170403,10.08,10.3603,10,10.328,6888,0
20170404,10.25,10.25,10.25,10.25,10000,0
20170406,10.12,10.2092,10.01,10.2092,9056,0
20170407,10.19,10.19,10.19,10.19,200,0
20170411,10.18,10.18,10.18,10.18,116,0
20170412,10.197,10.2,10.197,10.1992,300,0
20170413,10.15,10.2,10.15,10.1799,2800,0
20170417,10.42,10.42,10.1326,10.195,400,0
20170418,10.15,10.2,10.1,10.155,13710,0
20170420,10.17,10.17,10.17,10.17,100,0
20170425,10.2899,10.2899,10.2899,10.2899,200,0
20170427,10.28,10.4401,10.28,10.44,104809,0
20170428,10.47,10.6,10.47,10.48,1115,0
20170501,10.5158,10.5158,10.5,10.5,709,0
20170502,10.44,10.44,10.44,10.44,100,0
20170503,10.44,10.44,10.44,10.44,100,0
20170504,10.39,10.39,10.3401,10.3892,600,0
20170505,10.36,10.5579,10.32,10.32,1950,0
20170508,10.27,10.27,10.12,10.25,500,0
20170509,10.07,10.25,10.07,10.2,1670,0
20170510,10.1951,10.2,10.13,10.2,16315,0
20170511,10,10.31,10,10.26,18542,0
20170512,10.07,10.25,10,10.25,2730,0
20170515,10.03,10.03,10,10,966,0
20170518,10,10,10,10,2036,0
20170519,10.02,10.07,10.02,10.05,4302,0
20170523,10,10,10,10,1314,0
20170524,10,10,10,10,408,0
20170525,9.99,10,9.99,10,630,0
20170530,10,10.24,9.96,9.96,64650,0
20170531,9.61,9.61,9.61,9.61,100,0
20170601,9.53,9.53,9.53,9.53,100,0
20170614,10,10,9.98,9.98,2100,0
20170615,9.98,10,9.94,9.94,14640,0
20170629,9.95,9.95,9.95,9.95,200,0
20170630,9.99,9.99,9.95,9.95,1000,0
20170727,9.9501,9.9501,9.95,9.95,200,0
