Date,Open,High,Low,Close,Volume,OpenInt
20050225,8.3865,8.9018,8.3865,8.8751,181451,0
20050228,8.9018,8.9018,8.5374,8.6441,112338,0
20050301,8.6441,8.7863,8.6355,8.6355,86672,0
20050302,8.5731,8.582,8.4665,8.502,111435,0
20050303,8.5197,8.5731,8.4842,8.5374,100856,0
20050304,8.5731,8.9195,8.5731,8.8574,157811,0
20050307,8.8574,8.8751,8.6886,8.7064,48625,0
20050308,8.7064,8.733,8.5464,8.6355,165240,0
20050309,8.6176,8.6176,8.36,8.502,107609,0
20050310,8.4842,8.5374,8.3332,8.3954,96352,0
20050311,8.4399,8.502,8.2623,8.3244,24764,0
20050314,8.3244,8.3954,8.1911,8.2533,65062,0
20050315,8.2533,8.351,8.2177,8.3066,81720,0
20050316,8.28,8.28,8.1289,8.1733,87124,0
20050317,8.1911,8.5109,8.1377,8.4222,49302,0
20050318,8.5464,8.5731,8.2177,8.2623,414226,0
20050321,8.2623,8.3066,8.1911,8.2177,78569,0
20050322,8.1911,8.3066,8.0666,8.1555,134173,0
20050323,8.1289,8.1822,8.1023,8.1555,54706,0
20050324,8.1555,8.2177,8.1289,8.1733,46376,0
20050328,8.1555,8.351,8.1377,8.351,61908,0
20050329,8.351,8.351,7.9513,7.9513,136650,0
20050330,7.9423,8.1023,7.9423,8.0311,109859,0
20050331,8.0579,8.271,8.0224,8.2355,174922,0
20050401,8.2977,8.4044,8.0844,8.3244,150381,0
20050404,8.351,8.351,8.0224,8.0489,139577,0
20050405,8.0844,8.4753,8.0844,8.3954,99956,0
20050406,8.4842,8.4842,8.0489,8.0844,68437,0
20050407,8.1555,8.1555,7.9868,8.0756,60783,0
20050408,8.1289,8.1289,7.5247,7.6491,162764,0
20050411,7.6226,7.7113,7.3026,7.6136,227374,0
20050412,7.5516,7.6847,7.4003,7.6403,87574,0
20050413,7.6313,7.6935,7.5602,7.6136,115488,0
20050414,7.6136,7.7202,7.5602,7.6136,68213,0
20050415,7.6226,7.6313,7.2671,7.3026,115712,0
20050418,7.285,7.5071,7.285,7.4358,71588,0
20050419,7.4181,7.4892,7.1873,7.2228,107160,0
20050420,7.2228,7.2406,6.9296,6.9296,105807,0
20050421,6.9828,7.3737,6.9828,7.285,49977,0
20050422,7.2406,7.2406,6.5652,6.9828,159161,0
20050425,7.0184,7.0362,6.814,6.8496,34669,0
20050426,7.2406,7.578,7.0629,7.578,375281,0
20050427,7.5071,7.5247,7.1161,7.2137,127868,0
20050428,7.2137,8.0224,7.2137,7.8802,186628,0
20050429,7.9157,8.0933,7.4892,7.6403,176497,0
20050502,7.6313,7.7647,7.5958,7.6935,73391,0
20050503,7.7202,8.2089,7.7202,8.1198,130798,0
20050504,8.1733,8.3954,8.1733,8.351,120440,0
20050505,8.3332,8.4132,8.2177,8.351,70239,0
20050506,8.3954,8.4842,8.3688,8.4488,66861,0
20050509,8.4132,8.7863,8.3954,8.6975,114362,0
20050510,8.6799,8.6799,8.1733,8.3332,162089,0
20050511,8.28,8.5642,8.2089,8.5642,347139,0
20050512,8.502,8.6355,8.3865,8.4399,139352,0
20050513,8.4753,8.4753,8.2444,8.36,58757,0
20050516,8.4132,8.662,8.3778,8.6441,82397,0
20050517,8.6707,8.6799,8.3332,8.5552,187302,0
20050518,8.5731,8.6085,8.4842,8.5552,119990,0
20050519,8.5464,8.6176,8.4842,8.5997,63485,0
20050520,8.6176,8.6176,8.5464,8.5464,47050,0
20050523,8.5464,8.6886,8.5374,8.6176,85096,0
20050524,8.6529,8.8486,8.6263,8.7775,72491,0
20050525,7.6403,7.6581,7.1072,7.5693,339486,0
20050526,7.5958,7.9513,7.5602,7.8891,115262,0
20050527,7.8357,8.0402,7.7736,8.0224,42549,0
20050531,8.0579,8.0844,8.0224,8.0224,75867,0
20050601,8.0489,8.271,8.0489,8.2623,76993,0
20050602,8.2977,8.3066,8.111,8.1822,38496,0
20050603,8.1644,8.1644,8.0045,8.0045,33544,0
20050606,8.0402,8.1822,8.0402,8.1198,24988,0
20050607,8.1198,8.2,7.9601,7.9601,71364,0
20050608,7.9778,8.1911,7.9778,8.0844,58083,0
20050609,8.0489,8.0844,7.9601,8.0579,14857,0
20050610,8.0224,8.1911,7.9868,8.1468,15757,0
20050613,8.1198,8.2177,8.1023,8.2,29941,0
20050614,8.2444,8.28,8.1733,8.1733,72266,0
20050615,8.1911,8.351,8.1911,8.351,105356,0
20050616,8.3244,8.3865,8.28,8.3778,97478,0
20050617,8.4577,8.5197,8.4044,8.4044,115488,0
20050620,8.3865,8.502,8.351,8.4132,59433,0
20050621,8.4577,8.5287,8.3865,8.4222,55606,0
20050622,8.4488,8.4753,8.2444,8.351,62810,0
20050623,8.3332,8.3954,8.1377,8.1377,44575,0
20050624,8.1023,8.1198,7.9246,8.0489,135747,0
20050627,7.9423,8.0402,7.9246,8.0045,61458,0
20050628,8.0045,8.2444,8.0045,8.2444,58757,0
20050629,8.0844,8.0844,8.0224,8.0489,50203,0
20050630,8.0402,8.0402,7.969,7.9957,31742,0
20050701,8.0224,8.0224,7.9423,7.9513,43676,0
20050705,7.9513,8.0402,7.8624,8.0224,58083,0
20050706,8.0402,8.0579,7.9513,7.9513,24540,0
20050707,7.8624,8.0844,7.8357,8.0224,44800,0
20050708,8.0133,8.1911,7.9957,8.1911,101981,0
20050711,8.1733,8.4132,8.1555,8.3778,63260,0
20050712,8.351,8.4399,8.2444,8.3865,48852,0
20050713,8.351,8.351,8.28,8.3066,23414,0
20050714,8.2623,8.3778,8.1555,8.1555,54254,0
20050715,8.111,8.1555,8.0224,8.0933,27467,0
20050718,8.0933,8.2444,7.969,8.2,51553,0
20050719,8.1733,8.2177,8.1198,8.1733,38047,0
20050720,8.1198,8.2444,8.1198,8.1911,56056,0
20050721,8.1911,8.1911,7.9601,7.9601,30392,0
20050722,7.9335,8.2444,7.8179,8.1733,67085,0
20050725,8.1377,8.1911,8.0402,8.0402,34443,0
20050726,7.7736,8.0133,7.5516,8.0133,98377,0
20050727,7.969,8.0311,7.8978,8.0133,77218,0
20050728,7.9778,7.9957,7.587,7.6581,72715,0
20050729,7.7113,7.7292,7.5958,7.6313,113013,0
20050801,7.6491,7.7825,7.5247,7.7736,107160,0
20050802,7.7736,7.8179,7.5693,7.5693,73615,0
20050803,7.6581,7.7825,7.5516,7.5602,48852,0
20050804,7.587,7.587,7.0184,7.1695,153310,0
20050805,7.1605,7.2406,7.1161,7.1605,88925,0
20050808,7.1873,7.3561,7.1873,7.3382,123593,0
20050809,7.3825,7.4803,7.3825,7.4449,257542,0
20050810,7.4892,7.5693,7.3292,7.347,120890,0
20050811,7.4892,7.4892,7.1517,7.1961,95452,0
20050812,7.1961,7.2671,7.1427,7.1961,132598,0
20050815,7.1517,7.4627,7.1517,7.4536,75191,0
20050816,7.4449,7.4449,7.1961,7.205,85323,0
20050817,7.205,7.2582,7.134,7.205,65736,0
20050818,7.1695,7.2671,7.1072,7.2228,62360,0
20050819,7.2137,7.4181,7.2137,7.4003,94778,0
20050822,7.4803,7.4892,7.2406,7.2495,58532,0
20050823,7.2137,7.2939,7.1961,7.2671,68887,0
20050824,7.2406,7.3737,7.2137,7.2671,45475,0
20050825,7.2495,7.3204,7.2406,7.285,30842,0
20050826,7.285,7.3026,7.2406,7.2406,59433,0
20050829,7.2495,7.4358,7.2495,7.4271,50877,0
20050830,7.4003,7.4003,7.285,7.3292,77668,0
20050831,7.4271,7.6581,7.3915,7.6313,111886,0
20050901,7.667,7.6759,7.5602,7.578,64160,0
20050902,7.5516,7.578,7.5247,7.5247,28142,0
20050906,7.5247,7.6136,7.5071,7.6136,100630,0
20050907,7.5247,7.6581,7.4449,7.587,35795,0
20050908,7.6226,7.6226,7.5516,7.5602,43898,0
20050909,7.5602,7.7202,7.5516,7.6581,62583,0
20050912,7.6403,7.6403,7.5516,7.5958,39396,0
20050913,7.5602,7.578,7.4892,7.5247,41198,0
20050914,7.5247,7.5958,7.5159,7.5424,53578,0
20050915,7.5516,7.5693,7.4627,7.5693,107834,0
20050916,7.578,7.6136,7.4892,7.6048,321925,0
20050919,7.578,7.578,7.3647,7.3825,27690,0
20050920,7.5516,7.587,7.2137,7.2137,81044,0
20050921,7.2137,7.5159,7.2137,7.4181,56280,0
20050922,7.4892,7.5247,7.2761,7.2939,77442,0
20050923,7.3115,7.4803,7.3115,7.4536,27016,0
20050926,7.4892,7.4892,7.3737,7.4449,23186,0
20050927,7.4714,7.587,7.4714,7.5159,36243,0
20050928,7.4892,7.4892,7.134,7.205,56732,0
20050929,7.2939,7.3382,7.2228,7.2582,41873,0
20050930,7.1961,7.4094,7.1961,7.4094,37370,0
20051003,7.3561,7.5071,7.2406,7.285,50877,0
20051004,7.285,7.285,7.0362,7.0716,73615,0
20051005,7.0005,7.0095,6.5386,6.5475,80368,0
20051006,6.5743,6.8852,6.5475,6.8852,159388,0
20051007,6.7075,6.8675,6.7075,6.814,34669,0
20051010,7.2406,7.2406,6.7342,6.7342,16208,0
20051011,6.6632,6.8675,6.4855,6.4855,37597,0
20051012,6.5386,6.7164,6.5118,6.6632,40072,0
20051013,6.6453,6.6632,6.5033,6.6275,42322,0
20051014,6.6097,6.8407,6.5118,6.823,27915,0
20051017,6.8052,6.8407,6.6896,6.7342,29715,0
20051018,6.7608,6.7608,6.5565,6.5743,23638,0
20051019,6.5475,6.6896,6.4676,6.6896,43223,0
20051020,6.6632,6.6632,6.3788,6.4855,50877,0
20051021,6.3788,6.592,6.3697,6.5118,49302,0
20051024,6.4855,6.7342,6.4855,6.6808,97027,0
20051025,6.6808,6.7519,6.5652,6.6985,77218,0
20051026,6.6719,6.7342,6.6275,6.6453,50653,0
20051027,6.6453,6.6896,6.5475,6.5475,42549,0
20051028,6.5829,6.7962,6.5829,6.6632,128094,0
20051031,6.6186,6.6632,6.6186,6.6632,90048,0
20051101,6.6186,6.6632,6.4855,6.5829,65062,0
20051102,6.6186,6.6632,6.5565,6.6186,78342,0
20051103,6.6186,6.6632,6.592,6.592,67986,0
20051104,6.5652,6.6632,6.5652,6.6186,35345,0
20051107,6.6985,6.8052,6.5386,6.6632,114813,0
20051108,6.6186,6.814,6.592,6.7608,40072,0
20051109,6.7695,6.9741,6.7075,6.9562,45249,0
20051110,6.9741,7.4271,6.823,7.3647,92300,0
20051111,7.3292,7.7292,7.3292,7.6847,53805,0
20051114,7.7292,7.7292,7.4271,7.5516,68662,0
20051115,7.4892,7.4892,7.0716,7.0806,45699,0
20051116,7.1072,7.1072,6.7342,6.9296,74066,0
20051117,6.9741,7.2137,6.965,7.205,28365,0
20051118,7.3292,7.3292,6.9472,6.9472,70688,0
20051121,6.9472,7.205,6.8675,7.1873,20261,0
20051122,7.1517,7.1517,6.9296,7.0095,21836,0
20051123,6.9472,7.0095,6.9207,6.965,12833,0
20051125,6.9562,6.9562,6.9207,6.9296,6978,0
20051128,6.9207,6.9472,6.6541,6.6719,55156,0
20051129,6.6632,6.9117,6.6632,6.6719,33319,0
20051130,6.6719,6.9117,6.6719,6.8763,34443,0
20051201,6.9562,7.2671,6.8763,7.0629,103333,0
20051202,7.0184,7.134,6.9918,7.1249,52454,0
20051205,7.1072,7.1873,7.0629,7.1517,24313,0
20051206,7.1695,7.1961,7.0806,7.1783,31517,0
20051207,7.1961,7.1961,6.9918,7.1161,38721,0
20051208,7.1072,7.2406,7.0539,7.1783,58757,0
20051209,7.2228,7.4094,7.2137,7.3825,19585,0
20051212,7.4181,7.4358,7.347,7.3647,32868,0
20051213,7.3825,7.6048,7.3825,7.587,42549,0
20051214,7.587,7.8001,7.587,7.8001,40297,0
20051215,7.7647,7.8001,7.5516,7.6313,25438,0
20051216,7.6491,7.7736,7.5602,7.5958,158487,0
20051219,7.6581,7.6581,7.1072,7.2939,89375,0
20051220,7.2671,7.5159,7.1783,7.4892,54030,0
20051221,7.5337,7.8269,7.5337,7.7825,91175,0
20051222,7.8357,7.9957,7.8179,7.9067,36921,0
20051223,7.9335,7.9335,7.8091,7.8534,32418,0
20051227,7.7736,7.8357,7.4714,7.5071,33319,0
20051228,7.4892,7.5247,7.3561,7.4094,64835,0
20051229,7.4181,7.4892,7.3915,7.3915,47950,0
20051230,7.3737,7.3737,7.1427,7.2228,78116,0
20060103,7.285,7.4714,6.9741,7.4449,66861,0
20060104,7.4449,7.7292,7.4449,7.6847,50653,0
20060105,7.6847,7.8091,7.5337,7.8091,159388,0
20060106,7.8357,8.0402,7.8091,8.0045,43898,0
20060109,8.0311,8.1555,7.9513,8.0045,53354,0
20060110,8.0045,8.2623,8.0045,8.2623,24988,0
20060111,8.3332,8.3332,8.0045,8.111,61908,0
20060112,8.111,8.111,7.7736,7.8357,35569,0
20060113,7.9067,7.9513,7.7468,7.9246,28142,0
20060117,7.8891,8.1822,7.8179,8.111,37370,0
20060118,8.0579,8.1911,8.0579,8.1911,11254,0
20060119,8.1911,8.5109,8.1289,8.4842,49977,0
20060120,8.662,8.6886,8.2977,8.3066,39172,0
20060123,8.351,8.5287,8.3066,8.5109,29041,0
20060124,8.5464,8.884,8.4753,8.8751,70239,0
20060125,8.884,9.1414,8.8397,9.1061,56505,0
20060126,9.1502,9.524,9.1061,9.4345,72491,0
20060127,9.4345,10.172,9.4345,9.995,98829,0
20060130,9.744,9.791,9.567,9.567,29041,0
20060131,9.567,9.584,8.8397,8.9995,76541,0
20060201,8.9462,9.0619,8.8219,9.0619,68213,0
20060202,9.0172,9.1414,8.8397,9.1414,52454,0
20060203,8.884,8.9018,8.662,8.7064,61458,0
20060206,8.7064,8.9728,8.7064,8.9195,57405,0
20060207,8.7953,8.9462,8.662,8.8486,56280,0
20060208,8.884,8.884,7.9067,8.7953,1134846,0
20060209,8.7953,9.2924,8.7686,9.1329,143402,0
20060210,9.1061,9.2037,8.7775,8.8663,106483,0
20060213,8.9283,9.2392,8.8397,8.884,36470,0
20060214,8.9283,9.0172,8.8574,8.9639,31967,0
20060215,8.9283,8.9283,8.7064,8.8397,87346,0
20060216,8.8574,8.893,8.8397,8.8486,54030,0
20060217,8.893,9.8,8.884,9.4345,129446,0
20060221,9.3989,9.744,9.0529,9.3378,81494,0
20060222,9.3731,9.772,9.3731,9.675,207788,0
20060223,9.675,9.8,9.64,9.727,56732,0
20060224,9.55,10.918,9.55,9.763,225798,0
20060227,9.861,11.06,9.861,10.633,205312,0
20060228,10.598,10.661,10.304,10.35,83071,0
20060301,10.395,11.594,10.304,11.594,112111,0
20060302,11.584,11.584,11.026,11.15,120216,0
20060303,11.105,11.211,10.857,11.033,70914,0
20060306,10.607,10.999,10.607,10.839,61458,0
20060307,10.839,11.193,10.624,10.643,121342,0
20060308,10.652,10.652,10.323,10.555,54929,0
20060309,10.501,10.661,10.413,10.643,101080,0
20060310,10.615,10.697,10.464,10.546,79469,0
20060313,10.598,10.715,10.422,10.615,349166,0
20060314,10.615,10.643,10.304,10.437,68213,0
20060315,10.501,10.999,10.492,10.937,63709,0
20060316,10.972,10.972,10.839,10.909,150381,0
20060317,10.909,10.972,10.706,10.785,236379,0
20060320,10.749,11.328,10.723,11.328,117064,0
20060321,11.284,11.505,10.768,10.839,222196,0
20060322,11.097,11.763,10.03,11.594,127860,0
20060323,11.656,11.656,10.839,10.882,67077,0
20060324,10.803,11.186,10.803,10.839,42714,0
20060327,10.803,10.803,10.36,10.706,73151,0
20060328,11.033,11.53,10.999,11.123,24831,0
20060329,11.06,11.656,11.06,11.505,43881,0
20060330,11.435,11.513,11.3,11.38,26377,0
20060331,11.539,11.539,11.211,11.38,34200,0
20060403,11.496,11.548,11.105,11.319,58832,0
20060404,11.247,11.772,11.105,11.726,60589,0
20060405,11.816,11.949,11.167,11.763,51490,0
20060406,11.672,11.832,11.201,11.665,39961,0
20060407,11.726,11.798,10.758,10.999,42616,0
20060410,11.069,11.631,11.06,11.229,39803,0
20060411,11.229,11.388,10.395,11.123,47868,0
20060412,11.042,11.328,10.323,11.193,31712,0
20060413,11.193,11.38,11.042,11.078,25794,0
20060417,11.407,11.407,10.892,10.99,33982,0
20060418,11.097,11.993,10.999,11.985,67877,0
20060419,11.993,12.038,11.513,11.949,36134,0
20060420,11.603,11.772,11.576,11.763,21147,0
20060421,11.976,11.985,11.576,11.985,40902,0
20060424,11.895,12.074,11.79,12.047,30439,0
20060425,12.127,12.127,11.576,11.905,65772,0
20060426,12.099,12.127,11.38,11.842,42605,0
20060427,11.868,11.868,11.201,11.47,67171,0
20060428,11.344,11.886,10.99,11.167,86111,0
20060501,11.22,11.31,11.017,11.042,112216,0
20060502,10.661,11.816,10.555,11.007,112902,0
20060503,10.99,11.631,10.99,11.443,76712,0
20060504,11.361,11.763,10.972,11.584,75324,0
20060505,11.567,11.941,11.558,11.824,93716,0
20060508,11.957,12.01,11.521,11.656,37573,0
20060509,11.772,12.216,11.603,12.092,90446,0
20060510,12.154,12.189,11.808,11.993,63302,0
20060511,12.074,12.074,11.86,11.86,102499,0
20060512,11.905,12.029,10.679,11.708,133570,0
20060515,11.567,11.584,11.159,11.3,70243,0
20060516,11.3,11.53,11.115,11.479,87853,0
20060517,11.352,11.513,11.078,11.141,38604,0
20060518,11.105,11.105,10.706,10.749,55929,0
20060519,10.501,11.201,10.501,11.06,30021,0
20060522,10.909,11.051,10.395,10.731,70183,0
20060523,10.803,11.141,10.119,10.741,63033,0
20060524,10.741,11.31,10.528,11.211,83315,0
20060525,11.488,11.488,10.555,11.344,73862,0
20060526,11.548,11.548,11.088,11.328,45080,0
20060530,11.15,11.159,10.528,10.546,61978,0
20060531,10.473,10.83,10.473,10.723,84957,0
20060601,10.661,11.328,10.661,11.284,110802,0
20060602,11.361,12.038,11.229,11.923,127507,0
20060605,11.808,12.038,10.313,10.404,113705,0
20060606,10.413,10.768,10.35,10.697,84953,0
20060607,10.776,10.928,10.483,10.483,87849,0
20060608,10.464,10.572,10.304,10.483,91095,0
20060609,10.59,11.435,10.395,11.033,79267,0
20060612,11.017,11.292,10.615,10.999,82169,0
20060613,10.227,11.115,10.119,10.473,92857,0
20060614,10.528,10.749,10.154,10.624,56895,0
20060615,10.679,11.06,10.278,10.909,49190,0
20060616,10.848,10.9,10.2,10.286,344291,0
20060619,10.304,10.848,10.101,10.236,53590,0
20060620,10.218,10.882,10.218,10.706,45616,0
20060621,10.697,11.069,10.697,10.839,80359,0
20060622,10.723,10.9,10.473,10.546,45344,0
20060623,10.464,11.042,10.332,10.564,61958,0
20060626,10.643,11.078,10.643,11.007,70032,0
20060627,11.069,11.115,10.261,10.473,73962,0
20060628,10.455,10.51,10.119,10.163,85780,0
20060629,10.27,11.105,10.27,10.874,150118,0
20060630,10.963,11.292,10.669,11.292,240719,0
20060703,10.874,11.319,10.874,11.193,28963,0
20060705,10.909,11.097,10.83,10.937,57783,0
20060706,10.892,11.265,10.892,11.211,94351,0
20060707,11.265,11.576,10.848,10.963,169685,0
20060710,11.007,11.371,10.9,11.115,94258,0
20060711,10.999,11.292,10.972,11.078,124891,0
20060712,11.105,11.371,10.928,10.963,70909,0
20060713,10.937,11.141,10.848,10.848,45245,0
20060714,10.82,11.265,10.731,11.026,72396,0
20060717,10.928,11.15,10.794,10.848,55063,0
20060718,10.918,11.338,10.794,11.115,128560,0
20060719,11.159,11.352,11.078,11.177,308244,0
20060720,11.247,11.513,10.928,11.042,91685,0
20060721,10.945,11.15,10.848,10.972,54282,0
20060724,11.088,11.388,11.033,11.105,89654,0
20060725,10.9,11.141,10.794,10.999,62577,0
20060726,10.937,11.186,10.794,10.794,90160,0
20060727,10.9,10.99,10.555,10.776,51676,0
20060728,10.82,10.999,10.35,10.882,86105,0
20060731,10.643,11.319,10.296,10.963,107514,0
20060801,10.803,10.98,10.209,10.83,92694,0
20060802,10.945,11.051,10.615,10.741,132816,0
20060803,10.607,11.808,10.501,11.745,91214,0
