Date,Open,High,Low,Close,Volume,OpenInt
20050927,8.2629,8.2629,8.2629,8.2629,0,0
20050928,8.3582,8.7655,8.3261,8.5608,4682645,0
20050929,8.4924,8.6375,8.2629,8.3261,1477042,0
20050930,8.3702,8.6126,8.2629,8.3582,271145,0
20051003,8.3582,8.3582,8.2629,8.2811,408694,0
20051004,8.3002,8.3633,8.2629,8.2811,76971,0
20051005,8.2629,8.307,8.1039,8.1352,357874,0
20051006,8.0082,8.1927,8.0082,8.1927,196756,0
20051007,8.2629,8.2629,8.0583,8.1099,167186,0
20051010,8.1352,8.142,7.8692,7.9444,92520,0
20051011,7.9131,7.9946,7.6268,7.8492,409906,0
20051012,8.1039,8.1039,7.7223,7.805,63487,0
20051013,7.754,8.1167,7.6969,7.6969,45185,0
20051014,7.6969,7.8807,7.6969,7.7857,32016,0
20051017,7.6904,7.7091,7.1947,7.5253,116345,0
20051018,7.5633,7.6841,7.5313,7.6268,54110,0
20051019,7.4108,7.4868,7.3408,7.4616,159107,0
20051020,7.5313,7.6332,7.5313,7.5633,44591,0
20051021,7.4679,7.6268,7.4679,7.5695,19119,0
20051024,7.5633,7.5633,7.4742,7.4996,68608,0
20051025,7.5378,7.8758,7.5378,7.6332,92208,0
20051026,7.4679,8.1039,7.4679,7.976,463753,0
20051027,8.2559,8.2559,7.9444,8.1725,159776,0
20051028,8.1725,8.1725,7.976,8.0913,51275,0
20051031,7.976,8.4083,7.976,8.2629,116786,0
20051101,8.2629,8.3002,8.2499,8.2629,56233,0
20051102,8.0396,8.5169,8.0396,8.4283,142106,0
20051103,8.5107,8.9738,8.3582,8.7074,286598,0
20051104,8.7395,9.1888,8.5795,8.8227,378067,0
20051107,9.082,9.082,8.8012,8.9496,168960,0
20051108,8.8405,9.533,8.8405,9.1956,496127,0
20051109,9.4167,9.545,9.056,9.2666,150009,0
20051110,9.0623,9.4581,9.0623,9.2666,134882,0
20051111,9.2297,9.787,9.2297,9.743,312656,0
20051114,9.1763,9.3942,8.9496,9.1267,428075,0
20051115,8.8595,8.9541,8.7074,8.7395,331192,0
20051116,8.7074,8.7252,8.6689,8.6875,205531,0
20051117,8.9541,9.402,8.9541,9.3179,243501,0
20051118,9.3237,9.3756,9.0454,9.12,93662,0
20051121,9.0623,9.0623,8.8344,8.9541,188995,0
20051122,8.8227,9.3815,8.8227,9.3179,185323,0
20051123,9.1888,9.52,9.1888,9.3756,269610,0
20051125,9.2851,9.2851,9.0454,9.1715,111721,0
20051128,9.082,9.3032,9.0113,9.0623,162046,0
20051129,9.1715,9.3756,9.1637,9.2472,107796,0
20051130,9.3883,9.3883,9.1715,9.2423,102836,0
20051201,9.1469,9.3237,9.1153,9.2101,117743,0
20051202,9.4452,9.618,9.2967,9.4958,262190,0
20051205,9.533,9.533,9.2297,9.2792,117815,0
20051206,9.254,9.402,9.1831,9.2598,65580,0
20051207,9.2158,9.2158,9.056,9.1763,115572,0
20051208,9.0247,9.47,9.0247,9.47,110939,0
20051209,9.4313,9.4581,9.3433,9.3433,79081,0
20051212,9.4829,9.527,9.2967,9.47,97525,0
20051213,9.527,9.765,9.3306,9.533,149772,0
20051214,9.725,10.314,9.47,10.085,749833,0
20051215,10.025,10.346,10.025,10.266,172337,0
