Date,Open,High,Low,Close,Volume,OpenInt
20170127,18,18.5,16.77,17.25,4261627,0
20170130,17.38,17.44,16.47,17,593196,0
20170131,16.99,17.1108,16.33,16.58,296024,0
20170201,16.96,17.58,16.6977,17.09,158391,0
20170202,17.63,17.63,16.8298,17.06,106579,0
20170203,17.23,17.3326,16.95,17.05,31727,0
20170206,17.02,17.55,16.85,17.3,128437,0
20170207,17.4,17.82,17.19,17.58,85875,0
20170208,17.61,18.94,17.545,18.88,204798,0
20170209,18.73,19.94,18.73,19.58,202489,0
20170210,19.68,21.2142,19.68,20.73,200287,0
20170213,20.8,21.95,20.5,21.8,117073,0
20170214,21.81,22.815,21.5225,22.28,178085,0
20170215,22.08,22.3899,20.98,21.09,116768,0
20170216,20.8,21.4,19.51,19.66,178097,0
20170217,19.65,20.26,18.72,19.9,157812,0
20170221,20.01,20.93,20.01,20.42,159335,0
20170222,20.48,20.979,19.9001,20.16,111635,0
20170223,20.25,20.48,19.96,20.05,62485,0
20170224,19.84,19.925,19.5,19.76,69464,0
20170227,19.77,21,19.565,20.58,133027,0
20170228,20.48,20.8181,20.001,20.26,96145,0
20170301,20.53,22.69,20.5,21.25,263726,0
20170302,21.96,24.79,21.06,22.48,134994,0
20170303,22.87,24.5,22.5336,23.64,106392,0
20170306,23.63,25.5,23.25,25.46,118483,0
20170307,25.03,26.312,24,24.89,161032,0
20170308,24.99,25.46,23,23.21,122195,0
20170309,23.14,24.48,22.44,22.53,81859,0
20170310,22.77,23.98,20.77,22.28,145404,0
20170313,22.635,22.845,21.2259,21.88,64923,0
20170314,21.78,22.2,21.125,21.22,113738,0
20170315,21.4034,22.99,21.2,21.84,131167,0
20170316,22.53,23.56,22.44,22.61,86194,0
20170317,22.6,23.845,21.64,21.9,196394,0
20170320,21.89,23.425,21.75,22.43,62844,0
20170321,22.2934,23.4,22.2001,22.96,53671,0
20170322,23.16,23.31,22.39,22.93,66587,0
20170323,23.08,24.25,21.11,24.19,81536,0
20170324,24.43,26.75,24.01,25.58,94446,0
20170327,25.69,25.69,24.0147,24.99,82019,0
20170328,25.49,25.49,24.32,25,63573,0
20170329,25,25.2099,23.02,23.45,78612,0
20170330,23.85,24.3,22.07,22.7,113882,0
20170331,22.59,23,21.59,22,148090,0
20170403,22.3,24.385,22.23,23.25,205056,0
20170404,23.2,23.41,22.05,22.59,93690,0
20170405,23.08,23.25,21.8,21.95,215272,0
20170406,21.99,22.39,21.54,21.75,172566,0
20170407,21.75,22.97,21.75,22.49,71382,0
20170410,22.5,23.25,21.84,22.64,118867,0
20170411,22.64,23.15,21.5121,22,214230,0
20170412,22.1,22.51,21.6,22.34,77508,0
20170413,22.37,22.95,21.52,21.53,181420,0
20170417,21.92,22.355,21.69,22.28,227977,0
20170418,22.5,23.64,22.24,23.42,137571,0
20170419,23.68,25.1,23.68,24.39,200844,0
20170420,24.5,24.95,24.19,24.84,97697,0
20170421,24.84,25.12,23.612,24.16,139930,0
20170424,24.3,25.01,23.69,24.64,120490,0
20170425,24.96,25.4655,24.76,24.89,105705,0
20170426,25,25.17,24.74,24.98,105987,0
20170427,24.97,27.11,24.8082,26.86,94647,0
20170428,26.75,29.095,26.75,28.32,170135,0
20170501,28.31,28.88,28.05,28.46,213285,0
20170502,28.54,29.29,27.37,28.01,138457,0
20170503,28.01,28.04,26.47,27.23,74629,0
20170504,27.37,27.965,26.49,26.59,200951,0
20170505,26.5,27.65,23.6101,24.46,211651,0
20170508,24.46,25.25,23.99,24.62,80691,0
20170509,24.82,25.39,23.86,24.17,82919,0
20170510,24.13,24.68,23.51,24.35,95741,0
20170511,24.24,25.0199,24.22,24.53,95963,0
20170512,24.52,25.58,24.44,25.45,56595,0
20170515,25.44,26.07,24.78,24.92,69770,0
20170516,25.12,26.025,25.12,25.49,62485,0
20170517,25.1,25.1755,22.95,23.82,120798,0
20170518,23.67,23.715,22.125,23.38,289928,0
20170519,23.5,25.135,21.79,21.9,143338,0
20170522,22.11,22.4362,21.6,21.97,178363,0
20170523,22.08,22.18,21.68,22.03,87586,0
20170524,22,22.9799,21.62,22.68,92504,0
20170525,22.79,22.9,22.57,22.67,65689,0
20170526,22.83,22.83,20.23,21.17,92745,0
20170530,21.05,22.42,21.05,21.75,123111,0
20170531,21.87,21.87,19.63,20.25,370179,0
20170601,20.49,20.49,19,19.96,468172,0
20170602,20,20.1,19.51,19.97,468930,0
20170605,19.88,20.6,19,19.09,112606,0
20170606,19.03,19.13,17.754,18.13,126824,0
20170607,18.06,18.58,16.55,16.87,158114,0
20170608,16.78,17.5726,16.56,17.45,74942,0
20170609,17.37,18,16.8015,17.08,68257,0
20170612,17.16,17.16,16,16.07,156001,0
20170613,16.02,16.67,15.5007,16.24,133912,0
20170614,16.2,16.32,15.8139,16.25,48205,0
20170615,16.05,16.39,15.83,16.2,188741,0
20170616,16.09,16.14,15.13,15.5,198646,0
20170619,15.58,16.84,15.51,16.75,75123,0
20170620,16.83,16.83,15.7236,16.38,128782,0
20170621,16.53,16.6,15.57,15.74,166452,0
20170622,15.85,17.21,15.7,16.97,147971,0
20170623,17.14,17.68,16.4,17.44,244842,0
20170626,17.39,17.56,16.655,16.99,79008,0
20170627,16.97,17.195,15.63,15.92,143326,0
20170628,15.92,15.983,15.36,15.65,133911,0
20170629,15.72,15.75,14.165,14.63,232043,0
20170630,14.64,14.64,13.75,14.03,118855,0
20170703,14.22,14.84,13.69,14.28,90766,0
20170705,14.28,15.14,13.68,15.07,185298,0
20170706,15.12,15.12,13.915,14.24,127660,0
20170707,14.39,14.92,14.12,14.34,62935,0
20170710,14.12,14.47,13.74,13.88,89425,0
20170711,14.03,14.41,13.7,13.82,130187,0
20170712,13.98,14.31,13.3,13.38,116807,0
20170713,13.34,14,12.95,13.85,98152,0
20170714,13.86,14.13,13.545,13.74,51117,0
20170717,13.84,13.84,13.1,13.32,145775,0
20170718,13.22,13.54,12.88,13.07,117183,0
20170719,13.1,13.4,13,13.3,56702,0
20170720,13.39,13.96,12.89,13.4,77704,0
20170721,13.46,13.74,12.98,13.42,136245,0
20170724,13.3,14.0637,13.07,13.57,148214,0
20170725,13.59,13.9299,13.15,13.28,109045,0
20170726,13.13,13.13,12.61,12.96,247830,0
20170727,13.03,13.52,12.8,13.01,88886,0
20170728,12.94,13.46,12.8,12.915,83108,0
20170731,13,13.2785,12.68,12.91,142175,0
20170801,12.95,12.96,12.36,12.79,86190,0
