Date,Open,High,Low,Close,Volume,OpenInt
20050225,6.85,7.55,6.75,7.5,286394,0
20050228,7.46,7.7,7.05,7.06,123415,0
20050301,7.32,7.5,7.18,7.45,71930,0
20050302,7.5,7.55,6.91,6.91,165309,0
20050303,7.08,7.22,6.91,7.16,131057,0
20050304,7.34,7.34,7,7.03,75307,0
20050307,7.21,7.28,7.02,7.11,52334,0
20050308,7.4,7.4,7.06,7.08,65299,0
20050309,7.22,7.22,6.75,6.79,115465,0
20050310,6.85,6.87,6.6,6.68,94074,0
20050311,6.83,6.83,6.52,6.73,86613,0
20050314,6.71,6.8,6.5,6.7,62272,0
20050315,6.55,6.75,6.55,6.57,24492,0
20050316,6.57,6.65,6.45,6.46,105089,0
20050317,6.45,6.88,6.32,6.35,89345,0
20050318,6.31,6.35,6.2,6.3,63801,0
20050321,6.29,6.46,6,6.08,110591,0
20050322,6.01,6.22,5.86,5.88,216141,0
20050323,5.83,6.21,5.8,6,145148,0
20050324,6.05,6.16,5.97,6.09,65516,0
20050328,6.25,6.25,5.98,5.98,35016,0
20050329,6.03,6.06,5.82,5.85,115102,0
20050330,5.86,6.11,5.85,6.08,48414,0
20050331,6.73,7.32,6.51,7.16,524063,0
20050401,7.15,7.15,6.64,6.75,208055,0
20050404,6.72,6.88,6.65,6.69,169307,0
20050405,6.67,6.8,6.55,6.6,58618,0
20050406,6.55,6.58,6.5,6.51,95020,0
20050407,6.46,6.46,6.23,6.3,228286,0
20050408,6.44,6.44,6.08,6.22,178824,0
20050411,6.3,6.3,6.02,6.09,87874,0
20050412,6.06,6.35,6.06,6.35,109445,0
20050413,6.4,6.4,6.11,6.24,75445,0
20050414,6.24,6.24,6.12,6.15,56541,0
20050415,6.15,6.47,6.15,6.43,140380,0
20050418,6.4,6.63,6.26,6.53,120824,0
20050419,6.58,6.79,6.56,6.77,91340,0
20050420,6.8,6.8,6.51,6.55,48247,0
20050421,6.53,6.94,6.53,6.93,116369,0
20050422,6.93,6.93,6.73,6.84,93761,0
20050425,7,7,6.84,6.95,60383,0
20050426,7,7.16,6.87,7.01,106585,0
20050427,7.03,7.04,6.79,6.88,100369,0
20050428,6.89,6.89,6.48,6.57,246987,0
20050429,5.98,6.15,5.55,5.88,460248,0
20050502,5.87,5.87,5.79,5.86,131851,0
20050503,5.85,5.85,5.63,5.64,257911,0
20050504,5.63,5.69,5.35,5.43,299139,0
20050505,5.4,5.68,5.22,5.55,292497,0
20050506,5.55,5.78,5.55,5.64,464101,0
20050509,5.7,5.7,5.49,5.67,269242,0
20050510,5.62,5.62,5.51,5.52,125208,0
20050511,5.57,5.75,5.51,5.51,82367,0
20050512,5.59,5.7,5.5,5.6,176004,0
20050513,5.74,5.8,5.27,5.27,762538,0
20050516,5.25,5.4,5.25,5.3,144693,0
20050517,5.27,5.53,5.27,5.5,217748,0
20050518,5.61,5.77,5.5,5.66,77617,0
20050519,5.64,5.99,5.62,5.95,121038,0
20050520,6.19,6.19,5.95,6,62626,0
20050523,6,6.02,5.81,5.88,82797,0
20050524,5.8,5.98,5.71,5.82,124012,0
20050525,5.82,5.82,5.65,5.74,89782,0
20050526,5.68,5.73,5.57,5.61,131455,0
20050527,5.63,5.89,5.57,5.77,72940,0
20050531,5.91,6.15,5.75,5.93,99931,0
20050601,5.9,6.24,5.9,6.12,167269,0
20050602,6.12,6.66,6.03,6.51,268435,0
20050603,6.48,6.57,6.26,6.26,118840,0
20050606,6.35,6.58,6.27,6.58,62480,0
20050607,6.65,6.98,6.65,6.8,289230,0
