Date,Open,High,Low,Close,Volume,OpenInt
20150706,66.552,69.635,66.552,68.389,4064325,0
20150707,69.111,70.027,68.389,69.955,6182103,0
20150708,69.644,70.77,69.403,70.677,4563283,0
20150709,71.679,72.241,69.834,70.115,4552189,0
20150710,70.348,72.925,70.3,72.467,5315937,0
20150713,74.53,74.707,73.029,73.892,9685697,0
20150714,74.472,74.521,72.785,73.113,19999036,0
20150715,72.785,73.271,71.614,71.904,6753603,0
20150716,72.149,73.902,72.129,73.817,6010555,0
20150717,74.452,74.697,72.42,74.642,6508553,0
20150720,74.943,76.111,74.172,75.092,10971873,0
20150721,74.959,75.625,74.424,75.195,6532452,0
20150722,75.767,75.831,73.657,73.713,5548828,0
20150723,74.025,74.165,72.344,72.44,3152277,0
20150724,72.61,73.091,71.694,72.127,3301011,0
20150727,72.336,73.61,72.014,73.043,6117147,0
20150728,74.044,74.243,73.156,73.931,2008468,0
20150729,73.873,73.912,72.684,73.542,2413786,0
20150730,73.826,75.224,73.251,74.771,3439684,0
20150731,75.461,75.461,74.438,75.016,2844951,0
20150803,75.516,76.489,75.432,75.865,2841032,0
20150804,76.055,76.46,75.205,75.337,2573856,0
20150805,75.525,76.46,75.374,75.968,4581477,0
20150806,76.508,76.64,75.054,75.29,3928840,0
20150807,74.704,74.932,72.958,74.063,3468498,0
20150810,74.978,75.328,74.165,74.394,3445298,0
20150811,73.278,75.968,72.751,73.6,4119984,0
20150812,73.468,73.922,71.826,72.391,3907822,0
20150813,72.693,72.751,71.553,71.731,3090620,0
20150814,71.806,72.44,70.91,72.137,2726089,0
20150817,71.609,72.127,71.278,71.553,2394505,0
20150818,71.475,71.694,70.852,70.975,2128920,0
20150819,70.797,71.07,69.776,70.588,3206091,0
20150820,69.872,70.57,69.644,70.089,2337933,0
20150821,69.2,70.089,68.211,68.221,5894892,0
20150824,64.557,68.192,57.976,66.897,10429108,0
20150825,67.861,68.343,66.077,66.275,4685934,0
20150826,67.699,69.957,65.633,69.766,5674330,0
20150827,69.069,71.032,69.021,70.967,6290247,0
20150828,70.23,70.975,69.683,70.504,2277761,0
20150831,70.05,70.26,68.503,68.587,2848023,0
20150901,67.238,68.474,65.737,66.189,4948763,0
20150902,66.87,68.03,66.369,68.03,3163718,0
20150903,68.493,69.749,67.768,68.116,2749289,0
20150904,67.154,67.672,66.199,66.613,3174946,0
20150908,67.822,70.162,66.841,69.917,4714852,0
20150909,70.278,70.324,67.946,68.125,3110748,0
20150910,68.088,68.957,67.758,68.116,3834582,0
20150911,68.201,69.785,67.587,69.625,2274158,0
20150914,69.381,70.523,68.493,70.372,3101214,0
20150915,70.739,71.287,69.616,71.165,3594775,0
20150916,70.985,72.41,70.138,72.089,2439527,0
20150917,72.288,73.4,71.741,72.147,3329190,0
20150918,71.316,72.212,70.807,71.211,7661082,0
20150921,71.447,71.919,70.758,70.985,3449641,0
20150922,69.996,70.674,69.532,70.144,2784779,0
20150923,70.012,70.42,69.153,69.2,3933564,0
20150924,68.909,69.041,67.68,68.834,4678316,0
20150925,69.664,69.712,68.702,69.239,3725821,0
20150928,68.727,69.163,66.067,66.067,5303847,0
20150929,66.229,67.002,64.802,65.322,4100732,0
20150930,65.764,66.832,65.567,66.623,3318704,0
20151001,67.276,67.936,65.86,66.86,2669200,0
20151002,66.255,67.454,65.482,67.408,2747064,0
20151005,67.964,69.146,67.35,68.192,6698910,0
20151006,68.239,68.957,67.861,68.408,2987119,0
