Date,Open,High,Low,Close,Volume,OpenInt
20050225,33.397,33.973,32.891,33.953,566762,0
20050228,33.83,34.412,33.293,33.551,421170,0
20050301,33.512,34.191,33.512,33.733,462265,0
20050302,33.579,34.335,33.579,33.877,269536,0
20050303,34.249,34.335,33.416,33.637,365183,0
20050304,33.99,34.69,33.637,34.633,528554,0
20050307,34.633,37.244,34.268,36.657,1118542,0
20050308,37.186,37.538,36.249,36.355,860534,0
20050309,36.345,36.536,35.389,35.893,466222,0
20050310,35.788,36.335,34.87,35.013,501441,0
20050311,35.013,35.464,34.728,35.185,482943,0
20050314,35.166,35.579,34.852,35.215,356369,0
20050315,35.409,35.484,34.927,34.957,326357,0
20050316,34.709,34.909,34.066,34.278,413210,0
20050317,34.335,35.109,33.953,34.661,355340,0
20050318,34.508,35.08,33.857,34.278,485476,0
20050321,34.009,34.335,33.627,34.22,203829,0
20050322,34.095,34.709,33.56,33.646,165173,0
20050323,33.541,33.551,31.983,32.242,504958,0
20050324,32.594,32.786,32.134,32.26,514215,0
20050328,32.28,33.131,32.242,32.805,361968,0
20050329,32.719,32.93,31.419,31.553,442702,0
20050330,31.573,32.25,31.573,31.782,510278,0
20050331,31.802,31.934,30.912,31.321,512345,0
20050401,31.476,31.714,30.509,30.519,553398,0
20050404,30.08,30.95,29.909,30.806,628065,0
20050405,30.97,31.505,30.703,31.187,376159,0
20050406,31.083,32.022,31.083,31.302,422531,0
20050407,31.169,31.428,30.693,30.893,610380,0
20050408,30.605,30.605,28.759,29.59,1315164,0
20050411,29.658,31.782,29.562,31.705,961395,0
20050412,31.419,31.848,30.826,31.379,750029,0
20050413,31.227,31.321,30.231,30.586,734649,0
20050414,31.544,31.544,29.513,29.552,1087206,0
20050415,29.255,31.007,29.226,29.85,993081,0
20050418,29.64,30.94,29.313,30.73,936283,0
20050419,30.605,31.476,30.605,31.428,387451,0
20050420,31.618,31.773,30.854,31.083,475080,0
20050421,31.169,31.897,31.149,31.714,670752,0
20050422,31.446,31.744,30.461,30.845,743640,0
20050425,30.921,31.255,30.519,31.073,305578,0
20050426,30.787,31.265,29.708,29.841,367560,0
20050427,29.736,29.736,27.908,29.313,1144829,0
20050428,29.001,29.552,28.518,28.595,369424,0
20050429,28.663,29.542,28.663,29.313,612588,0
20050502,29.465,30.146,29.284,29.947,626474,0
