Date,Open,High,Low,Close,Volume,OpenInt
20050225,43.82,43.82,41.44,43.4,22735,0
20050228,42.28,42.77,39.9,39.9,53084,0
20050301,39.55,41.72,39.55,41.65,23620,0
20050302,41.51,42.21,39.41,39.76,17816,0
20050303,40.18,40.74,38.57,38.99,26678,0
20050304,39.76,40.25,38.57,39.41,15393,0
20050307,39.27,40.53,38.5,38.57,24264,0
20050308,38.5,38.92,36.75,36.96,26444,0
20050309,36.89,36.89,34.58,34.72,74653,0
20050310,34.65,37.73,34.65,37.73,61111,0
20050311,37.73,38.01,36.54,37.87,26336,0
20050314,38.15,41.58,37.73,41.16,51391,0
20050315,41.93,41.93,38.5,38.85,71097,0
20050316,39.06,39.06,36.75,37.17,44942,0
20050317,37.38,37.38,35.7,36.82,53598,0
20050318,37.03,37.38,35.7,37.38,88951,0
20050321,38.22,38.5,35.7,37.1,42220,0
20050322,36.89,37.59,36.19,36.4,32476,0
20050323,36.4,36.75,35.84,36.26,19845,0
20050324,37.17,37.17,35.56,35.63,34906,0
20050328,36.19,37.45,35.63,36.89,20662,0
20050329,36.54,36.82,34.3,34.3,33972,0
20050330,34.79,36.68,34.3,36.54,28474,0
20050331,37.17,37.94,34.65,35.77,49852,0
20050401,35.7,36.33,33.46,35.56,42873,0
20050404,35.49,35.77,33.95,34.23,31233,0
20050405,34.58,34.72,31.71,32.41,58375,0
20050406,32.41,33.95,32.41,32.9,41743,0
20050407,32.76,33.46,32.27,32.55,35627,0
20050408,32.2,32.9,29.96,30.1,44533,0
20050411,30.73,32.13,29.61,29.75,60066,0
20050412,29.75,31.5,29.05,31.5,36536,0
20050413,31.78,32.2,30.03,30.73,19968,0
20050414,30.45,31.29,29.61,29.61,38293,0
20050415,29.82,31.99,29.75,30.24,27464,0
20050418,30.59,31.15,29.4,29.54,43292,0
20050419,29.75,30.8,29.61,30.24,46377,0
20050420,30.66,30.8,29.47,29.61,46949,0
20050421,29.61,31.78,29.61,31.78,43612,0
20050422,31.64,31.85,30.24,30.73,35486,0
20050425,31.22,31.99,30.87,31.5,22154,0
20050426,31.57,33.11,30.31,30.45,27829,0
20050427,30.38,31.5,29.82,30.8,13854,0
20050428,30.59,31.5,29.4,29.4,32399,0
20050429,29.47,30.66,29.33,30.59,35397,0
20050502,30.87,31.5,29.96,31.5,21309,0
20050503,31.15,33.11,30.52,30.94,17930,0
20050504,31.08,34.23,30.87,33.95,20259,0
20050505,33.95,33.95,32.34,33.95,18510,0
20050506,33.95,34.58,32.27,32.27,38286,0
20050509,32.76,33.46,31.15,33.25,25647,0
20050510,32.83,32.83,31.5,32.41,17099,0
20050511,32.13,33.46,31.43,33.39,26703,0
20050512,33.32,34.16,32.2,32.76,47365,0
20050513,32.55,32.62,29.96,29.96,53059,0
20050516,30.52,31.64,30.45,31.43,30271,0
20050517,32.41,34.65,31.64,33.46,43853,0
20050518,33.74,35,32.97,34.93,32507,0
20050519,35.21,35.7,33.95,35.63,23650,0
20050520,35.42,35.63,34.02,34.86,24738,0
20050523,35,35.63,33.95,35.35,33174,0
20050524,35,36.4,34.65,35.07,12019,0
20050525,35,35.49,33.25,33.46,24223,0
20050526,33.95,35.84,33.95,35.7,12582,0
20050527,35.49,36.19,35,35.14,7588,0
20050531,35,35.35,32.97,33.74,34280,0
20050601,33.46,35.49,33.46,35.35,31114,0
