Date,Open,High,Low,Close,Volume,OpenInt
20150717,11.249,11.714,11.111,11.554,5966392,0
20150720,11.554,11.685,10.894,10.966,432647,0
20150721,10.981,11.46,10.886,11.358,281083,0
20150722,11.315,11.547,11.104,11.358,92454,0
20150723,11.286,11.576,11.286,11.373,57732,0
20150724,11.3,11.482,11.111,11.365,77711,0
20150727,11.576,11.576,11.068,11.191,232582,0
20150728,11.082,11.387,10.886,11.228,204612,0
20150729,11.075,11.431,11.061,11.235,293070,0
20150730,11.053,11.438,11.053,11.322,197722,0
20150731,11.257,11.409,10.995,11.104,177192,0
20150803,11.104,11.525,11.104,11.322,208720,0
20150804,11.576,11.576,11.184,11.336,79640,0
20150805,11.271,11.554,11.01,11.199,106370,0
20150806,11.242,11.43,11.127,11.242,39890,0
20150807,11.104,11.104,10.262,10.988,196482,0
20150810,11.032,11.322,10.676,11.068,166307,0
20150811,10.937,10.995,10.676,10.828,225026,0
20150812,10.741,11.583,10.741,11.445,76747,0
20150813,11.409,11.54,11.336,11.46,48087,0
20150814,11.344,11.939,11.344,11.779,87218,0
20150817,11.953,11.953,11.191,11.322,76333,0
20150818,11.286,11.59,10.749,11.068,390071,0
20150819,11.155,11.286,10.85,11.01,104579,0
20150820,10.741,11.082,10.538,10.865,192900,0
20150821,11.024,11.14,10.821,10.843,186011,0
20150824,10.437,11.322,10.386,10.959,290429,0
20150825,11.228,11.757,10.843,10.959,259450,0
20150826,11.228,11.525,10.712,11.097,181739,0
20150827,11.213,11.351,10.306,10.574,720756,0
20150828,10.603,10.828,10.001,10.4,204336,0
20150831,10.4,10.886,10.4,10.814,101548,0
20150901,10.952,11.075,10.531,10.937,116567,0
20150902,10.879,11.249,10.647,11.22,115189,0
20150903,11.184,11.249,10.487,11.01,116429,0
20150904,11.024,11.046,10.712,10.879,67515,0
20150908,10.879,11.387,10.879,11.14,130070,0
20150909,11.119,11.242,10.77,10.879,60212,0
20150910,10.828,11.17,10.763,11.075,83181,0
20150911,11.032,11.032,9.892,10.299,248565,0
20150914,10.466,11.003,10.415,10.952,234924,0
20150915,10.995,11.126,9.841,10.088,253388,0
20150916,9.928,10.669,9.928,10.64,210950,0
20150917,10.538,10.872,9.733,10.444,182428,0
20150918,10.429,10.792,9.595,9.805,662749,0
20150921,9.965,10.241,9.2317,9.4495,407156,0
20150922,9.4204,9.631,8.9705,9.1301,152115,0
20150923,9.0866,9.2172,8.8398,9.0576,109677,0
20150924,8.9269,9.1084,8.7019,8.8906,189778,0
20150925,8.9124,9.014,8.6584,8.8326,228586,0
20150928,8.5713,8.6003,7.7657,8.4479,367952,0
20150929,8.3826,10.103,7.9471,9.812,597852,0
20150930,9.834,10.146,9.2608,9.4059,2000096,0
20151001,9.4712,9.798,9.043,9.2317,236578,0
20151002,9.1519,10.226,9.043,9.268,211225,0
20151005,9.3696,9.696,9.2027,9.21,266921,0
20151006,9.2172,9.841,9.0793,9.74,677767,0
20151007,9.1446,9.82,9.1446,9.653,326965,0
20151008,9.587,9.936,9.4495,9.812,195104,0
20151009,9.87,9.87,9.544,9.66,132550,0
20151012,9.762,10.08,9.515,9.566,110220,0
20151013,9.537,9.928,9.3624,9.769,185184,0
20151014,9.674,9.921,9.587,9.798,214119,0
20151015,9.849,10.161,9.631,10.139,191935,0
20151016,10.19,10.291,9.791,9.965,192900,0
20151019,9.776,10.284,9.2317,9.994,127452,0
20151020,9.994,10.596,9.776,10.531,229646,0
20151021,10.618,10.618,10.139,10.516,192900,0
20151022,10.531,10.625,10.124,10.233,220319,0
20151023,10.291,10.734,9.965,10.64,217977,0
20151026,10.618,10.676,9.856,9.914,167272,0
20151027,9.892,10.088,9.493,9.551,375190,0
20151028,9.551,10.72,9.551,10.045,276122,0
20151029,10.037,10.139,9.674,9.849,197860,0
20151030,9.892,9.914,9.3696,9.558,281909,0
20151102,9.558,9.66,9.4495,9.616,159378,0
