Date,Open,High,Low,Close,Volume,OpenInt
20160616,22.802,22.802,22.67,22.71,2364,0
20160617,22.802,22.802,22.71,22.71,3008,0
20160620,22.71,22.849,22.71,22.849,1720,0
20160621,22.802,22.942,22.71,22.737,4727,0
20160622,23.259,23.259,22.821,22.942,4093,0
20160623,23.259,23.259,22.84,22.84,1934,0
20160624,23.259,23.259,20.681,22.942,2793,0
20160627,22.942,22.942,22.523,22.71,2364,0
20160628,23.212,23.232,22.871,22.871,613,0
20160629,22.802,22.802,22.802,22.802,430,0
20160701,22.716,22.716,22.653,22.653,1505,0
20160705,22.653,22.802,20.671,22.616,13457,0
20160706,22.43,22.616,22.411,22.616,4013,0
20160707,22.616,22.616,22.291,22.43,3497,0
20160708,22.477,22.477,22.477,22.477,107,0
20160711,22.366,22.366,22.114,22.225,3008,0
20160712,22.468,22.468,21.872,22.337,2257,0
20160713,22.346,22.346,21.407,21.407,2033,0
20160714,21.378,22.952,21.36,22.71,12195,0
20160715,22.523,22.567,22.328,22.328,978,0
20160718,22.244,22.337,21.779,22.337,2149,0
20160719,22.003,22.328,21.686,22.057,2578,0
20160720,21.965,21.965,21.695,21.695,3734,0
20160721,21.686,21.872,21.415,21.702,3658,0
20160722,21.919,21.919,21.518,21.909,1494,0
20160725,21.965,22.384,21.407,21.639,6849,0
20160726,21.509,21.606,21.415,21.434,3492,0
20160727,21.462,21.462,21.407,21.407,215,0
20160728,21.639,21.639,21.592,21.592,1760,0
20160729,21.639,21.639,21.425,21.59,2112,0
20160801,21.639,22.616,21.639,22.141,7044,0
20160802,21.751,22.282,21.592,22.282,8317,0
20160803,22.468,22.468,22.272,22.272,242,0
20160804,22.244,22.552,22.244,22.309,2831,0
20160808,22.569,22.569,22.291,22.43,839,0
20160809,22.239,22.239,22.239,22.239,537,0
20160810,22.542,22.542,22.198,22.244,3138,0
20160811,22.348,22.348,22.291,22.291,559,0
20160812,22.207,22.207,22.057,22.057,574,0
20160815,21.872,21.872,21.872,21.872,430,0
20160817,22.369,22.369,22.287,22.287,1396,0
20160818,22.309,22.542,22.262,22.43,1291,0
20160819,22.337,22.337,22.244,22.328,2042,0
20160822,22.365,22.365,22.319,22.319,2954,0
20160823,22.245,22.292,22.245,22.292,853,0
20160824,22.291,22.291,22.291,22.291,107,0
20160825,22.337,22.337,22.337,22.337,967,0
20160829,22.136,22.365,22.136,22.365,248,0
20160830,22.33,22.33,22.33,22.33,107,0
20160831,22.328,22.328,22.244,22.244,913,0
20160901,21.682,22.309,21.682,22.309,484,0
20160902,22.216,22.244,22.046,22.244,763,0
20160906,22.151,22.151,22.104,22.104,462,0
20160907,21.95,21.95,21.95,21.95,296,0
20160908,22.188,22.188,21.79,21.79,618,0
20160909,22.235,22.235,22.235,22.235,113,0
20160914,22.244,22.244,22.091,22.091,559,0
20160915,22.077,22.077,22.077,22.077,699,0
20160916,22.156,22.156,22.151,22.151,484,0
20160919,21.612,21.946,21.425,21.946,1069,0
