Date,Open,High,Low,Close,Volume,OpenInt
20050225,25.126,26.181,25.09,26.181,346777,0
20050228,26.217,26.217,25.741,26.156,284435,0
20050301,26.174,26.174,25.939,26,356744,0
20050302,25.911,26.082,25.675,25.967,142997,0
20050303,25.984,26.381,25.821,26.319,308130,0
20050304,26.397,26.623,26.299,26.507,245449,0
20050307,26.363,26.787,26.289,26.613,213216,0
20050308,26.442,26.623,25.992,26.119,168682,0
20050309,26.156,26.488,25.949,26.381,323949,0
20050310,26.263,26.552,25.854,26.1,148551,0
20050311,25.929,26.381,25.883,26.138,127500,0
20050314,26.082,26.613,25.957,26.082,253431,0
20050315,26.156,26.517,25.967,26.063,384735,0
20050316,26.128,26.497,25.785,26.226,361856,0
20050317,26.597,28.247,26.488,27.427,1969585,0
20050318,27.401,27.517,26.688,27.373,808949,0
20050321,26.48,27.617,26.461,27.481,679591,0
20050322,27.435,28.292,27.302,27.6,716132,0
20050323,27.706,27.706,26.812,26.868,480769,0
20050324,26.848,26.986,26.525,26.525,443859,0
20050328,26.613,27.273,26.497,27.113,429878,0
20050329,27.094,27.273,26.397,26.533,310787,0
20050330,26.688,27.418,26.669,27.383,474002,0
20050331,27.137,27.472,26.713,27.184,336005,0
20050401,27.409,27.752,27.075,27.383,357213,0
20050404,27.264,27.841,27.211,27.817,348189,0
20050405,27.687,28.501,27.687,28.429,621546,0
20050406,28.429,28.736,28.265,28.393,920981,0
20050407,28.492,28.879,28.331,28.518,397968,0
20050408,28.518,28.574,28.367,28.473,289660,0
20050411,28.473,28.473,28.023,28.265,272580,0
20050412,28.113,28.492,28.013,28.473,506333,0
20050413,27.859,28.429,27.798,27.817,477740,0
20050414,27.789,27.832,27.084,27.156,351687,0
20050415,27.226,27.226,26.1,26.207,543247,0
20050418,26.174,27.018,25.352,26.895,907830,0
20050419,26.94,27.028,26.613,26.886,257827,0
20050420,26.977,27.066,26.425,26.442,277976,0
20050421,26.507,27.075,26.507,27.003,393652,0
20050422,27.156,27.156,26.245,26.977,311470,0
20050425,27.066,27.066,26.198,26.713,514551,0
20050426,26.561,27.075,26.415,26.732,376087,0
20050427,26.713,26.912,26.533,26.805,445715,0
20050428,26.66,26.696,25.83,26.037,582486,0
20050429,26.037,26.289,25.776,25.812,729155,0
20050502,25.785,25.903,25.046,25.361,836123,0
20050503,25.495,25.514,25.17,25.271,591679,0
20050504,25.485,25.604,25.17,25.379,596395,0
20050505,25.406,25.432,24.692,25.216,478266,0
20050506,25.379,25.64,25.216,25.451,379855,0
20050509,25.569,26.561,25.369,26.507,584064,0
20050510,26.198,26.542,25.845,26.217,316579,0
20050511,26.372,26.597,26.082,26.245,306089,0
20050512,26.471,26.471,26.082,26.235,237009,0
20050513,26.147,26.165,25.776,25.911,288132,0
20050516,25.903,26.345,25.793,26.226,247938,0
20050517,26.309,26.713,26.009,26.669,400595,0
20050518,26.876,27.211,26.713,26.94,288341,0
20050519,26.949,27.255,26.912,27.047,193458,0
20050520,26.967,27.084,26.779,27.075,172359,0
20050523,27.075,27.226,26.977,27.075,197556,0
20050524,27.211,27.211,26.895,27.113,105379,0
20050525,26.94,26.995,26.488,26.812,215301,0
20050526,26.732,27.056,26.631,26.922,159422,0
20050527,27.018,27.047,26.796,26.895,51319,0
20050531,26.829,26.829,26.091,26.27,272044,0
20050601,26.497,26.713,26.27,26.336,241934,0
20050602,26.299,26.397,25.893,26.263,559590,0
20050603,26.235,26.354,25.911,25.911,214044,0
20050606,26.128,26.354,25.741,26.289,173098,0
20050607,26.226,26.696,26.226,26.415,148661,0
20050608,26.425,26.713,26.363,26.613,188762,0
20050609,26.651,26.705,26.11,26.388,171840,0
20050610,26.552,26.588,25.632,25.883,260656,0
20050613,25.874,26.174,25.845,26.1,209723,0
20050614,26.174,26.588,26.174,26.263,154053,0
20050615,26.525,26.623,26.174,26.542,208446,0
20050616,26.623,27.147,26.542,27.147,154236,0
20050617,27.165,27.302,26.949,27.103,489212,0
20050620,26.977,27.013,26.388,26.679,234075,0
20050621,26.705,26.805,26.525,26.679,236423,0
20050622,27.075,27.226,26.606,26.886,618037,0
20050623,27.807,28.375,27.418,27.876,1472640,0
20050624,27.886,27.886,27.617,27.651,633326,0
20050627,27.678,27.678,26.769,27.499,566997,0
20050628,27.537,28.284,27.463,28.075,932411,0
20050629,28.113,28.257,27.745,28.185,376770,0
20050630,28.161,28.429,27.336,27.832,520729,0
20050701,27.886,28.321,27.76,27.978,301377,0
20050705,27.905,28.193,27.697,27.978,289638,0
20050706,27.952,28.031,27.508,27.669,382752,0
20050707,27.383,27.669,27.137,27.453,473818,0
